coverage: no map yet
coverage: t=45s known=13.8m2 free=13.0m2 occ=0.8m2 (508x233)
coverage: t=60s known=26.4m2 free=25.1m2 occ=1.3m2 (508x263)
coverage: t=75s known=44.0m2 free=42.0m2 occ=1.9m2 (508x263)
coverage: t=90s known=44.0m2 free=42.0m2 occ=1.9m2 (508x263)
coverage: t=105s known=46.2m2 free=44.1m2 occ=2.1m2 (508x263)
coverage: t=120s known=46.2m2 free=44.1m2 occ=2.1m2 (508x263)
coverage: t=135s known=46.2m2 free=44.1m2 occ=2.1m2 (508x263)
coverage: t=150s known=55.4m2 free=53.2m2 occ=2.2m2 (508x277)
coverage: t=165s known=59.0m2 free=56.7m2 occ=2.4m2 (508x287)
coverage: t=180s known=59.0m2 free=56.7m2 occ=2.4m2 (508x287)
coverage: t=195s known=59.0m2 free=56.7m2 occ=2.4m2 (508x287)
coverage: t=210s known=72.4m2 free=68.6m2 occ=3.8m2 (509x318)
coverage: t=225s known=72.4m2 free=68.6m2 occ=3.8m2 (509x318)
coverage: t=240s known=89.9m2 free=86.1m2 occ=3.8m2 (509x318)
coverage: t=255s known=89.9m2 free=86.1m2 occ=3.8m2 (509x318)
coverage: t=270s known=93.5m2 free=89.6m2 occ=4.0m2 (509x318)
coverage: t=285s known=93.5m2 free=89.6m2 occ=4.0m2 (509x318)
coverage: t=300s known=95.3m2 free=91.2m2 occ=4.1m2 (509x318)
coverage: t=315s known=95.3m2 free=91.2m2 occ=4.1m2 (509x318)
coverage: t=330s known=96.4m2 free=92.1m2 occ=4.3m2 (509x318)
coverage: t=345s known=96.4m2 free=92.1m2 occ=4.3m2 (509x318)
coverage: t=360s known=96.4m2 free=92.1m2 occ=4.3m2 (509x318)
coverage: t=375s known=96.4m2 free=92.1m2 occ=4.3m2 (509x318)
coverage: t=390s known=106.8m2 free=102.1m2 occ=4.7m2 (509x319)
coverage: t=405s known=110.7m2 free=105.4m2 occ=5.2m2 (509x319)
coverage: t=420s known=110.8m2 free=105.5m2 occ=5.4m2 (509x319)
coverage: t=435s known=110.8m2 free=105.5m2 occ=5.4m2 (509x319)
