t,robot,x,y
42.0,leo1,0.847,-0.000
42.0,leo2,4.179,-0.000
44.0,leo1,0.847,-0.000
44.0,leo2,4.179,-0.000
46.0,leo1,0.848,-0.033
46.0,leo2,4.611,-0.016
48.0,leo1,0.808,-0.032
48.0,leo2,5.116,-0.022
50.0,leo1,0.733,-0.046
50.0,leo2,5.326,-0.020
52.0,leo1,0.459,-0.098
52.0,leo2,5.326,-0.020
54.0,leo1,-0.053,-0.117
54.0,leo2,5.326,-0.056
56.0,leo1,-0.289,-0.157
56.0,leo2,5.301,-0.058
58.0,leo1,-0.289,-0.184
58.0,leo2,5.187,-0.109
60.0,leo1,-0.240,-0.183
60.0,leo2,4.875,-0.220
62.0,leo1,-0.165,-0.200
62.0,leo2,4.382,-0.387
64.0,leo1,0.128,-0.240
64.0,leo2,4.205,-0.528
66.0,leo1,0.628,-0.227
66.0,leo2,4.157,-0.585
68.0,leo1,1.148,-0.224
68.0,leo2,4.004,-0.537
70.0,leo1,1.659,-0.221
70.0,leo2,3.510,-0.446
72.0,leo1,2.012,-0.233
72.0,leo2,3.762,-0.411
74.0,leo1,1.982,-0.254
74.0,leo2,3.736,-0.397
76.0,leo1,1.980,-0.259
76.0,leo2,3.739,-0.393
78.0,leo1,1.984,-0.260
78.0,leo2,3.743,-0.391
80.0,leo1,1.981,-0.261
80.0,leo2,3.741,-0.391
82.0,leo1,1.981,-0.261
82.0,leo2,3.740,-0.391
84.0,leo1,1.999,-0.261
84.0,leo2,3.752,-0.391
86.0,leo1,1.983,-0.261
86.0,leo2,3.743,-0.391
88.0,leo1,2.078,-0.261
88.0,leo2,3.817,-0.391
90.0,leo1,2.139,-0.261
90.0,leo2,3.905,-0.391
92.0,leo1,2.145,-0.261
92.0,leo2,3.888,-0.391
94.0,leo1,2.053,-0.261
94.0,leo2,3.792,-0.391
96.0,leo1,2.205,-0.261
96.0,leo2,3.981,-0.391
98.0,leo1,2.218,-0.261
98.0,leo2,3.981,-0.391
100.0,leo1,2.241,-0.261
100.0,leo2,4.007,-0.391
102.0,leo1,2.429,-0.261
102.0,leo2,4.187,-0.391
104.0,leo1,2.594,-0.261
104.0,leo2,4.381,-0.391
106.0,leo1,2.685,-0.261
106.0,leo2,4.441,-0.391
108.0,leo1,2.733,-0.261
108.0,leo2,4.496,-0.391
110.0,leo1,2.658,-0.261
110.0,leo2,4.423,-0.391
112.0,leo1,2.590,-0.261
112.0,leo2,4.343,-0.391
114.0,leo1,2.530,-0.261
114.0,leo2,4.309,-0.391
116.0,leo1,2.680,-0.261
116.0,leo2,4.421,-0.391
118.0,leo1,2.769,-0.261
118.0,leo2,4.539,-0.391
120.0,leo1,2.662,-0.261
120.0,leo2,4.430,-0.391
122.0,leo1,2.664,-0.261
122.0,leo2,4.430,-0.391
124.0,leo1,2.681,-0.261
124.0,leo2,4.440,-0.391
126.0,leo1,2.764,-0.261
126.0,leo2,4.509,-0.391
128.0,leo1,2.788,-0.261
128.0,leo2,4.550,-0.391
130.0,leo1,2.834,-0.261
130.0,leo2,4.594,-0.391
132.0,leo1,2.863,-0.261
132.0,leo2,4.639,-0.391
134.0,leo1,3.147,-0.265
134.0,leo2,4.935,-0.378
136.0,leo1,3.447,-0.275
136.0,leo2,5.266,-0.256
138.0,leo1,3.891,-0.283
138.0,leo2,5.687,-0.141
140.0,leo1,4.052,-0.260
140.0,leo2,5.883,-0.199
142.0,leo1,4.066,-0.246
142.0,leo2,5.896,-0.237
144.0,leo1,4.065,-0.253
144.0,leo2,5.881,-0.333
146.0,leo1,3.942,-0.263
146.0,leo2,5.735,-0.435
148.0,leo1,3.964,-0.269
148.0,leo2,5.720,-0.445
150.0,leo1,3.978,-0.274
150.0,leo2,5.735,-0.445
152.0,leo1,4.027,-0.279
152.0,leo2,5.778,-0.445
154.0,leo1,4.068,-0.332
154.0,leo2,5.886,-0.447
156.0,leo1,4.051,-0.548
156.0,leo2,5.986,-0.449
158.0,leo1,4.072,-0.497
158.0,leo2,5.928,-0.458
160.0,leo1,4.096,-0.391
160.0,leo2,5.905,-0.496
162.0,leo1,4.436,-0.299
162.0,leo2,6.177,-0.477
164.0,leo1,4.390,-0.305
164.0,leo2,6.155,-0.467
166.0,leo1,4.461,-0.314
166.0,leo2,6.203,-0.459
168.0,leo1,4.724,-0.319
168.0,leo2,6.483,-0.454
170.0,leo1,4.737,-0.320
170.0,leo2,6.497,-0.454
172.0,leo1,4.767,-0.321
172.0,leo2,6.527,-0.453
174.0,leo1,4.614,-0.321
174.0,leo2,6.380,-0.453
176.0,leo1,4.736,-0.321
176.0,leo2,6.475,-0.453
178.0,leo1,4.778,-0.321
178.0,leo2,6.567,-0.453
180.0,leo1,4.294,-0.321
180.0,leo2,6.086,-0.452
182.0,leo1,4.259,-0.321
182.0,leo2,6.019,-0.452
184.0,leo1,4.259,-0.321
184.0,leo2,6.019,-0.452
186.0,leo1,4.143,-0.321
186.0,leo2,5.933,-0.451
188.0,leo1,4.343,-0.321
188.0,leo2,6.067,-0.452
190.0,leo1,4.851,-0.321
190.0,leo2,6.581,-0.454
192.0,leo1,5.365,-0.318
192.0,leo2,7.097,-0.455
194.0,leo1,5.864,-0.318
194.0,leo2,7.626,-0.442
196.0,leo1,6.260,-0.314
196.0,leo2,8.075,-0.380
198.0,leo1,6.535,-0.311
198.0,leo2,8.349,-0.213
200.0,leo1,7.003,-0.300
200.0,leo2,8.810,-0.163
202.0,leo1,7.250,-0.265
202.0,leo2,9.094,-0.176
204.0,leo1,7.242,-0.268
204.0,leo2,9.077,-0.185
206.0,leo1,7.237,-0.310
206.0,leo2,9.069,-0.185
208.0,leo1,7.237,-0.352
208.0,leo2,9.054,-0.195
210.0,leo1,7.238,-0.377
