t,robot,x,y
42.0,leo1,0.822,-0.000
42.0,leo2,4.175,-0.000
44.0,leo1,0.822,-0.000
44.0,leo2,4.175,-0.000
46.0,leo1,0.823,-0.033
46.0,leo2,4.176,-0.032
48.0,leo1,0.783,-0.032
48.0,leo2,4.136,-0.032
50.0,leo1,0.646,-0.153
50.0,leo2,4.056,-0.051
52.0,leo1,0.411,-0.321
52.0,leo2,3.788,-0.096
54.0,leo1,0.373,-0.344
54.0,leo2,3.258,-0.087
56.0,leo1,0.373,-0.344
56.0,leo2,2.738,-0.088
58.0,leo1,0.242,-0.335
58.0,leo2,2.228,-0.080
60.0,leo1,-0.274,-0.245
60.0,leo2,1.713,-0.076
62.0,leo1,-0.781,-0.112
62.0,leo2,1.200,-0.069
64.0,leo1,-1.296,-0.035
64.0,leo2,0.693,-0.066
66.0,leo1,-1.645,-0.029
66.0,leo2,0.288,-0.065
68.0,leo1,-1.921,-0.027
68.0,leo2,0.003,-0.061
70.0,leo1,-2.416,0.003
70.0,leo2,-0.048,-0.096
72.0,leo1,-2.945,0.028
72.0,leo2,-0.019,-0.097
74.0,leo1,-3.464,0.072
74.0,leo2,0.052,-0.097
76.0,leo1,-3.970,0.035
76.0,leo2,0.272,-0.144
78.0,leo1,-4.380,0.039
78.0,leo2,0.515,-0.128
80.0,leo1,-4.555,0.027
80.0,leo2,0.508,-0.129
82.0,leo1,-5.011,0.029
82.0,leo2,0.508,-0.129
84.0,leo1,-5.501,-0.001
84.0,leo2,0.508,-0.129
86.0,leo1,-5.801,-0.045
86.0,leo2,0.538,-0.128
88.0,leo1,-6.320,-0.030
88.0,leo2,0.748,-0.059
90.0,leo1,-6.830,-0.026
90.0,leo2,1.268,-0.071
92.0,leo1,-7.350,-0.016
92.0,leo2,1.773,-0.072
94.0,leo1,-7.870,-0.018
94.0,leo2,2.282,-0.073
96.0,leo1,-8.173,-0.015
96.0,leo2,2.812,-0.075
98.0,leo1,-8.173,0.017
