t,robot,x,y
78.0,leo1,1.406,-0.000
78.0,leo2,4.948,-0.000
80.0,leo1,1.406,-0.000
80.0,leo2,4.948,-0.000
82.0,leo1,1.406,-0.000
82.0,leo2,4.948,-0.000
84.0,leo1,1.406,-0.000
84.0,leo2,4.948,-0.000
86.0,leo1,1.407,-0.018
86.0,leo2,5.224,0.002
88.0,leo1,1.360,-0.018
88.0,leo2,5.744,0.003
90.0,leo1,1.241,-0.081
90.0,leo2,6.264,0.003
92.0,leo1,0.851,-0.119
92.0,leo2,6.784,0.027
94.0,leo1,0.335,-0.183
94.0,leo2,7.314,0.014
96.0,leo1,-0.189,-0.276
96.0,leo2,7.749,0.013
98.0,leo1,-0.553,-0.387
98.0,leo2,7.834,0.037
100.0,leo1,-0.573,-0.396
100.0,leo2,7.818,0.045
102.0,leo1,-0.573,-0.396
102.0,leo2,7.731,0.064
104.0,leo1,-0.573,-0.396
104.0,leo2,7.447,0.119
106.0,leo1,-0.573,-0.375
106.0,leo2,6.917,0.122
108.0,leo1,-0.712,-0.226
108.0,leo2,6.397,0.115
110.0,leo1,-0.894,0.239
110.0,leo2,5.887,0.113
112.0,leo1,-1.114,0.713
112.0,leo2,5.367,0.112
114.0,leo1,-1.291,1.011
114.0,leo2,4.837,0.111
116.0,leo1,-1.291,1.011
116.0,leo2,4.317,0.109
118.0,leo1,-1.320,1.093
118.0,leo2,3.787,0.107
120.0,leo1,-1.282,1.336
120.0,leo2,3.276,0.103
122.0,leo1,-1.209,1.460
122.0,leo2,2.757,0.095
124.0,leo1,-1.209,1.460
124.0,leo2,2.227,0.060
126.0,leo1,-1.207,1.461
126.0,leo2,1.710,0.005
128.0,leo1,-1.207,1.388
128.0,leo2,1.190,0.004
130.0,leo1,-1.215,1.351
130.0,leo2,0.670,0.010
132.0,leo1,-1.280,1.027
132.0,leo2,0.150,0.007
134.0,leo1,-1.494,0.546
134.0,leo2,-0.370,0.010
136.0,leo1,-1.727,0.080
136.0,leo2,-0.890,0.007
138.0,leo1,-1.950,-0.379
138.0,leo2,-1.410,-0.002
140.0,leo1,-2.163,-0.855
140.0,leo2,-1.930,0.006
142.0,leo1,-2.397,-1.332
142.0,leo2,-2.450,0.012
144.0,leo1,-2.665,-1.781
144.0,leo2,-2.969,-0.014
146.0,leo1,-2.961,-2.181
146.0,leo2,-3.489,-0.032
148.0,leo1,-3.097,-2.338
148.0,leo2,-4.009,-0.040
150.0,leo1,-3.097,-2.338
150.0,leo2,-4.497,-0.044
152.0,leo1,-3.097,-2.338
152.0,leo2,-4.499,-0.022
154.0,leo1,-3.097,-2.334
154.0,leo2,-4.426,-0.022
156.0,leo1,-3.175,-2.230
156.0,leo2,-4.317,0.032
158.0,leo1,-3.454,-1.993
158.0,leo2,-3.887,0.050
160.0,leo1,-3.769,-1.580
160.0,leo2,-3.368,0.060
162.0,leo1,-4.077,-1.146
162.0,leo2,-2.848,0.062
164.0,leo1,-4.370,-0.715
164.0,leo2,-2.328,0.062
166.0,leo1,-4.708,-0.443
166.0,leo2,-1.808,0.061
168.0,leo1,-5.211,-0.326
168.0,leo2,-1.288,0.061
170.0,leo1,-5.342,-0.315
170.0,leo2,-0.768,0.061
172.0,leo1,-5.354,-0.315
172.0,leo2,-0.248,0.060
174.0,leo1,-5.522,-0.379
174.0,leo2,0.272,0.060
176.0,leo1,-6.032,-0.363
176.0,leo2,0.792,0.059
178.0,leo1,-6.552,-0.358
178.0,leo2,1.312,0.058
180.0,leo1,-7.072,-0.350
180.0,leo2,1.832,0.057
182.0,leo1,-7.592,-0.354
182.0,leo2,2.352,0.056
184.0,leo1,-8.112,-0.351
184.0,leo2,2.872,0.054
186.0,leo1,-8.631,-0.330
186.0,leo2,3.392,0.055
188.0,leo1,-9.148,-0.260
188.0,leo2,3.912,0.047
190.0,leo1,-9.458,-0.190
190.0,leo2,4.432,0.038
192.0,leo1,-9.458,-0.190
192.0,leo2,4.952,0.005
194.0,leo1,-9.458,-0.190
194.0,leo2,5.470,-0.039
196.0,leo1,-9.414,-0.201
196.0,leo2,5.987,-0.107
198.0,leo1,-9.317,-0.225
198.0,leo2,6.498,-0.209
200.0,leo1,-9.220,-0.250
200.0,leo2,7.004,-0.327
202.0,leo1,-9.162,-0.264
202.0,leo2,7.499,-0.493
204.0,leo1,-9.159,-0.270
204.0,leo2,7.991,-0.666
206.0,leo1,-9.159,-0.270
206.0,leo2,8.480,-0.846
208.0,leo1,-9.159,-0.270
208.0,leo2,8.961,-1.050
210.0,leo1,-9.175,-0.270
210.0,leo2,9.432,-1.275
212.0,leo1,-9.178,-0.245
212.0,leo2,9.897,-1.509
214.0,leo1,-9.271,-0.119
214.0,leo2,10.354,-1.762
216.0,leo1,-9.458,0.231
216.0,leo2,10.799,-2.031
218.0,leo1,-9.676,0.703
218.0,leo2,11.212,-2.303
220.0,leo1,-9.905,1.172
220.0,leo2,11.188,-2.303
222.0,leo1,-10.160,1.627
222.0,leo2,11.131,-2.304
224.0,leo1,-10.437,2.069
224.0,leo2,10.915,-2.309
226.0,leo1,-10.747,2.432
226.0,leo2,10.409,-2.190
228.0,leo1,-11.162,2.744
228.0,leo2,9.914,-2.024
230.0,leo1,-11.579,3.056
230.0,leo2,9.424,-1.844
232.0,leo1,-11.857,3.337
232.0,leo2,8.944,-1.639
234.0,leo1,-11.881,3.371
234.0,leo2,8.473,-1.423
236.0,leo1,-11.881,3.371
236.0,leo2,8.012,-1.181
238.0,leo1,-11.874,3.371
238.0,leo2,7.561,-0.909
240.0,leo1,-11.817,3.372
240.0,leo2,7.119,-0.635
242.0,leo1,-11.723,3.336
242.0,leo2,6.645,-0.415
244.0,leo1,-11.239,3.221
244.0,leo2,6.171,-0.369
246.0,leo1,-10.727,3.120
246.0,leo2,5.752,-0.646
248.0,leo1,-10.211,2.999
248.0,leo2,5.386,-1.015
250.0,leo1,-9.704,2.881
250.0,leo2,5.005,-1.370
252.0,leo1,-9.334,2.782
252.0,leo2,4.628,-1.727
254.0,leo1,-9.334,2.782
254.0,leo2,4.241,-2.074
256.0,leo1,-9.334,2.782
256.0,leo2,3.835,-2.401
258.0,leo1,-9.403,2.801
258.0,leo2,3.418,-2.710
260.0,leo1,-9.500,2.828
260.0,leo2,2.973,-2.986
262.0,leo1,-9.596,2.855
262.0,leo2,2.504,-3.204
264.0,leo1,-9.296,2.764
264.0,leo2,2.077,-3.473
266.0,leo1,-8.797,2.618
266.0,leo2,1.865,-3.843
268.0,leo1,-8.613,2.571
268.0,leo2,1.704,-4.348
270.0,leo1,-8.617,2.570
270.0,leo2,1.534,-4.829
272.0,leo1,-8.617,2.570
272.0,leo2,1.335,-5.310
274.0,leo1,-8.617,2.570
274.0,leo2,1.105,-5.782
276.0,leo1,-8.641,2.478
276.0,leo2,0.897,-6.259
278.0,leo1,-8.668,2.381
278.0,leo2,0.660,-6.725
280.0,leo1,-8.694,2.285
280.0,leo2,0.397,-7.175
282.0,leo1,-8.680,2.279
282.0,leo2,0.144,-7.618
284.0,leo1,-8.554,2.286
284.0,leo2,0.023,-7.844
286.0,leo1,-8.554,2.297
286.0,leo2,0.019,-7.845
288.0,leo1,-8.562,2.312
288.0,leo2,0.019,-7.800
290.0,leo1,-8.652,2.459
290.0,leo2,-0.003,-7.723
292.0,leo1,-8.903,2.894
292.0,leo2,-0.024,-7.375
294.0,leo1,-9.230,3.300
294.0,leo2,0.059,-6.871
296.0,leo1,-9.549,3.703
296.0,leo2,0.155,-6.359
298.0,leo1,-9.663,4.161
298.0,leo2,0.283,-5.842
300.0,leo1,-9.710,4.680
300.0,leo2,0.450,-5.347
302.0,leo1,-9.778,5.196
302.0,leo2,0.660,-4.876
304.0,leo1,-9.852,5.711
304.0,leo2,0.951,-4.435
306.0,leo1,-9.948,6.224
306.0,leo2,1.147,-3.946
308.0,leo1,-10.051,6.735
308.0,leo2,1.163,-3.427
310.0,leo1,-10.143,7.108
310.0,leo2,1.157,-2.907
312.0,leo1,-10.044,7.172
312.0,leo2,1.162,-2.387
314.0,leo1,-9.750,7.195
314.0,leo2,1.157,-1.867
316.0,leo1,-9.758,7.199
316.0,leo2,1.151,-1.347
318.0,leo1,-9.758,7.199
318.0,leo2,1.154,-0.827
320.0,leo1,-9.758,7.199
320.0,leo2,1.155,-0.307
322.0,leo1,-9.753,7.152
322.0,leo2,1.147,0.213
324.0,leo1,-9.742,7.052
324.0,leo2,1.153,0.733
326.0,leo1,-9.731,6.953
326.0,leo2,1.160,1.092
328.0,leo1,-9.738,6.899
328.0,leo2,1.211,1.113
330.0,leo1,-9.749,6.887
330.0,leo2,1.562,1.118
332.0,leo1,-9.753,6.811
332.0,leo2,2.098,1.038
334.0,leo1,-9.817,6.568
334.0,leo2,2.612,0.956
336.0,leo1,-9.805,6.048
336.0,leo2,3.101,0.850
338.0,leo1,-9.802,5.528
338.0,leo2,3.603,0.709
340.0,leo1,-9.801,5.008
340.0,leo2,4.107,0.580
342.0,leo1,-9.801,4.488
342.0,leo2,4.611,0.447
344.0,leo1,-9.801,3.968
344.0,leo2,5.106,0.279
346.0,leo1,-9.801,3.448
346.0,leo2,5.602,0.089
348.0,leo1,-9.801,2.928
348.0,leo2,6.092,-0.081
350.0,leo1,-9.802,2.408
350.0,leo2,6.581,-0.265
352.0,leo1,-9.807,1.888
352.0,leo2,7.038,-0.527
354.0,leo1,-9.805,1.368
354.0,leo2,7.435,-0.865
356.0,leo1,-9.806,0.848
356.0,leo2,7.809,-1.245
358.0,leo1,-9.802,0.328
358.0,leo2,8.156,-1.578
360.0,leo1,-9.801,-0.192
360.0,leo2,8.155,-1.560
362.0,leo1,-9.801,-0.712
362.0,leo2,8.155,-1.560
364.0,leo1,-9.805,-1.242
364.0,leo2,8.155,-1.560
366.0,leo1,-9.803,-1.762
366.0,leo2,8.130,-1.588
368.0,leo1,-9.802,-2.272
368.0,leo2,8.062,-1.662
370.0,leo1,-9.790,-2.557
370.0,leo2,7.994,-1.736
372.0,leo1,-9.778,-2.545
372.0,leo2,7.951,-1.782
374.0,leo1,-9.506,-2.440
374.0,leo2,7.934,-1.782
376.0,leo1,-9.124,-2.212
376.0,leo2,7.934,-1.782
378.0,leo1,-8.702,-1.910
378.0,leo2,7.938,-1.782
380.0,leo1,-8.273,-1.617
380.0,leo2,7.995,-1.626
382.0,leo1,-7.839,-1.330
382.0,leo2,8.199,-1.156
384.0,leo1,-7.405,-1.043
384.0,leo2,8.450,-0.700
386.0,leo1,-6.972,-0.774
386.0,leo2,8.704,-0.246
388.0,leo1,-6.499,-0.558
388.0,leo2,8.943,0.211
390.0,leo1,-6.040,-0.293
390.0,leo2,9.201,0.663
392.0,leo1,-5.585,-0.043
392.0,leo2,9.471,1.114
394.0,leo1,-5.126,0.199
394.0,leo2,9.737,1.562
396.0,leo1,-4.661,0.434
396.0,leo2,10.034,1.990
398.0,leo1,-4.251,0.757
398.0,leo2,10.319,2.425
400.0,leo1,-3.896,1.137
400.0,leo2,10.617,2.852
402.0,leo1,-3.561,1.518
402.0,leo2,10.904,3.279
404.0,leo1,-3.197,1.900
404.0,leo2,11.202,3.705
406.0,leo1,-2.825,2.259
406.0,leo2,11.350,3.896
408.0,leo1,-2.460,2.555
408.0,leo2,11.350,3.818
410.0,leo1,-2.026,2.838
410.0,leo2,11.419,3.678
412.0,leo1,-1.554,3.060
412.0,leo2,11.411,3.199
414.0,leo1,-1.413,3.117
414.0,leo2,11.406,2.679
416.0,leo1,-1.376,3.141
416.0,leo2,11.404,2.159
418.0,leo1,-1.278,3.225
418.0,leo2,11.403,1.639
420.0,leo1,-1.278,3.225
420.0,leo2,11.404,1.119
422.0,leo1,-1.150,3.262
422.0,leo2,11.404,0.599
424.0,leo1,-0.710,3.168
424.0,leo2,11.404,0.079
426.0,leo1,-0.211,3.021
426.0,leo2,11.404,-0.441
428.0,leo1,0.275,2.859
428.0,leo2,11.403,-0.961
430.0,leo1,0.763,2.670
430.0,leo2,11.403,-1.481
432.0,leo1,1.258,2.457
432.0,leo2,11.403,-2.001
434.0,leo1,1.725,2.246
434.0,leo2,11.404,-2.521
436.0,leo1,2.196,2.026
436.0,leo2,11.404,-3.041
438.0,leo1,2.660,1.786
438.0,leo2,11.407,-3.561
440.0,leo1,3.110,1.525
440.0,leo2,11.404,-4.081
442.0,leo1,3.558,1.256
442.0,leo2,11.402,-4.440
444.0,leo1,3.984,0.957
444.0,leo2,11.384,-4.436
446.0,leo1,4.389,0.640
446.0,leo2,11.361,-4.347
448.0,leo1,4.830,0.364
448.0,leo2,11.247,-4.112
450.0,leo1,5.347,0.286
450.0,leo2,11.061,-3.623
452.0,leo1,5.867,0.287
452.0,leo2,10.739,-3.213
454.0,leo1,6.387,0.286
454.0,leo2,10.335,-2.896
456.0,leo1,6.907,0.284
456.0,leo2,9.931,-2.569
458.0,leo1,7.427,0.276
458.0,leo2,9.517,-2.255
460.0,leo1,7.946,0.277
460.0,leo2,9.101,-1.943
462.0,leo1,8.466,0.272
462.0,leo2,8.685,-1.631
464.0,leo1,8.986,0.259
464.0,leo2,8.269,-1.318
466.0,leo1,9.505,0.214
466.0,leo2,7.854,-1.005
468.0,leo1,10.024,0.175
468.0,leo2,7.439,-0.692
470.0,leo1,10.434,0.128
470.0,leo2,7.020,-0.384
472.0,leo1,10.433,0.107
472.0,leo2,6.597,-0.081
474.0,leo1,10.353,0.107
474.0,leo2,6.177,0.224
476.0,leo1,10.347,0.101
476.0,leo2,5.754,0.527
478.0,leo1,10.347,0.101
478.0,leo2,5.339,0.841
480.0,leo1,10.359,0.112
480.0,leo2,4.927,1.144
482.0,leo1,10.433,0.179
482.0,leo2,4.516,1.462
484.0,leo1,10.506,0.247
484.0,leo2,4.105,1.791
486.0,leo1,10.562,0.298
486.0,leo2,3.694,2.109
488.0,leo1,10.269,0.243
488.0,leo2,3.285,2.431
490.0,leo1,9.749,0.251
