t,robot,x,y
56.0,leo1,1.134,-0.000
56.0,leo2,4.527,-0.000
58.0,leo1,1.134,-0.000
58.0,leo2,4.527,-0.000
60.0,leo1,1.134,-0.000
60.0,leo2,4.527,-0.000
62.0,leo1,1.135,-0.025
62.0,leo2,4.528,0.028
64.0,leo1,1.096,-0.024
64.0,leo2,4.599,0.189
66.0,leo1,0.986,-0.077
66.0,leo2,4.552,0.676
68.0,leo1,0.625,-0.127
68.0,leo2,4.572,1.158
70.0,leo1,0.109,-0.200
70.0,leo2,4.738,1.650
72.0,leo1,-0.381,-0.317
72.0,leo2,4.857,1.981
74.0,leo1,-0.570,-0.390
74.0,leo2,4.814,2.030
76.0,leo1,-0.570,-0.390
76.0,leo2,4.597,2.417
78.0,leo1,-0.571,-0.368
78.0,leo2,4.397,2.763
80.0,leo1,-0.706,-0.229
80.0,leo2,4.370,2.803
82.0,leo1,-0.893,0.216
82.0,leo2,4.368,2.803
84.0,leo1,-1.117,0.689
84.0,leo2,4.353,2.735
86.0,leo1,-1.307,1.042
86.0,leo2,4.144,2.567
88.0,leo1,-1.329,1.072
88.0,leo2,3.817,2.166
90.0,leo1,-1.378,1.112
90.0,leo2,3.494,1.758
92.0,leo1,-1.741,1.174
92.0,leo2,3.178,1.345
94.0,leo1,-2.011,1.230
94.0,leo2,2.923,1.027
96.0,leo1,-2.011,1.230
96.0,leo2,2.554,0.866
98.0,leo1,-2.012,1.246
98.0,leo2,2.070,0.658
100.0,leo1,-1.983,1.248
100.0,leo2,1.595,0.431
102.0,leo1,-1.911,1.259
102.0,leo2,1.138,0.168
104.0,leo1,-1.614,1.307
104.0,leo2,0.792,-0.072
106.0,leo1,-1.085,1.272
106.0,leo2,0.736,-0.116
108.0,leo1,-0.567,1.224
108.0,leo2,0.736,-0.116
110.0,leo1,-0.049,1.169
110.0,leo2,0.737,-0.115
112.0,leo1,0.467,1.098
112.0,leo2,0.821,-0.115
114.0,leo1,0.983,1.029
114.0,leo2,0.942,-0.177
116.0,leo1,1.496,0.942
116.0,leo2,1.398,-0.168
118.0,leo1,2.005,0.831
118.0,leo2,1.913,-0.163
120.0,leo1,2.511,0.710
120.0,leo2,2.433,-0.162
122.0,leo1,3.012,0.563
122.0,leo2,2.958,-0.162
124.0,leo1,3.496,0.390
124.0,leo2,3.324,-0.162
126.0,leo1,3.885,0.244
126.0,leo2,3.322,-0.157
128.0,leo1,3.875,0.234
128.0,leo2,3.387,-0.121
130.0,leo1,3.800,0.233
130.0,leo2,3.745,-0.096
132.0,leo1,3.584,0.156
132.0,leo2,4.260,-0.107
134.0,leo1,3.276,0.129
134.0,leo2,4.423,-0.093
136.0,leo1,3.409,0.113
136.0,leo2,4.653,-0.070
138.0,leo1,3.477,0.101
138.0,leo2,4.720,-0.058
140.0,leo1,3.445,0.096
140.0,leo2,4.686,-0.052
142.0,leo1,3.447,0.095
142.0,leo2,4.687,-0.051
144.0,leo1,3.429,0.095
144.0,leo2,4.668,-0.051
146.0,leo1,3.476,0.095
146.0,leo2,4.714,-0.051
148.0,leo1,3.484,0.095
148.0,leo2,4.723,-0.051
150.0,leo1,3.598,0.095
150.0,leo2,4.837,-0.051
152.0,leo1,3.634,0.095
152.0,leo2,4.873,-0.051
154.0,leo1,3.508,0.095
154.0,leo2,4.747,-0.051
156.0,leo1,3.990,0.095
156.0,leo2,5.229,-0.051
158.0,leo1,4.488,0.075
158.0,leo2,5.728,-0.051
160.0,leo1,4.899,0.075
160.0,leo2,6.138,-0.051
162.0,leo1,4.883,0.096
162.0,leo2,6.113,-0.051
164.0,leo1,4.885,0.096
164.0,leo2,6.115,-0.051
166.0,leo1,5.090,0.096
166.0,leo2,6.319,-0.051
168.0,leo1,5.577,0.098
168.0,leo2,6.802,-0.051
170.0,leo1,6.064,0.088
170.0,leo2,7.293,-0.051
172.0,leo1,6.539,0.088
172.0,leo2,7.769,-0.051
174.0,leo1,6.662,0.088
174.0,leo2,7.891,-0.051
176.0,leo1,6.892,0.088
176.0,leo2,8.116,-0.051
