t,robot,x,y
40.0,leo1,0.812,-0.000
40.0,leo2,4.138,-0.000
42.0,leo1,0.812,-0.000
42.0,leo2,4.138,-0.000
44.0,leo1,0.812,-0.000
44.0,leo2,4.138,-0.000
46.0,leo1,0.814,-0.024
46.0,leo2,4.139,-0.024
48.0,leo1,0.756,-0.024
48.0,leo2,4.081,-0.023
50.0,leo1,0.609,-0.195
50.0,leo2,3.966,-0.112
52.0,leo1,0.389,-0.344
52.0,leo2,3.982,-0.112
54.0,leo1,0.389,-0.344
54.0,leo2,3.982,-0.112
56.0,leo1,0.389,-0.344
56.0,leo2,3.982,-0.112
58.0,leo1,0.389,-0.344
58.0,leo2,3.947,-0.057
60.0,leo1,0.389,-0.344
60.0,leo2,3.893,0.027
62.0,leo1,0.389,-0.344
62.0,leo2,3.840,0.111
64.0,leo1,0.389,-0.344
64.0,leo2,3.798,0.143
66.0,leo1,0.389,-0.344
66.0,leo2,3.718,0.110
68.0,leo1,0.389,-0.344
68.0,leo2,3.244,-0.017
70.0,leo1,0.389,-0.344
70.0,leo2,2.728,-0.072
72.0,leo1,0.385,-0.346
72.0,leo2,2.278,-0.104
74.0,leo1,0.384,-0.347
74.0,leo2,2.212,-0.090
76.0,leo1,0.384,-0.347
76.0,leo2,2.153,0.160
78.0,leo1,0.384,-0.347
78.0,leo2,2.127,0.192
80.0,leo1,0.384,-0.347
80.0,leo2,2.127,0.192
82.0,leo1,0.384,-0.347
82.0,leo2,2.127,0.192
84.0,leo1,0.384,-0.347
84.0,leo2,2.127,0.192
86.0,leo1,0.384,-0.347
86.0,leo2,2.127,0.192
88.0,leo1,0.384,-0.347
88.0,leo2,2.127,0.192
90.0,leo1,0.384,-0.347
90.0,leo2,2.127,0.192
92.0,leo1,0.384,-0.347
92.0,leo2,2.127,0.192
94.0,leo1,0.384,-0.347
94.0,leo2,2.127,0.192
96.0,leo1,0.384,-0.347
96.0,leo2,2.127,0.192
98.0,leo1,0.384,-0.347
98.0,leo2,2.127,0.192
100.0,leo1,0.384,-0.347
100.0,leo2,2.127,0.192
102.0,leo1,0.384,-0.347
102.0,leo2,2.127,0.192
104.0,leo1,0.384,-0.347
104.0,leo2,2.127,0.192
106.0,leo1,0.384,-0.347
106.0,leo2,2.127,0.192
108.0,leo1,0.384,-0.347
108.0,leo2,2.127,0.192
110.0,leo1,0.384,-0.347
110.0,leo2,2.127,0.192
112.0,leo1,0.384,-0.347
112.0,leo2,2.127,0.192
114.0,leo1,0.384,-0.347
114.0,leo2,2.127,0.192
116.0,leo1,0.384,-0.347
116.0,leo2,2.127,0.192
118.0,leo1,0.384,-0.347
118.0,leo2,2.127,0.192
120.0,leo1,0.384,-0.347
120.0,leo2,2.127,0.192
122.0,leo1,0.384,-0.347
122.0,leo2,2.127,0.192
124.0,leo1,0.384,-0.347
124.0,leo2,2.127,0.192
126.0,leo1,0.384,-0.347
126.0,leo2,2.127,0.192
128.0,leo1,0.384,-0.347
128.0,leo2,2.127,0.192
130.0,leo1,0.384,-0.347
130.0,leo2,2.127,0.192
132.0,leo1,0.384,-0.347
132.0,leo2,2.127,0.192
134.0,leo1,0.384,-0.347
134.0,leo2,2.127,0.192
