t,robot,x,y
90.0,leo1,1.300,-0.000
90.0,leo2,4.877,-0.000
92.0,leo1,1.300,-0.000
92.0,leo2,4.877,-0.000
94.0,leo1,1.300,-0.000
94.0,leo2,4.877,-0.000
96.0,leo1,1.300,-0.000
96.0,leo2,4.877,-0.000
98.0,leo1,1.300,0.025
98.0,leo2,5.317,-0.012
100.0,leo1,1.249,0.023
100.0,leo2,5.837,-0.035
102.0,leo1,1.159,0.057
102.0,leo2,6.355,-0.078
104.0,leo1,0.772,0.087
104.0,leo2,6.845,-0.108
106.0,leo1,0.272,0.099
106.0,leo2,7.040,-0.142
108.0,leo1,-0.248,0.105
108.0,leo2,7.040,-0.142
110.0,leo1,-0.788,0.119
110.0,leo2,7.488,-0.189
112.0,leo1,-1.306,0.100
112.0,leo2,7.897,-0.225
114.0,leo1,-1.785,0.064
114.0,leo2,8.409,-0.261
116.0,leo1,-2.305,0.054
116.0,leo2,8.675,-0.271
118.0,leo1,-2.825,0.052
118.0,leo2,9.126,-0.235
120.0,leo1,-3.345,0.051
120.0,leo2,9.636,-0.123
122.0,leo1,-3.872,0.046
122.0,leo2,10.141,0.006
124.0,leo1,-4.157,-0.023
124.0,leo2,10.661,0.024
126.0,leo1,-4.528,-0.067
126.0,leo2,11.172,0.036
128.0,leo1,-5.048,-0.045
128.0,leo2,11.402,0.116
130.0,leo1,-5.577,-0.008
130.0,leo2,11.402,0.116
132.0,leo1,-6.096,0.016
132.0,leo2,11.402,0.116
134.0,leo1,-6.615,0.045
134.0,leo2,11.400,0.124
136.0,leo1,-7.133,0.087
136.0,leo2,11.318,0.124
138.0,leo1,-7.641,0.193
138.0,leo2,11.192,0.191
140.0,leo1,-7.965,0.265
140.0,leo2,11.197,0.185
142.0,leo1,-7.966,0.282
142.0,leo2,11.197,0.185
144.0,leo1,-7.913,0.281
144.0,leo2,11.197,0.185
146.0,leo1,-7.811,0.329
146.0,leo2,11.207,0.232
148.0,leo1,-7.423,0.360
148.0,leo2,11.227,0.330
150.0,leo1,-6.904,0.367
150.0,leo2,11.248,0.428
152.0,leo1,-6.384,0.369
152.0,leo2,11.249,0.483
154.0,leo1,-5.864,0.370
154.0,leo2,11.126,0.404
156.0,leo1,-5.344,0.370
156.0,leo2,11.041,0.388
158.0,leo1,-4.824,0.370
158.0,leo2,11.049,0.389
160.0,leo1,-4.304,0.370
160.0,leo2,11.049,0.389
162.0,leo1,-3.784,0.370
162.0,leo2,10.984,0.329
164.0,leo1,-3.264,0.370
164.0,leo2,10.675,0.232
166.0,leo1,-2.744,0.370
166.0,leo2,10.169,0.114
168.0,leo1,-2.224,0.370
168.0,leo2,9.665,-0.020
170.0,leo1,-1.704,0.370
170.0,leo2,9.164,-0.162
172.0,leo1,-1.184,0.370
172.0,leo2,8.666,-0.317
174.0,leo1,-0.654,0.370
174.0,leo2,8.162,-0.449
176.0,leo1,-0.134,0.370
176.0,leo2,7.748,-0.676
178.0,leo1,0.386,0.369
178.0,leo2,7.560,-0.987
180.0,leo1,0.906,0.369
180.0,leo2,7.415,-1.483
182.0,leo1,1.406,0.369
182.0,leo2,7.171,-1.782
184.0,leo1,1.926,0.369
184.0,leo2,6.712,-1.979
186.0,leo1,2.187,0.384
186.0,leo2,6.299,-2.142
188.0,leo1,2.170,0.391
188.0,leo2,6.218,-2.185
190.0,leo1,2.066,0.428
190.0,leo2,6.202,-2.207
192.0,leo1,1.837,0.480
192.0,leo2,6.155,-2.486
194.0,leo1,1.317,0.480
194.0,leo2,6.130,-3.005
196.0,leo1,0.797,0.472
196.0,leo2,6.100,-3.421
198.0,leo1,0.377,0.579
198.0,leo2,6.082,-3.480
200.0,leo1,0.148,0.871
200.0,leo2,6.082,-3.480
202.0,leo1,0.073,1.343
202.0,leo2,6.011,-3.642
204.0,leo1,0.070,1.873
204.0,leo2,5.676,-4.019
206.0,leo1,0.069,2.393
206.0,leo2,5.317,-4.406
208.0,leo1,0.069,2.913
208.0,leo2,4.955,-4.779
210.0,leo1,0.049,3.210
210.0,leo2,4.595,-5.150
212.0,leo1,-0.151,3.395
212.0,leo2,4.388,-5.367
214.0,leo1,-0.598,3.662
214.0,leo2,4.320,-5.491
216.0,leo1,-1.031,3.952
216.0,leo2,4.349,-5.956
218.0,leo1,-1.452,4.258
218.0,leo2,4.406,-6.326
220.0,leo1,-1.863,4.577
220.0,leo2,4.409,-6.340
222.0,leo1,-2.217,4.950
222.0,leo2,4.409,-6.340
224.0,leo1,-2.364,5.197
224.0,leo2,4.409,-6.340
226.0,leo1,-2.365,5.193
226.0,leo2,4.429,-6.341
228.0,leo1,-2.365,5.112
228.0,leo2,4.428,-6.289
230.0,leo1,-2.409,4.983
230.0,leo2,4.505,-6.202
232.0,leo1,-2.425,4.468
232.0,leo2,4.651,-5.918
