t,robot,x,y
62.0,leo1,0.967,-0.000
62.0,leo2,17.462,-0.000
64.0,leo1,0.967,-0.000
64.0,leo2,17.462,-0.000
66.0,leo1,0.967,0.019
66.0,leo2,17.462,0.020
68.0,leo1,0.904,0.018
68.0,leo2,17.400,0.019
70.0,leo1,0.795,0.069
70.0,leo2,17.295,0.067
72.0,leo1,0.367,0.094
72.0,leo2,16.870,0.111
74.0,leo1,-0.173,0.103
74.0,leo2,16.363,0.172
76.0,leo1,-0.713,0.105
76.0,leo2,15.841,0.272
78.0,leo1,-1.233,0.100
78.0,leo2,15.678,0.271
80.0,leo1,-1.743,0.094
80.0,leo2,15.437,0.009
82.0,leo1,-2.200,0.078
82.0,leo2,15.074,-0.146
84.0,leo1,-2.688,0.104
84.0,leo2,14.554,-0.171
86.0,leo1,-3.192,0.106
86.0,leo2,14.123,-0.193
88.0,leo1,-3.408,0.077
88.0,leo2,14.047,-0.211
90.0,leo1,-3.409,0.054
90.0,leo2,14.047,-0.211
92.0,leo1,-3.367,0.056
92.0,leo2,14.047,-0.211
94.0,leo1,-3.262,0.010
94.0,leo2,14.047,-0.233
96.0,leo1,-3.246,0.010
96.0,leo2,13.973,-0.397
98.0,leo1,-3.247,0.010
98.0,leo2,13.970,-0.898
100.0,leo1,-3.247,0.010
100.0,leo2,13.884,-1.411
102.0,leo1,-3.261,-0.023
102.0,leo2,13.632,-1.841
104.0,leo1,-3.302,-0.114
104.0,leo2,13.242,-2.163
106.0,leo1,-3.342,-0.206
106.0,leo2,13.061,-2.298
108.0,leo1,-3.364,-0.266
108.0,leo2,13.061,-2.298
110.0,leo1,-3.297,-0.218
110.0,leo2,12.988,-2.438
112.0,leo1,-3.314,-0.218
112.0,leo2,12.820,-2.928
114.0,leo1,-3.374,-0.173
114.0,leo2,12.632,-3.414
116.0,leo1,-3.733,-0.146
116.0,leo2,12.423,-3.893
118.0,leo1,-4.253,-0.151
118.0,leo2,12.170,-4.354
120.0,leo1,-4.763,-0.160
120.0,leo2,12.015,-4.610
122.0,leo1,-5.282,-0.169
122.0,leo2,12.041,-4.610
124.0,leo1,-5.802,-0.172
124.0,leo2,12.081,-4.606
126.0,leo1,-6.322,-0.161
126.0,leo2,12.379,-4.581
128.0,leo1,-6.842,-0.158
128.0,leo2,12.865,-4.439
130.0,leo1,-7.352,-0.163
130.0,leo2,12.854,-4.438
132.0,leo1,-7.872,-0.160
132.0,leo2,12.854,-4.438
134.0,leo1,-8.392,-0.157
134.0,leo2,12.854,-4.438
136.0,leo1,-8.912,-0.134
136.0,leo2,12.871,-4.438
138.0,leo1,-9.186,-0.084
138.0,leo2,13.017,-4.309
140.0,leo1,-9.170,-0.076
140.0,leo2,13.481,-4.132
142.0,leo1,-9.084,-0.058
142.0,leo2,13.959,-3.922
144.0,leo1,-8.810,0.002
144.0,leo2,14.419,-3.676
146.0,leo1,-8.290,-0.006
