t,robot,x,y
54.0,leo1,0.926,-0.000
54.0,leo2,4.435,-0.000
56.0,leo1,0.926,-0.000
56.0,leo2,4.435,-0.000
58.0,leo1,0.926,-0.000
58.0,leo2,4.435,-0.000
60.0,leo1,0.926,-0.000
60.0,leo2,4.435,-0.000
62.0,leo1,0.926,0.021
62.0,leo2,4.437,-0.021
64.0,leo1,0.867,0.019
64.0,leo2,4.381,-0.021
66.0,leo1,0.767,0.064
66.0,leo2,4.275,-0.074
68.0,leo1,0.358,0.067
68.0,leo2,3.877,-0.085
70.0,leo1,-0.152,0.057
70.0,leo2,3.347,-0.078
72.0,leo1,-0.682,0.054
72.0,leo2,2.847,-0.072
74.0,leo1,-1.197,0.086
74.0,leo2,2.327,-0.068
76.0,leo1,-1.489,0.083
76.0,leo2,1.787,-0.073
78.0,leo1,-1.871,0.073
78.0,leo2,1.267,-0.074
80.0,leo1,-2.391,0.063
80.0,leo2,0.767,-0.074
82.0,leo1,-2.890,0.069
82.0,leo2,0.257,-0.063
84.0,leo1,-3.410,0.071
84.0,leo2,0.015,-0.038
86.0,leo1,-3.930,0.090
86.0,leo2,0.014,-0.014
88.0,leo1,-4.290,0.108
88.0,leo2,0.063,-0.014
90.0,leo1,-4.694,0.045
90.0,leo2,0.170,0.037
92.0,leo1,-5.209,-0.037
92.0,leo2,0.567,0.039
94.0,leo1,-5.601,-0.088
94.0,leo2,1.076,0.029
96.0,leo1,-6.121,-0.098
96.0,leo2,1.596,0.027
98.0,leo1,-6.660,-0.140
98.0,leo2,2.136,0.026
100.0,leo1,-7.174,-0.219
100.0,leo2,2.646,0.026
102.0,leo1,-7.691,-0.269
102.0,leo2,3.166,0.026
104.0,leo1,-8.150,-0.294
104.0,leo2,3.686,0.026
106.0,leo1,-8.234,-0.266
106.0,leo2,4.206,0.026
108.0,leo1,-8.208,-0.264
108.0,leo2,4.716,0.026
110.0,leo1,-8.126,-0.242
110.0,leo2,5.236,0.026
112.0,leo1,-7.833,-0.204
112.0,leo2,5.766,0.025
114.0,leo1,-7.293,-0.221
114.0,leo2,6.286,0.023
116.0,leo1,-6.773,-0.225
116.0,leo2,6.826,0.020
118.0,leo1,-6.253,-0.233
118.0,leo2,7.326,0.022
120.0,leo1,-5.733,-0.228
120.0,leo2,7.846,0.022
122.0,leo1,-5.213,-0.226
122.0,leo2,8.366,0.041
124.0,leo1,-4.693,-0.226
124.0,leo2,8.886,0.041
126.0,leo1,-4.173,-0.226
126.0,leo2,9.406,0.036
128.0,leo1,-3.653,-0.226
128.0,leo2,9.924,0.013
130.0,leo1,-3.133,-0.226
130.0,leo2,10.209,-0.032
132.0,leo1,-2.623,-0.226
132.0,leo2,10.209,-0.032
