t,robot,x,y
98.0,leo1,1.407,-0.000
98.0,leo2,4.990,-0.000
100.0,leo1,1.407,-0.000
100.0,leo2,4.990,-0.000
102.0,leo1,1.408,0.026
102.0,leo2,5.425,-0.015
104.0,leo1,1.358,0.025
104.0,leo2,5.945,-0.047
106.0,leo1,1.271,0.056
106.0,leo2,6.463,-0.084
108.0,leo1,0.926,0.067
108.0,leo2,6.928,-0.112
110.0,leo1,0.416,0.055
110.0,leo2,7.044,-0.139
112.0,leo1,-0.104,0.052
112.0,leo2,7.044,-0.139
114.0,leo1,-0.634,0.051
114.0,leo2,7.462,-0.152
116.0,leo1,-1.174,0.051
116.0,leo2,7.847,-0.137
118.0,leo1,-1.627,0.051
118.0,leo2,7.840,-0.133
120.0,leo1,-1.732,0.046
120.0,leo2,7.840,-0.133
122.0,leo1,-2.117,0.035
122.0,leo2,7.840,-0.133
124.0,leo1,-2.636,0.031
124.0,leo2,7.858,-0.132
126.0,leo1,-3.096,0.036
126.0,leo2,8.020,-0.052
128.0,leo1,-3.232,0.035
128.0,leo2,8.507,0.008
130.0,leo1,-3.232,0.035
130.0,leo2,9.018,0.117
132.0,leo1,-3.232,0.035
132.0,leo2,9.520,0.252
134.0,leo1,-3.232,0.010
134.0,leo2,10.020,0.320
136.0,leo1,-3.196,0.011
136.0,leo2,10.237,0.376
138.0,leo1,-3.104,-0.021
138.0,leo2,10.237,0.392
140.0,leo1,-2.755,-0.048
140.0,leo2,10.170,0.391
142.0,leo1,-2.244,-0.036
142.0,leo2,10.076,0.433
144.0,leo1,-1.725,-0.033
144.0,leo2,9.682,0.434
146.0,leo1,-1.205,-0.032
146.0,leo2,9.162,0.424
148.0,leo1,-0.685,-0.032
148.0,leo2,8.642,0.421
150.0,leo1,-0.165,-0.032
150.0,leo2,8.132,0.420
152.0,leo1,0.355,-0.032
152.0,leo2,7.612,0.418
154.0,leo1,0.657,-0.030
154.0,leo2,7.459,0.417
156.0,leo1,0.650,-0.027
156.0,leo2,7.559,0.417
