t,robot,x,y
40.0,leo1,0.778,-0.000
40.0,leo2,3.182,-0.000
42.0,leo1,0.778,-0.000
42.0,leo2,3.182,-0.000
44.0,leo1,0.778,-0.000
44.0,leo2,3.182,-0.000
46.0,leo1,0.778,0.025
46.0,leo2,3.144,-0.002
48.0,leo1,0.744,0.077
48.0,leo2,3.107,0.011
50.0,leo1,0.680,0.201
50.0,leo2,3.091,0.010
52.0,leo1,0.680,0.201
52.0,leo2,2.992,0.033
54.0,leo1,0.680,0.201
54.0,leo2,2.818,0.190
56.0,leo1,0.680,0.201
56.0,leo2,2.776,0.219
58.0,leo1,0.680,0.201
58.0,leo2,2.776,0.219
60.0,leo1,0.680,0.201
60.0,leo2,2.776,0.219
62.0,leo1,0.780,-0.154
62.0,leo2,2.776,0.219
64.0,leo1,0.889,-0.529
64.0,leo2,2.776,0.219
66.0,leo1,0.802,-0.177
66.0,leo2,3.085,0.029
68.0,leo1,0.685,0.182
68.0,leo2,3.132,-0.107
70.0,leo1,0.677,0.197
70.0,leo2,3.132,-0.169
72.0,leo1,0.677,0.197
72.0,leo2,3.132,-0.169
74.0,leo1,0.667,0.194
74.0,leo2,3.132,-0.169
76.0,leo1,0.460,0.169
76.0,leo2,3.132,-0.169
78.0,leo1,-0.025,0.001
78.0,leo2,3.104,-0.181
80.0,leo1,-0.487,-0.243
80.0,leo2,3.098,-0.190
82.0,leo1,-0.935,-0.520
82.0,leo2,3.098,-0.168
84.0,leo1,-1.303,-0.758
84.0,leo2,3.098,-0.168
86.0,leo1,-1.366,-0.804
86.0,leo2,3.098,-0.168
88.0,leo1,-1.366,-0.804
88.0,leo2,3.098,-0.168
90.0,leo1,-1.373,-0.824
90.0,leo2,3.100,0.065
92.0,leo1,-1.362,-1.202
92.0,leo2,3.100,0.315
94.0,leo1,-1.290,-1.717
94.0,leo2,3.100,0.436
96.0,leo1,-1.261,-2.236
96.0,leo2,3.100,0.436
98.0,leo1,-1.197,-2.684
98.0,leo2,3.084,0.435
100.0,leo1,-1.172,-2.785
100.0,leo2,2.998,0.435
102.0,leo1,-1.172,-2.785
102.0,leo2,2.825,0.498
104.0,leo1,-1.172,-2.785
104.0,leo2,2.333,0.555
106.0,leo1,-1.056,-3.245
106.0,leo2,2.051,0.634
108.0,leo1,-0.898,-3.742
108.0,leo2,2.051,0.634
110.0,leo1,-0.734,-4.236
110.0,leo2,2.020,0.593
112.0,leo1,-0.548,-4.724
112.0,leo2,1.866,0.418
