t,robot,x,y
40.0,leo1,0.743,-0.000
40.0,leo2,3.182,-0.000
42.0,leo1,0.743,-0.000
42.0,leo2,3.182,-0.000
44.0,leo1,0.743,-0.000
44.0,leo2,3.182,-0.000
46.0,leo1,0.744,0.029
46.0,leo2,3.157,-0.003
48.0,leo1,0.721,0.081
48.0,leo2,3.112,-0.004
50.0,leo1,0.667,0.192
50.0,leo2,3.096,-0.004
52.0,leo1,0.667,0.192
52.0,leo2,3.006,-0.000
54.0,leo1,0.667,0.192
54.0,leo2,2.852,0.161
56.0,leo1,0.667,0.192
56.0,leo2,2.773,0.219
58.0,leo1,0.667,0.192
58.0,leo2,2.773,0.219
60.0,leo1,0.667,0.192
60.0,leo2,2.773,0.219
62.0,leo1,0.744,-0.164
62.0,leo2,2.773,0.219
64.0,leo1,0.826,-0.555
64.0,leo2,2.773,0.219
66.0,leo1,0.860,-0.717
66.0,leo2,3.079,0.020
68.0,leo1,0.860,-0.717
68.0,leo2,3.110,-0.196
70.0,leo1,0.839,-0.715
70.0,leo2,3.110,-0.296
72.0,leo1,0.586,-0.653
72.0,leo2,3.110,-0.296
74.0,leo1,0.067,-0.673
74.0,leo2,3.110,-0.296
76.0,leo1,-0.327,-0.712
76.0,leo2,3.110,-0.296
78.0,leo1,-0.357,-0.722
78.0,leo2,3.103,-0.310
80.0,leo1,-0.357,-0.722
80.0,leo2,3.098,-0.320
82.0,leo1,-0.358,-0.747
82.0,leo2,3.098,-0.300
84.0,leo1,-0.433,-0.930
84.0,leo2,3.098,-0.300
86.0,leo1,-0.468,-1.441
86.0,leo2,3.098,-0.300
88.0,leo1,-0.544,-1.936
88.0,leo2,3.098,-0.300
90.0,leo1,-0.598,-2.132
90.0,leo2,3.105,-0.091
92.0,leo1,-0.598,-2.132
92.0,leo2,3.105,0.125
94.0,leo1,-0.765,-2.474
94.0,leo2,3.105,0.227
96.0,leo1,-1.095,-2.882
96.0,leo2,3.105,0.227
98.0,leo1,-1.284,-3.105
98.0,leo2,3.105,0.227
100.0,leo1,-1.284,-3.105
100.0,leo2,3.105,0.227
102.0,leo1,-1.425,-3.380
102.0,leo2,2.824,0.039
104.0,leo1,-1.655,-3.845
104.0,leo2,2.498,-0.179
106.0,leo1,-1.795,-4.080
106.0,leo2,2.502,-0.154
108.0,leo1,-1.795,-4.080
108.0,leo2,2.525,0.013
110.0,leo1,-1.848,-4.109
110.0,leo2,2.528,0.062
112.0,leo1,-2.159,-4.106
112.0,leo2,2.528,0.062
114.0,leo1,-2.664,-3.979
114.0,leo2,2.496,0.062
116.0,leo1,-3.175,-3.887
116.0,leo2,2.337,0.134
118.0,leo1,-3.694,-3.848
118.0,leo2,1.865,0.169
120.0,leo1,-4.211,-3.783
120.0,leo2,1.692,0.203
122.0,leo1,-4.721,-3.669
122.0,leo2,1.636,0.154
124.0,leo1,-5.161,-3.518
124.0,leo2,1.469,-0.103
126.0,leo1,-5.264,-3.473
126.0,leo2,1.234,-0.568
128.0,leo1,-5.264,-3.473
128.0,leo2,0.972,-1.014
130.0,leo1,-5.264,-3.462
130.0,leo2,0.818,-1.218
132.0,leo1,-5.177,-3.463
132.0,leo2,0.818,-1.218
134.0,leo1,-5.063,-3.400
134.0,leo2,0.763,-1.381
136.0,leo1,-4.622,-3.403
136.0,leo2,0.693,-1.888
138.0,leo1,-4.102,-3.407
138.0,leo2,0.585,-2.311
140.0,leo1,-3.582,-3.412
140.0,leo2,0.556,-2.378
142.0,leo1,-3.062,-3.417
142.0,leo2,0.356,-2.751
144.0,leo1,-2.542,-3.417
144.0,leo2,0.038,-3.163
146.0,leo1,-2.100,-3.435
146.0,leo2,-0.210,-3.495
148.0,leo1,-2.308,-3.517
148.0,leo2,-0.427,-3.671
150.0,leo1,-2.391,-3.570
150.0,leo2,-0.535,-3.722
152.0,leo1,-2.362,-3.592
152.0,leo2,-0.496,-3.716
154.0,leo1,-2.407,-3.618
154.0,leo2,-0.558,-3.768
156.0,leo1,-2.512,-3.631
156.0,leo2,-0.704,-3.818
158.0,leo1,-2.562,-3.641
158.0,leo2,-0.763,-3.806
160.0,leo1,-2.573,-3.643
160.0,leo2,-0.771,-3.804
162.0,leo1,-2.582,-3.643
162.0,leo2,-0.780,-3.803
164.0,leo1,-2.560,-3.644
164.0,leo2,-0.757,-3.803
166.0,leo1,-2.556,-3.644
166.0,leo2,-0.753,-3.803
168.0,leo1,-2.510,-3.644
168.0,leo2,-0.713,-3.803
170.0,leo1,-2.452,-3.644
170.0,leo2,-0.622,-3.803
172.0,leo1,-2.908,-3.643
172.0,leo2,-1.085,-3.804
174.0,leo1,-3.025,-3.642
174.0,leo2,-1.223,-3.805
176.0,leo1,-2.902,-3.643
176.0,leo2,-1.110,-3.804
178.0,leo1,-2.958,-3.642
178.0,leo2,-1.148,-3.804
180.0,leo1,-3.263,-3.641
180.0,leo2,-1.477,-3.806
182.0,leo1,-3.498,-3.640
182.0,leo2,-1.695,-3.806
184.0,leo1,-3.358,-3.641
184.0,leo2,-1.556,-3.806
186.0,leo1,-3.236,-3.641
186.0,leo2,-1.408,-3.805
188.0,leo1,-3.430,-3.641
188.0,leo2,-1.625,-3.806
190.0,leo1,-3.647,-3.640
190.0,leo2,-1.825,-3.807
192.0,leo1,-3.685,-3.640
192.0,leo2,-1.857,-3.807
194.0,leo1,-3.766,-3.640
194.0,leo2,-1.962,-3.807
196.0,leo1,-3.807,-3.639
196.0,leo2,-2.002,-3.807
198.0,leo1,-3.847,-3.639
198.0,leo2,-2.042,-3.807
200.0,leo1,-3.887,-3.639
200.0,leo2,-2.083,-3.808
202.0,leo1,-3.929,-3.639
202.0,leo2,-2.125,-3.808
204.0,leo1,-3.971,-3.639
204.0,leo2,-2.166,-3.808
206.0,leo1,-4.014,-3.639
206.0,leo2,-2.209,-3.808
208.0,leo1,-4.056,-3.639
208.0,leo2,-2.252,-3.808
210.0,leo1,-4.097,-3.638
210.0,leo2,-2.292,-3.808
212.0,leo1,-4.139,-3.638
212.0,leo2,-2.334,-3.809
214.0,leo1,-4.180,-3.638
214.0,leo2,-2.375,-3.809
216.0,leo1,-4.223,-3.638
216.0,leo2,-2.417,-3.809
218.0,leo1,-4.249,-3.627
218.0,leo2,-2.431,-3.862
220.0,leo1,-4.192,-3.574
220.0,leo2,-2.412,-3.882
222.0,leo1,-4.081,-3.430
222.0,leo2,-2.337,-3.840
224.0,leo1,-3.858,-3.165
224.0,leo2,-2.166,-3.607
226.0,leo1,-3.506,-2.782
226.0,leo2,-1.827,-3.219
228.0,leo1,-3.172,-2.414
228.0,leo2,-1.492,-2.848
230.0,leo1,-2.838,-2.062
230.0,leo2,-1.186,-2.513
232.0,leo1,-2.546,-1.795
232.0,leo2,-0.891,-2.235
234.0,leo1,-2.426,-1.667
234.0,leo2,-0.637,-1.987
236.0,leo1,-2.402,-1.578
