t,robot,x,y
40.0,leo1,0.811,-0.000
40.0,leo2,4.143,-0.000
42.0,leo1,0.811,-0.000
42.0,leo2,4.143,-0.000
44.0,leo1,0.811,-0.000
44.0,leo2,4.143,-0.000
46.0,leo1,0.812,-0.033
46.0,leo2,4.144,-0.033
48.0,leo1,0.772,-0.032
48.0,leo2,4.105,-0.032
50.0,leo1,0.633,-0.168
50.0,leo2,3.999,-0.083
52.0,leo1,0.416,-0.329
52.0,leo2,3.708,-0.137
54.0,leo1,0.378,-0.351
54.0,leo2,3.179,-0.157
56.0,leo1,0.378,-0.351
56.0,leo2,2.828,-0.194
58.0,leo1,0.378,-0.351
58.0,leo2,2.829,-0.193
60.0,leo1,0.378,-0.351
60.0,leo2,2.765,-0.224
62.0,leo1,0.378,-0.351
62.0,leo2,2.469,-0.285
64.0,leo1,0.284,-0.351
64.0,leo2,2.239,-0.307
66.0,leo1,0.277,-0.351
66.0,leo2,2.170,-0.353
68.0,leo1,0.277,-0.351
68.0,leo2,2.096,-0.394
70.0,leo1,0.273,-0.351
70.0,leo2,2.098,-0.398
72.0,leo1,0.273,-0.351
72.0,leo2,2.098,-0.399
74.0,leo1,0.273,-0.351
74.0,leo2,2.099,-0.399
76.0,leo1,0.273,-0.351
76.0,leo2,2.099,-0.399
78.0,leo1,0.273,-0.351
78.0,leo2,2.099,-0.399
80.0,leo1,0.273,-0.351
80.0,leo2,2.099,-0.399
82.0,leo1,0.273,-0.351
82.0,leo2,2.099,-0.399
84.0,leo1,0.273,-0.351
84.0,leo2,2.099,-0.399
86.0,leo1,0.273,-0.351
86.0,leo2,2.099,-0.399
88.0,leo1,0.273,-0.351
88.0,leo2,2.099,-0.399
90.0,leo1,0.273,-0.351
90.0,leo2,2.129,-0.382
92.0,leo1,0.273,-0.351
92.0,leo2,2.156,-0.306
94.0,leo1,0.272,-0.351
94.0,leo2,2.170,-0.257
96.0,leo1,0.272,-0.352
96.0,leo2,2.173,-0.220
98.0,leo1,0.272,-0.352
98.0,leo2,2.174,-0.179
100.0,leo1,0.272,-0.352
100.0,leo2,2.192,-0.137
102.0,leo1,0.272,-0.352
102.0,leo2,2.208,-0.144
104.0,leo1,0.272,-0.352
104.0,leo2,2.481,-0.210
106.0,leo1,0.272,-0.352
106.0,leo2,2.679,-0.179
108.0,leo1,0.272,-0.352
108.0,leo2,2.664,-0.171
110.0,leo1,0.272,-0.352
110.0,leo2,2.582,-0.171
112.0,leo1,0.272,-0.352
112.0,leo2,2.377,-0.096
114.0,leo1,0.199,-0.350
114.0,leo2,2.003,-0.060
116.0,leo1,0.199,-0.350
116.0,leo2,2.003,-0.060
118.0,leo1,0.199,-0.350
118.0,leo2,2.003,-0.060
120.0,leo1,0.199,-0.350
120.0,leo2,2.076,-0.064
122.0,leo1,0.199,-0.350
122.0,leo2,2.176,-0.070
124.0,leo1,0.199,-0.350
124.0,leo2,2.277,-0.075
126.0,leo1,0.199,-0.350
126.0,leo2,2.309,-0.083
128.0,leo1,0.199,-0.350
128.0,leo2,2.316,-0.082
130.0,leo1,0.199,-0.350
130.0,leo2,2.316,-0.082
132.0,leo1,0.199,-0.350
132.0,leo2,2.316,-0.082
134.0,leo1,0.199,-0.350
134.0,leo2,2.316,-0.082
136.0,leo1,0.199,-0.350
136.0,leo2,2.316,-0.082
138.0,leo1,0.199,-0.350
138.0,leo2,2.316,-0.082
140.0,leo1,0.199,-0.350
140.0,leo2,2.316,-0.082
142.0,leo1,0.199,-0.350
142.0,leo2,2.316,-0.082
144.0,leo1,0.199,-0.350
144.0,leo2,2.316,-0.082
146.0,leo1,0.199,-0.350
146.0,leo2,2.316,-0.082
148.0,leo1,0.199,-0.350
148.0,leo2,2.316,-0.082
150.0,leo1,0.199,-0.350
150.0,leo2,2.316,-0.082
152.0,leo1,0.199,-0.350
152.0,leo2,2.316,-0.082
154.0,leo1,0.199,-0.350
154.0,leo2,2.316,-0.082
156.0,leo1,0.199,-0.350
156.0,leo2,2.316,-0.082
158.0,leo1,0.199,-0.350
158.0,leo2,2.316,-0.082
160.0,leo1,0.199,-0.350
160.0,leo2,2.316,-0.082
162.0,leo1,0.199,-0.350
162.0,leo2,2.316,-0.082
164.0,leo1,0.199,-0.350
164.0,leo2,2.316,-0.082
