t,robot,x,y
42.0,leo1,0.815,-0.000
42.0,leo2,4.174,-0.000
44.0,leo1,0.815,-0.000
44.0,leo2,4.174,-0.000
46.0,leo1,0.816,-0.033
46.0,leo2,4.605,0.016
48.0,leo1,0.776,-0.033
48.0,leo2,5.099,0.022
50.0,leo1,0.639,-0.158
50.0,leo2,5.339,0.018
52.0,leo1,0.411,-0.326
52.0,leo2,5.339,0.018
54.0,leo1,0.387,-0.340
54.0,leo2,5.767,0.006
56.0,leo1,0.387,-0.340
56.0,leo2,6.285,-0.019
58.0,leo1,0.387,-0.340
58.0,leo2,6.793,-0.080
60.0,leo1,0.387,-0.340
60.0,leo2,7.018,-0.084
62.0,leo1,0.387,-0.340
62.0,leo2,7.019,-0.052
64.0,leo1,0.387,-0.340
64.0,leo2,6.985,-0.052
66.0,leo1,0.701,-0.151
66.0,leo2,6.897,-0.034
68.0,leo1,1.034,0.056
68.0,leo2,6.596,0.018
70.0,leo1,1.174,0.140
70.0,leo2,6.076,0.018
72.0,leo1,1.174,0.140
72.0,leo2,5.556,0.018
74.0,leo1,1.174,0.140
74.0,leo2,5.046,0.018
76.0,leo1,1.174,0.140
76.0,leo2,4.526,0.018
78.0,leo1,1.182,0.137
78.0,leo2,3.996,0.018
80.0,leo1,1.275,0.137
80.0,leo2,3.476,0.018
82.0,leo1,1.299,0.088
82.0,leo2,3.218,0.040
84.0,leo1,1.377,0.038
84.0,leo2,3.269,0.101
86.0,leo1,1.873,0.001
86.0,leo2,3.772,0.101
88.0,leo1,2.080,-0.018
88.0,leo2,4.097,0.127
90.0,leo1,2.519,-0.005
90.0,leo2,4.340,0.106
92.0,leo1,2.669,0.027
92.0,leo2,4.511,0.109
94.0,leo1,2.672,0.034
94.0,leo2,4.518,0.073
96.0,leo1,2.684,0.038
96.0,leo2,4.530,0.025
98.0,leo1,2.659,0.028
98.0,leo2,4.488,-0.082
100.0,leo1,2.335,0.009
100.0,leo2,4.139,-0.167
102.0,leo1,2.514,0.002
102.0,leo2,4.263,-0.160
104.0,leo1,2.915,-0.006
104.0,leo2,4.672,-0.155
106.0,leo1,3.340,-0.012
106.0,leo2,5.093,-0.151
108.0,leo1,3.653,-0.016
108.0,leo2,5.416,-0.147
110.0,leo1,3.659,-0.018
110.0,leo2,5.428,-0.145
112.0,leo1,3.629,-0.018
112.0,leo2,5.398,-0.145
114.0,leo1,3.627,-0.018
114.0,leo2,5.397,-0.145
116.0,leo1,3.878,-0.018
116.0,leo2,5.619,-0.145
118.0,leo1,4.313,-0.018
118.0,leo2,6.063,-0.155
120.0,leo1,4.339,-0.018
120.0,leo2,6.119,-0.155
122.0,leo1,4.467,-0.018
122.0,leo2,6.217,-0.155
124.0,leo1,4.654,-0.018
124.0,leo2,6.405,-0.155
126.0,leo1,5.149,-0.018
126.0,leo2,6.889,-0.145
128.0,leo1,5.645,-0.018
128.0,leo2,7.385,-0.144
130.0,leo1,6.058,-0.018
130.0,leo2,7.801,-0.144
132.0,leo1,6.388,-0.018
132.0,leo2,8.147,-0.144
134.0,leo1,6.343,-0.018
134.0,leo2,8.083,-0.144
136.0,leo1,6.399,-0.018
136.0,leo2,8.150,-0.144
138.0,leo1,6.441,-0.018
138.0,leo2,8.226,-0.144
140.0,leo1,6.584,-0.018
140.0,leo2,8.343,-0.144
142.0,leo1,6.857,-0.018
142.0,leo2,8.607,-0.144
144.0,leo1,6.888,-0.018
144.0,leo2,8.648,-0.144
146.0,leo1,6.896,-0.018
146.0,leo2,8.674,-0.144
148.0,leo1,6.893,-0.018
148.0,leo2,8.652,-0.144
150.0,leo1,6.919,-0.018
150.0,leo2,8.701,-0.145
152.0,leo1,6.811,-0.018
152.0,leo2,8.553,-0.145
154.0,leo1,6.748,-0.018
154.0,leo2,8.521,-0.145
156.0,leo1,6.594,-0.018
156.0,leo2,8.357,-0.145
158.0,leo1,6.661,-0.018
158.0,leo2,8.394,-0.145
160.0,leo1,7.037,-0.018
160.0,leo2,8.773,-0.145
162.0,leo1,7.246,-0.018
162.0,leo2,8.982,-0.145
164.0,leo1,7.159,-0.018
164.0,leo2,8.920,-0.145
166.0,leo1,7.174,-0.018
166.0,leo2,8.924,-0.144
168.0,leo1,7.334,-0.018
168.0,leo2,9.064,-0.144
170.0,leo1,7.441,-0.018
170.0,leo2,9.198,-0.144
172.0,leo1,7.443,-0.018
172.0,leo2,9.227,-0.144
174.0,leo1,7.439,-0.018
174.0,leo2,9.190,-0.144
176.0,leo1,7.574,-0.018
176.0,leo2,9.342,-0.144
178.0,leo1,7.532,-0.018
178.0,leo2,9.317,-0.144
180.0,leo1,7.508,-0.018
180.0,leo2,9.248,-0.144
182.0,leo1,7.670,-0.018
182.0,leo2,9.456,-0.143
184.0,leo1,7.653,-0.018
184.0,leo2,9.435,-0.143
186.0,leo1,7.585,-0.018
186.0,leo2,9.330,-0.144
188.0,leo1,7.671,-0.018
188.0,leo2,9.411,-0.143
190.0,leo1,7.872,-0.018
190.0,leo2,9.665,-0.143
192.0,leo1,7.924,-0.018
192.0,leo2,9.701,-0.142
194.0,leo1,7.967,-0.018
194.0,leo2,9.746,-0.142
196.0,leo1,7.967,-0.018
196.0,leo2,9.746,-0.142
198.0,leo1,7.817,-0.018
198.0,leo2,9.576,-0.143
200.0,leo1,7.587,-0.019
200.0,leo2,9.390,-0.144
202.0,leo1,7.530,-0.019
202.0,leo2,9.309,-0.144
204.0,leo1,7.530,-0.019
204.0,leo2,9.309,-0.144
206.0,leo1,7.530,-0.019
206.0,leo2,9.309,-0.144
208.0,leo1,7.627,-0.019
208.0,leo2,9.427,-0.143
210.0,leo1,7.687,-0.019
210.0,leo2,9.466,-0.143
212.0,leo1,7.681,-0.019
212.0,leo2,9.460,-0.143
214.0,leo1,7.878,-0.018
214.0,leo2,9.636,-0.143
216.0,leo1,8.037,-0.017
216.0,leo2,9.811,-0.142
218.0,leo1,8.009,-0.018
218.0,leo2,9.800,-0.142
220.0,leo1,7.981,-0.018
220.0,leo2,9.756,-0.142
222.0,leo1,7.993,-0.018
222.0,leo2,9.776,-0.142
224.0,leo1,8.120,-0.017
224.0,leo2,9.877,-0.142
226.0,leo1,8.032,-0.017
226.0,leo2,9.815,-0.142
228.0,leo1,8.006,-0.018
228.0,leo2,9.786,-0.142
230.0,leo1,8.017,-0.017
230.0,leo2,9.796,-0.142
232.0,leo1,8.019,-0.017
232.0,leo2,9.798,-0.142
234.0,leo1,8.019,-0.017
234.0,leo2,9.798,-0.142
236.0,leo1,8.009,-0.018
236.0,leo2,9.796,-0.142
238.0,leo1,8.157,-0.017
238.0,leo2,9.954,-0.142
240.0,leo1,8.212,-0.017
240.0,leo2,9.981,-0.142
242.0,leo1,8.312,-0.016
242.0,leo2,10.066,-0.141
244.0,leo1,8.477,-0.016
244.0,leo2,10.235,-0.141
246.0,leo1,8.645,-0.015
246.0,leo2,10.388,-0.140
248.0,leo1,8.529,-0.015
248.0,leo2,10.316,-0.140
250.0,leo1,8.603,-0.015
250.0,leo2,10.344,-0.140
252.0,leo1,8.652,-0.015
252.0,leo2,10.382,-0.140
254.0,leo1,8.594,-0.015
254.0,leo2,10.355,-0.140
256.0,leo1,8.535,-0.015
256.0,leo2,10.304,-0.140
258.0,leo1,8.485,-0.015
258.0,leo2,10.247,-0.141
260.0,leo1,8.430,-0.015
260.0,leo2,10.192,-0.141
262.0,leo1,8.366,-0.013
262.0,leo2,10.124,-0.141
264.0,leo1,8.309,-0.012
264.0,leo2,10.068,-0.140
266.0,leo1,8.224,-0.012
266.0,leo2,9.983,-0.139
268.0,leo1,8.159,-0.011
268.0,leo2,9.918,-0.138
270.0,leo1,8.148,0.073
270.0,leo2,9.909,-0.139
272.0,leo1,8.158,0.098
272.0,leo2,9.909,-0.139
274.0,leo1,8.162,0.130
274.0,leo2,9.873,-0.149
276.0,leo1,8.228,0.179
276.0,leo2,9.824,-0.173
278.0,leo1,8.299,0.218
278.0,leo2,9.774,-0.181
280.0,leo1,8.350,0.208
280.0,leo2,9.715,-0.181
282.0,leo1,8.337,0.159
282.0,leo2,9.607,-0.145
284.0,leo1,8.303,0.162
284.0,leo2,9.459,0.087
286.0,leo1,8.096,0.238
286.0,leo2,9.248,0.210
288.0,leo1,7.974,0.355
288.0,leo2,9.125,0.380
290.0,leo1,7.927,0.446
290.0,leo2,9.084,0.465
292.0,leo1,7.710,0.507
292.0,leo2,8.870,0.427
294.0,leo1,7.408,0.533
294.0,leo2,8.626,0.359
296.0,leo1,7.369,0.736
296.0,leo2,8.605,0.330
298.0,leo1,7.281,0.724
298.0,leo2,8.652,0.311
300.0,leo1,7.233,0.635
300.0,leo2,8.638,0.289
302.0,leo1,7.217,0.617
302.0,leo2,8.613,0.259
304.0,leo1,7.186,0.574
304.0,leo2,8.590,0.229
306.0,leo1,7.104,0.529
306.0,leo2,8.589,0.093
308.0,leo1,6.852,0.454
308.0,leo2,8.387,-0.054
310.0,leo1,6.333,0.453
310.0,leo2,7.997,-0.405
312.0,leo1,5.813,0.440
312.0,leo2,7.667,-0.800
314.0,leo1,5.303,0.423
314.0,leo2,7.501,-1.258
316.0,leo1,4.783,0.410
316.0,leo2,7.558,-1.760
318.0,leo1,4.263,0.406
318.0,leo2,7.640,-2.269
320.0,leo1,3.743,0.405
320.0,leo2,7.752,-2.782
322.0,leo1,3.203,0.405
322.0,leo2,7.909,-3.233
324.0,leo1,2.703,0.404
324.0,leo2,7.963,-3.353
326.0,leo1,2.183,0.403
326.0,leo2,7.928,-3.353
328.0,leo1,1.653,0.402
328.0,leo2,7.795,-3.463
330.0,leo1,1.133,0.402
330.0,leo2,7.373,-3.619
332.0,leo1,0.633,0.400
332.0,leo2,6.933,-3.895
334.0,leo1,0.113,0.399
334.0,leo2,6.529,-4.224
336.0,leo1,-0.427,0.396
336.0,leo2,6.113,-4.578
338.0,leo1,-0.947,0.399
338.0,leo2,5.738,-4.890
340.0,leo1,-1.457,0.401
340.0,leo2,5.342,-5.199
342.0,leo1,-1.977,0.401
342.0,leo2,5.184,-5.326
344.0,leo1,-2.497,0.399
344.0,leo2,5.184,-5.326
346.0,leo1,-3.017,0.401
346.0,leo2,5.185,-5.292
348.0,leo1,-3.537,0.400
348.0,leo2,5.183,-5.233
350.0,leo1,-4.067,0.398
350.0,leo2,5.206,-5.106
352.0,leo1,-4.587,0.394
352.0,leo2,5.370,-4.645
354.0,leo1,-5.107,0.389
354.0,leo2,5.626,-4.191
356.0,leo1,-5.626,0.379
356.0,leo2,5.880,-3.736
358.0,leo1,-6.135,0.336
358.0,leo2,6.160,-3.278
360.0,leo1,-6.653,0.281
360.0,leo2,6.429,-2.857
362.0,leo1,-6.909,0.238
362.0,leo2,6.726,-2.429
364.0,leo1,-6.896,0.227
364.0,leo2,7.025,-1.996
366.0,leo1,-6.807,0.227
366.0,leo2,7.324,-1.565
368.0,leo1,-6.659,0.170
368.0,leo2,7.519,-1.089
370.0,leo1,-6.158,0.150
370.0,leo2,7.767,-0.625
372.0,leo1,-5.638,0.142
372.0,leo2,8.126,-0.248
374.0,leo1,-5.118,0.140
374.0,leo2,8.525,0.095
376.0,leo1,-4.598,0.138
376.0,leo2,8.920,0.433
378.0,leo1,-4.068,0.136
378.0,leo2,9.296,0.789
380.0,leo1,-3.548,0.133
380.0,leo2,9.540,1.255
382.0,leo1,-3.038,0.131
382.0,leo2,9.726,1.741
384.0,leo1,-2.518,0.128
384.0,leo2,10.046,2.148
386.0,leo1,-1.998,0.117
386.0,leo2,10.411,2.518
388.0,leo1,-1.469,0.107
388.0,leo2,10.780,2.884
390.0,leo1,-0.949,0.104
390.0,leo2,11.141,3.258
392.0,leo1,-0.449,0.104
392.0,leo2,11.495,3.639
394.0,leo1,0.071,0.105
394.0,leo2,11.857,4.013
396.0,leo1,0.591,0.106
396.0,leo2,12.167,4.329
398.0,leo1,1.111,0.108
398.0,leo2,12.234,4.397
400.0,leo1,1.631,0.110
400.0,leo2,12.234,4.397
402.0,leo1,2.151,0.113
402.0,leo2,12.209,4.396
404.0,leo1,2.671,0.119
404.0,leo2,12.134,4.396
406.0,leo1,3.201,0.121
406.0,leo2,12.050,4.372
408.0,leo1,3.563,0.024
408.0,leo2,11.672,4.223
410.0,leo1,3.970,-0.155
410.0,leo2,11.279,3.886
412.0,leo1,4.400,-0.346
412.0,leo2,10.968,3.472
414.0,leo1,4.903,-0.395
414.0,leo2,10.636,3.153
416.0,leo1,5.411,-0.500
416.0,leo2,10.190,3.015
418.0,leo1,5.728,-0.726
418.0,leo2,9.671,3.054
420.0,leo1,5.651,-0.726
420.0,leo2,9.191,3.235
422.0,leo1,5.628,-0.717
422.0,leo2,8.965,3.518
424.0,leo1,5.510,-0.602
424.0,leo2,8.753,3.994
426.0,leo1,5.080,-0.415
426.0,leo2,8.636,4.399
428.0,leo1,4.570,-0.264
428.0,leo2,8.546,4.928
430.0,leo1,4.075,-0.107
430.0,leo2,8.437,5.416
432.0,leo1,3.646,-0.003
432.0,leo2,8.287,5.950
434.0,leo1,3.209,0.110
434.0,leo2,8.135,6.351
436.0,leo1,2.731,0.283
436.0,leo2,8.100,6.421
438.0,leo1,2.211,0.356
438.0,leo2,8.144,6.421
440.0,leo1,1.692,0.374
440.0,leo2,8.233,6.468
442.0,leo1,1.182,0.381
442.0,leo2,8.584,6.476
444.0,leo1,0.663,0.418
444.0,leo2,9.078,6.323
446.0,leo1,0.247,0.597
446.0,leo2,9.570,6.114
448.0,leo1,0.061,0.857
448.0,leo2,9.894,5.893
450.0,leo1,0.013,1.344
450.0,leo2,9.886,5.859
452.0,leo1,-0.014,1.864
452.0,leo2,9.834,5.858
454.0,leo1,-0.058,2.382
454.0,leo2,9.603,5.823
456.0,leo1,-0.114,2.899
456.0,leo2,9.259,5.824
458.0,leo1,-0.188,3.414
458.0,leo2,9.061,5.648
460.0,leo1,-0.294,3.925
460.0,leo2,8.944,5.193
462.0,leo1,-0.435,4.428
462.0,leo2,8.932,4.679
464.0,leo1,-0.611,4.870
464.0,leo2,8.929,4.138
466.0,leo1,-0.673,4.981
466.0,leo2,8.940,3.634
468.0,leo1,-0.672,4.925
468.0,leo2,8.975,3.125
470.0,leo1,-0.705,4.837
470.0,leo2,9.059,2.574
472.0,leo1,-0.743,4.484
472.0,leo2,9.162,2.094
474.0,leo1,-0.732,3.965
474.0,leo2,9.318,1.595
476.0,leo1,-0.659,3.448
476.0,leo2,9.393,1.084
478.0,leo1,-0.564,2.936
478.0,leo2,9.324,0.733
480.0,leo1,-0.441,2.429
480.0,leo2,8.980,0.394
482.0,leo1,-0.283,1.930
482.0,leo2,8.648,0.142
484.0,leo1,-0.106,1.442
484.0,leo2,8.230,-0.184
486.0,leo1,0.046,0.945
486.0,leo2,7.869,-0.551
488.0,leo1,0.264,0.579
488.0,leo2,7.654,-0.849
490.0,leo1,0.523,0.435
490.0,leo2,7.699,-0.762
492.0,leo1,0.523,0.435
492.0,leo2,7.744,-0.673
494.0,leo1,0.523,0.435
494.0,leo2,7.789,-0.583
496.0,leo1,0.806,0.402
496.0,leo2,7.638,-0.914
498.0,leo1,1.325,0.373
498.0,leo2,7.532,-1.412
500.0,leo1,1.853,0.328
500.0,leo2,7.736,-1.852
502.0,leo1,2.371,0.277
502.0,leo2,8.109,-2.212
504.0,leo1,2.877,0.217
504.0,leo2,8.511,-2.554
506.0,leo1,3.394,0.155
506.0,leo2,8.899,-2.900
508.0,leo1,3.917,0.068
508.0,leo2,9.269,-3.235
510.0,leo1,4.425,-0.051
510.0,leo2,9.661,-3.577
512.0,leo1,4.922,-0.211
512.0,leo2,10.047,-3.926
514.0,leo1,5.389,-0.433
514.0,leo2,10.421,-4.288
516.0,leo1,5.757,-0.729
516.0,leo2,10.814,-4.666
518.0,leo1,5.961,-1.102
518.0,leo2,11.163,-5.009
520.0,leo1,5.948,-1.603
520.0,leo2,11.531,-5.376
522.0,leo1,5.840,-2.113
522.0,leo2,11.905,-5.745
524.0,leo1,5.697,-2.616
524.0,leo2,12.287,-6.122
526.0,leo1,5.519,-3.106
526.0,leo2,12.301,-6.157
528.0,leo1,5.315,-3.587
528.0,leo2,12.225,-6.158
530.0,leo1,5.082,-4.055
530.0,leo2,12.168,-6.123
532.0,leo1,4.825,-4.509
532.0,leo2,11.846,-5.963
534.0,leo1,4.711,-4.685
534.0,leo2,11.421,-5.662
536.0,leo1,4.448,-4.754
536.0,leo2,11.000,-5.338
538.0,leo1,3.931,-4.813
538.0,leo2,10.605,-5.016
540.0,leo1,3.413,-4.844
540.0,leo2,10.195,-4.656
542.0,leo1,2.896,-4.914
542.0,leo2,9.845,-4.314
544.0,leo1,2.523,-5.053
544.0,leo2,9.484,-3.939
546.0,leo1,2.485,-5.033
546.0,leo2,9.092,-3.552
548.0,leo1,2.494,-5.012
548.0,leo2,8.740,-3.198
550.0,leo1,2.606,-4.918
550.0,leo2,8.412,-2.770
552.0,leo1,2.888,-4.555
552.0,leo2,8.135,-2.362
554.0,leo1,3.247,-4.178
554.0,leo2,7.851,-1.925
556.0,leo1,3.610,-3.806
556.0,leo2,7.603,-1.475
558.0,leo1,3.978,-3.438
558.0,leo2,7.413,-0.989
560.0,leo1,4.340,-3.066
560.0,leo2,7.172,-0.660
562.0,leo1,4.692,-2.683
562.0,leo2,6.774,-0.471
564.0,leo1,5.056,-2.311
564.0,leo2,6.247,-0.438
566.0,leo1,5.291,-2.080
566.0,leo2,5.728,-0.430
568.0,leo1,5.217,-2.146
568.0,leo2,5.208,-0.421
570.0,leo1,5.142,-2.213
570.0,leo2,4.688,-0.419
572.0,leo1,5.067,-2.279
572.0,leo2,4.157,-0.418
574.0,leo1,5.332,-2.044
574.0,leo2,3.653,-0.418
576.0,leo1,5.478,-1.913
576.0,leo2,3.133,-0.418
578.0,leo1,5.471,-1.913
578.0,leo2,2.618,-0.418
580.0,leo1,5.471,-1.913
580.0,leo2,2.088,-0.418
582.0,leo1,5.478,-1.921
582.0,leo2,1.558,-0.418
584.0,leo1,5.546,-1.995
584.0,leo2,1.073,-0.418
586.0,leo1,5.614,-2.068
586.0,leo2,0.553,-0.418
588.0,leo1,5.676,-2.136
588.0,leo2,0.038,-0.417
590.0,leo1,5.662,-2.025
590.0,leo2,-0.477,-0.417
592.0,leo1,5.673,-1.938
592.0,leo2,-0.997,-0.417
594.0,leo1,5.673,-1.938
594.0,leo2,-1.512,-0.416
596.0,leo1,5.673,-1.938
596.0,leo2,-2.042,-0.413
598.0,leo1,5.694,-1.937
598.0,leo2,-2.572,-0.400
600.0,leo1,5.693,-1.985
600.0,leo2,-3.087,-0.412
602.0,leo1,5.733,-2.082
602.0,leo2,-3.616,-0.451
604.0,leo1,5.765,-2.149
604.0,leo2,-4.096,-0.596
606.0,leo1,5.765,-2.163
606.0,leo2,-4.339,-0.798
608.0,leo1,5.765,-2.179
608.0,leo2,-4.395,-0.878
610.0,leo1,5.765,-2.179
610.0,leo2,-4.403,-0.867
612.0,leo1,5.745,-2.172
612.0,leo2,-4.403,-0.867
614.0,leo1,5.652,-2.135
614.0,leo2,-4.403,-0.825
616.0,leo1,5.559,-2.098
616.0,leo2,-4.384,-0.819
618.0,leo1,5.483,-2.069
618.0,leo2,-4.263,-0.724
620.0,leo1,5.544,-2.161
620.0,leo2,-4.088,-0.567
622.0,leo1,5.560,-2.196
622.0,leo2,-3.681,-0.462
624.0,leo1,5.560,-2.225
624.0,leo2,-3.181,-0.314
626.0,leo1,5.606,-2.312
626.0,leo2,-2.752,-0.215
628.0,leo1,5.617,-2.349
628.0,leo2,-2.233,-0.238
630.0,leo1,5.617,-2.349
630.0,leo2,-1.828,-0.173
632.0,leo1,5.617,-2.349
632.0,leo2,-1.362,0.040
634.0,leo1,5.631,-2.349
634.0,leo2,-0.892,0.245
636.0,leo1,5.630,-2.279
636.0,leo2,-0.389,0.388
