t,robot,x,y
40.0,leo1,0.733,-0.000
40.0,leo2,17.070,-0.000
42.0,leo1,0.733,-0.000
42.0,leo2,17.070,-0.000
44.0,leo1,0.733,-0.000
44.0,leo2,17.070,-0.000
46.0,leo1,0.734,-0.032
46.0,leo2,17.070,0.030
48.0,leo1,0.694,-0.032
48.0,leo2,17.032,0.029
50.0,leo1,0.556,-0.176
50.0,leo2,16.923,0.074
52.0,leo1,0.382,-0.338
52.0,leo2,16.614,0.123
54.0,leo1,0.382,-0.338
54.0,leo2,16.096,0.182
56.0,leo1,0.382,-0.338
56.0,leo2,15.589,0.306
58.0,leo1,0.382,-0.338
58.0,leo2,15.440,0.368
60.0,leo1,0.382,-0.338
60.0,leo2,15.485,0.372
62.0,leo1,0.675,-0.118
62.0,leo2,15.644,0.613
64.0,leo1,0.985,0.123
64.0,leo2,15.892,1.026
66.0,leo1,1.115,0.222
66.0,leo2,15.938,1.538
68.0,leo1,1.115,0.222
68.0,leo2,15.771,2.027
70.0,leo1,1.115,0.222
70.0,leo2,15.645,2.314
72.0,leo1,1.115,0.222
72.0,leo2,15.689,2.733
74.0,leo1,0.870,0.170
74.0,leo2,15.757,2.901
76.0,leo1,0.350,0.189
76.0,leo2,15.757,2.901
78.0,leo1,-0.170,0.182
78.0,leo2,15.701,2.996
80.0,leo1,-0.700,0.202
80.0,leo2,15.456,3.345
82.0,leo1,-1.053,0.261
82.0,leo2,15.125,3.746
84.0,leo1,-1.057,0.262
84.0,leo2,14.784,4.166
86.0,leo1,-1.057,0.284
86.0,leo2,14.491,4.569
88.0,leo1,-1.013,0.283
88.0,leo2,14.187,4.991
90.0,leo1,-0.874,0.393
90.0,leo2,14.184,4.978
92.0,leo1,-0.547,0.520
92.0,leo2,14.179,5.013
94.0,leo1,-0.204,0.760
94.0,leo2,14.100,5.055
96.0,leo1,-0.033,1.103
96.0,leo2,14.103,5.029
98.0,leo1,-0.016,1.622
98.0,leo2,14.201,4.987
100.0,leo1,-0.024,2.142
100.0,leo2,14.441,4.727
102.0,leo1,-0.016,2.662
102.0,leo2,14.824,4.383
104.0,leo1,-0.026,3.182
104.0,leo2,15.172,3.997
106.0,leo1,-0.090,3.372
106.0,leo2,15.440,3.547
108.0,leo1,-0.408,3.685
108.0,leo2,15.715,3.177
110.0,leo1,-0.827,3.997
110.0,leo2,16.026,3.034
112.0,leo1,-1.214,4.344
112.0,leo2,16.323,3.021
114.0,leo1,-1.596,4.697
114.0,leo2,16.323,3.021
116.0,leo1,-1.973,5.049
116.0,leo2,16.323,3.021
118.0,leo1,-2.157,5.222
118.0,leo2,16.792,3.047
120.0,leo1,-2.157,5.222
120.0,leo2,17.281,3.201
122.0,leo1,-2.157,5.222
122.0,leo2,17.580,3.502
124.0,leo1,-2.157,5.222
124.0,leo2,17.875,3.929
126.0,leo1,-2.156,5.189
126.0,leo2,18.177,4.352
128.0,leo1,-2.156,5.121
128.0,leo2,18.482,4.787
130.0,leo1,-2.100,5.083
130.0,leo2,18.571,4.943
132.0,leo1,-1.911,4.787
132.0,leo2,18.571,4.943
134.0,leo1,-1.592,4.380
134.0,leo2,18.572,4.936
136.0,leo1,-1.296,4.017
136.0,leo2,18.572,4.844
138.0,leo1,-0.999,3.590
138.0,leo2,18.545,4.842
140.0,leo1,-0.786,3.118
140.0,leo2,18.433,4.535
142.0,leo1,-0.604,2.630
142.0,leo2,18.154,4.097
144.0,leo1,-0.401,2.149
144.0,leo2,17.847,3.678
146.0,leo1,-0.201,1.668
146.0,leo2,17.524,3.269
148.0,leo1,-0.020,1.184
148.0,leo2,17.194,2.860
150.0,leo1,0.203,0.716
150.0,leo2,16.863,2.466
152.0,leo1,0.439,0.497
152.0,leo2,16.510,2.056
154.0,leo1,0.895,0.444
154.0,leo2,16.198,1.661
156.0,leo1,1.415,0.438
156.0,leo2,16.003,1.174
158.0,leo1,1.955,0.435
158.0,leo2,15.787,0.692
160.0,leo1,2.475,0.434
160.0,leo2,15.456,0.347
162.0,leo1,2.995,0.431
162.0,leo2,15.045,0.028
164.0,leo1,3.525,0.425
164.0,leo2,14.637,-0.294
166.0,leo1,4.045,0.419
166.0,leo2,14.258,-0.648
168.0,leo1,4.555,0.419
168.0,leo2,14.015,-1.110
170.0,leo1,4.657,0.451
170.0,leo2,13.852,-1.636
172.0,leo1,4.628,0.452
172.0,leo2,13.611,-2.059
174.0,leo1,4.556,0.451
174.0,leo2,13.253,-2.457
176.0,leo1,4.319,0.510
176.0,leo2,12.914,-2.839
178.0,leo1,3.800,0.476
178.0,leo2,12.569,-3.229
180.0,leo1,3.280,0.455
180.0,leo2,12.242,-3.631
182.0,leo1,2.761,0.440
182.0,leo2,12.032,-3.891
184.0,leo1,2.241,0.436
184.0,leo2,11.651,-4.007
186.0,leo1,1.721,0.431
186.0,leo2,11.161,-4.174
188.0,leo1,1.201,0.426
188.0,leo2,10.689,-4.393
190.0,leo1,0.681,0.425
190.0,leo2,10.230,-4.628
192.0,leo1,0.161,0.423
192.0,leo2,9.910,-4.818
194.0,leo1,-0.359,0.423
194.0,leo2,9.908,-4.820
196.0,leo1,-0.879,0.424
196.0,leo2,9.945,-4.759
198.0,leo1,-1.399,0.409
198.0,leo2,9.967,-4.657
200.0,leo1,-1.909,0.385
200.0,leo2,9.987,-4.562
202.0,leo1,-2.429,0.377
202.0,leo2,9.972,-4.527
204.0,leo1,-2.949,0.372
204.0,leo2,9.971,-4.503
206.0,leo1,-3.477,0.370
206.0,leo2,9.969,-4.429
208.0,leo1,-3.999,0.369
208.0,leo2,9.947,-4.258
210.0,leo1,-4.508,0.370
210.0,leo2,10.053,-4.068
212.0,leo1,-5.028,0.369
212.0,leo2,10.167,-3.771
214.0,leo1,-5.558,0.360
214.0,leo2,10.301,-3.470
216.0,leo1,-6.078,0.347
216.0,leo2,10.331,-3.398
218.0,leo1,-6.249,0.316
218.0,leo2,10.325,-3.399
220.0,leo1,-6.294,0.220
220.0,leo2,10.325,-3.399
222.0,leo1,-6.291,-0.229
222.0,leo2,10.325,-3.399
224.0,leo1,-6.173,-0.737
224.0,leo2,10.410,-3.439
226.0,leo1,-6.053,-1.243
226.0,leo2,10.500,-3.482
228.0,leo1,-6.109,-1.662
228.0,leo2,10.590,-3.526
230.0,leo1,-6.265,-1.870
230.0,leo2,10.597,-3.529
232.0,leo1,-6.346,-2.202
232.0,leo2,10.597,-3.529
234.0,leo1,-6.447,-2.711
234.0,leo2,10.597,-3.529
236.0,leo1,-6.613,-3.124
236.0,leo2,10.597,-3.529
238.0,leo1,-6.656,-3.210
238.0,leo2,10.597,-3.522
240.0,leo1,-6.656,-3.210
240.0,leo2,10.688,-3.522
242.0,leo1,-6.614,-3.209
242.0,leo2,10.773,-3.481
244.0,leo1,-6.434,-3.346
244.0,leo2,11.189,-3.482
246.0,leo1,-5.962,-3.576
246.0,leo2,11.708,-3.491
248.0,leo1,-5.481,-3.773
248.0,leo2,12.228,-3.493
250.0,leo1,-5.014,-3.984
250.0,leo2,12.748,-3.494
252.0,leo1,-4.550,-4.223
252.0,leo2,13.268,-3.495
254.0,leo1,-4.110,-4.502
254.0,leo2,13.788,-3.495
256.0,leo1,-3.760,-4.784
256.0,leo2,14.293,-3.495
258.0,leo1,-3.563,-4.886
258.0,leo2,14.818,-3.484
260.0,leo1,-3.066,-4.916
260.0,leo2,15.348,-3.490
262.0,leo1,-2.550,-4.987
262.0,leo2,15.640,-3.522
264.0,leo1,-2.040,-5.102
264.0,leo2,15.637,-3.512
266.0,leo1,-1.706,-5.218
266.0,leo2,15.637,-3.512
268.0,leo1,-1.703,-5.219
268.0,leo2,15.637,-3.512
270.0,leo1,-1.703,-5.230
270.0,leo2,15.618,-3.561
272.0,leo1,-1.786,-5.231
272.0,leo2,15.580,-3.659
274.0,leo1,-1.857,-5.262
274.0,leo2,15.544,-3.750
276.0,leo1,-2.261,-5.260
276.0,leo2,15.537,-3.794
278.0,leo1,-2.778,-5.194
278.0,leo2,15.602,-3.778
280.0,leo1,-3.294,-5.122
280.0,leo2,15.857,-3.827
282.0,leo1,-3.648,-5.090
282.0,leo2,16.279,-4.116
284.0,leo1,-3.978,-5.108
284.0,leo2,16.678,-4.449
286.0,leo1,-4.195,-5.140
286.0,leo2,17.070,-4.791
288.0,leo1,-4.401,-5.180
288.0,leo2,17.440,-5.150
290.0,leo1,-4.383,-5.179
290.0,leo2,17.806,-5.533
292.0,leo1,-4.446,-5.180
292.0,leo2,18.159,-5.909
294.0,leo1,-4.472,-5.213
294.0,leo2,18.525,-6.277
296.0,leo1,-4.472,-5.213
296.0,leo2,18.841,-6.628
298.0,leo1,-4.462,-5.194
298.0,leo2,19.166,-6.918
300.0,leo1,-4.415,-5.106
300.0,leo2,19.223,-6.961
302.0,leo1,-4.367,-5.018
302.0,leo2,19.223,-6.928
304.0,leo1,-4.336,-4.958
304.0,leo2,19.223,-6.865
306.0,leo1,-4.367,-5.014
306.0,leo2,19.155,-6.841
308.0,leo1,-4.360,-5.015
308.0,leo2,18.966,-6.577
310.0,leo1,-4.360,-5.015
310.0,leo2,18.610,-6.199
312.0,leo1,-4.360,-5.015
312.0,leo2,18.245,-5.829
314.0,leo1,-4.361,-4.973
314.0,leo2,17.877,-5.462
316.0,leo1,-4.362,-4.919
316.0,leo2,17.497,-5.069
318.0,leo1,-4.368,-4.727
318.0,leo2,17.151,-4.725
320.0,leo1,-4.503,-4.229
320.0,leo2,16.775,-4.365
322.0,leo1,-4.687,-3.741
322.0,leo2,16.397,-3.986
324.0,leo1,-4.903,-3.266
324.0,leo2,16.043,-3.626
326.0,leo1,-5.135,-2.799
326.0,leo2,15.689,-3.246
328.0,leo1,-5.386,-2.342
328.0,leo2,15.315,-2.862
330.0,leo1,-5.667,-1.901
330.0,leo2,14.967,-2.497
332.0,leo1,-5.806,-1.676
