t,robot,x,y
42.0,leo1,0.798,-0.000
42.0,leo2,4.135,-0.000
44.0,leo1,0.798,-0.000
44.0,leo2,4.135,-0.000
46.0,leo1,0.799,-0.033
46.0,leo2,4.136,-0.029
48.0,leo1,0.760,-0.032
48.0,leo2,4.100,-0.029
50.0,leo1,0.620,-0.168
50.0,leo2,4.023,-0.043
52.0,leo1,0.407,-0.333
52.0,leo2,3.764,-0.095
54.0,leo1,0.386,-0.345
54.0,leo2,3.265,-0.080
56.0,leo1,0.386,-0.345
56.0,leo2,2.745,-0.076
58.0,leo1,0.382,-0.345
58.0,leo2,2.215,-0.052
60.0,leo1,-0.098,-0.343
60.0,leo2,1.752,-0.064
62.0,leo1,-0.557,-0.350
62.0,leo2,1.291,-0.095
64.0,leo1,-1.008,-0.366
64.0,leo2,0.838,-0.124
66.0,leo1,-1.393,-0.323
66.0,leo2,0.455,-0.151
68.0,leo1,-1.583,-0.312
68.0,leo2,0.253,-0.165
70.0,leo1,-2.028,-0.275
70.0,leo2,-0.171,-0.181
72.0,leo1,-2.452,-0.188
72.0,leo2,-0.589,-0.147
74.0,leo1,-2.752,-0.110
74.0,leo2,-0.871,-0.077
76.0,leo1,-2.981,-0.024
76.0,leo2,-1.120,0.005
78.0,leo1,-3.009,-0.015
78.0,leo2,-1.146,0.033
80.0,leo1,-3.009,-0.015
80.0,leo2,-1.144,0.039
82.0,leo1,-3.009,-0.015
82.0,leo2,-1.144,0.040
84.0,leo1,-3.009,-0.015
84.0,leo2,-1.144,0.041
86.0,leo1,-3.038,-0.003
86.0,leo2,-1.167,0.042
88.0,leo1,-3.066,0.027
88.0,leo2,-1.188,0.045
90.0,leo1,-3.078,0.087
90.0,leo2,-1.193,0.046
92.0,leo1,-3.175,0.124
92.0,leo2,-1.281,0.036
94.0,leo1,-3.328,0.145
94.0,leo2,-1.326,0.085
96.0,leo1,-3.221,0.231
96.0,leo2,-1.291,0.077
98.0,leo1,-2.989,0.335
98.0,leo2,-1.187,0.023
100.0,leo1,-2.901,0.324
100.0,leo2,-1.138,0.008
102.0,leo1,-2.880,0.322
102.0,leo2,-1.135,0.004
104.0,leo1,-2.855,0.296
104.0,leo2,-1.093,0.004
106.0,leo1,-2.723,0.216
106.0,leo2,-0.901,0.014
108.0,leo1,-2.554,0.133
108.0,leo2,-0.694,0.118
110.0,leo1,-2.204,0.107
110.0,leo2,-0.381,0.182
112.0,leo1,-1.699,0.105
112.0,leo2,0.121,0.191
114.0,leo1,-1.473,0.067
114.0,leo2,0.343,0.254
116.0,leo1,-1.381,-0.139
116.0,leo2,0.302,0.261
118.0,leo1,-1.349,-0.151
118.0,leo2,0.254,0.271
120.0,leo1,-1.349,-0.151
120.0,leo2,0.211,0.272
122.0,leo1,-1.322,-0.151
122.0,leo2,0.167,0.270
124.0,leo1,-1.261,-0.138
124.0,leo2,0.116,0.260
126.0,leo1,-1.255,-0.118
126.0,leo2,0.050,0.244
128.0,leo1,-1.286,-0.022
128.0,leo2,-0.035,0.213
130.0,leo1,-1.194,-0.056
130.0,leo2,-0.080,0.164
132.0,leo1,-1.101,-0.091
132.0,leo2,-0.162,0.209
134.0,leo1,-1.007,-0.126
134.0,leo2,-0.518,0.222
136.0,leo1,-0.998,-0.117
136.0,leo2,-1.033,0.212
138.0,leo1,-0.922,-0.117
138.0,leo2,-1.553,0.208
140.0,leo1,-0.845,-0.085
140.0,leo2,-2.083,0.209
142.0,leo1,-0.473,-0.073
142.0,leo2,-2.603,0.210
144.0,leo1,0.027,-0.081
144.0,leo2,-3.123,0.210
146.0,leo1,0.547,-0.083
146.0,leo2,-3.633,0.210
148.0,leo1,1.087,-0.083
148.0,leo2,-4.163,0.216
150.0,leo1,1.191,-0.050
150.0,leo2,-4.683,0.212
152.0,leo1,1.174,-0.050
152.0,leo2,-5.193,0.189
154.0,leo1,0.819,0.298
154.0,leo2,-5.715,0.133
156.0,leo1,0.371,0.567
156.0,leo2,-6.225,0.123
158.0,leo1,0.106,0.864
158.0,leo2,-6.367,0.149
160.0,leo1,0.029,1.300
160.0,leo2,-6.347,0.155
162.0,leo1,0.089,1.818
162.0,leo2,-6.238,0.205
164.0,leo1,0.172,2.330
164.0,leo2,-5.965,0.343
166.0,leo1,0.298,2.837
166.0,leo2,-5.453,0.399
168.0,leo1,0.444,3.338
168.0,leo2,-4.933,0.408
170.0,leo1,0.585,3.655
170.0,leo2,-4.413,0.411
172.0,leo1,0.942,4.009
172.0,leo2,-3.893,0.412
174.0,leo1,1.320,4.366
174.0,leo2,-3.373,0.412
176.0,leo1,1.697,4.725
176.0,leo2,-2.843,0.412
178.0,leo1,2.063,5.084
178.0,leo2,-2.323,0.412
180.0,leo1,2.238,5.266
180.0,leo2,-1.823,0.412
182.0,leo1,2.205,5.265
182.0,leo2,-1.303,0.412
184.0,leo1,2.140,5.265
184.0,leo2,-0.788,0.412
186.0,leo1,2.106,5.198
186.0,leo2,-0.263,0.412
188.0,leo1,1.886,5.133
