t,robot,x,y
40.0,leo1,0.789,-0.000
40.0,leo2,17.124,-0.000
42.0,leo1,0.789,-0.000
42.0,leo2,17.124,-0.000
44.0,leo1,0.789,-0.000
44.0,leo2,17.124,-0.000
46.0,leo1,0.790,-0.033
46.0,leo2,17.125,0.030
48.0,leo1,0.751,-0.032
48.0,leo2,17.087,0.029
50.0,leo1,0.613,-0.168
50.0,leo2,16.985,0.063
52.0,leo1,0.404,-0.334
52.0,leo2,16.674,0.117
54.0,leo1,0.389,-0.344
54.0,leo2,16.146,0.170
56.0,leo1,0.389,-0.344
56.0,leo2,15.639,0.297
58.0,leo1,0.389,-0.344
58.0,leo2,15.490,0.332
60.0,leo1,0.389,-0.344
60.0,leo2,15.290,0.177
62.0,leo1,0.389,-0.344
62.0,leo2,15.021,-0.062
64.0,leo1,0.389,-0.344
64.0,leo2,14.604,-0.100
66.0,leo1,0.703,-0.146
66.0,leo2,14.103,-0.151
68.0,leo1,1.032,0.066
68.0,leo2,13.899,-0.195
70.0,leo1,1.172,0.154
70.0,leo2,13.763,-0.214
72.0,leo1,1.172,0.154
72.0,leo2,13.770,-0.215
74.0,leo1,1.172,0.154
74.0,leo2,13.770,-0.215
76.0,leo1,1.172,0.154
76.0,leo2,13.770,-0.215
78.0,leo1,0.864,0.112
78.0,leo2,13.739,-0.216
80.0,leo1,0.345,0.166
80.0,leo2,13.574,-0.291
82.0,leo1,-0.167,0.265
82.0,leo2,13.067,-0.291
84.0,leo1,-0.629,0.394
84.0,leo2,12.557,-0.300
86.0,leo1,-0.772,0.463
86.0,leo2,12.038,-0.271
88.0,leo1,-0.772,0.463
88.0,leo2,11.519,-0.292
90.0,leo1,-1.006,0.485
90.0,leo2,11.119,-0.309
92.0,leo1,-1.094,0.472
92.0,leo2,11.219,-0.313
94.0,leo1,-1.091,0.472
94.0,leo2,11.319,-0.318
96.0,leo1,-1.091,0.472
96.0,leo2,11.401,-0.321
98.0,leo1,-1.096,0.502
98.0,leo2,10.891,-0.328
100.0,leo1,-1.111,0.601
100.0,leo2,10.371,-0.320
102.0,leo1,-1.126,0.700
102.0,leo2,9.962,-0.297
104.0,leo1,-1.142,0.768
104.0,leo2,9.969,-0.301
106.0,leo1,-1.138,0.739
106.0,leo2,9.941,-0.302
108.0,leo1,-1.139,0.770
108.0,leo2,9.817,-0.355
110.0,leo1,-1.137,0.715
110.0,leo2,9.696,-0.357
112.0,leo1,-1.145,0.715
112.0,leo2,9.696,-0.357
114.0,leo1,-1.006,0.526
114.0,leo2,9.651,-0.358
116.0,leo1,-0.810,0.448
116.0,leo2,9.132,-0.341
118.0,leo1,-0.477,0.517
118.0,leo2,8.622,-0.335
120.0,leo1,-0.207,0.800
120.0,leo2,8.092,-0.323
122.0,leo1,-0.133,0.946
122.0,leo2,7.572,-0.314
124.0,leo1,-0.133,0.946
124.0,leo2,7.016,-0.326
126.0,leo1,-0.132,0.948
126.0,leo2,6.507,-0.308
128.0,leo1,-0.041,1.460
128.0,leo2,5.990,-0.233
130.0,leo1,-0.042,1.980
130.0,leo2,5.503,-0.201
132.0,leo1,-0.047,2.500
132.0,leo2,4.963,-0.169
134.0,leo1,-0.059,3.020
134.0,leo2,4.433,-0.133
136.0,leo1,-0.095,3.539
136.0,leo2,3.957,-0.080
138.0,leo1,-0.114,3.815
138.0,leo2,3.437,-0.076
140.0,leo1,-0.270,3.985
140.0,leo2,2.917,-0.058
142.0,leo1,-0.713,4.237
142.0,leo2,2.379,-0.010
144.0,leo1,-1.129,4.550
144.0,leo2,1.871,0.042
146.0,leo1,-1.535,4.876
146.0,leo2,1.655,0.095
148.0,leo1,-1.937,5.201
148.0,leo2,1.683,0.097
150.0,leo1,-2.155,5.381
150.0,leo2,1.750,0.098
152.0,leo1,-2.155,5.381
152.0,leo2,2.014,0.134
154.0,leo1,-2.154,5.340
154.0,leo2,2.534,0.127
156.0,leo1,-2.068,5.339
156.0,leo2,3.054,0.125
158.0,leo1,-1.970,5.355
158.0,leo2,3.594,0.124
160.0,leo1,-1.871,5.371
160.0,leo2,4.114,0.124
162.0,leo1,-1.852,5.348
162.0,leo2,4.634,0.117
164.0,leo1,-1.911,5.226
164.0,leo2,5.164,0.113
166.0,leo1,-1.920,4.982
166.0,leo2,5.684,0.112
168.0,leo1,-1.920,4.989
168.0,leo2,6.194,0.112
170.0,leo1,-1.920,4.989
170.0,leo2,6.714,0.113
172.0,leo1,-1.921,4.988
172.0,leo2,7.224,0.113
174.0,leo1,-2.020,4.976
174.0,leo2,7.739,0.114
176.0,leo1,-2.119,4.963
176.0,leo2,8.239,0.115
178.0,leo1,-2.218,4.950
178.0,leo2,8.759,0.116
180.0,leo1,-2.221,4.950
180.0,leo2,9.309,0.117
182.0,leo1,-2.107,4.887
182.0,leo2,9.834,0.119
184.0,leo1,-1.777,4.557
184.0,leo2,10.354,0.122
186.0,leo1,-1.466,4.142
186.0,leo2,10.844,0.126
188.0,leo1,-1.183,3.707
188.0,leo2,11.364,0.121
190.0,leo1,-0.895,3.274
190.0,leo2,11.815,-0.030
192.0,leo1,-0.671,2.805
192.0,leo2,12.288,-0.243
194.0,leo1,-0.460,2.329
194.0,leo2,12.784,-0.392
196.0,leo1,-0.379,2.132
196.0,leo2,13.281,-0.437
198.0,leo1,-0.379,2.109
198.0,leo2,13.688,-0.620
200.0,leo1,-0.272,1.991
200.0,leo2,13.880,-0.919
202.0,leo1,-0.272,1.991
202.0,leo2,13.911,-1.421
204.0,leo1,-0.272,1.991
204.0,leo2,13.899,-1.941
206.0,leo1,-0.307,2.036
206.0,leo2,13.947,-2.458
208.0,leo1,-0.368,2.115
208.0,leo2,14.059,-2.915
210.0,leo1,-0.429,2.195
210.0,leo2,14.100,-3.034
212.0,leo1,-0.335,2.022
212.0,leo2,14.100,-3.034
214.0,leo1,-0.127,1.549
214.0,leo2,14.081,-3.034
216.0,leo1,0.009,1.107
216.0,leo2,13.965,-3.110
218.0,leo1,0.114,0.867
218.0,leo2,13.552,-3.196
220.0,leo1,0.114,0.856
220.0,leo2,13.047,-3.331
222.0,leo1,0.263,0.716
222.0,leo2,12.550,-3.492
224.0,leo1,0.618,0.424
224.0,leo2,12.094,-3.736
226.0,leo1,1.058,0.356
226.0,leo2,11.669,-4.028
228.0,leo1,1.578,0.345
228.0,leo2,11.250,-4.337
230.0,leo1,2.088,0.341
230.0,leo2,10.867,-4.643
232.0,leo1,2.608,0.336
232.0,leo2,10.744,-4.749
