coverage: no map yet
coverage: t=60s known=65.3m2 free=64.3m2 occ=1.1m2 (397x397)
coverage: t=90s known=140.4m2 free=137.7m2 occ=2.7m2 (398x398)
coverage: t=120s known=180.0m2 free=175.8m2 occ=4.2m2 (399x398)
coverage: t=150s known=229.1m2 free=223.1m2 occ=6.0m2 (399x399)
coverage: t=180s known=260.1m2 free=253.5m2 occ=6.6m2 (400x400)
coverage: t=210s known=282.7m2 free=275.4m2 occ=7.3m2 (400x400)
coverage: t=240s known=284.9m2 free=277.4m2 occ=7.4m2 (400x400)
coverage: t=270s known=292.4m2 free=284.8m2 occ=7.5m2 (400x400)
coverage: t=300s known=297.6m2 free=289.7m2 occ=7.9m2 (400x400)
coverage: t=330s known=302.0m2 free=293.7m2 occ=8.4m2 (400x400)
coverage: t=360s known=316.7m2 free=307.5m2 occ=9.2m2 (400x400)
coverage: t=390s known=322.8m2 free=313.3m2 occ=9.5m2 (400x400)
coverage: t=420s known=323.3m2 free=313.8m2 occ=9.5m2 (400x400)
coverage: t=450s known=326.0m2 free=316.2m2 occ=9.8m2 (400x400)
coverage: t=480s known=333.6m2 free=323.3m2 occ=10.4m2 (400x400)
coverage: t=510s known=342.1m2 free=330.9m2 occ=11.2m2 (400x401)
coverage: t=540s known=376.1m2 free=364.3m2 occ=11.9m2 (400x401)
coverage: t=570s known=386.5m2 free=373.6m2 occ=13.0m2 (400x402)
coverage: t=600s known=387.7m2 free=374.3m2 occ=13.4m2 (401x402)
coverage: t=630s known=388.1m2 free=374.4m2 occ=13.7m2 (401x402)
coverage: t=660s known=388.3m2 free=374.5m2 occ=13.8m2 (401x402)
coverage: t=690s known=388.6m2 free=374.6m2 occ=14.1m2 (401x402)
coverage: t=720s known=388.9m2 free=374.7m2 occ=14.2m2 (401x402)
coverage: t=750s known=389.1m2 free=374.7m2 occ=14.4m2 (401x402)
coverage: t=780s known=389.5m2 free=375.0m2 occ=14.5m2 (401x402)
coverage: t=810s known=389.6m2 free=375.1m2 occ=14.6m2 (401x402)
coverage: t=840s known=389.8m2 free=375.0m2 occ=14.8m2 (400x402)
coverage: t=870s known=389.9m2 free=375.0m2 occ=14.9m2 (400x402)
coverage: t=900s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=930s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=960s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=990s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
