t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
80.8,,,,nan,,,,nan,0,,,0,0,0
85.0,,,,0.000,,,,nan,0,,,1,0,0
90.0,,,,0.000,,,,nan,0,,,1,0,0
95.0,,,,0.000,,,,nan,0,,,1,0,0
100.0,,,,0.000,,,,nan,0,,,1,0,0
105.0,,,,0.000,,,,0.351,0,,,1,0,0
110.0,,,,0.000,,,,0.351,0,,,1,0,0
115.0,,,,0.000,,,,0.351,0,,,2,0,0
120.0,1.6855,0.1725,-62.605,0.175,,,,0.365,0,12.8493,117.396,2,1,1
125.0,2.7487,-0.0728,-77.679,0.175,,,,0.450,0,12.0207,102.321,2,1,1
130.0,1.9404,-0.0424,-70.306,0.175,,,,0.458,0,12.5232,109.694,2,1,1
135.0,1.8407,-0.1252,-69.081,0.175,,,,0.444,0,12.5193,110.920,2,1,1
140.0,2.0572,-0.2787,-71.269,0.175,,,,0.416,0,12.2649,108.732,2,1,1
145.0,2.1739,-0.4063,-72.557,0.175,,,,0.461,0,12.0926,107.443,2,1,1
150.0,2.2674,-0.5482,-73.681,0.175,,,,0.442,0,11.9231,106.320,2,1,1
155.0,2.3204,-0.6554,-74.375,0.175,,,,0.420,0,11.8060,105.625,2,1,1
160.0,2.3591,-0.7527,-74.922,0.175,,,,0.456,0,11.7056,105.078,2,1,1
165.0,2.3901,-0.8495,-75.399,0.175,,,,0.440,0,11.6104,104.602,2,1,1
170.0,2.4105,-0.9290,-75.742,0.175,,,,0.440,0,11.5355,104.258,2,1,1
175.0,2.4239,-0.9940,-75.994,0.175,,,,0.462,0,11.4763,104.006,2,1,1
180.0,2.3481,-1.0387,-75.315,0.175,,,,0.419,0,11.4892,104.686,2,1,1
185.0,1.8358,-0.9998,-70.005,0.175,,,,0.436,0,11.8485,109.995,2,1,1
190.0,1.2946,-0.9903,-64.310,0.175,,,,0.416,0,12.2171,115.691,2,1,1
195.0,0.8990,-1.0074,-60.060,0.175,,,,0.475,0,12.4771,119.940,2,1,1
200.0,0.5063,-1.0458,-55.735,0.175,,,,0.448,0,12.7272,124.266,2,1,1
205.0,0.1598,-1.0986,-51.799,0.175,,,,0.453,0,12.9408,128.201,2,1,1
210.0,-0.1452,-1.1610,-48.212,0.175,,,,0.398,0,13.1230,131.788,2,1,1
215.0,-0.4562,-1.2473,-44.604,0.175,,,,0.409,0,13.2990,135.396,2,1,1
220.0,-0.4562,-1.2473,-44.604,0.175,,,,0.414,0,13.2990,135.396,2,1,1
225.0,-0.4562,-1.2473,-44.604,0.175,,,,0.414,0,13.2990,135.396,2,1,1
230.0,-0.4562,-1.2473,-44.604,0.175,,,,0.414,0,13.2990,135.396,2,1,1
235.0,-0.4562,-1.2473,-44.604,0.175,,,,0.414,0,13.2990,135.396,2,1,1
240.0,-0.4562,-1.2473,-44.604,0.175,,,,0.414,0,13.2990,135.396,2,1,1
245.0,-0.4562,-1.2473,-44.604,0.175,,,,0.414,0,13.2990,135.396,2,1,1
250.0,-0.4562,-1.2473,-44.604,0.175,,,,0.414,0,13.2990,135.396,2,1,1
255.0,-0.4562,-1.2473,-44.604,0.175,,,,0.414,0,13.2990,135.396,2,1,1
260.0,-0.4562,-1.2473,-44.604,0.175,,,,0.414,0,13.2990,135.396,2,1,1
265.0,-0.4562,-1.2473,-44.604,0.175,,,,0.414,0,13.2990,135.396,2,1,1
270.0,-0.4562,-1.2473,-44.604,0.175,,,,0.414,0,13.2990,135.396,2,1,1
275.0,-0.4562,-1.2473,-44.604,0.175,,,,0.414,0,13.2990,135.396,2,1,1
