t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
39.982,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7735,0.0525,0.1042
40.990,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7735,0.0527,0.1042
41.989,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7735,0.0544,0.1042
42.988,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7734,0.0564,0.1042
43.983,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7733,0.0591,0.1042
44.984,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7732,0.0611,0.1042
45.983,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7732,0.0612,0.1042
46.645,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7732,0.0623,0.1042
46.979,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7732,0.0628,0.1042
47.648,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7731,0.0637,0.1042
47.979,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7731,0.0642,0.1042
48.743,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7731,0.0649,0.1042
49.081,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7731,0.0661,0.1042
49.395,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0670,0.1042
49.747,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0674,0.1042
50.081,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0671,0.1042
50.397,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0669,0.1042
50.754,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0674,0.1042
51.090,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0675,0.1042
51.402,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0685,0.1042
51.755,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7729,0.0693,0.1042
52.090,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7729,0.0703,0.1042
52.405,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7729,0.0708,0.1042
52.754,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7729,0.0712,0.1042
53.090,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0716,0.1042
53.403,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0717,0.1042
53.758,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0723,0.1042
54.084,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0729,0.1042
54.402,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0736,0.1042
54.754,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7727,0.0742,0.1042
55.080,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7727,0.0743,0.1042
55.399,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7727,0.0753,0.1042
55.740,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0764,0.1042
56.081,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0770,0.1042
56.405,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0774,0.1042
56.764,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0777,0.1042
57.095,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0784,0.1042
57.417,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0790,0.1042
57.763,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0797,0.1042
58.094,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0804,0.1042
58.411,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0803,0.1042
58.765,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0802,0.1042
59.096,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0805,0.1042
59.414,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0817,0.1042
59.764,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0823,0.1042
60.100,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0826,0.1042
60.414,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0826,0.1042
60.767,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0829,0.1042
61.070,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7723,0.0830,0.1042
61.401,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7723,0.0836,0.1042
61.737,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7723,0.0844,0.1042
62.068,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7723,0.0849,0.1042
62.392,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7722,0.0851,0.1042
62.740,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7722,0.0852,0.1042
63.074,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7722,0.0865,0.1042
63.397,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7722,0.0871,0.1042
63.738,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7721,0.0873,0.1042
64.066,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7721,0.0886,0.1042
64.400,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7721,0.0887,0.1042
65.069,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7720,0.0910,0.1042
65.397,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7719,0.0917,0.1042
65.742,2,1.5037,73.88,0.314,1.5007,0.0013,-0.0952,1.7706,0.0918,0.1048
66.076,2,1.4643,75.88,0.086,1.4611,0.0013,-0.0962,1.7781,0.0926,0.1038
66.396,2,1.4268,77.88,0.368,1.4236,0.0013,-0.0954,1.7783,0.0929,0.1046
66.726,2,1.3913,79.88,0.360,1.3880,0.0013,-0.0964,1.7821,0.0935,0.1036
67.059,2,1.3575,81.88,0.087,1.3541,0.0012,-0.0965,1.7882,0.0936,0.1035
67.393,2,1.3133,84.88,0.491,1.3098,0.0022,-0.0963,1.7850,0.0951,0.1037
67.690,2,1.2653,87.88,0.324,1.2616,0.0011,-0.0963,1.7701,0.0928,0.1037
68.055,2,1.2372,89.88,0.568,1.2335,0.0011,-0.0955,1.7790,0.0937,0.1045
68.385,2,1.1849,93.88,0.341,1.1810,0.0011,-0.0966,1.7651,0.0936,0.1034
68.690,2,1.1603,95.88,0.691,1.1564,0.0010,-0.0956,1.7789,0.0951,0.1044
69.062,2,1.1142,99.88,0.782,1.1100,0.0010,-0.0955,1.7715,0.0951,0.1045
69.394,2,1.0716,103.88,0.880,1.0673,0.0009,-0.0955,1.7722,0.0952,0.1045
69.690,2,1.0322,107.88,0.986,1.0277,0.0009,-0.0955,1.7723,0.0952,0.1045
70.054,2,0.9956,111.88,1.100,0.9910,0.0009,-0.0955,1.7742,0.0954,0.1045
70.391,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7714,0.0964,0.1027
70.698,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7714,0.0967,0.1027
71.055,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7714,0.0969,0.1027
71.695,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7714,0.0971,0.1027
72.054,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7714,0.0973,0.1027
72.690,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7714,0.0977,0.1027
73.057,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7714,0.0980,0.1027
73.387,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7713,0.0982,0.1027
73.697,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7713,0.0982,0.1027
74.060,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7714,0.0979,0.1027
74.388,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7714,0.0979,0.1027
74.692,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7714,0.0980,0.1027
