t,robot,x,y
82.0,leo1,0.567,0.030
84.0,leo1,0.567,0.030
86.0,leo1,0.567,0.030
88.0,leo1,0.567,0.030
90.0,leo1,0.664,0.003
92.0,leo1,0.722,-0.032
94.0,leo1,0.711,-0.013
96.0,leo1,0.653,-0.130
98.0,leo1,0.378,-0.357
100.0,leo1,0.100,-0.476
102.0,leo1,0.095,-0.478
104.0,leo1,0.125,-0.493
106.0,leo1,0.305,-0.677
108.0,leo1,0.583,-0.869
110.0,leo1,0.592,-1.178
112.0,leo1,0.625,-1.507
114.0,leo1,0.695,-1.629
116.0,leo1,0.695,-1.629
118.0,leo1,0.760,-1.838
120.0,leo1,0.780,-2.368
122.0,leo1,0.840,-2.899
124.0,leo1,0.595,-3.339
126.0,leo1,0.641,-3.389
128.0,leo1,0.935,-3.507
130.0,leo1,1.069,-3.594
132.0,leo1,1.242,-3.812
134.0,leo1,1.042,-4.233
136.0,leo1,1.042,-4.233
138.0,leo1,1.042,-4.233
140.0,leo1,1.042,-4.233
142.0,leo1,1.042,-4.233
144.0,leo1,1.042,-4.233
146.0,leo1,1.042,-4.233
148.0,leo1,1.042,-4.233
150.0,leo1,1.042,-4.233
152.0,leo1,1.042,-4.233
154.0,leo1,1.042,-4.233
156.0,leo1,1.042,-4.233
158.0,leo1,1.042,-4.233
160.0,leo1,1.042,-4.233
162.0,leo1,1.042,-4.233
164.0,leo1,1.042,-4.233
166.0,leo1,1.042,-4.233
168.0,leo1,1.042,-4.233
170.0,leo1,1.042,-4.233
172.0,leo1,0.928,-3.881
174.0,leo1,0.803,-3.497
176.0,leo1,0.803,-3.497
178.0,leo1,0.816,-3.515
180.0,leo1,0.813,-3.506
182.0,leo1,0.851,-3.494
184.0,leo1,0.851,-3.494
186.0,leo1,0.853,-3.493
188.0,leo1,0.854,-3.493
190.0,leo1,0.857,-3.491
192.0,leo1,0.864,-3.487
194.0,leo1,0.870,-3.484
196.0,leo1,0.872,-3.483
198.0,leo1,0.875,-3.481
200.0,leo1,0.879,-3.478
202.0,leo1,0.879,-3.478
204.0,leo1,0.882,-3.477
206.0,leo1,0.884,-3.476
208.0,leo1,0.886,-3.474
210.0,leo1,0.887,-3.473
212.0,leo1,0.863,-3.490
214.0,leo1,0.867,-3.488
216.0,leo1,0.938,-3.212
218.0,leo1,0.774,-3.367
220.0,leo1,0.903,-3.240
222.0,leo1,0.948,-3.076
224.0,leo1,0.869,-2.850
226.0,leo1,0.925,-2.460
228.0,leo1,0.866,-2.500
230.0,leo1,0.631,-2.529
232.0,leo1,0.541,-2.559
234.0,leo1,0.378,-2.641
236.0,leo1,0.368,-2.637
238.0,leo1,0.383,-2.668
240.0,leo1,0.394,-2.637
242.0,leo1,0.503,-2.609
244.0,leo1,0.731,-2.683
246.0,leo1,0.642,-3.102
248.0,leo1,0.895,-3.247
250.0,leo1,1.110,-3.512
252.0,leo1,1.025,-4.094
254.0,leo1,1.122,-4.179
256.0,leo1,1.209,-4.212
258.0,leo1,1.220,-4.214
260.0,leo1,1.225,-4.214
262.0,leo1,1.226,-4.215
264.0,leo1,1.227,-4.215
266.0,leo1,1.227,-4.215
268.0,leo1,1.227,-4.215
270.0,leo1,1.226,-4.215
272.0,leo1,1.226,-4.215
274.0,leo1,1.226,-4.215
276.0,leo1,1.226,-4.215
