t,robot,x,y
82.0,leo2,0.492,0.008
84.0,leo2,0.492,0.008
86.0,leo2,0.492,0.008
88.0,leo2,0.492,0.008
90.0,leo2,0.445,0.007
92.0,leo2,0.395,0.018
94.0,leo2,0.378,0.029
96.0,leo2,0.361,0.007
98.0,leo2,0.171,-0.340
100.0,leo2,0.023,-0.681
102.0,leo2,0.038,-0.760
104.0,leo2,0.010,-0.749
106.0,leo2,0.248,-0.645
108.0,leo2,0.731,-0.465
110.0,leo2,1.257,-0.497
112.0,leo2,1.619,-0.582
114.0,leo2,1.706,-0.626
116.0,leo2,1.706,-0.626
118.0,leo2,1.822,-0.620
120.0,leo2,2.140,-0.847
122.0,leo2,2.124,-0.882
124.0,leo2,2.107,-0.851
126.0,leo2,1.925,-0.841
128.0,leo2,1.672,-1.005
130.0,leo2,1.684,-1.563
132.0,leo2,1.620,-1.915
134.0,leo2,2.007,-1.965
136.0,leo2,2.008,-1.966
138.0,leo2,2.008,-1.966
140.0,leo2,1.987,-1.938
142.0,leo2,1.923,-1.856
144.0,leo2,1.875,-1.793
146.0,leo2,1.829,-1.733
148.0,leo2,1.816,-1.702
150.0,leo2,1.806,-1.705
152.0,leo2,1.813,-1.698
154.0,leo2,1.731,-1.712
156.0,leo2,1.713,-1.709
158.0,leo2,1.715,-1.709
160.0,leo2,1.711,-1.709
162.0,leo2,1.713,-1.709
164.0,leo2,1.708,-1.709
166.0,leo2,1.711,-1.709
168.0,leo2,1.719,-1.710
170.0,leo2,1.718,-1.710
172.0,leo2,1.720,-1.710
174.0,leo2,1.720,-1.710
176.0,leo2,1.719,-1.710
178.0,leo2,1.716,-1.710
180.0,leo2,1.715,-1.709
182.0,leo2,1.704,-1.708
184.0,leo2,1.707,-1.708
186.0,leo2,1.702,-1.708
188.0,leo2,1.679,-1.703
190.0,leo2,1.671,-1.702
192.0,leo2,1.671,-1.702
194.0,leo2,1.689,-1.696
196.0,leo2,1.692,-1.694
198.0,leo2,1.692,-1.695
200.0,leo2,1.691,-1.695
202.0,leo2,1.692,-1.694
204.0,leo2,1.692,-1.694
206.0,leo2,1.692,-1.694
208.0,leo2,1.692,-1.694
210.0,leo2,1.692,-1.695
212.0,leo2,1.691,-1.695
214.0,leo2,1.691,-1.695
216.0,leo2,1.691,-1.695
218.0,leo2,1.691,-1.695
220.0,leo2,1.691,-1.695
222.0,leo2,1.691,-1.695
224.0,leo2,1.705,-1.683
226.0,leo2,1.709,-1.685
228.0,leo2,1.696,-1.850
230.0,leo2,1.696,-1.850
232.0,leo2,1.696,-1.850
234.0,leo2,1.696,-1.850
236.0,leo2,1.696,-1.850
238.0,leo2,1.696,-1.850
240.0,leo2,1.696,-1.850
242.0,leo2,1.696,-1.851
244.0,leo2,1.696,-1.851
246.0,leo2,1.695,-1.853
248.0,leo2,1.678,-1.904
250.0,leo2,1.624,-2.036
252.0,leo2,1.624,-2.036
254.0,leo2,1.630,-2.029
256.0,leo2,1.625,-2.003
258.0,leo2,1.544,-1.926
260.0,leo2,1.678,-1.340
262.0,leo2,1.665,-1.161
264.0,leo2,1.871,-0.659
266.0,leo2,2.300,-0.615
268.0,leo2,2.382,-0.301
270.0,leo2,2.461,-0.192
272.0,leo2,2.931,-0.345
274.0,leo2,2.920,-0.355
276.0,leo2,2.911,-0.363
