t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
80.5,,,,nan,,,,nan,0,,,0,0,0
85.0,,,,0.000,,,,nan,0,,,1,0,0
90.0,,,,0.000,,,,nan,0,,,1,0,0
95.0,,,,0.000,,,,nan,0,,,1,0,0
100.0,,,,0.000,,,,nan,0,,,1,0,0
105.0,,,,0.000,,,,0.396,0,,,1,0,0
110.0,,,,0.000,,,,0.397,0,,,1,0,0
115.0,,,,0.000,,,,0.385,0,,,2,0,0
120.0,,,,0.000,,,,0.353,0,,,2,0,0
125.0,,,,0.000,,,,0.335,0,,,2,0,0
130.0,,,,0.000,,,,0.336,0,,,2,0,0
135.0,,,,0.000,,,,0.293,0,,,2,1,0
140.0,,,,0.000,,,,0.298,0,,,2,1,0
145.0,,,,0.000,,,,0.302,0,,,2,1,0
150.0,,,,0.000,,,,0.304,0,,,2,1,0
155.0,,,,0.000,,,,0.306,0,,,2,1,0
160.0,,,,0.000,,,,0.307,0,,,2,1,0
165.0,,,,0.000,,,,0.308,0,,,2,1,0
170.0,,,,0.000,,,,0.309,0,,,2,1,0
175.0,,,,0.000,,,,0.309,0,,,2,1,0
180.0,,,,0.000,,,,0.309,0,,,2,1,0
185.0,,,,0.000,,,,0.310,0,,,2,1,0
190.0,,,,0.000,,,,0.310,0,,,2,1,0
195.0,,,,0.000,,,,0.310,0,,,2,1,0
200.0,,,,0.000,,,,0.310,0,,,2,1,0
205.0,,,,0.000,,,,0.310,0,,,2,1,0
210.0,,,,0.000,,,,0.310,0,,,2,1,0
215.0,,,,0.000,,,,0.310,0,,,2,1,0
220.0,,,,0.000,,,,0.310,0,,,2,1,0
225.0,,,,0.000,,,,0.310,0,,,2,1,0
230.0,,,,0.000,,,,0.310,0,,,2,1,0
235.0,,,,0.000,,,,0.310,0,,,2,1,0
240.0,,,,0.000,,,,0.310,0,,,2,1,0
245.0,,,,0.000,,,,0.310,0,,,2,1,0
250.0,,,,0.000,,,,0.310,0,,,2,1,0
255.0,,,,0.000,,,,0.310,0,,,2,1,0
260.0,,,,0.000,,,,0.310,0,,,2,1,0
265.0,,,,0.000,,,,0.310,0,,,2,1,0
270.0,,,,0.000,,,,0.310,0,,,2,1,0
275.0,,,,0.000,,,,0.310,0,,,2,1,0
280.0,,,,0.000,,,,0.310,0,,,2,1,0
285.0,,,,0.000,,,,0.310,0,,,2,1,0
290.0,,,,0.000,,,,0.310,0,,,2,1,0
