t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
39.979,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7735,0.0525,0.1042
40.979,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7735,0.0527,0.1042
41.982,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7735,0.0544,0.1042
42.975,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7734,0.0564,0.1042
43.975,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7733,0.0591,0.1042
44.975,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7732,0.0611,0.1042
45.973,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7732,0.0612,0.1042
46.643,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7732,0.0623,0.1042
46.974,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7732,0.0628,0.1042
47.639,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7731,0.0637,0.1042
47.974,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7731,0.0642,0.1042
48.742,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7731,0.0649,0.1042
49.077,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7731,0.0661,0.1042
49.748,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0674,0.1042
50.078,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0671,0.1042
50.396,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0669,0.1042
50.745,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0674,0.1042
51.071,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7730,0.0675,0.1042
51.741,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7729,0.0693,0.1042
52.077,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7729,0.0703,0.1042
52.735,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7729,0.0712,0.1042
53.073,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0716,0.1042
53.400,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0717,0.1042
53.747,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0723,0.1042
54.400,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7728,0.0736,0.1042
54.740,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7727,0.0742,0.1042
55.071,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7727,0.0743,0.1042
55.400,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7727,0.0753,0.1042
55.738,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0764,0.1042
56.074,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0770,0.1042
56.414,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0774,0.1042
56.752,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7726,0.0777,0.1042
57.421,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0790,0.1042
57.758,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0797,0.1042
58.417,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0803,0.1042
58.759,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0802,0.1042
59.090,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7725,0.0805,0.1042
59.416,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0817,0.1042
59.740,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0823,0.1042
60.081,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0826,0.1042
60.394,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7724,0.0826,0.1042
61.055,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7723,0.0830,0.1042
61.398,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7723,0.0836,0.1042
62.065,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7723,0.0849,0.1042
62.395,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7722,0.0851,0.1042
62.735,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7722,0.0852,0.1042
63.064,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7722,0.0865,0.1042
63.398,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7722,0.0871,0.1042
63.731,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7721,0.0873,0.1042
64.055,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7721,0.0886,0.1042
64.391,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7721,0.0887,0.1042
65.058,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7720,0.0910,0.1042
65.396,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7786,0.0921,0.1042
66.053,2,1.4485,76.88,0.424,1.4453,0.0023,-0.0960,1.7852,0.0939,0.1040
66.713,2,1.3575,81.88,0.305,1.3541,0.0012,-0.0960,1.7724,0.0929,0.1040
67.051,2,1.3252,83.88,0.461,1.3218,0.0012,-0.0955,1.7807,0.0931,0.1045
67.695,2,1.2373,89.88,0.330,1.2335,0.0011,-0.0964,1.7636,0.0925,0.1036
68.049,2,1.2105,91.88,0.608,1.2067,0.0011,-0.0955,1.7763,0.0935,0.1045
68.694,2,1.1368,97.88,0.735,1.1327,0.0010,-0.0956,1.7776,0.0950,0.1044
69.053,2,1.0924,101.88,0.830,1.0883,0.0010,-0.0955,1.7763,0.0953,0.1045
69.695,2,1.0135,109.88,1.042,1.0090,0.0009,-0.0955,1.7784,0.0955,0.1045
70.047,2,0.9749,114.88,0.768,0.9700,0.0017,-0.0970,1.7778,0.0964,0.1030
70.692,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7670,0.0963,0.1027
71.053,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7670,0.0965,0.1027
71.691,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7670,0.0967,0.1027
72.042,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7669,0.0970,0.1027
72.696,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7669,0.0974,0.1027
73.047,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7669,0.0977,0.1027
73.376,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7669,0.0979,0.1027
73.698,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7669,0.0979,0.1027
74.379,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7669,0.0975,0.1027
74.698,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7669,0.0977,0.1027
75.378,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7669,0.0984,0.1027
75.696,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7668,0.0992,0.1027
76.364,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7668,0.1000,0.1027
76.687,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7668,0.1000,0.1027
77.363,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7667,0.1007,0.1027
77.689,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7667,0.1008,0.1027
78.366,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7666,0.1023,0.1027
78.681,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7666,0.1022,0.1027
79.360,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7666,0.1028,0.1027
80.031,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7666,0.1033,0.1027
80.372,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7666,0.1033,0.1027
81.036,2,0.9617,115.88,0.392,0.9568,0.0009,-0.0973,1.7666,0.1030,0.1027
