t,robot,x,y
82.0,leo1,0.562,0.029
84.0,leo1,0.562,0.029
86.0,leo1,0.562,0.029
88.0,leo1,0.562,0.029
90.0,leo1,0.661,0.004
92.0,leo1,0.723,-0.033
94.0,leo1,0.712,-0.012
96.0,leo1,0.653,-0.142
98.0,leo1,0.379,-0.383
100.0,leo1,0.098,-0.493
102.0,leo1,0.095,-0.493
104.0,leo1,0.130,-0.518
106.0,leo1,0.328,-0.708
108.0,leo1,0.579,-0.903
110.0,leo1,0.580,-1.202
112.0,leo1,0.573,-1.520
114.0,leo1,0.710,-1.973
116.0,leo1,0.826,-2.472
118.0,leo1,0.993,-2.986
120.0,leo1,1.143,-3.474
122.0,leo1,1.407,-3.929
124.0,leo1,1.678,-4.274
126.0,leo1,1.788,-4.506
128.0,leo1,1.909,-4.884
130.0,leo1,2.211,-5.094
132.0,leo1,2.506,-5.313
134.0,leo1,2.620,-5.630
136.0,leo1,2.685,-6.156
138.0,leo1,2.759,-6.411
140.0,leo1,2.759,-6.411
142.0,leo1,2.766,-6.423
144.0,leo1,2.893,-6.428
146.0,leo1,2.986,-6.436
148.0,leo1,2.986,-6.436
150.0,leo1,2.997,-6.426
152.0,leo1,2.987,-6.455
154.0,leo1,2.909,-6.345
156.0,leo1,2.711,-6.232
158.0,leo1,2.453,-6.199
160.0,leo1,2.453,-6.199
162.0,leo1,2.453,-6.199
164.0,leo1,2.453,-6.199
166.0,leo1,2.453,-6.199
168.0,leo1,2.453,-6.199
170.0,leo1,2.453,-6.199
172.0,leo1,2.453,-6.199
174.0,leo1,2.453,-6.199
176.0,leo1,2.453,-6.199
178.0,leo1,2.453,-6.199
180.0,leo1,2.453,-6.199
182.0,leo1,2.453,-6.199
184.0,leo1,2.453,-6.199
186.0,leo1,2.436,-6.209
188.0,leo1,2.444,-6.193
190.0,leo1,2.500,-6.241
192.0,leo1,2.815,-6.388
194.0,leo1,3.244,-6.534
196.0,leo1,3.298,-6.551
198.0,leo1,3.303,-6.554
200.0,leo1,3.279,-6.547
202.0,leo1,3.245,-6.561
204.0,leo1,3.007,-6.527
206.0,leo1,2.579,-6.298
208.0,leo1,2.702,-6.025
210.0,leo1,2.449,-6.134
212.0,leo1,2.444,-6.135
214.0,leo1,2.431,-6.128
216.0,leo1,2.447,-6.137
218.0,leo1,2.583,-5.814
220.0,leo1,2.589,-5.603
222.0,leo1,2.894,-5.156
224.0,leo1,3.329,-5.268
226.0,leo1,3.325,-5.263
228.0,leo1,3.325,-5.263
230.0,leo1,3.325,-5.263
232.0,leo1,3.379,-5.334
234.0,leo1,3.443,-5.417
236.0,leo1,3.498,-5.490
238.0,leo1,3.505,-5.502
240.0,leo1,3.498,-5.506
242.0,leo1,3.498,-5.506
244.0,leo1,3.498,-5.506
246.0,leo1,3.498,-5.506
248.0,leo1,3.498,-5.506
250.0,leo1,3.498,-5.506
252.0,leo1,3.498,-5.506
254.0,leo1,3.498,-5.506
256.0,leo1,3.498,-5.506
258.0,leo1,3.498,-5.506
260.0,leo1,3.498,-5.506
262.0,leo1,3.498,-5.506
264.0,leo1,3.498,-5.506
266.0,leo1,3.498,-5.506
268.0,leo1,3.498,-5.506
270.0,leo1,3.498,-5.506
272.0,leo1,3.498,-5.506
274.0,leo1,3.498,-5.506
276.0,leo1,3.498,-5.506
278.0,leo1,3.498,-5.506
280.0,leo1,3.498,-5.506
282.0,leo1,3.498,-5.506
284.0,leo1,3.498,-5.506
286.0,leo1,3.498,-5.506
288.0,leo1,3.498,-5.506
290.0,leo1,3.498,-5.506
292.0,leo1,3.498,-5.506
