t,robot,x,y
82.0,leo2,0.486,0.007
84.0,leo2,0.486,0.007
86.0,leo2,0.486,0.007
88.0,leo2,0.486,0.007
90.0,leo2,0.439,0.008
92.0,leo2,0.387,0.023
94.0,leo2,0.373,0.032
96.0,leo2,0.350,0.024
98.0,leo2,0.154,-0.334
100.0,leo2,0.020,-0.700
102.0,leo2,0.026,-0.758
104.0,leo2,0.236,-0.652
106.0,leo2,0.753,-0.514
108.0,leo2,1.283,-0.546
110.0,leo2,1.666,-0.599
112.0,leo2,1.714,-0.622
114.0,leo2,1.798,-0.609
116.0,leo2,2.071,-0.365
118.0,leo2,2.540,-0.109
120.0,leo2,2.960,0.008
122.0,leo2,3.321,-0.024
124.0,leo2,3.343,-0.032
126.0,leo2,3.368,-0.021
128.0,leo2,3.358,-0.046
130.0,leo2,3.346,-0.039
132.0,leo2,3.176,0.059
134.0,leo2,2.822,0.024
136.0,leo2,2.767,0.001
138.0,leo2,2.790,0.017
140.0,leo2,2.947,-0.054
142.0,leo2,3.028,-0.056
144.0,leo2,3.027,-0.039
146.0,leo2,2.948,0.021
148.0,leo2,2.727,0.004
150.0,leo2,2.532,-0.094
152.0,leo2,2.545,-0.043
154.0,leo2,2.547,-0.071
156.0,leo2,2.726,-0.052
158.0,leo2,2.818,0.003
160.0,leo2,2.797,-0.010
162.0,leo2,2.809,-0.013
164.0,leo2,2.551,-0.055
166.0,leo2,2.198,-0.273
168.0,leo2,2.209,-0.227
170.0,leo2,2.219,-0.266
172.0,leo2,2.319,-0.282
174.0,leo2,2.329,-0.287
176.0,leo2,2.315,-0.298
178.0,leo2,2.290,-0.331
180.0,leo2,2.210,-0.349
182.0,leo2,2.210,-0.349
184.0,leo2,2.210,-0.349
186.0,leo2,2.191,-0.342
188.0,leo2,2.220,-0.333
190.0,leo2,2.339,-0.184
192.0,leo2,2.339,-0.201
194.0,leo2,2.328,-0.170
196.0,leo2,2.253,-0.321
198.0,leo2,2.062,-0.425
200.0,leo2,1.585,-0.461
202.0,leo2,1.046,-0.497
204.0,leo2,0.832,-0.211
206.0,leo2,0.934,-0.217
208.0,leo2,1.042,-0.224
210.0,leo2,1.120,-0.228
212.0,leo2,1.118,-0.219
214.0,leo2,1.138,-0.268
216.0,leo2,1.281,-0.340
218.0,leo2,1.349,-0.354
220.0,leo2,1.335,-0.325
222.0,leo2,1.276,-0.436
224.0,leo2,1.114,-0.532
226.0,leo2,1.031,-0.565
228.0,leo2,0.950,-0.601
230.0,leo2,0.884,-0.628
232.0,leo2,0.892,-0.625
234.0,leo2,0.946,-0.600
236.0,leo2,0.985,-0.565
238.0,leo2,1.019,-0.513
240.0,leo2,1.033,-0.476
242.0,leo2,1.045,-0.468
244.0,leo2,1.112,-0.520
246.0,leo2,1.474,-0.450
248.0,leo2,1.514,-0.430
250.0,leo2,1.502,-0.456
252.0,leo2,1.408,-0.411
254.0,leo2,1.175,-0.441
256.0,leo2,1.171,-0.439
258.0,leo2,1.184,-0.403
260.0,leo2,1.187,-0.389
262.0,leo2,1.188,-0.385
264.0,leo2,1.189,-0.382
266.0,leo2,1.191,-0.339
268.0,leo2,1.199,-0.338
270.0,leo2,1.198,-0.338
272.0,leo2,1.198,-0.338
274.0,leo2,1.286,-0.390
276.0,leo2,1.356,-0.472
278.0,leo2,1.422,-0.765
280.0,leo2,1.434,-0.790
282.0,leo2,1.469,-0.773
284.0,leo2,1.524,-0.747
286.0,leo2,1.553,-0.758
288.0,leo2,1.847,-1.202
290.0,leo2,1.841,-1.228
292.0,leo2,1.826,-1.198
