t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
85.1,,,,nan,,,,nan,0,,,0,0,0
90.0,,,,0.000,,,,nan,0,,,1,0,0
95.0,,,,0.000,,,,nan,0,,,1,0,0
100.0,,,,0.000,,,,nan,0,,,1,0,0
105.0,,,,0.000,,,,nan,0,,,1,0,0
110.0,,,,0.000,,,,nan,0,,,1,0,0
115.0,,,,0.000,,,,0.407,0,,,1,0,0
120.0,,,,0.000,,,,0.408,0,,,1,0,0
125.0,,,,0.000,,,,0.313,0,,,1,0,0
130.0,,,,0.000,,,,0.350,0,,,2,0,0
135.0,,,,0.000,,,,0.361,0,,,2,0,0
140.0,,,,0.000,,,,0.351,0,,,2,1,0
145.0,,,,0.000,,,,0.309,0,,,2,1,0
150.0,,,,0.000,,,,0.321,0,,,2,2,0
155.0,,,,0.000,,,,0.319,0,,,2,2,0
160.0,,,,0.000,,,,0.306,0,,,2,2,0
165.0,,,,0.000,,,,0.312,0,,,2,2,0
170.0,,,,0.000,,,,0.314,0,,,2,3,0
175.0,,,,0.000,,,,0.321,0,,,2,3,0
180.0,,,,0.000,,,,0.335,0,,,2,3,0
185.0,,,,0.000,,,,0.356,0,,,2,3,0
190.0,,,,0.000,,,,0.358,0,,,2,3,0
195.0,,,,0.000,,,,0.350,0,,,2,3,0
200.0,,,,0.000,,,,0.369,0,,,2,3,0
205.0,,,,0.000,,,,0.371,0,,,2,3,0
210.0,,,,0.000,,,,0.334,0,,,2,3,0
215.0,9.6014,-10.0093,177.783,0.175,,,,0.373,0,0.0593,-2.216,3,3,1
220.0,9.5924,-9.9970,177.792,0.175,,,,0.435,0,0.0476,-2.208,3,3,1
225.0,9.6320,-9.9613,178.315,0.175,,,,0.449,0,0.0340,-1.685,3,3,1
230.0,9.6546,-9.9439,178.596,0.175,,,,0.440,0,0.0549,-1.403,3,3,1
235.0,9.6546,-9.9439,178.596,0.175,,,,0.453,0,0.0549,-1.403,3,3,1
240.0,9.6546,-9.9439,178.596,0.175,,,,0.453,0,0.0549,-1.403,3,3,1
245.0,9.6546,-9.9439,178.596,0.175,,,,0.453,0,0.0549,-1.403,3,3,1
250.0,9.6546,-9.9439,178.596,0.175,,,,0.453,0,0.0549,-1.403,3,3,1
255.0,9.6546,-9.9439,178.596,0.175,,,,0.453,0,0.0549,-1.403,3,3,1
260.0,9.6546,-9.9439,178.596,0.175,,,,0.453,0,0.0549,-1.403,3,3,1
265.0,9.6546,-9.9439,178.596,0.175,,,,0.453,0,0.0549,-1.403,3,3,1
270.0,9.6546,-9.9439,178.596,0.175,,,,0.453,0,0.0549,-1.403,3,3,1
275.0,9.6546,-9.9439,178.596,0.175,,,,0.453,0,0.0549,-1.403,3,3,1
280.0,9.6758,-9.9270,178.868,0.175,,,,0.453,0,0.0792,-1.132,3,3,1
285.0,9.6786,-9.9158,179.016,0.175,,,,0.455,0,0.0857,-0.983,3,3,1
290.0,9.6804,-9.9108,179.084,0.175,,,,0.458,0,0.0895,-0.916,3,3,1
295.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
300.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
305.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
310.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
315.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
320.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
325.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
330.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
335.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
340.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
345.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
350.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
355.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
360.0,9.6804,-9.9108,179.084,0.175,,,,0.463,0,0.0895,-0.916,3,3,1
365.0,9.6804,-9.9108,179.084,0.175,,,,0.395,0,0.0895,-0.916,3,3,1
370.0,9.6804,-9.9108,179.084,0.175,9.6804,-9.8108,-179.970,0.508,1,0.1608,0.030,3,3,1
375.0,9.6804,-9.9108,179.084,0.175,9.6804,-9.8108,-179.970,0.559,1,0.1608,0.030,3,3,1
380.0,9.6804,-9.9108,179.084,0.175,9.6804,-9.8108,-179.970,0.547,1,0.1608,0.030,3,3,1
385.0,9.6804,-9.9108,179.084,0.175,9.6804,-9.8108,-179.970,0.581,1,0.1608,0.030,3,3,1
390.0,9.6804,-9.9108,179.084,0.175,9.6804,-9.8108,-179.970,0.574,1,0.1608,0.030,3,3,1
395.0,9.6804,-9.9108,179.084,0.175,9.6804,-9.8108,-179.970,0.570,1,0.1608,0.030,3,3,1
400.0,9.6804,-9.9108,179.084,0.175,9.6804,-9.8108,-179.970,0.571,1,0.1608,0.030,3,3,1
405.0,9.6804,-9.9108,179.084,0.175,9.6804,-9.8108,-179.970,0.571,1,0.1608,0.030,3,3,1
