t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
133.696,0,1.7156,74.94,0.109,1.5929,0.6297,-0.0958,3.0590,2.0525,0.1042
134.020,0,1.6751,70.91,0.193,1.6123,0.4440,-0.0957,3.0665,2.0578,0.1043
134.339,0,1.6336,69.88,0.040,1.6131,0.2398,-0.0958,3.0783,2.0645,0.1042
134.690,0,1.5572,71.88,0.050,1.5541,0.0216,-0.0960,3.0866,2.0465,0.1040
135.018,0,1.4950,74.89,0.111,1.4820,-0.1720,-0.0961,3.0894,2.0618,0.1039
135.323,0,1.4089,80.89,0.134,1.3811,-0.2612,-0.0964,3.0465,2.0688,0.1036
135.682,0,1.3682,81.89,0.094,1.3634,-0.0605,-0.0964,3.0330,2.0741,0.1036
136.029,0,1.3197,85.88,0.164,1.3087,0.1401,-0.0965,3.0407,2.0743,0.1035
136.326,0,1.2502,92.88,0.175,1.2225,0.2433,-0.0968,3.0446,2.0770,0.1032
136.683,0,1.2145,102.06,0.138,1.1472,0.3866,-0.0970,3.0455,2.0784,0.1030
146.994,9,3.7907,30.02,0.076,3.7548,0.5118,-0.0960,1.0806,-2.3707,0.1040
147.316,9,3.7307,30.92,0.186,3.6178,0.9060,-0.0958,1.0809,-2.3340,0.1042
147.668,9,3.6785,32.25,0.141,3.5289,1.0339,-0.0982,1.0106,-2.2944,0.1018
148.001,9,3.6449,31.92,0.091,3.5638,0.7581,-0.0987,0.9747,-2.3221,0.1013
148.330,9,3.5824,31.90,0.036,3.5523,0.4525,-0.0982,0.9839,-2.3247,0.1018
148.674,9,3.5624,31.90,0.039,3.5588,0.1259,-0.0985,0.9751,-2.3382,0.1015
149.007,9,3.5252,33.18,0.478,3.5166,-0.2243,-0.0989,0.9735,-2.3333,0.1011
149.674,9,3.4301,35.21,0.270,3.2889,-0.9691,-0.0989,0.9796,-2.3115,0.1011
151.683,9,3.1072,40.15,0.460,2.8921,-1.1315,-0.0985,1.1092,-2.5249,0.1015
152.014,9,3.0478,39.17,0.391,2.9391,-0.8004,-0.0994,1.1074,-2.5146,0.1006
152.336,9,2.9893,39.07,0.347,2.9475,-0.4882,-0.0995,1.1079,-2.5018,0.1005
152.699,9,2.9531,39.14,0.411,2.9447,-0.1994,-0.0995,1.0959,-2.5111,0.1005
153.013,9,2.9530,38.88,0.259,2.9504,0.0743,-0.0981,1.0693,-2.5474,0.1019
153.342,9,2.8951,39.84,0.240,2.8749,0.3261,-0.0983,1.0760,-2.5111,0.1017
154.338,9,2.7479,44.88,0.171,2.5399,1.0439,-0.0981,1.0804,-2.5099,0.1019
154.687,9,2.6402,48.88,0.118,2.3224,1.2521,-0.0941,1.1070,-2.4643,0.1059
158.023,9,2.0362,62.92,0.225,1.8282,0.8914,-0.0953,1.1167,-2.4413,0.1047
158.340,9,1.9697,63.35,0.176,1.8183,0.7512,-0.0954,1.1162,-2.4528,0.1046
158.693,9,1.8830,65.35,0.212,1.7637,0.6526,-0.0955,1.1156,-2.4506,0.1045
159.015,9,1.8093,67.96,0.141,1.7138,0.5723,-0.0956,1.1131,-2.4617,0.1044
159.349,9,1.7341,71.24,0.342,1.6492,0.5274,-0.0957,1.1088,-2.4696,0.1043
159.673,9,1.6509,75.18,0.406,1.5682,0.5071,-0.0958,1.1065,-2.4743,0.1042
160.027,9,1.5642,79.31,0.303,1.4823,0.4903,-0.0961,1.1118,-2.4565,0.1039
160.332,9,1.4833,84.49,0.296,1.4025,0.4729,-0.0963,1.1122,-2.4564,0.1037
160.667,9,1.3953,90.08,0.396,1.3193,0.4436,-0.0965,1.1095,-2.4553,0.1035
161.333,9,1.2331,101.45,0.515,1.1903,0.3073,-0.0968,1.1007,-2.4620,0.1032
161.679,9,1.1392,108.30,0.258,1.1180,0.1962,-0.0971,1.1021,-2.4574,0.1029
162.004,9,1.0512,117.53,0.410,1.0432,0.0864,-0.0972,1.1042,-2.4619,0.1028
162.333,9,0.9650,129.28,0.569,0.9598,-0.0230,-0.0974,1.1103,-2.4661,0.1026
162.679,9,0.8721,147.26,0.770,0.8573,-0.1269,-0.0969,1.1215,-2.4636,0.1031
163.002,9,0.7917,170.63,1.211,0.7568,-0.2110,-0.0972,1.1368,-2.4741,0.1028
163.337,8,4.2776,28.87,0.097,3.8557,1.8498,-0.0977,3.4403,-5.5441,0.1023
163.337,9,0.7062,203.22,0.348,0.6436,-0.2740,-0.0972,1.1383,-2.4572,0.1028
163.682,8,4.2394,28.69,0.306,3.9468,1.5447,-0.0985,3.4713,-5.5730,0.1015
164.329,8,4.0574,28.63,0.116,3.8904,1.1479,-0.0991,3.4903,-5.5599,0.1009
164.662,8,4.0205,28.71,0.079,3.8726,1.0760,-0.0983,3.5178,-5.5998,0.1017
164.999,8,3.8804,29.79,0.083,3.7479,1.0008,-0.0985,3.4891,-5.5555,0.1015
165.327,8,3.8165,30.69,0.231,3.6894,0.9720,-0.0987,3.4985,-5.5738,0.1013
165.659,8,3.7332,30.81,0.063,3.6040,0.9690,-0.0977,3.5006,-5.5758,0.1023
