t,robot,x,y
82.0,leo1,0.706,0.035
84.0,leo1,0.706,0.035
86.0,leo1,0.706,0.035
88.0,leo1,0.706,0.035
90.0,leo1,0.750,0.003
92.0,leo1,0.811,-0.084
94.0,leo1,0.823,-0.114
96.0,leo1,0.823,-0.114
98.0,leo1,0.815,-0.128
100.0,leo1,0.749,-0.140
102.0,leo1,0.366,-0.022
104.0,leo1,0.028,0.190
106.0,leo1,-0.032,0.257
108.0,leo1,-0.032,0.257
110.0,leo1,0.007,0.247
112.0,leo1,-0.024,0.242
114.0,leo1,-0.008,0.069
116.0,leo1,0.283,-0.461
118.0,leo1,0.541,-0.897
120.0,leo1,0.628,-1.215
122.0,leo1,0.628,-1.218
124.0,leo1,0.628,-1.218
126.0,leo1,0.640,-1.688
128.0,leo1,0.706,-2.204
130.0,leo1,0.874,-2.717
132.0,leo1,1.053,-3.177
134.0,leo1,1.188,-3.620
136.0,leo1,1.257,-3.707
138.0,leo1,1.427,-3.892
140.0,leo1,1.657,-4.379
142.0,leo1,1.872,-4.833
144.0,leo1,2.270,-5.154
146.0,leo1,2.487,-5.378
148.0,leo1,2.599,-5.878
150.0,leo1,2.708,-6.289
152.0,leo1,2.708,-6.291
154.0,leo1,2.807,-6.423
156.0,leo1,3.163,-6.580
158.0,leo1,3.436,-6.645
160.0,leo1,3.436,-6.645
162.0,leo1,3.701,-6.619
164.0,leo1,4.110,-6.577
166.0,leo1,4.279,-6.635
168.0,leo1,4.278,-6.635
170.0,leo1,4.278,-6.635
172.0,leo1,4.278,-6.635
174.0,leo1,4.300,-6.653
176.0,leo1,4.337,-6.698
178.0,leo1,4.277,-6.717
180.0,leo1,4.277,-6.717
182.0,leo1,4.277,-6.717
184.0,leo1,4.234,-6.745
186.0,leo1,4.156,-6.799
188.0,leo1,4.074,-6.854
190.0,leo1,4.010,-6.912
192.0,leo1,3.972,-6.978
194.0,leo1,3.972,-6.978
196.0,leo1,3.972,-6.978
198.0,leo1,3.972,-6.978
200.0,leo1,3.972,-6.978
202.0,leo1,3.972,-6.978
204.0,leo1,3.972,-6.978
206.0,leo1,3.972,-6.978
208.0,leo1,3.972,-6.978
210.0,leo1,3.972,-6.978
212.0,leo1,3.972,-6.978
214.0,leo1,3.972,-6.978
216.0,leo1,3.972,-6.978
218.0,leo1,3.972,-6.978
220.0,leo1,3.972,-6.978
222.0,leo1,3.972,-6.978
224.0,leo1,3.972,-6.978
226.0,leo1,3.972,-6.978
228.0,leo1,3.972,-6.978
230.0,leo1,3.972,-6.978
232.0,leo1,3.939,-6.857
234.0,leo1,3.944,-6.860
236.0,leo1,3.891,-6.809
238.0,leo1,3.868,-6.764
240.0,leo1,3.857,-6.725
242.0,leo1,3.855,-6.671
244.0,leo1,3.870,-6.617
246.0,leo1,4.021,-6.509
248.0,leo1,4.409,-6.454
250.0,leo1,4.623,-6.557
252.0,leo1,4.692,-6.755
254.0,leo1,4.659,-7.052
256.0,leo1,4.644,-7.089
258.0,leo1,4.641,-7.090
260.0,leo1,4.647,-7.072
262.0,leo1,4.755,-6.901
264.0,leo1,4.924,-6.416
266.0,leo1,5.101,-6.070
268.0,leo1,5.543,-5.886
270.0,leo1,6.062,-5.815
272.0,leo1,6.584,-5.833
274.0,leo1,7.079,-5.987
276.0,leo1,7.549,-6.237
278.0,leo1,7.813,-6.497
280.0,leo1,7.945,-6.807
282.0,leo1,8.075,-7.323
284.0,leo1,8.171,-7.820
286.0,leo1,8.225,-8.315
288.0,leo1,8.066,-8.746
290.0,leo1,7.770,-8.994
292.0,leo1,7.709,-9.077
294.0,leo1,7.603,-9.415
296.0,leo1,7.421,-9.574
298.0,leo1,6.938,-9.777
300.0,leo1,6.480,-9.898
302.0,leo1,6.006,-9.780
304.0,leo1,5.507,-9.601
306.0,leo1,5.312,-9.507
308.0,leo1,5.302,-9.499
310.0,leo1,5.287,-9.506
312.0,leo1,5.301,-9.463
314.0,leo1,5.406,-9.597
316.0,leo1,5.342,-9.551
318.0,leo1,5.257,-9.492
320.0,leo1,5.178,-9.437
322.0,leo1,5.637,-9.637
324.0,leo1,6.137,-9.792
326.0,leo1,6.594,-9.914
328.0,leo1,7.017,-9.760
330.0,leo1,7.459,-9.553
332.0,leo1,7.809,-9.196
334.0,leo1,8.083,-8.743
336.0,leo1,8.253,-8.262
338.0,leo1,8.212,-7.748
340.0,leo1,8.098,-7.255
342.0,leo1,8.074,-6.725
344.0,leo1,8.096,-6.222
346.0,leo1,8.159,-5.711
348.0,leo1,8.250,-5.186
350.0,leo1,8.407,-4.699
352.0,leo1,8.444,-4.188
354.0,leo1,8.435,-3.661
356.0,leo1,8.524,-3.156
358.0,leo1,8.687,-2.861
360.0,leo1,8.748,-2.799
362.0,leo1,8.736,-2.837
364.0,leo1,8.723,-2.812
366.0,leo1,8.518,-2.797
368.0,leo1,8.004,-3.078
370.0,leo1,7.513,-3.158
372.0,leo1,7.125,-3.164
374.0,leo1,7.094,-3.165
376.0,leo1,7.094,-3.165
378.0,leo1,7.073,-3.156
380.0,leo1,7.087,-3.201
382.0,leo1,7.157,-3.111
384.0,leo1,7.443,-3.078
386.0,leo1,8.010,-3.040
388.0,leo1,8.242,-2.866
390.0,leo1,8.409,-2.465
392.0,leo1,8.424,-1.945
394.0,leo1,8.468,-1.427
396.0,leo1,8.519,-0.896
398.0,leo1,8.504,-0.384
400.0,leo1,8.489,0.095
402.0,leo1,8.495,0.197
404.0,leo1,8.489,0.239
406.0,leo1,8.485,0.250
