t,robot,x,y
82.0,leo2,0.490,0.007
84.0,leo2,0.490,0.007
86.0,leo2,0.490,0.007
88.0,leo2,0.490,0.007
90.0,leo2,0.444,0.009
92.0,leo2,0.392,0.023
94.0,leo2,0.378,0.033
96.0,leo2,0.349,0.020
98.0,leo2,0.145,-0.344
100.0,leo2,0.053,-0.753
102.0,leo2,0.053,-0.755
104.0,leo2,0.053,-0.755
106.0,leo2,-0.014,-0.893
108.0,leo2,-0.274,-1.078
110.0,leo2,-0.433,-1.102
112.0,leo2,-0.460,-1.114
114.0,leo2,-0.480,-1.122
116.0,leo2,-0.494,-1.127
118.0,leo2,-0.494,-1.127
120.0,leo2,-0.494,-1.127
122.0,leo2,-0.494,-1.127
124.0,leo2,-0.494,-1.127
126.0,leo2,-0.494,-1.127
128.0,leo2,-0.494,-1.127
130.0,leo2,-0.494,-1.127
132.0,leo2,-0.494,-1.127
134.0,leo2,-0.494,-1.127
136.0,leo2,-0.494,-1.127
138.0,leo2,-0.494,-1.127
140.0,leo2,-0.494,-1.127
142.0,leo2,-0.494,-1.127
144.0,leo2,-0.494,-1.127
146.0,leo2,-0.494,-1.127
148.0,leo2,-0.494,-1.127
150.0,leo2,-0.494,-1.127
152.0,leo2,-0.494,-1.127
154.0,leo2,-0.494,-1.127
156.0,leo2,-0.494,-1.127
158.0,leo2,-0.494,-1.127
160.0,leo2,-0.494,-1.127
162.0,leo2,-0.494,-1.127
164.0,leo2,-0.494,-1.127
166.0,leo2,-0.494,-1.127
168.0,leo2,-0.494,-1.127
170.0,leo2,-0.357,-0.929
172.0,leo2,-0.367,-0.913
174.0,leo2,-0.412,-1.045
176.0,leo2,-0.415,-1.051
178.0,leo2,-0.417,-1.055
180.0,leo2,-0.418,-1.058
182.0,leo2,-0.418,-1.059
184.0,leo2,-0.419,-1.060
186.0,leo2,-0.419,-1.061
188.0,leo2,-0.419,-1.061
190.0,leo2,-0.419,-1.061
192.0,leo2,-0.419,-1.061
194.0,leo2,-0.393,-1.024
196.0,leo2,-0.355,-0.995
198.0,leo2,-0.317,-0.979
200.0,leo2,-0.266,-0.969
202.0,leo2,-0.244,-0.968
204.0,leo2,-0.246,-0.968
206.0,leo2,-0.486,-0.860
208.0,leo2,-0.589,-0.555
210.0,leo2,-0.588,-0.557
212.0,leo2,-0.571,-0.576
214.0,leo2,-0.552,-0.596
216.0,leo2,-0.521,-0.625
218.0,leo2,-0.493,-0.639
220.0,leo2,-0.520,-0.656
222.0,leo2,-0.516,-0.650
224.0,leo2,-0.513,-0.647
226.0,leo2,-0.543,-0.707
228.0,leo2,-0.618,-1.078
230.0,leo2,-0.508,-1.052
232.0,leo2,-0.504,-1.038
234.0,leo2,-0.480,-0.991
236.0,leo2,-0.425,-0.946
238.0,leo2,-0.387,-0.930
240.0,leo2,-0.340,-0.920
242.0,leo2,-0.325,-0.919
244.0,leo2,-0.319,-0.919
246.0,leo2,-0.315,-0.919
248.0,leo2,-0.312,-0.920
250.0,leo2,-0.312,-0.920
252.0,leo2,-0.311,-0.920
254.0,leo2,-0.312,-0.920
256.0,leo2,-0.314,-0.920
258.0,leo2,-0.444,-0.886
260.0,leo2,-0.650,-0.742
262.0,leo2,-0.592,-0.562
264.0,leo2,-0.574,-0.582
266.0,leo2,-0.554,-0.602
268.0,leo2,-0.523,-0.628
270.0,leo2,-0.498,-0.639
272.0,leo2,-0.527,-0.657
274.0,leo2,-0.522,-0.650
