t,robot,x,y
78.0,leo1,0.669,0.033
80.0,leo1,0.669,0.033
82.0,leo1,0.669,0.033
84.0,leo1,0.669,0.033
86.0,leo1,0.777,0.015
88.0,leo1,0.819,-0.003
90.0,leo1,0.818,0.000
92.0,leo1,0.776,-0.053
94.0,leo1,0.574,-0.237
96.0,leo1,0.103,-0.471
98.0,leo1,0.101,-0.472
100.0,leo1,0.101,-0.472
102.0,leo1,0.106,-0.463
104.0,leo1,0.153,-0.534
106.0,leo1,0.380,-0.746
108.0,leo1,0.627,-0.980
110.0,leo1,0.625,-1.423
112.0,leo1,0.624,-1.732
114.0,leo1,0.698,-2.177
116.0,leo1,0.876,-2.693
118.0,leo1,1.060,-3.169
120.0,leo1,1.196,-3.662
122.0,leo1,1.254,-3.831
124.0,leo1,1.253,-3.831
126.0,leo1,1.253,-3.831
128.0,leo1,1.253,-3.831
130.0,leo1,1.244,-3.844
132.0,leo1,1.106,-3.903
134.0,leo1,0.669,-3.965
136.0,leo1,0.634,-3.981
138.0,leo1,0.634,-3.981
140.0,leo1,0.634,-3.981
142.0,leo1,0.634,-3.981
144.0,leo1,0.634,-3.981
146.0,leo1,0.634,-3.981
148.0,leo1,0.634,-3.981
150.0,leo1,0.630,-3.981
152.0,leo1,0.653,-3.974
154.0,leo1,0.669,-3.976
156.0,leo1,0.936,-3.910
158.0,leo1,1.019,-3.874
160.0,leo1,1.018,-3.869
162.0,leo1,1.018,-3.869
164.0,leo1,1.031,-3.903
166.0,leo1,1.070,-3.999
168.0,leo1,1.108,-4.095
170.0,leo1,1.189,-4.055
172.0,leo1,1.208,-4.102
174.0,leo1,1.231,-4.093
176.0,leo1,1.274,-4.091
178.0,leo1,1.510,-4.153
180.0,leo1,1.752,-4.340
182.0,leo1,1.869,-4.719
184.0,leo1,2.086,-4.973
186.0,leo1,2.429,-5.210
188.0,leo1,2.573,-5.462
190.0,leo1,2.648,-5.987
192.0,leo1,2.775,-6.365
194.0,leo1,2.786,-6.394
196.0,leo1,2.786,-6.394
198.0,leo1,2.774,-6.400
200.0,leo1,2.792,-6.393
202.0,leo1,2.551,-6.321
204.0,leo1,2.175,-6.155
206.0,leo1,2.171,-6.155
208.0,leo1,2.168,-6.154
210.0,leo1,2.193,-6.157
212.0,leo1,2.203,-6.157
214.0,leo1,2.208,-6.158
216.0,leo1,2.211,-6.158
218.0,leo1,2.212,-6.158
220.0,leo1,2.212,-6.158
222.0,leo1,2.212,-6.158
224.0,leo1,2.211,-6.158
226.0,leo1,2.211,-6.158
228.0,leo1,2.210,-6.158
230.0,leo1,2.210,-6.158
232.0,leo1,2.210,-6.158
234.0,leo1,2.209,-6.158
236.0,leo1,2.209,-6.158
238.0,leo1,2.209,-6.158
240.0,leo1,2.209,-6.158
242.0,leo1,2.208,-6.158
244.0,leo1,2.208,-6.158
246.0,leo1,2.208,-6.158
248.0,leo1,2.208,-6.158
250.0,leo1,2.208,-6.158
252.0,leo1,2.208,-6.158
254.0,leo1,2.208,-6.158
256.0,leo1,2.207,-6.158
258.0,leo1,2.207,-6.158
260.0,leo1,2.207,-6.158
262.0,leo1,2.207,-6.158
264.0,leo1,2.207,-6.158
266.0,leo1,2.207,-6.158
268.0,leo1,2.206,-6.158
270.0,leo1,2.262,-6.144
272.0,leo1,2.264,-6.139
274.0,leo1,2.139,-6.306
276.0,leo1,1.808,-6.399
278.0,leo1,1.289,-6.352
280.0,leo1,0.886,-6.377
282.0,leo1,0.791,-6.397
284.0,leo1,0.791,-6.397
286.0,leo1,0.508,-6.549
288.0,leo1,0.219,-6.764
290.0,leo1,0.132,-6.920
292.0,leo1,0.131,-6.921
294.0,leo1,0.141,-6.905
296.0,leo1,0.135,-6.912
298.0,leo1,0.281,-6.819
300.0,leo1,0.516,-6.737
302.0,leo1,0.726,-6.688
304.0,leo1,0.734,-6.692
306.0,leo1,0.730,-6.690
308.0,leo1,0.729,-6.689
310.0,leo1,0.728,-6.688
312.0,leo1,0.728,-6.688
314.0,leo1,0.694,-6.683
316.0,leo1,0.683,-6.684
318.0,leo1,0.679,-6.685
320.0,leo1,0.678,-6.685
322.0,leo1,0.678,-6.685
324.0,leo1,0.677,-6.685
326.0,leo1,0.678,-6.685
328.0,leo1,0.678,-6.685
330.0,leo1,0.678,-6.685
332.0,leo1,0.678,-6.685
334.0,leo1,0.679,-6.685
336.0,leo1,0.679,-6.685
338.0,leo1,0.679,-6.685
340.0,leo1,0.679,-6.685
342.0,leo1,0.679,-6.685
344.0,leo1,0.679,-6.685
346.0,leo1,0.679,-6.685
348.0,leo1,0.679,-6.685
350.0,leo1,0.680,-6.684
352.0,leo1,0.680,-6.684
354.0,leo1,0.680,-6.684
356.0,leo1,0.680,-6.684
358.0,leo1,0.681,-6.684
360.0,leo1,0.681,-6.684
362.0,leo1,0.681,-6.684
364.0,leo1,0.681,-6.684
366.0,leo1,0.682,-6.684
368.0,leo1,0.682,-6.684
370.0,leo1,0.682,-6.684
372.0,leo1,0.682,-6.684
374.0,leo1,0.682,-6.684
376.0,leo1,0.682,-6.684
378.0,leo1,0.682,-6.684
380.0,leo1,0.633,-6.694
382.0,leo1,0.535,-6.713
384.0,leo1,0.439,-6.731
386.0,leo1,0.434,-6.732
388.0,leo1,0.434,-6.732
390.0,leo1,0.434,-6.732
392.0,leo1,0.434,-6.732
394.0,leo1,0.674,-6.616
396.0,leo1,0.761,-6.588
398.0,leo1,0.787,-6.585
400.0,leo1,0.788,-6.585
402.0,leo1,0.788,-6.585
404.0,leo1,0.789,-6.585
406.0,leo1,0.789,-6.585
408.0,leo1,0.789,-6.585
410.0,leo1,0.789,-6.585
412.0,leo1,0.789,-6.585
412.0,leo2,0.684,-0.570
414.0,leo1,0.789,-6.585
414.0,leo2,0.694,-0.580
416.0,leo1,0.789,-6.585
416.0,leo2,0.709,-0.637
418.0,leo1,0.789,-6.585
418.0,leo2,0.656,-1.059
420.0,leo1,0.789,-6.585
420.0,leo2,0.638,-1.617
422.0,leo1,0.789,-6.585
422.0,leo2,0.687,-2.143
424.0,leo1,0.788,-6.585
424.0,leo2,0.881,-2.644
426.0,leo1,0.789,-6.585
426.0,leo2,1.071,-3.145
428.0,leo1,0.788,-6.585
428.0,leo2,1.271,-3.610
430.0,leo1,0.789,-6.585
430.0,leo2,1.577,-4.026
432.0,leo1,0.432,-6.617
432.0,leo2,1.784,-4.522
434.0,leo1,0.055,-6.651
434.0,leo2,2.029,-4.888
436.0,leo1,0.055,-6.651
436.0,leo2,2.452,-5.172
438.0,leo1,0.055,-6.651
438.0,leo2,2.624,-5.407
440.0,leo1,0.055,-6.651
440.0,leo2,2.816,-5.907
442.0,leo1,0.055,-6.651
442.0,leo2,3.081,-6.329
444.0,leo1,0.055,-6.651
444.0,leo2,3.386,-6.543
446.0,leo1,0.055,-6.651
446.0,leo2,3.751,-6.522
448.0,leo1,0.055,-6.651
448.0,leo2,4.274,-6.424
450.0,leo1,0.055,-6.651
450.0,leo2,4.698,-6.450
452.0,leo1,0.055,-6.651
452.0,leo2,5.049,-6.192
454.0,leo1,0.055,-6.651
454.0,leo2,5.470,-5.865
456.0,leo1,0.055,-6.651
456.0,leo2,5.937,-5.751
458.0,leo1,0.055,-6.651
458.0,leo2,6.456,-5.778
460.0,leo1,0.055,-6.651
460.0,leo2,6.963,-5.781
462.0,leo1,0.055,-6.651
462.0,leo2,7.455,-5.695
464.0,leo1,0.055,-6.651
464.0,leo2,7.799,-5.453
466.0,leo1,0.055,-6.651
466.0,leo2,7.938,-5.201
468.0,leo1,0.055,-6.651
468.0,leo2,8.058,-4.937
470.0,leo1,0.055,-6.651
470.0,leo2,8.446,-4.749
472.0,leo1,0.055,-6.651
472.0,leo2,8.514,-4.447
474.0,leo1,0.055,-6.651
474.0,leo2,8.482,-3.932
476.0,leo1,0.055,-6.651
476.0,leo2,8.469,-3.426
478.0,leo1,0.055,-6.651
478.0,leo2,8.304,-3.167
480.0,leo1,0.055,-6.651
480.0,leo2,8.093,-3.046
482.0,leo1,0.055,-6.651
482.0,leo2,7.926,-3.027
484.0,leo1,0.055,-6.651
484.0,leo2,7.932,-3.008
486.0,leo1,0.055,-6.651
486.0,leo2,7.944,-3.008
488.0,leo1,0.055,-6.651
488.0,leo2,7.923,-2.997
490.0,leo1,0.055,-6.651
490.0,leo2,7.842,-3.078
492.0,leo1,0.055,-6.651
492.0,leo2,7.459,-3.082
494.0,leo1,0.055,-6.651
494.0,leo2,6.935,-3.069
496.0,leo1,0.055,-6.651
496.0,leo2,6.668,-3.079
498.0,leo1,0.055,-6.651
498.0,leo2,6.644,-3.069
500.0,leo1,0.055,-6.651
500.0,leo2,6.659,-3.118
502.0,leo1,0.055,-6.651
502.0,leo2,6.724,-3.031
504.0,leo1,0.055,-6.651
504.0,leo2,7.003,-2.991
506.0,leo1,0.055,-6.651
506.0,leo2,7.526,-3.035
508.0,leo1,0.055,-6.651
508.0,leo2,8.161,-3.092
510.0,leo1,0.055,-6.651
510.0,leo2,8.184,-3.098
512.0,leo1,0.055,-6.651
512.0,leo2,8.184,-3.098
514.0,leo1,0.055,-6.651
514.0,leo2,8.184,-3.098
516.0,leo1,0.055,-6.651
516.0,leo2,8.167,-3.144
518.0,leo1,0.055,-6.651
518.0,leo2,8.130,-3.244
520.0,leo1,0.055,-6.651
520.0,leo2,8.095,-3.339
522.0,leo1,0.055,-6.651
522.0,leo2,8.084,-3.374
524.0,leo1,0.055,-6.651
524.0,leo2,8.037,-3.392
526.0,leo1,0.055,-6.651
526.0,leo2,8.202,-3.415
528.0,leo1,0.055,-6.651
528.0,leo2,8.207,-3.413
530.0,leo1,0.055,-6.651
530.0,leo2,8.209,-3.406
532.0,leo1,0.055,-6.651
532.0,leo2,8.203,-3.428
534.0,leo1,0.055,-6.651
534.0,leo2,8.389,-3.634
536.0,leo1,0.055,-6.651
536.0,leo2,8.482,-3.976
538.0,leo1,0.055,-6.651
538.0,leo2,8.490,-4.497
540.0,leo1,0.055,-6.651
540.0,leo2,8.658,-4.766
542.0,leo1,0.055,-6.651
542.0,leo2,8.909,-4.868
544.0,leo1,0.055,-6.651
544.0,leo2,9.430,-4.835
546.0,leo1,0.055,-6.651
546.0,leo2,9.703,-4.955
548.0,leo1,0.055,-6.651
548.0,leo2,9.842,-5.153
550.0,leo1,0.055,-6.651
550.0,leo2,9.857,-5.615
552.0,leo1,0.055,-6.651
552.0,leo2,9.945,-6.147
554.0,leo1,0.055,-6.651
554.0,leo2,10.145,-6.539
556.0,leo1,0.055,-6.651
556.0,leo2,10.182,-6.602
558.0,leo1,0.055,-6.651
558.0,leo2,10.436,-6.907
560.0,leo1,0.055,-6.651
560.0,leo2,10.818,-7.089
562.0,leo1,0.055,-6.651
562.0,leo2,11.117,-7.129
564.0,leo1,0.055,-6.651
564.0,leo2,11.117,-7.129
566.0,leo1,0.055,-6.651
566.0,leo2,11.133,-7.137
568.0,leo1,0.055,-6.651
568.0,leo2,11.117,-7.106
570.0,leo1,0.055,-6.651
570.0,leo2,11.040,-7.169
572.0,leo1,0.055,-6.651
572.0,leo2,10.758,-7.171
574.0,leo1,0.055,-6.651
574.0,leo2,10.393,-6.952
576.0,leo1,0.055,-6.651
576.0,leo2,10.064,-6.603
578.0,leo1,0.055,-6.651
578.0,leo2,9.902,-6.100
580.0,leo1,0.055,-6.651
580.0,leo2,9.865,-5.581
582.0,leo1,0.055,-6.651
582.0,leo2,9.805,-5.108
584.0,leo1,0.055,-6.651
584.0,leo2,9.667,-4.913
586.0,leo1,0.055,-6.651
586.0,leo2,9.407,-4.858
