t,robot,x,y
80.0,leo1,0.669,0.033
82.0,leo1,0.669,0.033
84.0,leo1,0.669,0.033
86.0,leo1,0.777,0.015
88.0,leo1,0.819,-0.003
90.0,leo1,0.818,0.000
92.0,leo1,0.776,-0.053
94.0,leo1,0.574,-0.237
96.0,leo1,0.103,-0.471
98.0,leo1,0.101,-0.472
100.0,leo1,0.101,-0.472
102.0,leo1,0.106,-0.463
104.0,leo1,0.153,-0.534
106.0,leo1,0.380,-0.746
108.0,leo1,0.627,-0.980
110.0,leo1,0.625,-1.423
112.0,leo1,0.624,-1.732
114.0,leo1,0.698,-2.177
116.0,leo1,0.876,-2.693
118.0,leo1,1.060,-3.169
120.0,leo1,1.196,-3.662
122.0,leo1,1.254,-3.831
124.0,leo1,1.253,-3.831
126.0,leo1,1.253,-3.831
128.0,leo1,1.253,-3.831
130.0,leo1,1.244,-3.844
132.0,leo1,1.106,-3.903
134.0,leo1,0.669,-3.965
136.0,leo1,0.634,-3.981
138.0,leo1,0.634,-3.981
140.0,leo1,0.634,-3.981
142.0,leo1,0.634,-3.981
144.0,leo1,0.634,-3.981
146.0,leo1,0.634,-3.981
148.0,leo1,0.634,-3.981
150.0,leo1,0.630,-3.981
152.0,leo1,0.653,-3.974
154.0,leo1,0.669,-3.976
156.0,leo1,0.936,-3.910
158.0,leo1,1.019,-3.874
160.0,leo1,1.018,-3.869
162.0,leo1,1.018,-3.869
164.0,leo1,1.031,-3.903
166.0,leo1,1.070,-3.999
168.0,leo1,1.108,-4.095
170.0,leo1,1.189,-4.055
172.0,leo1,1.208,-4.102
174.0,leo1,1.231,-4.093
176.0,leo1,1.274,-4.091
178.0,leo1,1.510,-4.153
180.0,leo1,1.752,-4.340
182.0,leo1,1.869,-4.719
184.0,leo1,2.086,-4.973
186.0,leo1,2.429,-5.210
188.0,leo1,2.573,-5.462
190.0,leo1,2.648,-5.987
192.0,leo1,2.775,-6.365
194.0,leo1,2.786,-6.394
196.0,leo1,2.786,-6.394
