t,robot,x,y
64.0,leo1,0.692,0.025
66.0,leo1,0.692,0.025
68.0,leo1,0.692,0.025
70.0,leo1,0.797,0.008
72.0,leo1,0.809,0.003
74.0,leo1,0.811,0.005
76.0,leo1,0.770,-0.033
78.0,leo1,0.551,-0.230
80.0,leo1,0.050,-0.495
82.0,leo1,0.050,-0.495
84.0,leo1,0.050,-0.495
86.0,leo1,0.051,-0.491
88.0,leo1,0.100,-0.512
90.0,leo1,0.303,-0.682
92.0,leo1,0.630,-0.896
94.0,leo1,0.642,-1.214
96.0,leo1,0.599,-1.544
98.0,leo1,0.616,-1.942
100.0,leo1,0.727,-2.465
102.0,leo1,0.902,-2.834
104.0,leo1,0.915,-2.862
106.0,leo1,1.085,-3.278
108.0,leo1,1.254,-3.776
110.0,leo1,1.529,-4.204
112.0,leo1,1.728,-4.685
114.0,leo1,2.073,-5.065
116.0,leo1,2.381,-5.324
118.0,leo1,2.489,-5.611
120.0,leo1,2.513,-5.705
122.0,leo1,2.538,-5.795
124.0,leo1,2.532,-5.795
126.0,leo1,2.696,-5.923
128.0,leo1,2.876,-6.286
130.0,leo1,3.167,-6.566
132.0,leo1,3.290,-6.617
134.0,leo1,3.333,-6.626
136.0,leo1,3.333,-6.626
138.0,leo1,3.540,-6.616
140.0,leo1,4.058,-6.522
142.0,leo1,4.528,-6.594
144.0,leo1,4.670,-6.631
146.0,leo1,4.774,-6.595
148.0,leo1,5.090,-6.256
150.0,leo1,5.118,-6.228
152.0,leo1,5.118,-6.228
154.0,leo1,5.262,-6.094
156.0,leo1,5.672,-5.916
158.0,leo1,6.217,-5.914
160.0,leo1,6.609,-5.884
162.0,leo1,6.668,-5.886
164.0,leo1,6.668,-5.886
166.0,leo1,7.034,-5.971
168.0,leo1,7.513,-6.152
170.0,leo1,7.903,-6.439
172.0,leo1,7.979,-6.505
174.0,leo1,7.945,-6.493
176.0,leo1,7.845,-6.490
178.0,leo1,7.748,-6.487
180.0,leo1,7.649,-6.485
182.0,leo1,7.740,-6.437
184.0,leo1,7.988,-6.143
186.0,leo1,8.271,-5.708
188.0,leo1,8.358,-5.527
190.0,leo1,8.353,-5.522
192.0,leo1,8.353,-5.432
194.0,leo1,8.475,-5.167
196.0,leo1,8.711,-5.046
198.0,leo1,9.197,-5.038
200.0,leo1,9.696,-5.028
202.0,leo1,9.867,-5.035
204.0,leo1,9.869,-5.035
206.0,leo1,9.882,-5.056
208.0,leo1,9.926,-5.173
210.0,leo1,9.824,-5.648
212.0,leo1,9.787,-6.202
214.0,leo1,9.828,-6.541
216.0,leo1,9.828,-6.541
218.0,leo1,9.837,-6.560
220.0,leo1,9.796,-6.546
222.0,leo1,9.850,-6.489
224.0,leo1,9.850,-6.213
226.0,leo1,9.817,-5.677
228.0,leo1,9.931,-5.402
230.0,leo1,10.137,-5.259
232.0,leo1,10.614,-5.277
234.0,leo1,11.141,-5.308
236.0,leo1,11.639,-5.284
238.0,leo1,12.075,-5.366
240.0,leo1,12.320,-5.565
242.0,leo1,12.353,-5.642
244.0,leo1,12.364,-5.642
246.0,leo1,12.259,-5.576
248.0,leo1,11.884,-5.266
250.0,leo1,11.548,-5.226
252.0,leo1,11.050,-5.274
254.0,leo1,10.527,-5.242
256.0,leo1,10.067,-5.206
258.0,leo1,9.581,-5.067
260.0,leo1,9.039,-5.024
262.0,leo1,8.686,-4.985
264.0,leo1,8.483,-4.784
266.0,leo1,8.410,-4.424
268.0,leo1,8.427,-3.897
270.0,leo1,8.377,-3.490
272.0,leo1,8.231,-3.301
274.0,leo1,7.855,-3.192
276.0,leo1,7.545,-3.192
278.0,leo1,7.539,-3.190
280.0,leo1,7.539,-3.190
282.0,leo1,7.187,-3.168
284.0,leo1,6.668,-3.195
286.0,leo1,6.296,-3.136
288.0,leo1,6.286,-3.133
290.0,leo1,6.286,-3.133
292.0,leo1,6.286,-3.133
294.0,leo1,6.273,-3.125
296.0,leo1,6.291,-3.147
