t,robot,x,y
86.0,leo1,0.734,0.040
88.0,leo1,0.734,0.040
90.0,leo1,0.734,0.040
92.0,leo1,0.734,0.040
94.0,leo1,0.744,0.035
96.0,leo1,0.795,-0.072
98.0,leo1,0.796,-0.159
100.0,leo1,0.796,-0.159
102.0,leo1,0.788,-0.177
104.0,leo1,0.732,-0.180
106.0,leo1,0.377,-0.054
108.0,leo1,0.031,0.186
110.0,leo1,-0.095,0.299
112.0,leo1,-0.095,0.299
114.0,leo1,-0.055,0.287
116.0,leo1,-0.084,0.274
118.0,leo1,-0.074,0.168
120.0,leo1,0.145,-0.229
122.0,leo1,0.493,-0.733
124.0,leo1,0.640,-1.082
126.0,leo1,0.586,-1.533
128.0,leo1,0.670,-2.021
130.0,leo1,0.794,-2.334
132.0,leo1,0.794,-2.334
134.0,leo1,0.951,-2.775
136.0,leo1,1.080,-3.245
138.0,leo1,1.045,-3.657
140.0,leo1,0.916,-3.827
142.0,leo1,0.818,-3.902
144.0,leo1,0.821,-3.897
146.0,leo1,0.834,-3.911
148.0,leo1,0.831,-3.906
150.0,leo1,1.170,-3.857
152.0,leo1,1.428,-3.945
154.0,leo1,1.608,-3.970
156.0,leo1,1.707,-4.477
158.0,leo1,1.897,-4.844
160.0,leo1,2.209,-5.023
162.0,leo1,2.512,-5.246
164.0,leo1,2.671,-5.617
166.0,leo1,2.795,-6.132
168.0,leo1,2.974,-6.531
170.0,leo1,3.051,-6.629
172.0,leo1,3.320,-6.674
174.0,leo1,3.686,-6.522
176.0,leo1,3.699,-6.515
178.0,leo1,4.106,-6.469
180.0,leo1,4.438,-6.555
182.0,leo1,4.486,-6.582
184.0,leo1,4.486,-6.582
186.0,leo1,4.603,-6.595
188.0,leo1,4.887,-6.467
190.0,leo1,5.200,-6.040
192.0,leo1,5.530,-5.825
194.0,leo1,5.982,-5.850
196.0,leo1,6.411,-5.890
198.0,leo1,6.901,-5.883
200.0,leo1,7.215,-6.019
202.0,leo1,7.635,-6.298
204.0,leo1,7.907,-6.549
206.0,leo1,7.960,-6.703
208.0,leo1,7.977,-6.936
210.0,leo1,7.882,-7.130
212.0,leo1,7.739,-7.235
214.0,leo1,7.758,-7.226
216.0,leo1,7.772,-7.202
218.0,leo1,7.853,-7.289
220.0,leo1,8.133,-7.633
222.0,leo1,8.276,-8.079
224.0,leo1,8.275,-8.598
226.0,leo1,8.330,-9.027
228.0,leo1,8.469,-9.213
230.0,leo1,8.735,-9.282
232.0,leo1,9.136,-9.391
234.0,leo1,9.180,-9.417
236.0,leo1,9.180,-9.417
238.0,leo1,9.441,-9.480
240.0,leo1,9.791,-9.627
242.0,leo1,9.811,-9.639
244.0,leo1,9.811,-9.639
246.0,leo1,9.935,-9.765
248.0,leo1,10.053,-10.180
250.0,leo1,10.191,-10.389
252.0,leo1,10.374,-10.457
254.0,leo1,10.433,-10.470
256.0,leo1,10.448,-10.473
258.0,leo1,10.444,-10.471
260.0,leo1,10.419,-10.485
262.0,leo1,10.403,-10.533
264.0,leo1,10.230,-10.290
266.0,leo1,9.783,-9.904
268.0,leo1,9.710,-9.583
270.0,leo1,9.865,-9.078
272.0,leo1,10.086,-8.730
274.0,leo1,10.200,-8.643
276.0,leo1,10.229,-8.630
278.0,leo1,10.240,-8.626
280.0,leo1,10.240,-8.626
282.0,leo1,10.240,-8.626
284.0,leo1,10.240,-8.626
286.0,leo1,10.240,-8.626
288.0,leo1,10.240,-8.626
290.0,leo1,10.240,-8.626
292.0,leo1,10.240,-8.626
294.0,leo1,10.240,-8.626
296.0,leo1,10.240,-8.626
298.0,leo1,10.240,-8.626
300.0,leo1,10.240,-8.626
302.0,leo1,10.240,-8.626
304.0,leo1,10.240,-8.626
306.0,leo1,10.240,-8.626
308.0,leo1,10.240,-8.626
310.0,leo1,10.240,-8.626
312.0,leo1,10.240,-8.626
314.0,leo1,10.240,-8.626
316.0,leo1,10.240,-8.626
318.0,leo1,10.240,-8.626
320.0,leo1,10.240,-8.626
322.0,leo1,10.240,-8.626
324.0,leo1,10.240,-8.626
326.0,leo1,10.240,-8.626
328.0,leo1,10.240,-8.626
330.0,leo1,10.240,-8.626
332.0,leo1,10.240,-8.626
334.0,leo1,10.150,-8.696
336.0,leo1,10.100,-8.887
338.0,leo1,10.110,-8.875
340.0,leo1,10.108,-8.890
342.0,leo1,10.258,-8.928
344.0,leo1,10.360,-8.961
346.0,leo1,10.355,-8.959
348.0,leo1,10.354,-8.958
350.0,leo1,10.354,-8.958
352.0,leo1,10.354,-8.958
354.0,leo1,10.353,-8.958
356.0,leo1,10.353,-8.958
358.0,leo1,10.352,-8.958
360.0,leo1,10.352,-8.958
362.0,leo1,10.352,-8.958
364.0,leo1,10.352,-8.958
366.0,leo1,10.352,-8.958
368.0,leo1,10.352,-8.958
370.0,leo1,10.352,-8.958
372.0,leo1,10.352,-8.958
374.0,leo1,10.352,-8.958
376.0,leo1,10.352,-8.958
378.0,leo1,10.352,-8.958
380.0,leo1,10.352,-8.958
382.0,leo1,10.352,-8.958
384.0,leo1,10.352,-8.958
386.0,leo1,10.352,-8.958
388.0,leo1,10.352,-8.957
390.0,leo1,10.352,-8.957
392.0,leo1,10.352,-8.957
394.0,leo1,10.352,-8.957
396.0,leo1,10.352,-8.957
398.0,leo1,10.352,-8.957
400.0,leo1,10.352,-8.957
402.0,leo1,10.352,-8.957
404.0,leo1,10.352,-8.957
406.0,leo1,10.351,-8.957
408.0,leo1,10.352,-8.957
410.0,leo1,10.352,-8.957
412.0,leo1,10.351,-8.957
414.0,leo1,10.351,-8.957
416.0,leo1,10.351,-8.957
418.0,leo1,10.324,-8.945
420.0,leo1,10.230,-8.902
422.0,leo1,10.138,-8.861
424.0,leo1,10.071,-8.831
426.0,leo1,10.068,-8.830
428.0,leo1,10.068,-8.830
430.0,leo1,10.299,-8.963
432.0,leo1,10.380,-9.220
434.0,leo1,10.378,-9.218
436.0,leo1,10.369,-9.208
438.0,leo1,10.348,-9.188
440.0,leo1,10.328,-9.167
442.0,leo1,10.305,-9.146
