t,robot,x,y
86.0,leo2,0.480,0.007
88.0,leo2,0.480,0.007
90.0,leo2,0.480,0.007
92.0,leo2,0.480,0.007
94.0,leo2,0.434,0.007
96.0,leo2,0.381,0.020
98.0,leo2,0.367,0.029
100.0,leo2,0.340,0.017
102.0,leo2,0.148,-0.350
104.0,leo2,0.047,-0.737
106.0,leo2,0.048,-0.753
108.0,leo2,0.048,-0.753
110.0,leo2,-0.022,-0.886
112.0,leo2,-0.309,-1.087
114.0,leo2,-0.432,-1.123
116.0,leo2,-0.468,-1.139
118.0,leo2,-0.468,-1.139
120.0,leo2,-0.468,-1.139
122.0,leo2,-0.450,-1.133
124.0,leo2,-0.393,-1.122
126.0,leo2,-0.350,-1.127
128.0,leo2,-0.303,-1.056
130.0,leo2,-0.302,-1.056
132.0,leo2,-0.302,-1.056
134.0,leo2,-0.293,-0.978
136.0,leo2,-0.281,-0.879
138.0,leo2,-0.269,-0.777
140.0,leo2,-0.258,-0.769
142.0,leo2,-0.249,-0.767
144.0,leo2,0.125,-0.619
146.0,leo2,0.225,-0.580
148.0,leo2,0.224,-0.577
150.0,leo2,0.224,-0.577
152.0,leo2,0.224,-0.577
154.0,leo2,0.233,-0.570
156.0,leo2,0.363,-0.483
158.0,leo2,0.800,-0.488
160.0,leo2,1.270,-0.685
162.0,leo2,1.530,-0.911
164.0,leo2,1.554,-0.941
166.0,leo2,1.553,-0.939
168.0,leo2,1.535,-1.147
170.0,leo2,1.483,-1.523
172.0,leo2,1.502,-1.613
174.0,leo2,1.539,-2.001
176.0,leo2,1.591,-2.442
178.0,leo2,1.595,-2.583
180.0,leo2,1.595,-2.583
182.0,leo2,1.601,-2.939
184.0,leo2,1.664,-3.444
186.0,leo2,1.703,-3.919
188.0,leo2,1.732,-4.071
190.0,leo2,1.712,-4.181
192.0,leo2,1.462,-4.504
194.0,leo2,1.027,-4.791
196.0,leo2,0.700,-4.902
198.0,leo2,0.700,-4.902
200.0,leo2,0.700,-4.902
202.0,leo2,0.693,-4.906
204.0,leo2,0.707,-4.876
206.0,leo2,0.737,-4.909
208.0,leo2,1.063,-5.025
210.0,leo2,1.258,-5.202
212.0,leo2,1.375,-5.551
214.0,leo2,1.314,-6.068
216.0,leo2,1.436,-6.471
218.0,leo2,1.644,-6.699
220.0,leo2,1.654,-6.707
222.0,leo2,1.719,-6.743
224.0,leo2,2.039,-6.693
226.0,leo2,2.567,-6.621
228.0,leo2,2.971,-6.645
230.0,leo2,3.057,-6.639
232.0,leo2,3.057,-6.639
234.0,leo2,3.078,-6.628
236.0,leo2,3.067,-6.659
238.0,leo2,3.005,-6.601
240.0,leo2,2.752,-6.560
242.0,leo2,2.238,-6.622
244.0,leo2,1.680,-6.614
246.0,leo2,1.428,-6.470
248.0,leo2,1.310,-6.283
250.0,leo2,1.344,-5.767
252.0,leo2,1.337,-5.268
254.0,leo2,1.544,-4.847
256.0,leo2,1.854,-4.483
258.0,leo2,1.967,-4.148
