coverage: no map yet
coverage: t=60s known=61.7m2 free=60.1m2 occ=1.6m2 (256x279)
coverage: t=90s known=85.1m2 free=82.3m2 occ=2.8m2 (256x279)
coverage: t=120s known=102.0m2 free=98.4m2 occ=3.6m2 (279x280)
coverage: t=150s known=137.0m2 free=131.0m2 occ=6.0m2 (279x280)
coverage: t=180s known=149.5m2 free=142.2m2 occ=7.3m2 (279x280)
coverage: t=210s known=160.9m2 free=152.9m2 occ=8.0m2 (282x281)
coverage: t=240s known=183.9m2 free=174.6m2 occ=9.3m2 (283x281)
coverage: t=270s known=184.6m2 free=175.1m2 occ=9.5m2 (283x281)
coverage: t=300s known=184.6m2 free=175.1m2 occ=9.5m2 (283x281)
coverage: t=330s known=184.8m2 free=175.2m2 occ=9.6m2 (283x281)
coverage: t=360s known=184.9m2 free=175.2m2 occ=9.7m2 (283x281)
coverage: t=390s known=184.9m2 free=175.3m2 occ=9.7m2 (283x281)
coverage: t=420s known=186.3m2 free=176.4m2 occ=9.9m2 (283x283)
coverage: t=450s known=188.1m2 free=176.6m2 occ=11.5m2 (284x285)
coverage: t=480s known=187.0m2 free=176.8m2 occ=10.2m2 (281x280)
coverage: t=510s known=187.1m2 free=176.8m2 occ=10.3m2 (281x280)
coverage: t=540s known=187.2m2 free=176.8m2 occ=10.4m2 (281x280)
coverage: t=570s known=187.2m2 free=176.8m2 occ=10.5m2 (281x280)
coverage: t=600s known=187.2m2 free=176.8m2 occ=10.5m2 (281x280)
coverage: t=630s known=187.3m2 free=176.8m2 occ=10.5m2 (281x280)
coverage: t=660s known=187.3m2 free=176.8m2 occ=10.5m2 (281x280)
coverage: t=690s known=187.3m2 free=176.8m2 occ=10.5m2 (281x280)
coverage: t=720s known=187.3m2 free=176.8m2 occ=10.5m2 (281x280)
coverage: t=750s known=187.3m2 free=176.8m2 occ=10.5m2 (281x280)
coverage: t=780s known=187.5m2 free=176.8m2 occ=10.6m2 (281x280)
coverage: t=810s known=187.5m2 free=176.8m2 occ=10.6m2 (281x280)
coverage: t=840s known=187.5m2 free=176.8m2 occ=10.6m2 (281x280)
coverage: t=870s known=187.5m2 free=176.8m2 occ=10.7m2 (281x280)
coverage: t=900s known=187.5m2 free=176.8m2 occ=10.7m2 (281x280)
coverage: t=930s known=187.5m2 free=176.8m2 occ=10.7m2 (281x280)
coverage: t=960s known=187.5m2 free=176.8m2 occ=10.7m2 (281x280)
coverage: t=990s known=187.5m2 free=176.8m2 occ=10.7m2 (281x280)
coverage: t=1020s known=187.5m2 free=176.8m2 occ=10.7m2 (281x280)
coverage: t=1050s known=187.6m2 free=176.8m2 occ=10.7m2 (281x280)
coverage: t=1080s known=187.6m2 free=176.8m2 occ=10.7m2 (281x280)
coverage: t=1110s known=187.6m2 free=176.8m2 occ=10.7m2 (281x280)
coverage: t=1140s known=187.6m2 free=176.8m2 occ=10.7m2 (281x280)
coverage: t=1170s known=187.6m2 free=176.8m2 occ=10.7m2 (281x280)
coverage: t=1200s known=187.6m2 free=176.8m2 occ=10.8m2 (281x280)
coverage: t=1230s known=187.4m2 free=176.7m2 occ=10.7m2 (281x280)
coverage: t=1260s known=187.4m2 free=176.7m2 occ=10.7m2 (281x280)
coverage: t=1290s known=187.4m2 free=176.7m2 occ=10.7m2 (281x280)
coverage: t=1320s known=187.4m2 free=176.7m2 occ=10.7m2 (281x280)
coverage: t=1350s known=187.6m2 free=176.8m2 occ=10.8m2 (281x281)
coverage: t=1380s known=187.6m2 free=176.8m2 occ=10.8m2 (281x281)
coverage: t=1410s known=187.6m2 free=176.8m2 occ=10.8m2 (281x281)
coverage: t=1440s known=187.7m2 free=176.8m2 occ=10.9m2 (281x281)
coverage: t=1470s known=187.7m2 free=176.8m2 occ=10.9m2 (281x281)
coverage: t=1500s known=187.7m2 free=176.8m2 occ=10.9m2 (281x281)
coverage: t=1530s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=1560s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=1590s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=1620s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=1650s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=1680s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=1710s known=187.8m2 free=176.6m2 occ=11.2m2 (281x281)
coverage: t=1740s known=187.8m2 free=176.6m2 occ=11.2m2 (281x281)
coverage: t=1770s known=187.9m2 free=176.5m2 occ=11.4m2 (281x281)
coverage: t=1800s known=187.9m2 free=176.5m2 occ=11.4m2 (281x281)
coverage: t=1830s known=187.8m2 free=176.5m2 occ=11.2m2 (281x281)
coverage: t=1860s known=187.8m2 free=176.5m2 occ=11.2m2 (281x281)
coverage: t=1890s known=187.8m2 free=176.5m2 occ=11.2m2 (281x281)
coverage: t=1920s known=187.8m2 free=176.5m2 occ=11.2m2 (281x281)
coverage: t=1950s known=187.8m2 free=176.5m2 occ=11.2m2 (281x281)
