coverage: t=30s known=3.7m2 free=3.7m2 occ=0.0m2 (277x277)
coverage: t=60s known=89.6m2 free=87.1m2 occ=2.5m2 (277x277)
coverage: t=90s known=107.6m2 free=104.4m2 occ=3.2m2 (278x277)
coverage: t=120s known=134.7m2 free=130.2m2 occ=4.5m2 (278x278)
coverage: t=150s known=139.1m2 free=133.9m2 occ=5.2m2 (278x278)
coverage: t=180s known=141.7m2 free=136.2m2 occ=5.5m2 (279x279)
coverage: t=210s known=149.3m2 free=143.6m2 occ=5.7m2 (279x279)
coverage: t=240s known=177.8m2 free=171.3m2 occ=6.5m2 (279x279)
coverage: t=270s known=189.0m2 free=181.7m2 occ=7.3m2 (279x279)
coverage: t=300s known=189.1m2 free=181.7m2 occ=7.4m2 (279x279)
coverage: t=330s known=189.2m2 free=181.7m2 occ=7.5m2 (279x279)
coverage: t=360s known=189.4m2 free=181.7m2 occ=7.7m2 (279x279)
coverage: t=390s known=180.9m2 free=167.3m2 occ=13.6m2 (311x323)
coverage: t=420s known=180.9m2 free=167.3m2 occ=13.6m2 (311x323)
coverage: t=450s known=181.0m2 free=167.5m2 occ=13.6m2 (311x324)
coverage: t=480s known=181.1m2 free=167.5m2 occ=13.6m2 (311x324)
coverage: t=510s known=181.1m2 free=167.6m2 occ=13.6m2 (311x324)
coverage: t=540s known=181.1m2 free=167.6m2 occ=13.6m2 (311x324)
coverage: t=570s known=181.2m2 free=167.6m2 occ=13.5m2 (311x324)
coverage: t=600s known=181.2m2 free=167.6m2 occ=13.5m2 (311x324)
coverage: t=630s known=181.2m2 free=167.6m2 occ=13.5m2 (311x324)
coverage: t=660s known=181.2m2 free=167.7m2 occ=13.5m2 (311x324)
coverage: t=690s known=181.2m2 free=167.7m2 occ=13.5m2 (311x324)
coverage: t=720s known=181.2m2 free=167.7m2 occ=13.5m2 (311x324)
coverage: t=750s known=181.2m2 free=167.7m2 occ=13.5m2 (311x324)
coverage: t=780s known=181.2m2 free=167.7m2 occ=13.5m2 (311x324)
coverage: t=810s known=181.2m2 free=167.7m2 occ=13.5m2 (311x324)
coverage: t=840s known=181.2m2 free=167.7m2 occ=13.5m2 (311x324)
coverage: t=870s known=181.3m2 free=167.8m2 occ=13.5m2 (311x324)
