coverage: no map yet
coverage: t=60s known=43.0m2 free=41.8m2 occ=1.2m2 (277x277)
coverage: t=90s known=93.1m2 free=90.2m2 occ=2.9m2 (278x278)
coverage: t=120s known=102.3m2 free=99.0m2 occ=3.3m2 (278x278)
coverage: t=150s known=140.4m2 free=135.3m2 occ=5.1m2 (279x278)
coverage: t=180s known=145.7m2 free=140.2m2 occ=5.5m2 (279x278)
coverage: t=210s known=145.8m2 free=140.3m2 occ=5.6m2 (279x278)
coverage: t=240s known=146.8m2 free=141.1m2 occ=5.7m2 (279x278)
coverage: t=270s known=147.0m2 free=141.2m2 occ=5.8m2 (279x279)
coverage: t=300s known=147.5m2 free=141.4m2 occ=6.0m2 (279x279)
coverage: t=330s known=147.9m2 free=142.3m2 occ=5.5m2 (279x279)
coverage: t=360s known=183.0m2 free=175.8m2 occ=7.2m2 (279x279)
coverage: t=390s known=184.6m2 free=177.3m2 occ=7.3m2 (279x279)
coverage: t=420s known=184.6m2 free=177.3m2 occ=7.4m2 (279x279)
coverage: t=450s known=185.1m2 free=177.6m2 occ=7.5m2 (279x279)
coverage: t=480s known=185.6m2 free=177.7m2 occ=7.9m2 (279x280)
coverage: t=510s known=187.1m2 free=171.6m2 occ=15.5m2 (314x387)
coverage: t=540s known=197.2m2 free=181.1m2 occ=16.0m2 (314x391)
coverage: t=570s known=197.2m2 free=181.1m2 occ=16.0m2 (314x391)
coverage: t=600s known=197.2m2 free=181.1m2 occ=16.0m2 (314x391)
coverage: t=630s known=197.2m2 free=181.1m2 occ=16.0m2 (314x391)
coverage: t=660s known=198.6m2 free=182.5m2 occ=16.1m2 (314x391)
coverage: t=690s known=199.4m2 free=183.2m2 occ=16.2m2 (314x391)
coverage: t=720s known=199.4m2 free=183.2m2 occ=16.2m2 (314x391)
coverage: t=750s known=209.9m2 free=193.9m2 occ=16.0m2 (319x391)
coverage: t=780s known=211.7m2 free=195.7m2 occ=16.0m2 (319x391)
coverage: t=810s known=213.5m2 free=197.4m2 occ=16.0m2 (319x391)
coverage: t=840s known=214.9m2 free=198.8m2 occ=16.1m2 (319x391)
coverage: t=870s known=217.6m2 free=201.5m2 occ=16.1m2 (319x391)
coverage: t=900s known=221.1m2 free=205.1m2 occ=16.0m2 (319x391)
coverage: t=930s known=221.4m2 free=205.2m2 occ=16.2m2 (319x392)
coverage: t=960s known=221.5m2 free=205.2m2 occ=16.4m2 (319x392)
coverage: t=990s known=222.0m2 free=205.4m2 occ=16.6m2 (320x392)
coverage: t=1020s known=216.0m2 free=197.7m2 occ=18.3m2 (321x398)
coverage: t=1050s known=216.0m2 free=197.6m2 occ=18.4m2 (321x398)
coverage: t=1080s known=214.7m2 free=195.7m2 occ=19.0m2 (321x397)
coverage: t=1110s known=214.7m2 free=195.7m2 occ=19.0m2 (321x397)
coverage: t=1140s known=214.7m2 free=195.7m2 occ=19.0m2 (321x397)
coverage: t=1170s known=214.7m2 free=195.7m2 occ=19.0m2 (321x397)
coverage: t=1200s known=214.7m2 free=195.7m2 occ=19.0m2 (321x397)
coverage: t=1230s known=214.7m2 free=195.6m2 occ=19.1m2 (321x397)
coverage: t=1260s known=214.8m2 free=195.3m2 occ=19.5m2 (321x397)
coverage: t=1290s known=214.9m2 free=195.3m2 occ=19.7m2 (321x397)
coverage: t=1320s known=214.9m2 free=195.3m2 occ=19.7m2 (321x397)
coverage: t=1350s known=214.9m2 free=195.3m2 occ=19.7m2 (321x397)
coverage: t=1380s known=214.9m2 free=195.3m2 occ=19.6m2 (321x397)
coverage: t=1410s known=214.9m2 free=195.3m2 occ=19.6m2 (321x397)
coverage: t=1440s known=214.9m2 free=195.3m2 occ=19.6m2 (321x397)
coverage: t=1470s known=214.9m2 free=195.3m2 occ=19.6m2 (321x397)
coverage: t=1500s known=215.0m2 free=195.2m2 occ=19.8m2 (321x397)
coverage: t=1530s known=215.0m2 free=195.1m2 occ=19.9m2 (321x398)
coverage: t=1560s known=215.0m2 free=195.0m2 occ=20.0m2 (321x398)
coverage: t=1590s known=215.0m2 free=195.0m2 occ=20.0m2 (321x398)
coverage: t=1620s known=215.0m2 free=195.0m2 occ=20.0m2 (321x398)
coverage: t=1650s known=215.1m2 free=195.0m2 occ=20.0m2 (321x398)
coverage: t=1680s known=215.1m2 free=195.1m2 occ=20.0m2 (321x398)
coverage: t=1710s known=215.3m2 free=195.2m2 occ=20.2m2 (321x398)
coverage: t=1740s known=215.4m2 free=195.2m2 occ=20.2m2 (321x398)
coverage: t=1770s known=215.4m2 free=195.2m2 occ=20.2m2 (321x398)
coverage: t=1800s known=215.4m2 free=195.2m2 occ=20.2m2 (321x398)
coverage: t=1830s known=201.1m2 free=182.8m2 occ=18.2m2 (292x361)
coverage: t=1860s known=202.1m2 free=183.8m2 occ=18.3m2 (292x367)
coverage: t=1890s known=202.4m2 free=184.2m2 occ=18.3m2 (293x367)
coverage: t=1920s known=202.5m2 free=184.2m2 occ=18.3m2 (293x367)
coverage: t=1950s known=202.5m2 free=184.2m2 occ=18.3m2 (293x367)
