coverage: t=30s known=3.6m2 free=3.6m2 occ=0.0m2 (397x397)
coverage: t=60s known=82.5m2 free=81.0m2 occ=1.5m2 (398x398)
coverage: t=90s known=169.4m2 free=165.7m2 occ=3.7m2 (399x398)
coverage: t=120s known=191.0m2 free=186.3m2 occ=4.7m2 (399x399)
coverage: t=150s known=211.3m2 free=205.8m2 occ=5.5m2 (400x399)
coverage: t=180s known=223.5m2 free=217.4m2 occ=6.1m2 (400x399)
coverage: t=210s known=227.2m2 free=221.0m2 occ=6.2m2 (400x399)
coverage: t=240s known=281.9m2 free=273.8m2 occ=8.1m2 (400x399)
coverage: t=270s known=319.2m2 free=309.2m2 occ=10.0m2 (400x399)
coverage: t=300s known=352.1m2 free=340.2m2 occ=11.9m2 (400x400)
coverage: t=330s known=366.3m2 free=354.0m2 occ=12.3m2 (401x401)
coverage: t=360s known=387.9m2 free=373.8m2 occ=14.0m2 (400x400)
coverage: t=390s known=388.0m2 free=374.1m2 occ=14.0m2 (400x400)
coverage: t=420s known=388.3m2 free=374.3m2 occ=14.1m2 (400x400)
coverage: t=450s known=388.5m2 free=374.2m2 occ=14.2m2 (400x400)
coverage: t=480s known=388.7m2 free=374.2m2 occ=14.5m2 (400x401)
coverage: t=510s known=389.0m2 free=374.3m2 occ=14.6m2 (400x401)
coverage: t=540s known=389.0m2 free=374.3m2 occ=14.7m2 (400x401)
coverage: t=570s known=389.1m2 free=374.4m2 occ=14.8m2 (400x401)
coverage: t=600s known=389.4m2 free=374.7m2 occ=14.7m2 (401x401)
coverage: t=630s known=389.4m2 free=374.7m2 occ=14.7m2 (401x401)
coverage: t=660s known=389.4m2 free=374.7m2 occ=14.7m2 (401x401)
coverage: t=690s known=389.5m2 free=374.7m2 occ=14.8m2 (401x401)
coverage: t=720s known=389.7m2 free=374.7m2 occ=15.0m2 (401x401)
coverage: t=750s known=389.7m2 free=374.7m2 occ=15.0m2 (401x401)
coverage: t=780s known=389.7m2 free=374.7m2 occ=15.0m2 (401x401)
coverage: t=810s known=389.7m2 free=374.7m2 occ=15.0m2 (401x401)
coverage: t=840s known=389.7m2 free=374.7m2 occ=15.0m2 (401x401)
coverage: t=870s known=389.7m2 free=374.7m2 occ=15.0m2 (401x401)
coverage: t=900s known=389.8m2 free=374.7m2 occ=15.1m2 (401x401)
coverage: t=930s known=389.8m2 free=374.7m2 occ=15.2m2 (401x401)
coverage: t=960s known=390.2m2 free=374.7m2 occ=15.5m2 (401x401)
coverage: t=990s known=390.2m2 free=374.7m2 occ=15.5m2 (401x401)
coverage: t=1020s known=390.2m2 free=374.7m2 occ=15.4m2 (401x401)
coverage: t=1050s known=390.2m2 free=374.7m2 occ=15.5m2 (401x401)
coverage: t=1080s known=390.2m2 free=374.7m2 occ=15.5m2 (401x401)
coverage: t=1110s known=390.2m2 free=374.7m2 occ=15.5m2 (401x401)
coverage: t=1140s known=390.2m2 free=374.7m2 occ=15.5m2 (401x401)
coverage: t=1170s known=390.3m2 free=374.8m2 occ=15.6m2 (401x401)
coverage: t=1200s known=390.3m2 free=374.8m2 occ=15.6m2 (401x401)
coverage: t=1230s known=390.4m2 free=374.8m2 occ=15.6m2 (401x401)
coverage: t=1260s known=390.7m2 free=375.5m2 occ=15.2m2 (401x401)
coverage: t=1290s known=390.8m2 free=375.5m2 occ=15.2m2 (401x401)
coverage: t=1320s known=390.9m2 free=375.5m2 occ=15.4m2 (401x401)
coverage: t=1350s known=390.9m2 free=375.2m2 occ=15.7m2 (402x402)
coverage: t=1380s known=391.0m2 free=375.2m2 occ=15.7m2 (402x402)
coverage: t=1410s known=391.0m2 free=375.2m2 occ=15.8m2 (402x402)
coverage: t=1440s known=391.0m2 free=375.2m2 occ=15.8m2 (402x402)
coverage: t=1470s known=391.0m2 free=375.2m2 occ=15.8m2 (402x402)
coverage: t=1500s known=391.0m2 free=375.2m2 occ=15.8m2 (402x402)
coverage: t=1530s known=391.1m2 free=375.2m2 occ=15.9m2 (402x402)
coverage: t=1560s known=391.1m2 free=375.2m2 occ=15.9m2 (402x402)
coverage: t=1590s known=391.1m2 free=375.2m2 occ=15.9m2 (402x402)
coverage: t=1620s known=391.1m2 free=375.2m2 occ=15.9m2 (402x402)
coverage: t=1650s known=391.1m2 free=375.2m2 occ=15.9m2 (402x402)
coverage: t=1680s known=391.2m2 free=375.1m2 occ=16.1m2 (401x401)
coverage: t=1710s known=391.2m2 free=375.2m2 occ=16.1m2 (401x401)
