coverage: t=30s known=3.6m2 free=3.5m2 occ=0.1m2 (476x206)
coverage: t=60s known=54.8m2 free=53.4m2 occ=1.5m2 (477x219)
coverage: t=90s known=69.9m2 free=67.5m2 occ=2.4m2 (477x247)
coverage: t=120s known=79.0m2 free=76.2m2 occ=2.8m2 (477x247)
coverage: t=150s known=108.9m2 free=104.7m2 occ=4.2m2 (477x247)
coverage: t=180s known=112.7m2 free=108.9m2 occ=3.8m2 (477x273)
coverage: t=210s known=180.8m2 free=174.7m2 occ=6.1m2 (478x318)
coverage: t=240s known=189.8m2 free=183.0m2 occ=6.8m2 (478x318)
coverage: t=270s known=189.9m2 free=183.0m2 occ=6.9m2 (478x318)
coverage: t=300s known=215.6m2 free=207.6m2 occ=8.0m2 (478x318)
coverage: t=330s known=234.8m2 free=225.6m2 occ=9.2m2 (478x318)
coverage: t=360s known=238.1m2 free=228.2m2 occ=9.9m2 (478x319)
coverage: t=390s known=238.7m2 free=228.2m2 occ=10.4m2 (478x320)
coverage: t=420s known=240.7m2 free=230.1m2 occ=10.6m2 (478x320)
coverage: t=450s known=241.2m2 free=230.6m2 occ=10.6m2 (478x320)
coverage: t=480s known=307.8m2 free=295.0m2 occ=12.8m2 (480x320)
coverage: t=510s known=324.7m2 free=310.8m2 occ=13.8m2 (481x320)
coverage: t=540s known=326.7m2 free=312.7m2 occ=14.0m2 (481x320)
coverage: t=570s known=329.5m2 free=315.2m2 occ=14.2m2 (481x320)
coverage: t=600s known=361.9m2 free=346.1m2 occ=15.8m2 (481x320)
coverage: t=630s known=364.7m2 free=348.7m2 occ=16.1m2 (481x320)
coverage: t=660s known=369.1m2 free=352.8m2 occ=16.3m2 (481x320)
coverage: t=690s known=369.2m2 free=352.8m2 occ=16.4m2 (481x320)
coverage: t=720s known=369.2m2 free=352.7m2 occ=16.5m2 (481x320)
coverage: t=750s known=369.2m2 free=352.7m2 occ=16.5m2 (481x320)
coverage: t=780s known=369.2m2 free=352.7m2 occ=16.5m2 (481x320)
coverage: t=810s known=369.3m2 free=352.7m2 occ=16.5m2 (481x320)
coverage: t=840s known=369.5m2 free=352.8m2 occ=16.7m2 (481x320)
coverage: t=870s known=369.6m2 free=352.8m2 occ=16.7m2 (481x320)
coverage: t=900s known=369.6m2 free=352.8m2 occ=16.8m2 (481x320)
coverage: t=930s known=369.8m2 free=352.9m2 occ=16.9m2 (481x320)
coverage: t=960s known=369.9m2 free=352.9m2 occ=17.0m2 (481x320)
coverage: t=990s known=370.0m2 free=352.9m2 occ=17.0m2 (481x320)
coverage: t=1020s known=370.0m2 free=352.9m2 occ=17.0m2 (481x320)
coverage: t=1050s known=370.0m2 free=352.9m2 occ=17.0m2 (481x320)
coverage: t=1080s known=370.0m2 free=352.9m2 occ=17.1m2 (481x320)
coverage: t=1110s known=370.0m2 free=352.9m2 occ=17.1m2 (481x320)
coverage: t=1140s known=370.0m2 free=352.9m2 occ=17.1m2 (481x320)
coverage: t=1170s known=370.1m2 free=352.9m2 occ=17.2m2 (481x320)
coverage: t=1200s known=370.2m2 free=352.9m2 occ=17.3m2 (481x320)
coverage: t=1230s known=370.3m2 free=352.9m2 occ=17.4m2 (481x320)
coverage: t=1260s known=370.3m2 free=352.9m2 occ=17.4m2 (481x320)
coverage: t=1290s known=370.4m2 free=352.9m2 occ=17.5m2 (481x320)
coverage: t=1320s known=370.5m2 free=352.9m2 occ=17.6m2 (481x320)
coverage: t=1350s known=370.5m2 free=352.9m2 occ=17.6m2 (481x320)
coverage: t=1380s known=370.5m2 free=352.9m2 occ=17.6m2 (481x320)
coverage: t=1410s known=370.5m2 free=352.9m2 occ=17.6m2 (481x320)
coverage: t=1440s known=370.6m2 free=352.9m2 occ=17.7m2 (481x320)
coverage: t=1470s known=370.2m2 free=352.8m2 occ=17.4m2 (481x320)
coverage: t=1500s known=370.3m2 free=352.8m2 occ=17.4m2 (481x320)
coverage: t=1530s known=370.3m2 free=352.8m2 occ=17.4m2 (481x320)
coverage: t=1560s known=370.3m2 free=352.8m2 occ=17.4m2 (481x320)
coverage: t=1590s known=370.4m2 free=352.8m2 occ=17.5m2 (481x320)
coverage: t=1620s known=370.5m2 free=352.8m2 occ=17.6m2 (481x320)
coverage: t=1650s known=370.5m2 free=352.8m2 occ=17.7m2 (481x320)
coverage: t=1680s known=370.6m2 free=352.8m2 occ=17.8m2 (481x320)
coverage: t=1710s known=370.6m2 free=352.8m2 occ=17.8m2 (481x320)
coverage: t=1740s known=370.7m2 free=352.9m2 occ=17.8m2 (481x320)
coverage: t=1770s known=370.8m2 free=352.9m2 occ=17.9m2 (481x320)
coverage: t=1800s known=370.8m2 free=352.9m2 occ=17.9m2 (481x320)
coverage: t=1830s known=370.8m2 free=352.9m2 occ=17.9m2 (481x320)
coverage: t=1860s known=370.8m2 free=352.8m2 occ=17.9m2 (481x320)
coverage: t=1890s known=371.3m2 free=352.4m2 occ=18.9m2 (480x320)
coverage: t=1920s known=371.3m2 free=352.4m2 occ=18.9m2 (480x320)
coverage: t=1950s known=371.3m2 free=352.4m2 occ=18.9m2 (480x320)
coverage: t=1980s known=371.4m2 free=352.4m2 occ=18.9m2 (480x320)
coverage: t=2010s known=371.1m2 free=352.3m2 occ=18.7m2 (480x319)
coverage: t=2040s known=371.1m2 free=352.4m2 occ=18.7m2 (480x319)
coverage: t=2070s known=371.1m2 free=352.4m2 occ=18.7m2 (480x319)
coverage: t=2100s known=371.1m2 free=352.4m2 occ=18.8m2 (480x319)
coverage: t=2130s known=371.1m2 free=352.4m2 occ=18.8m2 (480x319)
coverage: t=2160s known=371.2m2 free=352.4m2 occ=18.8m2 (480x319)
coverage: t=2190s known=371.2m2 free=352.4m2 occ=18.8m2 (480x319)
coverage: t=2220s known=371.2m2 free=352.4m2 occ=18.8m2 (480x319)
coverage: t=2250s known=371.3m2 free=352.4m2 occ=18.8m2 (480x319)
coverage: t=2280s known=371.3m2 free=352.4m2 occ=18.9m2 (480x319)
coverage: t=2310s known=371.3m2 free=352.4m2 occ=18.9m2 (480x319)
coverage: t=2340s known=371.4m2 free=352.4m2 occ=18.9m2 (480x319)
coverage: t=2370s known=371.4m2 free=352.4m2 occ=19.0m2 (480x319)
coverage: t=2400s known=371.4m2 free=352.4m2 occ=19.0m2 (480x319)
coverage: t=2430s known=371.5m2 free=352.4m2 occ=19.0m2 (480x319)
coverage: t=2460s known=371.5m2 free=352.4m2 occ=19.0m2 (480x319)
coverage: t=2490s known=371.3m2 free=352.1m2 occ=19.3m2 (480x319)
coverage: t=2520s known=371.7m2 free=352.5m2 occ=19.3m2 (480x320)
