t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
27.227,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
27.430,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
27.628,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
27.829,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
28.027,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
28.228,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
28.428,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
28.627,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
28.831,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
29.028,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
29.228,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
29.436,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
29.630,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
29.826,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
30.024,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
30.225,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
30.423,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
30.626,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
30.826,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
31.027,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
31.229,2,1.5273,72.88,0.392,1.5243,0.0024,-0.0958,1.7743,0.0024,0.1042
