t,robot,x,y
66.0,leo1,0.618,0.000
68.0,leo1,0.618,0.000
70.0,leo1,0.618,0.000
72.0,leo1,0.618,0.000
74.0,leo1,0.645,-0.013
76.0,leo1,0.707,-0.127
78.0,leo1,0.716,-0.232
80.0,leo1,0.716,-0.232
82.0,leo1,0.704,-0.249
84.0,leo1,0.586,-0.232
86.0,leo1,0.204,0.072
88.0,leo1,-0.159,0.012
90.0,leo1,-0.178,0.023
92.0,leo1,-0.172,-0.023
94.0,leo1,-0.099,0.035
96.0,leo1,0.196,-0.022
98.0,leo1,0.631,-0.055
100.0,leo1,0.932,-0.291
102.0,leo1,0.960,-0.297
104.0,leo1,0.878,-0.472
106.0,leo1,0.608,-0.902
108.0,leo1,0.547,-1.369
110.0,leo1,0.629,-1.857
112.0,leo1,0.779,-2.198
114.0,leo1,0.786,-2.219
116.0,leo1,0.786,-2.219
118.0,leo1,0.859,-2.704
120.0,leo1,0.994,-3.214
122.0,leo1,1.131,-3.702
124.0,leo1,1.398,-4.127
126.0,leo1,1.464,-4.302
128.0,leo1,1.464,-4.302
130.0,leo1,1.683,-4.749
132.0,leo1,2.025,-5.052
134.0,leo1,2.402,-5.386
136.0,leo1,2.529,-5.767
138.0,leo1,2.653,-6.278
140.0,leo1,2.796,-6.675
142.0,leo1,2.808,-6.774
144.0,leo1,2.808,-6.774
146.0,leo1,2.765,-6.822
148.0,leo1,2.545,-6.909
150.0,leo1,2.529,-6.917
152.0,leo1,2.529,-6.917
154.0,leo1,2.546,-6.911
156.0,leo1,2.546,-6.911
158.0,leo1,2.546,-6.911
160.0,leo1,2.537,-6.904
162.0,leo1,2.537,-6.922
164.0,leo1,2.635,-6.824
166.0,leo1,2.701,-6.769
168.0,leo1,2.762,-6.405
170.0,leo1,2.582,-6.052
172.0,leo1,2.739,-5.589
174.0,leo1,3.039,-5.213
176.0,leo1,3.325,-5.038
178.0,leo1,3.433,-5.045
180.0,leo1,3.452,-5.054
182.0,leo1,3.446,-5.028
184.0,leo1,3.405,-5.045
186.0,leo1,3.057,-5.030
188.0,leo1,2.766,-5.102
190.0,leo1,2.687,-5.641
192.0,leo1,2.684,-6.154
194.0,leo1,2.894,-6.482
196.0,leo1,2.879,-6.442
198.0,leo1,2.864,-6.479
200.0,leo1,2.864,-6.479
202.0,leo1,2.864,-6.479
204.0,leo1,2.864,-6.480
206.0,leo1,2.864,-6.480
208.0,leo1,2.864,-6.480
210.0,leo1,2.864,-6.480
212.0,leo1,2.864,-6.480
214.0,leo1,2.862,-6.481
216.0,leo1,2.862,-6.481
218.0,leo1,2.862,-6.481
220.0,leo1,2.862,-6.482
222.0,leo1,2.862,-6.482
224.0,leo1,2.862,-6.481
226.0,leo1,2.862,-6.481
228.0,leo1,2.862,-6.481
230.0,leo1,2.865,-6.480
232.0,leo1,2.865,-6.480
234.0,leo1,2.867,-6.474
236.0,leo1,2.906,-6.515
238.0,leo1,2.982,-6.695
240.0,leo1,3.306,-6.714
242.0,leo1,3.799,-6.605
244.0,leo1,4.251,-6.603
246.0,leo1,4.452,-6.649
248.0,leo1,4.803,-6.519
250.0,leo1,5.122,-6.244
252.0,leo1,5.551,-6.039
254.0,leo1,5.962,-6.013
256.0,leo1,6.132,-6.158
258.0,leo1,6.202,-6.272
260.0,leo1,6.169,-6.435
262.0,leo1,6.162,-6.473
264.0,leo1,6.154,-6.477
266.0,leo1,6.410,-6.387
268.0,leo1,6.937,-6.307
270.0,leo1,7.463,-6.411
272.0,leo1,7.773,-6.590
274.0,leo1,7.988,-6.937
276.0,leo1,8.142,-7.091
278.0,leo1,8.141,-7.090
280.0,leo1,8.141,-7.090
282.0,leo1,8.116,-7.084
284.0,leo1,8.143,-7.052
286.0,leo1,8.076,-6.709
288.0,leo1,8.261,-6.167
290.0,leo1,8.156,-5.993
292.0,leo1,8.049,-5.735
294.0,leo1,8.153,-5.269
296.0,leo1,8.306,-4.753
298.0,leo1,8.335,-4.240
300.0,leo1,8.353,-3.704
302.0,leo1,8.361,-3.201
304.0,leo1,8.361,-2.692
306.0,leo1,8.362,-2.481
308.0,leo1,8.362,-2.481
310.0,leo1,8.350,-2.455
312.0,leo1,8.396,-2.463
314.0,leo1,8.315,-2.573
316.0,leo1,8.215,-3.003
318.0,leo1,7.714,-3.257
320.0,leo1,7.193,-3.342
322.0,leo1,6.764,-3.385
324.0,leo1,6.237,-3.328
326.0,leo1,5.918,-3.345
328.0,leo1,5.918,-3.345
330.0,leo1,5.889,-3.332
332.0,leo1,5.897,-3.372
334.0,leo1,5.984,-3.308
336.0,leo1,6.296,-3.336
338.0,leo1,6.914,-3.264
340.0,leo1,7.008,-3.294
342.0,leo1,7.476,-3.512
344.0,leo1,8.003,-3.574
346.0,leo1,8.198,-3.669
348.0,leo1,8.313,-3.830
350.0,leo1,8.347,-4.195
352.0,leo1,8.160,-4.667
354.0,leo1,7.961,-5.110
356.0,leo1,8.017,-5.422
358.0,leo1,8.162,-5.559
360.0,leo1,8.363,-5.607
362.0,leo1,8.394,-5.619
364.0,leo1,8.385,-5.583
366.0,leo1,8.269,-5.774
368.0,leo1,7.988,-6.303
370.0,leo1,7.926,-6.827
372.0,leo1,7.857,-7.324
374.0,leo1,7.870,-7.661
376.0,leo1,7.870,-7.661
378.0,leo1,7.870,-7.661
380.0,leo1,7.937,-8.028
382.0,leo1,8.095,-8.531
384.0,leo1,8.082,-9.044
386.0,leo1,8.174,-9.394
388.0,leo1,8.335,-9.520
390.0,leo1,8.638,-9.572
392.0,leo1,9.041,-9.489
394.0,leo1,9.297,-9.318
396.0,leo1,9.329,-9.282
398.0,leo1,9.317,-9.258
400.0,leo1,9.313,-9.308
402.0,leo1,9.051,-9.539
404.0,leo1,8.447,-9.443
406.0,leo1,8.200,-9.315
408.0,leo1,8.027,-8.986
410.0,leo1,7.954,-8.498
412.0,leo1,8.012,-7.962
414.0,leo1,7.939,-7.455
416.0,leo1,7.975,-6.921
418.0,leo1,7.981,-6.483
420.0,leo1,8.138,-6.046
422.0,leo1,8.303,-5.556
424.0,leo1,8.524,-5.271
426.0,leo1,8.778,-5.186
428.0,leo1,9.309,-5.248
430.0,leo1,9.563,-5.374
432.0,leo1,9.702,-5.636
434.0,leo1,9.739,-5.792
436.0,leo1,9.703,-5.783
438.0,leo1,9.931,-5.607
440.0,leo1,10.444,-5.483
442.0,leo1,10.947,-5.551
444.0,leo1,11.441,-5.489
446.0,leo1,11.912,-5.510
448.0,leo1,12.218,-5.635
450.0,leo1,12.236,-5.628
452.0,leo1,12.216,-5.653
454.0,leo1,11.974,-5.588
456.0,leo1,11.588,-5.499
458.0,leo1,11.588,-5.499
460.0,leo1,11.588,-5.499
462.0,leo1,11.588,-5.499
464.0,leo1,11.588,-5.499
466.0,leo1,11.588,-5.499
468.0,leo1,11.588,-5.499
470.0,leo1,11.588,-5.499
472.0,leo1,11.588,-5.499
474.0,leo1,11.588,-5.499
476.0,leo1,11.588,-5.499
478.0,leo1,11.588,-5.499
480.0,leo1,11.588,-5.499
482.0,leo1,11.581,-5.499
484.0,leo1,11.590,-5.481
486.0,leo1,11.595,-5.501
488.0,leo1,11.614,-5.511
490.0,leo1,11.613,-5.511
492.0,leo1,11.612,-5.511
494.0,leo1,11.612,-5.510
496.0,leo1,11.612,-5.510
498.0,leo1,11.612,-5.510
500.0,leo1,11.612,-5.510
502.0,leo1,11.612,-5.510
504.0,leo1,11.612,-5.510
506.0,leo1,11.612,-5.510
508.0,leo1,11.612,-5.510
510.0,leo1,11.612,-5.510
512.0,leo1,11.612,-5.511
514.0,leo1,11.612,-5.511
516.0,leo1,11.612,-5.511
518.0,leo1,11.611,-5.510
520.0,leo1,11.611,-5.510
522.0,leo1,11.614,-5.511
524.0,leo1,11.628,-5.517
526.0,leo1,11.633,-5.520
528.0,leo1,11.635,-5.521
530.0,leo1,11.635,-5.521
532.0,leo1,11.636,-5.521
534.0,leo1,11.636,-5.521
536.0,leo1,11.638,-5.522
538.0,leo1,11.638,-5.522
540.0,leo1,11.638,-5.523
542.0,leo1,11.639,-5.523
544.0,leo1,11.639,-5.523
546.0,leo1,11.639,-5.523
548.0,leo1,11.639,-5.523
550.0,leo1,11.639,-5.523
552.0,leo1,11.639,-5.523
554.0,leo1,11.639,-5.523
556.0,leo1,11.639,-5.523
558.0,leo1,11.639,-5.523
560.0,leo1,11.639,-5.523
562.0,leo1,11.641,-5.521
564.0,leo1,11.640,-5.447
566.0,leo1,11.602,-5.469
568.0,leo1,11.357,-5.741
570.0,leo1,11.357,-5.741
572.0,leo1,11.357,-5.741
574.0,leo1,11.179,-5.744
576.0,leo1,10.703,-5.614
578.0,leo1,10.245,-5.347
580.0,leo1,9.760,-5.185
582.0,leo1,9.290,-5.109
584.0,leo1,8.800,-5.119
586.0,leo1,8.524,-5.265
588.0,leo1,8.358,-5.534
590.0,leo1,8.305,-6.033
592.0,leo1,8.218,-6.543
594.0,leo1,8.073,-7.060
596.0,leo1,8.027,-7.562
598.0,leo1,8.144,-8.069
600.0,leo1,8.153,-8.586
602.0,leo1,8.182,-9.117
604.0,leo1,8.312,-9.382
606.0,leo1,8.510,-9.490
608.0,leo1,9.015,-9.528
610.0,leo1,9.347,-9.666
612.0,leo1,9.669,-9.959
614.0,leo1,9.734,-10.389
616.0,leo1,9.712,-10.516
618.0,leo1,9.744,-10.511
620.0,leo1,9.674,-10.400
622.0,leo1,9.598,-9.949
624.0,leo1,9.365,-9.693
626.0,leo1,9.492,-9.526
628.0,leo1,9.696,-9.270
630.0,leo1,9.862,-9.249
632.0,leo1,9.892,-9.241
634.0,leo1,9.892,-9.243
636.0,leo1,9.950,-9.237
638.0,leo1,9.984,-9.220
640.0,leo1,9.984,-9.226
642.0,leo1,10.012,-9.233
644.0,leo1,10.054,-9.212
646.0,leo1,10.078,-9.236
648.0,leo1,10.164,-9.268
650.0,leo1,10.214,-9.290
652.0,leo1,10.214,-9.290
654.0,leo1,10.214,-9.290
656.0,leo1,10.213,-9.289
658.0,leo1,10.220,-9.293
660.0,leo1,10.219,-9.292
662.0,leo1,10.218,-9.292
664.0,leo1,10.217,-9.291
666.0,leo1,10.217,-9.291
668.0,leo1,10.217,-9.291
670.0,leo1,10.217,-9.291
672.0,leo1,10.217,-9.291
674.0,leo1,10.217,-9.291
676.0,leo1,10.217,-9.291
678.0,leo1,10.217,-9.291
680.0,leo1,10.217,-9.291
682.0,leo1,10.217,-9.291
684.0,leo1,10.217,-9.291
686.0,leo1,10.217,-9.291
688.0,leo1,10.217,-9.291
690.0,leo1,10.217,-9.291
692.0,leo1,10.217,-9.291
694.0,leo1,10.217,-9.291
696.0,leo1,10.217,-9.291
698.0,leo1,10.217,-9.291
700.0,leo1,10.217,-9.291
702.0,leo1,10.215,-9.290
704.0,leo1,10.215,-9.290
706.0,leo1,10.224,-9.294
708.0,leo1,10.221,-9.292
710.0,leo1,10.219,-9.291
712.0,leo1,10.217,-9.290
714.0,leo1,10.216,-9.290
716.0,leo1,10.216,-9.290
718.0,leo1,10.216,-9.290
720.0,leo1,10.216,-9.290
722.0,leo1,10.216,-9.290
724.0,leo1,10.216,-9.290
726.0,leo1,10.216,-9.290
728.0,leo1,10.216,-9.290
730.0,leo1,10.216,-9.290
732.0,leo1,10.216,-9.290
734.0,leo1,10.216,-9.290
736.0,leo1,10.216,-9.290
738.0,leo1,10.216,-9.290
740.0,leo1,10.216,-9.290
742.0,leo1,10.216,-9.290
744.0,leo1,10.216,-9.290
746.0,leo1,10.216,-9.289
748.0,leo1,10.216,-9.289
750.0,leo1,10.216,-9.289
752.0,leo1,10.216,-9.289
754.0,leo1,10.216,-9.289
756.0,leo1,10.216,-9.289
758.0,leo1,10.216,-9.289
760.0,leo1,10.216,-9.289
762.0,leo1,9.899,-9.115
764.0,leo1,9.575,-8.935
766.0,leo1,9.583,-8.943
768.0,leo1,9.568,-9.178
770.0,leo1,9.299,-9.649
772.0,leo1,9.272,-9.645
774.0,leo1,8.866,-9.548
776.0,leo1,8.368,-9.542
778.0,leo1,7.836,-9.556
780.0,leo1,7.341,-9.636
782.0,leo1,6.851,-9.760
784.0,leo1,6.350,-9.930
786.0,leo1,5.837,-9.936
788.0,leo1,5.320,-9.835
790.0,leo1,4.970,-9.662
792.0,leo1,4.861,-9.527
794.0,leo1,4.890,-9.327
796.0,leo1,4.890,-9.327
798.0,leo1,4.890,-9.327
800.0,leo1,4.913,-9.279
802.0,leo1,4.926,-9.256
804.0,leo1,4.932,-9.245
806.0,leo1,4.933,-9.243
808.0,leo1,4.933,-9.243
810.0,leo1,4.933,-9.243
812.0,leo1,4.933,-9.243
814.0,leo1,4.933,-9.243
816.0,leo1,4.933,-9.243
818.0,leo1,4.933,-9.243
820.0,leo1,4.933,-9.243
822.0,leo1,4.933,-9.243
824.0,leo1,4.933,-9.243
826.0,leo1,4.933,-9.243
828.0,leo1,4.933,-9.243
830.0,leo1,4.933,-9.243
832.0,leo1,4.933,-9.243
834.0,leo1,4.933,-9.243
836.0,leo1,4.933,-9.243
838.0,leo1,4.933,-9.243
840.0,leo1,4.933,-9.243
842.0,leo1,4.933,-9.243
844.0,leo1,4.933,-9.243
846.0,leo1,4.931,-9.247
848.0,leo1,4.931,-9.247
850.0,leo1,4.933,-9.243
852.0,leo1,4.933,-9.243
854.0,leo1,4.933,-9.243
856.0,leo1,4.933,-9.243
858.0,leo1,4.933,-9.243
860.0,leo1,4.933,-9.243
862.0,leo1,4.933,-9.243
864.0,leo1,4.933,-9.243
866.0,leo1,4.933,-9.243
868.0,leo1,4.933,-9.243
870.0,leo1,4.914,-9.270
872.0,leo1,4.841,-9.322
874.0,leo1,4.801,-9.332
876.0,leo1,4.750,-9.333
878.0,leo1,4.694,-9.319
880.0,leo1,4.739,-9.416
882.0,leo1,4.691,-9.587
884.0,leo1,4.458,-9.739
886.0,leo1,4.587,-9.764
888.0,leo1,4.587,-9.764
890.0,leo1,4.588,-9.762
892.0,leo1,4.614,-9.759
894.0,leo1,4.725,-9.819
896.0,leo1,5.270,-9.916
898.0,leo1,5.674,-9.825
900.0,leo1,6.181,-9.843
902.0,leo1,6.709,-9.765
904.0,leo1,7.194,-9.666
906.0,leo1,7.701,-9.575
908.0,leo1,8.015,-9.542
910.0,leo1,8.035,-9.552
912.0,leo1,8.000,-9.554
914.0,leo1,7.932,-9.602
916.0,leo1,7.958,-9.607
918.0,leo1,7.955,-9.597
920.0,leo1,7.884,-9.636
922.0,leo1,7.815,-9.671
