t,robot,x,y
298.0,leo2,1.574,-10.984
300.0,leo2,1.574,-10.984
302.0,leo2,1.574,-10.984
304.0,leo2,1.574,-10.984
306.0,leo2,1.574,-10.984
308.0,leo2,1.574,-10.984
310.0,leo2,1.574,-10.984
312.0,leo2,1.568,-10.987
314.0,leo2,1.578,-10.998
316.0,leo2,1.578,-10.998
318.0,leo2,1.586,-10.977
320.0,leo2,1.568,-10.968
322.0,leo2,1.554,-10.957
324.0,leo2,1.554,-10.957
326.0,leo2,1.553,-10.958
328.0,leo2,1.549,-10.961
330.0,leo2,1.497,-10.979
332.0,leo2,1.497,-10.979
334.0,leo2,1.497,-10.979
336.0,leo2,1.547,-10.981
338.0,leo2,1.651,-10.986
340.0,leo2,1.753,-10.991
342.0,leo2,1.804,-10.993
344.0,leo2,1.804,-10.993
346.0,leo2,1.804,-10.993
348.0,leo2,1.804,-10.993
350.0,leo2,1.804,-10.993
352.0,leo2,1.804,-10.993
354.0,leo2,1.804,-10.993
356.0,leo2,1.804,-10.993
358.0,leo2,1.804,-10.993
360.0,leo2,1.804,-10.993
362.0,leo2,1.804,-10.993
364.0,leo2,1.804,-10.993
366.0,leo2,1.804,-10.993
368.0,leo2,1.804,-10.993
370.0,leo2,1.804,-10.993
372.0,leo2,1.404,-10.974
374.0,leo2,1.039,-10.957
376.0,leo2,1.039,-10.957
378.0,leo2,1.054,-10.963
380.0,leo2,1.056,-10.961
382.0,leo2,1.049,-10.971
384.0,leo2,1.061,-10.974
386.0,leo2,1.061,-10.974
388.0,leo2,1.090,-10.985
390.0,leo2,1.186,-11.019
392.0,leo2,1.280,-11.053
394.0,leo2,1.349,-11.077
396.0,leo2,1.350,-11.076
398.0,leo2,1.334,-11.086
400.0,leo2,1.344,-11.088
402.0,leo2,1.344,-11.088
404.0,leo2,1.344,-11.088
406.0,leo2,1.344,-11.088
408.0,leo2,1.344,-11.088
410.0,leo2,1.344,-11.088
412.0,leo2,1.344,-11.088
414.0,leo2,1.344,-11.088
416.0,leo2,1.344,-11.088
418.0,leo2,1.344,-11.088
420.0,leo2,1.344,-11.088
422.0,leo2,1.344,-11.088
424.0,leo2,1.344,-11.088
426.0,leo2,1.344,-11.088
428.0,leo2,1.344,-11.088
430.0,leo2,1.344,-11.088
