t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
70.7,,,,nan,,,,nan,0,,,0,0,0
75.0,,,,0.000,,,,nan,0,,,1,0,0
80.0,,,,0.000,,,,nan,0,,,1,0,0
85.0,,,,0.000,,,,nan,0,,,1,0,0
90.0,,,,0.000,,,,nan,0,,,1,0,0
95.0,,,,0.000,,,,nan,0,,,1,0,0
100.0,,,,0.000,,,,nan,0,,,1,0,0
105.0,,,,0.000,,,,nan,0,,,1,0,0
110.0,,,,0.000,,,,nan,0,,,1,0,0
115.0,,,,0.000,,,,nan,0,,,1,0,0
120.0,,,,0.000,,,,0.411,0,,,1,0,0
125.0,,,,0.000,,,,0.404,0,,,2,0,0
130.0,,,,0.000,,,,0.324,0,,,2,0,0
135.0,,,,0.000,,,,0.347,0,,,2,0,0
140.0,,,,0.000,,,,0.350,0,,,2,0,0
145.0,,,,0.000,,,,0.335,0,,,2,0,0
150.0,,,,0.000,,,,0.399,0,,,2,0,0
155.0,,,,0.000,,,,0.290,0,,,2,0,0
160.0,,,,0.000,,,,0.290,0,,,2,0,0
165.0,,,,0.000,,,,0.297,0,,,2,0,0
170.0,,,,0.000,,,,0.427,0,,,2,0,0
175.0,,,,0.000,,,,0.432,0,,,3,0,0
180.0,,,,0.000,,,,0.435,0,,,3,0,0
185.0,,,,0.000,,,,0.437,0,,,3,0,0
190.0,,,,0.000,,,,0.383,0,,,3,0,0
195.0,,,,0.000,,,,0.383,0,,,3,0,0
200.0,,,,0.000,,,,0.403,0,,,3,0,0
205.0,,,,0.000,,,,0.406,0,,,3,0,0
210.0,,,,0.000,,,,0.408,0,,,4,0,0
215.0,,,,0.000,,,,0.364,0,,,4,0,0
220.0,,,,0.000,,,,0.389,0,,,5,0,0
225.0,,,,0.000,,,,0.372,0,,,5,0,0
230.0,,,,0.000,,,,0.390,0,,,5,0,0
235.0,,,,0.000,,,,0.363,0,,,5,0,0
240.0,,,,0.000,,,,0.366,0,,,5,0,0
245.0,,,,0.000,,,,0.368,0,,,5,0,0
250.0,,,,0.000,,,,0.409,0,,,5,0,0
255.0,,,,0.000,,,,0.410,0,,,5,0,0
260.0,,,,0.000,,,,0.411,0,,,5,0,0
265.0,8.0766,-10.5956,89.479,0.350,,,,0.411,0,1.6546,-90.520,5,2,2
270.0,8.0766,-10.5956,89.479,0.350,,,,0.433,0,1.6546,-90.520,5,2,2
275.0,8.0766,-10.5956,89.479,0.350,,,,0.430,0,1.6546,-90.520,5,2,2
280.0,8.2310,-10.5723,92.802,0.350,,,,0.409,0,1.5038,-87.198,5,2,2
285.0,8.2688,-10.5665,93.592,0.350,6.0310,-9.7223,114.748,0.434,0,3.5763,-65.252,5,2,2
290.0,8.2780,-10.5679,93.651,0.350,6.0310,-9.7223,114.748,0.441,0,3.5763,-65.252,5,2,2
295.0,8.2780,-10.5679,93.651,0.350,6.0310,-9.7223,114.748,0.397,0,3.5763,-65.252,5,2,2
300.0,7.3755,-10.6161,84.023,0.629,6.0310,-9.7223,114.748,0.453,0,3.5763,-65.252,6,2,2
305.0,7.3755,-10.6161,84.023,0.668,6.0310,-9.7223,114.748,0.451,0,3.5763,-65.252,6,3,3
310.0,7.3755,-10.6161,84.023,0.683,6.0310,-9.7223,114.748,0.502,1,3.5763,-65.252,6,3,3
315.0,7.3755,-10.6161,84.023,0.686,6.0310,-9.7223,114.748,0.431,1,3.5763,-65.252,6,3,3
320.0,7.3755,-10.6161,84.023,0.686,6.0310,-9.7223,114.748,0.436,1,3.5763,-65.252,6,3,3
325.0,7.3755,-10.6161,84.023,0.685,6.0310,-9.7223,114.748,0.438,1,3.5763,-65.252,6,3,3
330.0,7.3755,-10.6161,84.023,0.685,6.0310,-9.7223,114.748,0.438,1,3.5763,-65.252,6,3,3
335.0,7.3755,-10.6161,84.023,0.683,6.0310,-9.7223,114.748,0.481,1,3.5763,-65.252,6,3,3
340.0,7.3755,-10.6161,84.023,0.688,6.0310,-9.7223,114.748,0.484,1,3.5763,-65.252,6,3,3
345.0,6.9958,-10.2692,74.686,0.759,6.0310,-9.7223,114.748,0.467,1,3.5763,-65.252,6,3,3
350.0,7.0042,-10.2157,72.535,0.786,6.0310,-9.7223,114.748,0.524,1,3.5763,-65.252,6,3,3
355.0,7.0106,-10.1865,71.240,0.805,6.0310,-9.7223,114.748,0.513,1,3.5763,-65.252,6,3,3
360.0,7.0154,-10.1682,70.371,0.815,6.0310,-9.7223,114.748,0.546,1,3.5763,-65.252,6,3,3
365.0,7.0191,-10.1556,69.745,0.817,6.0310,-9.7223,114.748,0.669,1,3.5763,-65.252,6,3,3
370.0,7.0220,-10.1464,69.272,0.817,6.0310,-9.7223,114.748,0.544,1,3.5763,-65.252,6,3,3
375.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.572,1,3.5763,-65.252,6,3,3
380.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.567,1,3.5763,-65.252,6,3,3
385.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.568,1,3.5763,-65.252,6,3,3
390.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.573,1,3.5763,-65.252,6,3,3
395.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.558,1,3.5763,-65.252,6,3,3
400.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.559,1,3.5763,-65.252,6,3,3
405.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.559,1,3.5763,-65.252,6,3,3
410.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.560,1,3.5763,-65.252,6,3,3
415.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.560,1,3.5763,-65.252,6,3,3
420.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.560,1,3.5763,-65.252,6,3,3
425.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.560,1,3.5763,-65.252,6,3,3
430.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.560,1,3.5763,-65.252,6,3,3
435.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.560,1,3.5763,-65.252,6,3,3
440.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
445.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
450.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
455.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
460.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
465.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
470.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
475.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
480.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
485.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
490.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
495.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
500.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
505.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
510.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
515.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
520.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
525.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
530.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
535.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
540.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
545.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
550.0,7.0229,-10.1437,69.128,0.817,6.0310,-9.7223,114.748,0.561,1,3.5763,-65.252,6,3,3
