t,robot,x,y
72.0,leo1,0.671,0.000
74.0,leo1,0.671,0.000
76.0,leo1,0.671,0.000
78.0,leo1,0.697,-0.014
80.0,leo1,0.756,-0.132
82.0,leo1,0.751,-0.251
84.0,leo1,0.751,-0.252
86.0,leo1,0.736,-0.273
88.0,leo1,0.617,-0.266
90.0,leo1,0.273,0.013
92.0,leo1,0.024,0.195
94.0,leo1,-0.163,-0.007
96.0,leo1,-0.163,-0.007
98.0,leo1,-0.163,-0.007
100.0,leo1,-0.163,-0.007
102.0,leo1,-0.183,-0.016
104.0,leo1,-0.175,0.024
106.0,leo1,-0.050,-0.073
108.0,leo1,0.365,-0.126
110.0,leo1,0.692,-0.346
112.0,leo1,1.064,-0.312
114.0,leo1,1.112,-0.331
116.0,leo1,1.097,-0.312
118.0,leo1,0.857,-0.535
120.0,leo1,0.621,-0.942
122.0,leo1,0.538,-1.381
124.0,leo1,0.613,-1.877
126.0,leo1,0.854,-2.342
128.0,leo1,0.919,-2.517
130.0,leo1,0.979,-2.997
132.0,leo1,1.080,-3.516
134.0,leo1,1.371,-3.947
136.0,leo1,1.576,-4.422
138.0,leo1,1.690,-4.608
140.0,leo1,1.690,-4.608
142.0,leo1,1.985,-4.962
144.0,leo1,2.363,-5.228
146.0,leo1,2.580,-5.606
148.0,leo1,2.757,-6.109
150.0,leo1,2.923,-6.546
152.0,leo1,2.982,-6.678
154.0,leo1,3.032,-6.724
156.0,leo1,3.264,-6.751
158.0,leo1,3.680,-6.566
160.0,leo1,4.143,-6.473
162.0,leo1,4.313,-6.558
164.0,leo1,4.344,-6.581
166.0,leo1,4.349,-6.583
168.0,leo1,4.348,-6.583
170.0,leo1,4.607,-6.558
172.0,leo1,4.759,-6.468
174.0,leo1,4.759,-6.468
176.0,leo1,4.759,-6.468
178.0,leo1,4.685,-6.528
180.0,leo1,4.609,-6.589
182.0,leo1,4.528,-6.654
184.0,leo1,4.869,-6.357
186.0,leo1,4.965,-6.304
188.0,leo1,4.965,-6.304
190.0,leo1,5.005,-6.263
192.0,leo1,4.988,-6.279
194.0,leo1,4.914,-6.351
196.0,leo1,4.845,-6.418
198.0,leo1,5.087,-6.172
200.0,leo1,5.502,-5.875
202.0,leo1,5.952,-5.795
204.0,leo1,6.480,-5.878
206.0,leo1,6.963,-5.981
208.0,leo1,7.178,-5.989
210.0,leo1,7.581,-5.747
212.0,leo1,8.007,-5.446
214.0,leo1,8.432,-5.153
216.0,leo1,8.875,-4.989
218.0,leo1,9.390,-4.956
220.0,leo1,9.763,-4.895
222.0,leo1,9.897,-4.814
224.0,leo1,10.306,-4.967
226.0,leo1,10.520,-5.011
228.0,leo1,10.520,-5.012
230.0,leo1,10.521,-5.009
232.0,leo1,10.492,-5.005
234.0,leo1,10.376,-5.067
236.0,leo1,10.396,-5.033
238.0,leo1,10.480,-5.158
240.0,leo1,10.824,-5.348
242.0,leo1,11.154,-5.671
244.0,leo1,11.142,-5.648
246.0,leo1,11.136,-5.667
248.0,leo1,11.168,-5.669
250.0,leo1,11.161,-5.680
252.0,leo1,11.179,-5.679
254.0,leo1,11.205,-5.682
256.0,leo1,11.205,-5.682
258.0,leo1,11.227,-5.688
260.0,leo1,11.320,-5.714
262.0,leo1,11.278,-5.563
264.0,leo1,11.380,-5.564
266.0,leo1,11.484,-5.564
268.0,leo1,11.039,-5.442
270.0,leo1,10.539,-5.240
272.0,leo1,10.048,-5.184
274.0,leo1,9.562,-4.992
276.0,leo1,9.072,-4.953
278.0,leo1,8.662,-5.002
280.0,leo1,8.503,-5.150
282.0,leo1,8.417,-5.472
284.0,leo1,8.322,-6.002
286.0,leo1,8.184,-6.494
288.0,leo1,8.079,-7.022
290.0,leo1,8.102,-7.520
292.0,leo1,8.272,-8.019
294.0,leo1,8.308,-8.425
296.0,leo1,8.177,-8.779
298.0,leo1,7.900,-9.142
300.0,leo1,7.603,-9.490
302.0,leo1,7.199,-9.631
304.0,leo1,6.831,-9.809
306.0,leo1,6.685,-10.072
306.0,leo2,6.148,-8.744
308.0,leo1,6.689,-10.470
308.0,leo2,5.852,-8.386
310.0,leo1,6.725,-10.676
310.0,leo2,5.536,-8.168
312.0,leo1,6.723,-10.679
312.0,leo2,5.531,-8.167
314.0,leo1,6.711,-10.696
314.0,leo2,5.531,-8.167
316.0,leo1,6.726,-10.701
316.0,leo2,5.531,-8.167
318.0,leo1,6.676,-10.624
318.0,leo2,5.521,-8.171
320.0,leo1,6.704,-10.293
320.0,leo2,5.466,-8.117
322.0,leo1,6.631,-9.963
322.0,leo2,5.263,-7.756
324.0,leo1,6.026,-9.745
324.0,leo2,5.104,-7.522
326.0,leo1,5.617,-9.659
326.0,leo2,5.184,-7.591
328.0,leo1,5.612,-9.661
328.0,leo2,5.264,-7.661
330.0,leo1,5.612,-9.661
330.0,leo2,5.320,-7.710
332.0,leo1,5.612,-9.661
332.0,leo2,4.945,-7.390
334.0,leo1,5.609,-9.561
334.0,leo2,4.555,-7.042
336.0,leo1,5.648,-9.461
336.0,leo2,4.443,-6.670
338.0,leo1,5.684,-9.367
338.0,leo2,4.432,-6.664
340.0,leo1,5.557,-9.560
340.0,leo2,4.432,-6.664
342.0,leo1,5.291,-9.652
342.0,leo2,4.432,-6.664
344.0,leo1,4.758,-9.712
344.0,leo2,4.432,-6.664
346.0,leo1,4.279,-9.660
346.0,leo2,4.432,-6.664
348.0,leo1,3.930,-9.749
348.0,leo2,4.432,-6.664
350.0,leo1,3.551,-10.014
350.0,leo2,4.432,-6.664
352.0,leo1,3.096,-10.287
352.0,leo2,4.432,-6.664
354.0,leo1,2.633,-10.443
354.0,leo2,4.432,-6.664
356.0,leo1,2.197,-10.556
356.0,leo2,4.432,-6.664
358.0,leo1,1.699,-10.614
358.0,leo2,4.432,-6.664
360.0,leo1,1.189,-10.595
360.0,leo2,4.432,-6.664
362.0,leo1,0.676,-10.479
362.0,leo2,4.432,-6.664
364.0,leo1,0.171,-10.330
364.0,leo2,4.432,-6.664
366.0,leo1,-0.111,-10.109
366.0,leo2,4.432,-6.664
368.0,leo1,-0.078,-10.121
368.0,leo2,4.432,-6.664
370.0,leo1,-0.106,-10.138
370.0,leo2,4.432,-6.664
372.0,leo1,-0.095,-10.164
372.0,leo2,4.436,-6.677
374.0,leo1,0.032,-10.308
374.0,leo2,4.449,-6.676
376.0,leo1,0.312,-10.345
376.0,leo2,4.449,-6.676
378.0,leo1,0.487,-10.543
378.0,leo2,4.449,-6.676
380.0,leo1,0.677,-10.430
380.0,leo2,4.449,-6.676
382.0,leo1,1.012,-10.464
382.0,leo2,4.449,-6.676
384.0,leo1,1.461,-10.647
384.0,leo2,4.449,-6.676
386.0,leo1,1.977,-10.588
386.0,leo2,4.449,-6.676
388.0,leo1,2.102,-10.553
388.0,leo2,4.449,-6.676
390.0,leo1,1.958,-10.301
390.0,leo2,4.449,-6.676
392.0,leo1,1.910,-10.286
392.0,leo2,4.449,-6.676
394.0,leo1,1.910,-10.286
394.0,leo2,4.449,-6.676
