t,robot,x,y
72.0,leo2,0.491,0.001
74.0,leo2,0.491,0.001
76.0,leo2,0.491,0.001
78.0,leo2,0.491,0.001
80.0,leo2,0.491,0.001
82.0,leo2,0.491,0.001
84.0,leo2,0.491,0.001
86.0,leo2,0.491,0.001
88.0,leo2,0.491,0.001
90.0,leo2,0.491,0.001
92.0,leo2,0.491,0.001
94.0,leo2,0.491,0.001
96.0,leo2,0.491,0.001
98.0,leo2,0.121,-0.039
100.0,leo2,-0.261,-0.081
102.0,leo2,-0.217,-0.077
104.0,leo2,-0.054,-0.167
106.0,leo2,0.036,-0.390
108.0,leo2,0.141,-0.633
110.0,leo2,0.146,-0.642
112.0,leo2,0.121,-0.627
114.0,leo2,0.140,-0.601
116.0,leo2,0.087,-0.403
118.0,leo2,0.093,-0.385
120.0,leo2,0.090,-0.401
122.0,leo2,0.482,-0.494
124.0,leo2,0.834,-0.430
126.0,leo2,0.948,-0.319
128.0,leo2,0.933,-0.334
130.0,leo2,0.933,-0.334
132.0,leo2,0.944,-0.334
134.0,leo2,0.950,-0.334
136.0,leo2,0.951,-0.334
138.0,leo2,0.952,-0.334
140.0,leo2,0.953,-0.334
142.0,leo2,0.953,-0.334
144.0,leo2,0.953,-0.334
146.0,leo2,0.953,-0.334
148.0,leo2,0.953,-0.334
150.0,leo2,0.953,-0.334
152.0,leo2,0.953,-0.334
154.0,leo2,0.953,-0.334
156.0,leo2,0.953,-0.334
158.0,leo2,0.953,-0.334
160.0,leo2,0.953,-0.334
162.0,leo2,0.953,-0.334
164.0,leo2,0.953,-0.334
166.0,leo2,0.953,-0.334
168.0,leo2,0.953,-0.334
170.0,leo2,0.953,-0.334
172.0,leo2,0.953,-0.334
174.0,leo2,0.953,-0.334
176.0,leo2,0.953,-0.334
178.0,leo2,0.968,-0.338
180.0,leo2,0.926,-0.424
182.0,leo2,0.640,-0.541
184.0,leo2,0.266,-0.518
186.0,leo2,0.084,-0.130
188.0,leo2,-0.180,0.264
190.0,leo2,-0.215,0.438
192.0,leo2,-0.215,0.438
194.0,leo2,-0.201,0.466
196.0,leo2,-0.231,0.462
198.0,leo2,-0.182,0.376
200.0,leo2,-0.124,-0.046
202.0,leo2,0.238,-0.416
204.0,leo2,0.424,-0.564
206.0,leo2,0.889,-0.544
208.0,leo2,1.053,-0.527
210.0,leo2,1.045,-0.570
212.0,leo2,0.934,-0.487
214.0,leo2,0.930,-0.486
216.0,leo2,0.930,-0.486
218.0,leo2,0.853,-0.473
220.0,leo2,0.698,-0.502
222.0,leo2,0.696,-0.493
224.0,leo2,0.749,-0.519
226.0,leo2,0.890,-0.553
228.0,leo2,0.865,-0.544
230.0,leo2,0.874,-0.550
232.0,leo2,0.768,-0.514
234.0,leo2,0.866,-0.520
236.0,leo2,0.962,-0.525
238.0,leo2,1.054,-0.531
240.0,leo2,1.059,-0.530
242.0,leo2,1.090,-0.464
244.0,leo2,1.091,-0.500
246.0,leo2,1.206,-0.551
248.0,leo2,1.167,-0.547
250.0,leo2,1.139,-0.547
252.0,leo2,1.095,-0.555
254.0,leo2,1.103,-0.547
256.0,leo2,1.310,-0.280
