t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
127.6,,,,nan,,,,nan,0,,,0,0,0
130.0,,,,0.000,,,,nan,0,,,0,0,0
135.0,,,,0.000,,,,nan,0,,,0,0,0
140.0,,,,0.000,,,,nan,0,,,0,0,0
145.0,,,,0.000,,,,nan,0,,,0,1,0
150.0,,,,0.000,,,,nan,0,,,0,1,0
155.0,,,,0.000,,,,nan,0,,,0,1,0
160.0,,,,0.000,,,,nan,0,,,0,1,0
165.0,,,,0.000,,,,nan,0,,,0,1,0
170.0,,,,0.000,,,,0.408,0,,,0,1,0
175.0,,,,0.000,6.0500,0.0500,-2.000,0.469,0,9.5501,178.000,0,2,0
180.0,,,,0.000,6.0500,0.0500,-2.000,0.491,0,9.5501,178.000,0,2,0
185.0,,,,0.000,6.0500,0.0500,-2.000,0.491,0,9.5501,178.000,0,2,0
190.0,,,,0.000,6.0500,0.0500,-2.000,0.499,0,9.5501,178.000,0,2,0
195.0,,,,0.000,6.0000,0.1000,-0.054,0.523,1,9.5818,179.947,0,2,0
200.0,,,,0.000,6.0000,0.1000,-0.054,0.514,1,9.5818,179.947,0,2,0
205.0,,,,0.000,6.0000,0.1000,-0.054,0.514,1,9.5818,179.947,0,2,0
210.0,,,,0.000,6.0000,0.1000,-0.054,0.484,1,9.5818,179.947,0,2,0
215.0,,,,0.000,6.0000,0.1000,-0.054,0.479,1,9.5818,179.947,1,2,0
220.0,,,,0.000,6.0000,0.1000,-0.054,0.497,1,9.5818,179.947,1,2,0
225.0,,,,0.000,6.0000,0.1000,-0.054,0.497,1,9.5818,179.947,1,2,0
230.0,,,,0.000,6.0000,0.1000,-0.054,0.509,1,9.5818,179.947,1,2,0
235.0,,,,0.000,6.0000,0.1000,-0.054,0.497,1,9.5818,179.947,1,2,0
240.0,,,,0.000,6.0000,0.1000,-0.054,0.488,1,9.5818,179.947,1,2,0
245.0,,,,0.000,6.0000,0.1000,-0.054,0.488,1,9.5818,179.947,1,2,0
250.0,,,,0.000,6.0000,0.1000,-0.054,0.465,1,9.5818,179.947,1,2,0
255.0,,,,0.000,6.0000,0.1000,-0.054,0.481,1,9.5818,179.947,1,2,0
260.0,,,,0.000,6.0000,0.1000,-0.054,0.481,1,9.5818,179.947,1,2,0
265.0,,,,0.000,6.0000,0.1000,-0.054,0.469,1,9.5818,179.947,2,2,0
270.0,,,,0.000,6.0000,0.1000,-0.054,0.482,1,9.5818,179.947,2,2,0
275.0,,,,0.000,6.0000,0.1000,-0.054,0.470,1,9.5818,179.947,2,2,0
280.0,,,,0.000,6.0000,0.1000,-0.054,0.470,1,9.5818,179.947,2,2,0
285.0,,,,0.000,6.0000,0.1000,-0.054,0.457,1,9.5818,179.947,2,2,0
290.0,,,,0.000,6.0000,0.1000,-0.054,0.450,1,9.5818,179.947,2,2,0
295.0,,,,0.000,6.0000,0.1000,-0.054,0.451,1,9.5818,179.947,2,2,0
300.0,,,,0.000,6.0000,0.1000,-0.054,0.452,1,9.5818,179.947,2,2,0
305.0,,,,0.000,6.0000,0.1000,-0.054,0.452,1,9.5818,179.947,2,2,0
310.0,,,,0.000,6.0000,0.1000,-0.054,0.453,1,9.5818,179.947,2,2,0
315.0,,,,0.000,6.0000,0.1000,-0.054,0.453,1,9.5818,179.947,2,2,0
320.0,,,,0.000,6.0000,0.1000,-0.054,0.453,1,9.5818,179.947,2,2,0
325.0,,,,0.000,6.0000,0.1000,-0.054,0.453,1,9.5818,179.947,2,2,0
330.0,,,,0.000,6.0000,0.1000,-0.054,0.453,1,9.5818,179.947,2,2,0
335.0,,,,0.000,6.0000,0.1000,-0.054,0.453,1,9.5818,179.947,2,2,0
340.0,,,,0.000,6.0000,0.1000,-0.054,0.453,1,9.5818,179.947,2,2,0
345.0,,,,0.000,6.0000,0.1000,-0.054,0.453,1,9.5818,179.947,2,2,0
350.0,,,,0.000,6.0000,0.1000,-0.054,0.454,1,9.5818,179.947,2,2,0
355.0,,,,0.000,6.0000,0.1000,-0.054,0.454,1,9.5818,179.947,2,2,0
360.0,,,,0.000,6.0000,0.1000,-0.054,0.454,1,9.5818,179.947,2,2,0
365.0,,,,0.000,6.0000,0.1000,-0.054,0.454,1,9.5818,179.947,2,2,0
370.0,,,,0.000,6.0000,0.1000,-0.054,0.454,1,9.5818,179.947,2,2,0
375.0,,,,0.000,6.0000,0.1000,-0.054,0.386,1,9.5818,179.947,2,2,0
380.0,,,,0.000,6.0000,0.1000,-0.054,0.386,1,9.5818,179.947,2,2,0
385.0,,,,0.000,6.0000,0.1000,-0.054,0.477,1,9.5818,179.947,2,2,0
390.0,,,,0.000,6.0000,0.1000,-0.054,0.477,1,9.5818,179.947,2,2,0
395.0,,,,0.000,6.0000,0.1000,-0.054,0.477,1,9.5818,179.947,2,2,0
400.0,,,,0.000,6.0000,0.1000,-0.054,0.477,1,9.5818,179.947,2,2,0
405.0,,,,0.000,6.0000,0.1000,-0.054,0.477,1,9.5818,179.947,2,2,0
410.0,,,,0.000,6.0000,0.1000,-0.054,0.461,1,9.5818,179.947,2,2,0
415.0,,,,0.000,6.0000,0.1000,-0.054,0.454,1,9.5818,179.947,2,2,0
420.0,,,,0.000,6.0000,0.1000,-0.054,0.454,1,9.5818,179.947,2,2,0
425.0,,,,0.000,6.0000,0.1000,-0.054,0.454,1,9.5818,179.947,2,2,0
430.0,,,,0.000,6.0000,0.1000,-0.054,0.454,1,9.5818,179.947,2,2,0
435.0,,,,0.000,6.0000,0.1000,-0.054,0.454,1,9.5818,179.947,2,2,0
440.0,,,,0.000,6.0000,0.1000,-0.054,0.454,1,9.5818,179.947,2,2,0
445.0,,,,0.000,6.0000,0.1000,-0.054,0.454,1,9.5818,179.947,2,2,0
450.0,,,,0.000,6.0000,0.1000,-0.054,0.454,1,9.5818,179.947,2,2,0
