t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
141.758,2,2.1878,56.45,0.112,2.0212,0.8320,-0.0947,0.0751,2.3237,0.1053
142.100,2,2.1776,51.88,0.079,2.1566,0.2866,-0.0944,0.0844,2.3333,0.1056
142.393,2,2.1799,52.88,0.044,2.1381,-0.4145,-0.0944,0.0783,2.3435,0.1056
142.762,2,2.1719,57.90,0.110,2.0060,-0.8272,-0.0948,0.0650,2.3292,0.1052
143.101,2,2.1533,56.54,0.253,2.0212,-0.7365,-0.0947,0.0561,2.3439,0.1053
143.392,2,2.1143,55.89,0.206,2.0228,-0.6078,-0.0947,0.0583,2.3396,0.1053
143.744,2,2.0648,56.80,0.050,2.0038,-0.4891,-0.0948,0.0566,2.3347,0.1052
144.102,2,2.0254,56.89,0.078,1.9854,-0.3893,-0.0948,0.0473,2.3359,0.1052
144.389,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0526,2.3507,0.1052
144.770,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0470,2.3493,0.1052
145.094,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0468,2.3485,0.1052
145.396,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0466,2.3486,0.1052
145.769,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0458,2.3485,0.1052
146.094,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0448,2.3479,0.1052
146.390,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0455,2.3482,0.1052
146.769,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0460,2.3484,0.1052
147.104,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0469,2.3485,0.1052
147.378,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0460,2.3483,0.1052
147.777,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0463,2.3484,0.1052
148.096,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0463,2.3483,0.1052
148.402,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0451,2.3480,0.1052
148.766,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0455,2.3482,0.1052
149.091,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0453,2.3481,0.1052
149.400,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0446,2.3479,0.1052
149.766,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0441,2.3478,0.1052
150.103,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0430,2.3475,0.1052
150.411,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0428,2.3475,0.1052
150.760,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0426,2.3474,0.1052
151.102,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0426,2.3474,0.1052
151.391,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0426,2.3474,0.1052
151.765,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0421,2.3473,0.1052
152.091,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0415,2.3471,0.1052
152.407,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0422,2.3473,0.1052
152.751,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0421,2.3473,0.1052
153.096,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0415,2.3471,0.1052
153.419,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0421,2.3473,0.1052
153.745,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0417,2.3472,0.1052
154.088,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0417,2.3472,0.1052
154.396,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0411,2.3470,0.1052
154.742,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0411,2.3470,0.1052
155.085,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0410,2.3470,0.1052
155.400,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0405,2.3469,0.1052
155.764,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0403,2.3468,0.1052
156.098,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0414,2.3471,0.1052
156.393,2,2.0121,56.88,0.012,1.9864,-0.3063,-0.0948,0.0420,2.3473,0.1052
156.751,2,2.0403,56.18,0.090,2.0157,-0.3014,-0.0948,0.0496,2.3135,0.1052
157.097,2,2.1203,53.88,0.027,2.0965,-0.3027,-0.0945,0.0439,2.3284,0.1055
157.408,2,2.1834,51.88,0.234,2.1601,-0.3040,-0.0943,0.0470,2.3222,0.1057
157.768,2,2.2409,51.01,0.106,2.2184,-0.3024,-0.0942,0.0493,2.3111,0.1058
158.089,2,2.3156,48.88,0.174,2.2936,-0.3045,-0.0940,0.0468,2.3187,0.1060
158.398,2,2.3805,47.88,0.096,2.3593,-0.3029,-0.0938,0.0474,2.3100,0.1062
158.749,2,2.4910,45.80,0.149,2.4700,-0.3081,-0.0980,0.0374,2.3478,0.1020
159.095,2,2.5771,43.88,0.013,2.5562,-0.3123,-0.0980,0.0341,2.3654,0.1020
159.397,2,2.6327,42.89,0.066,2.6126,-0.3091,-0.0979,0.0370,2.3522,0.1021
159.761,2,2.6984,41.88,0.016,2.6790,-0.3082,-0.0979,-0.0343,2.4001,0.1021
160.095,2,2.7639,40.88,0.029,2.7449,-0.3084,-0.0978,-0.0321,2.3962,0.1022
160.403,2,2.8328,39.88,0.041,2.8142,-0.3086,-0.0977,-0.0382,2.4095,0.1023
160.765,2,2.9052,38.88,0.053,2.8871,-0.3088,-0.0977,-0.0390,2.4130,0.1023
161.072,2,2.9816,37.89,0.065,2.9639,-0.3091,-0.0976,-0.0489,2.4330,0.1024
161.397,2,2.9816,37.89,0.065,2.9639,-0.3091,-0.0976,-0.0490,2.4347,0.1024
161.764,2,2.9816,37.89,0.065,2.9639,-0.3091,-0.0976,-0.0489,2.4337,0.1024
162.096,2,2.9816,37.89,0.065,2.9639,-0.3091,-0.0976,-0.0501,2.4345,0.1024
162.397,2,2.9816,37.89,0.065,2.9639,-0.3091,-0.0976,-0.0501,2.4339,0.1024
162.762,2,2.9816,37.89,0.065,2.9639,-0.3091,-0.0976,-0.0497,2.4336,0.1024
163.083,2,2.9816,37.89,0.065,2.9639,-0.3091,-0.0976,-0.0493,2.4336,0.1024
163.400,2,2.9816,37.89,0.065,2.9639,-0.3091,-0.0976,-0.0483,2.4337,0.1024
163.753,2,2.9816,37.89,0.065,2.9639,-0.3091,-0.0976,-0.0500,2.4331,0.1024
164.071,2,2.9816,37.89,0.065,2.9639,-0.3091,-0.0976,-0.0495,2.4332,0.1024
164.409,2,2.9816,37.89,0.065,2.9639,-0.3091,-0.0976,-0.0494,2.4335,0.1024
164.742,2,2.9771,37.89,0.112,2.9576,-0.3262,-0.0975,-0.0392,2.4318,0.1025
165.074,2,2.9378,38.89,0.020,2.8881,-0.5290,-0.0977,-0.0105,2.3997,0.1023
165.400,2,2.9694,40.90,0.080,2.8172,-0.9333,-0.0977,-0.0069,2.4298,0.1023
165.743,2,2.9363,45.88,0.074,2.6422,-1.2770,-0.0979,0.0052,2.4003,0.1021
172.706,4,4.4027,26.37,1.440,4.3930,0.2758,-0.0988,-3.5099,-4.3086,0.1012
173.077,4,4.3107,26.23,2.237,4.3036,0.2268,-0.0973,-3.4743,-4.2758,0.1027
173.397,4,4.4899,26.05,1.351,4.4828,0.2330,-0.0982,-3.5901,-4.4190,0.1018
173.713,4,4.4579,26.26,1.406,4.4508,0.2317,-0.0979,-3.5663,-4.3982,0.1021
174.075,4,4.4579,26.26,1.406,4.4508,0.2317,-0.0979,-3.5667,-4.3984,0.1021
174.402,4,4.4579,26.26,1.406,4.4508,0.2317,-0.0979,-3.5658,-4.3983,0.1021
174.704,4,4.4579,26.26,1.406,4.4508,0.2317,-0.0979,-3.5653,-4.3992,0.1021
175.056,4,4.4579,26.26,1.406,4.4508,0.2317,-0.0979,-3.5653,-4.3995,0.1021
175.391,4,4.4579,26.26,1.406,4.4508,0.2317,-0.0979,-3.5649,-4.4000,0.1021
175.699,4,4.4579,26.26,1.406,4.4508,0.2317,-0.0979,-3.5636,-4.4014,0.1021
176.067,4,4.4579,26.26,1.406,4.4508,0.2317,-0.0979,-3.5612,-4.4039,0.1021
176.393,4,4.4579,26.26,1.406,4.4508,0.2317,-0.0979,-3.5603,-4.4046,0.1021
176.704,4,4.4579,26.26,1.406,4.4508,0.2317,-0.0979,-3.5594,-4.4056,0.1021
177.064,4,4.3148,26.19,2.238,4.3074,0.2347,-0.0976,-3.4685,-4.3248,0.1024
179.395,4,4.4115,26.58,0.677,4.4101,0.0452,-0.1027,-4.0198,-4.7098,0.0973
179.698,4,4.4128,26.37,0.620,4.4116,0.0059,-0.1020,-4.0815,-4.7627,0.0980
180.069,4,4.2595,27.46,0.612,4.2561,-0.1346,-0.1034,-3.9754,-4.7286,0.0966
180.398,4,4.2748,27.46,0.615,4.2571,-0.3747,-0.1027,-4.0002,-4.7583,0.0973
180.699,4,4.2850,27.45,0.566,4.2423,-0.5945,-0.1018,-4.0198,-4.7851,0.0982
