t,robot,x,y
128.0,leo1,0.995,0.018
130.0,leo1,0.995,0.018
132.0,leo1,0.995,0.018
134.0,leo1,0.995,0.018
136.0,leo1,0.995,0.018
138.0,leo1,1.024,0.008
140.0,leo1,1.078,-0.090
142.0,leo1,1.053,-0.523
144.0,leo1,1.075,-1.002
146.0,leo1,1.089,-1.123
148.0,leo1,1.089,-1.123
150.0,leo1,1.100,-1.147
152.0,leo1,1.227,-1.218
154.0,leo1,1.713,-1.273
156.0,leo1,2.101,-1.392
158.0,leo1,2.137,-1.407
160.0,leo1,2.137,-1.407
162.0,leo1,2.369,-1.462
164.0,leo1,2.882,-1.437
166.0,leo1,3.391,-1.348
168.0,leo1,3.916,-1.278
170.0,leo1,4.427,-1.211
172.0,leo1,4.707,-1.142
174.0,leo1,4.723,-1.133
176.0,leo1,4.709,-1.178
178.0,leo1,4.679,-1.125
180.0,leo1,4.451,-1.079
182.0,leo1,3.807,-1.150
184.0,leo1,3.308,-1.323
186.0,leo1,2.828,-1.463
188.0,leo1,2.328,-1.623
190.0,leo1,1.841,-1.783
192.0,leo1,1.471,-2.060
192.0,leo2,4.094,-2.767
194.0,leo1,1.321,-2.475
194.0,leo2,4.044,-2.873
196.0,leo1,1.235,-2.982
196.0,leo2,4.007,-3.195
198.0,leo1,1.140,-3.496
198.0,leo2,3.842,-3.687
200.0,leo1,0.967,-3.994
200.0,leo2,3.611,-4.116
202.0,leo1,0.811,-4.429
202.0,leo2,3.484,-4.320
204.0,leo1,0.774,-4.510
204.0,leo2,3.484,-4.320
206.0,leo1,0.656,-4.766
206.0,leo2,3.493,-4.291
208.0,leo1,0.498,-5.229
208.0,leo2,3.501,-4.312
210.0,leo1,0.279,-5.706
210.0,leo2,3.495,-4.288
212.0,leo1,0.052,-6.196
212.0,leo2,3.763,-4.094
214.0,leo1,-0.221,-6.668
214.0,leo2,4.130,-3.705
216.0,leo1,-0.447,-7.099
216.0,leo2,4.352,-3.407
218.0,leo1,-0.652,-7.586
218.0,leo2,4.348,-3.394
