t,robot,x,y
128.0,leo1,0.995,0.018
130.0,leo1,0.995,0.018
132.0,leo1,0.995,0.018
134.0,leo1,0.995,0.018
136.0,leo1,0.995,0.018
138.0,leo1,1.024,0.008
140.0,leo1,1.078,-0.090
142.0,leo1,1.053,-0.523
144.0,leo1,1.075,-1.002
146.0,leo1,1.089,-1.123
148.0,leo1,1.089,-1.123
150.0,leo1,1.100,-1.147
152.0,leo1,1.227,-1.218
154.0,leo1,1.713,-1.273
156.0,leo1,2.101,-1.392
158.0,leo1,2.137,-1.407
160.0,leo1,2.137,-1.407
162.0,leo1,2.369,-1.462
164.0,leo1,2.882,-1.437
166.0,leo1,3.391,-1.348
168.0,leo1,3.916,-1.278
170.0,leo1,4.427,-1.211
172.0,leo1,4.707,-1.142
174.0,leo1,4.723,-1.133
176.0,leo1,4.709,-1.178
178.0,leo1,4.679,-1.125
180.0,leo1,4.451,-1.079
182.0,leo1,3.807,-1.150
184.0,leo1,3.308,-1.323
186.0,leo1,2.828,-1.463
188.0,leo1,2.328,-1.623
190.0,leo1,1.841,-1.783
192.0,leo1,1.471,-2.060
194.0,leo1,1.321,-2.475
196.0,leo1,1.235,-2.982
198.0,leo1,1.140,-3.496
200.0,leo1,0.967,-3.994
202.0,leo1,0.811,-4.429
204.0,leo1,0.774,-4.510
206.0,leo1,0.656,-4.766
208.0,leo1,0.498,-5.229
210.0,leo1,0.279,-5.706
212.0,leo1,0.052,-6.196
214.0,leo1,-0.221,-6.668
216.0,leo1,-0.447,-7.099
218.0,leo1,-0.652,-7.586
220.0,leo1,-0.851,-7.957
222.0,leo1,-0.870,-7.958
224.0,leo1,-0.870,-7.958
226.0,leo1,-0.914,-7.989
228.0,leo1,-1.298,-8.033
230.0,leo1,-1.778,-8.017
232.0,leo1,-2.309,-8.010
234.0,leo1,-2.827,-8.011
236.0,leo1,-3.387,-8.009
238.0,leo1,-3.890,-8.014
240.0,leo1,-4.396,-8.022
242.0,leo1,-4.920,-8.052
244.0,leo1,-5.381,-8.122
246.0,leo1,-5.486,-8.144
