t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
127.4,,,,nan,,,,nan,0,,,0,0,0
130.0,,,,0.000,,,,nan,0,,,0,0,0
135.0,,,,0.000,,,,nan,0,,,0,0,0
140.0,,,,0.000,,,,nan,0,,,0,0,0
145.0,,,,0.000,,,,nan,0,,,0,0,0
150.0,,,,0.000,,,,nan,0,,,0,1,0
155.0,,,,0.000,,,,nan,0,,,1,1,0
160.0,,,,0.000,,,,nan,0,,,1,1,0
165.0,,,,0.000,,,,nan,0,,,1,1,0
170.0,,,,0.000,,,,nan,0,,,1,1,0
175.0,,,,0.000,,,,nan,0,,,1,1,0
180.0,,,,0.000,,,,nan,0,,,1,1,0
185.0,,,,0.000,,,,nan,0,,,1,1,0
190.0,,,,0.000,,,,nan,0,,,1,1,0
195.0,,,,0.000,,,,0.371,0,,,1,1,0
200.0,,,,0.000,,,,0.436,0,,,2,1,0
205.0,,,,0.000,,,,0.436,0,,,3,1,0
210.0,,,,0.000,,,,0.433,0,,,3,1,0
215.0,,,,0.000,4.4500,-1.3500,-90.000,0.438,0,7.7862,90.000,3,2,0
220.0,,,,0.000,4.4500,-1.3500,-90.000,0.271,0,7.7862,90.000,3,2,0
225.0,,,,0.000,4.4500,-1.3500,-90.000,0.271,0,7.7862,90.000,3,2,0
230.0,1.2680,-7.4350,-142.200,0.175,4.4500,-1.3500,-90.000,0.490,0,7.7862,90.000,3,3,1
235.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.422,0,7.7862,90.000,3,3,1
240.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.604,0,7.7862,90.000,3,3,1
245.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.620,0,7.7862,90.000,3,3,1
250.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.639,0,7.7862,90.000,3,3,1
255.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.633,0,7.7862,90.000,3,3,1
260.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.633,0,7.7862,90.000,3,3,1
265.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.652,0,7.7862,90.000,3,3,1
270.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.642,0,7.7862,90.000,3,3,1
275.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.677,0,7.7862,90.000,3,3,1
280.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.677,0,7.7862,90.000,3,3,1
285.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.643,0,7.7862,90.000,3,3,1
290.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.652,0,7.7862,90.000,3,3,1
295.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.660,0,7.7862,90.000,3,3,1
300.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.660,0,7.7862,90.000,3,3,1
305.0,2.1599,-7.5927,-157.641,0.175,4.4500,-1.3500,-90.000,0.662,0,7.7862,90.000,3,4,1
310.0,3.2813,-8.5062,179.457,0.350,4.4500,-1.3500,-90.000,0.694,0,7.7862,90.000,3,4,1
315.0,3.2813,-8.5062,179.457,0.350,4.4500,-1.3500,-90.000,0.701,0,7.7862,90.000,4,4,2
320.0,3.2813,-8.5062,179.457,0.350,4.4500,-1.3500,-90.000,0.701,0,7.7862,90.000,4,4,2
325.0,3.2813,-8.5062,179.457,0.350,4.4500,-1.3500,-90.000,0.660,0,7.7862,90.000,4,4,2
330.0,3.2813,-8.5062,179.457,0.350,4.4500,-1.3500,-90.000,0.661,0,7.7862,90.000,4,4,2
335.0,3.2813,-8.5062,179.457,0.350,4.4500,-1.3500,-90.000,0.661,0,7.7862,90.000,4,4,2
340.0,3.2813,-8.5062,179.457,0.350,4.4500,-1.3500,-90.000,0.661,0,7.7862,90.000,4,4,2
345.0,3.2813,-8.5062,179.457,0.350,4.4500,-1.3500,-90.000,0.670,0,7.7862,90.000,4,4,2
350.0,3.2813,-8.5062,179.457,0.350,4.4500,-1.3500,-90.000,0.649,0,7.7862,90.000,4,4,2
355.0,3.2813,-8.5062,179.457,0.350,4.4500,-1.3500,-90.000,0.649,0,7.7862,90.000,4,4,2
360.0,3.2813,-8.5062,179.457,0.350,4.4500,-1.3500,-90.000,0.624,0,7.7862,90.000,4,4,2
365.0,3.2813,-8.5062,179.457,0.350,4.4500,-1.3500,-90.000,0.636,0,7.7862,90.000,4,4,2
370.0,3.2813,-8.5062,179.457,0.350,4.4500,-1.3500,-90.000,0.684,0,7.7862,90.000,4,4,2
