t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
145.385,2,2.2175,59.89,0.051,1.9670,1.0194,-0.0949,0.0066,2.3221,0.1051
145.757,2,2.2150,60.46,0.010,1.9668,1.0145,-0.0949,0.0064,2.3191,0.1051
146.082,2,2.2134,60.46,0.009,1.9667,1.0109,-0.0949,0.0052,2.3165,0.1051
146.388,2,2.2115,59.46,0.076,1.9671,1.0061,-0.0949,0.0067,2.3148,0.1051
146.750,2,2.2101,60.46,0.007,1.9667,1.0038,-0.0949,0.0052,2.3128,0.1051
147.100,2,2.2094,59.89,0.046,1.9670,1.0016,-0.0949,0.0037,2.3108,0.1051
147.381,2,2.2083,59.46,0.075,1.9671,0.9990,-0.0949,0.0053,2.3104,0.1051
147.754,2,2.2074,58.89,0.111,1.9673,0.9967,-0.0949,0.0062,2.3097,0.1051
148.087,2,2.2062,59.89,0.044,1.9670,0.9945,-0.0949,0.0075,2.3091,0.1051
148.412,2,2.2051,59.46,0.073,1.9671,0.9919,-0.0949,0.0075,2.3079,0.1051
148.725,2,2.2046,59.89,0.043,1.9670,0.9909,-0.0949,0.0073,2.3071,0.1051
149.082,2,2.2042,58.89,0.109,1.9673,0.9896,-0.0949,0.0076,2.3068,0.1051
149.395,2,2.2035,59.46,0.072,1.9671,0.9883,-0.0949,0.0065,2.3057,0.1051
149.752,2,2.2030,59.89,0.042,1.9670,0.9874,-0.0949,0.0069,2.3051,0.1051
150.094,2,2.2026,58.89,0.109,1.9673,0.9860,-0.0949,0.0075,2.3049,0.1051
150.386,2,2.1996,59.45,0.111,1.9651,0.9837,-0.0949,0.0080,2.3020,0.1051
150.752,2,2.1996,59.45,0.111,1.9651,0.9837,-0.0949,0.0068,2.3017,0.1051
151.085,2,2.1944,59.45,0.222,1.9605,0.9812,-0.0949,0.0073,2.2964,0.1051
151.365,2,2.1939,59.88,0.197,1.9605,0.9803,-0.0949,0.0071,2.2958,0.1051
151.753,2,2.1951,58.88,0.224,1.9621,0.9796,-0.0949,0.0074,2.2972,0.1051
152.077,2,2.1979,58.88,0.167,1.9645,0.9809,-0.0949,0.0062,2.2996,0.1051
152.394,2,2.1979,58.88,0.167,1.9645,0.9809,-0.0949,0.0064,2.2997,0.1051
152.740,2,2.1979,58.88,0.167,1.9645,0.9809,-0.0949,0.0055,2.2994,0.1051
153.090,2,2.1979,58.88,0.167,1.9645,0.9809,-0.0949,0.0058,2.2994,0.1051
153.386,2,2.1979,58.88,0.167,1.9645,0.9809,-0.0949,0.0064,2.2996,0.1051
153.742,2,2.1972,59.45,0.132,1.9643,0.9797,-0.0949,0.0072,2.2992,0.1051
154.063,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0048,2.3032,0.1051
154.363,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0053,2.3033,0.1051
154.743,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0047,2.3031,0.1051
155.069,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0046,2.3030,0.1051
155.381,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0039,2.3029,0.1051
155.744,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0038,2.3028,0.1051
156.084,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0037,2.3028,0.1051
156.393,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0032,2.3026,0.1051
156.745,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0030,2.3025,0.1051
157.082,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0038,2.3028,0.1051
157.388,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0040,2.3028,0.1051
157.756,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0033,2.3026,0.1051
158.081,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0028,2.3025,0.1051
158.396,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0022,2.3023,0.1051
158.738,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0018,2.3022,0.1051
159.068,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0009,2.3019,0.1051
159.393,2,2.2017,59.45,0.052,1.9684,0.9818,-0.0949,0.0002,2.3017,0.1051
159.748,2,2.1979,58.88,0.167,1.9645,0.9809,-0.0949,0.0006,2.2979,0.1051
160.078,2,2.1979,58.88,0.167,1.9645,0.9809,-0.0949,0.0003,2.2979,0.1051
160.398,2,2.1979,58.88,0.167,1.9645,0.9809,-0.0949,0.0013,2.2983,0.1051
160.746,2,2.1979,58.88,0.167,1.9645,0.9809,-0.0949,0.0008,2.2981,0.1051
161.078,2,2.1939,59.88,0.197,1.9605,0.9803,-0.0949,0.0014,2.2942,0.1051
161.391,2,2.1939,59.88,0.197,1.9605,0.9803,-0.0949,0.0011,2.2942,0.1051
161.745,2,2.1944,59.45,0.222,1.9605,0.9812,-0.0949,0.0005,2.2944,0.1051
162.080,2,2.1944,59.45,0.222,1.9605,0.9812,-0.0949,0.0005,2.2945,0.1051
162.392,2,2.1944,59.45,0.222,1.9605,0.9812,-0.0949,0.0008,2.2946,0.1051
162.733,2,2.1944,59.45,0.222,1.9605,0.9812,-0.0949,0.0007,2.2945,0.1051
163.069,2,2.1944,59.45,0.222,1.9605,0.9812,-0.0949,-0.0004,2.2942,0.1051
163.381,2,2.1996,59.45,0.111,1.9651,0.9837,-0.0949,-0.0023,2.2990,0.1051
163.738,2,2.2003,58.88,0.148,1.9653,0.9849,-0.0949,-0.0030,2.2996,0.1051
164.070,2,2.2003,58.88,0.148,1.9653,0.9849,-0.0949,-0.0025,2.2998,0.1051
164.387,2,2.2003,58.88,0.148,1.9653,0.9849,-0.0949,-0.0017,2.3000,0.1051
164.736,2,2.2003,58.88,0.148,1.9653,0.9849,-0.0949,-0.0028,2.2997,0.1051
165.072,2,2.2003,58.88,0.148,1.9653,0.9849,-0.0949,-0.0024,2.2999,0.1051
165.392,2,2.2003,58.88,0.148,1.9653,0.9849,-0.0949,-0.0022,2.3000,0.1051
165.730,2,2.2026,58.89,0.109,1.9673,0.9860,-0.0949,-0.0037,2.3020,0.1051
166.060,2,2.2026,58.89,0.109,1.9673,0.9860,-0.0949,-0.0038,2.3020,0.1051
166.388,2,2.2030,59.89,0.042,1.9670,0.9874,-0.0949,-0.0058,2.3017,0.1051
166.739,2,2.2030,59.89,0.042,1.9670,0.9874,-0.0949,-0.0050,2.3019,0.1051
167.056,2,2.2030,59.89,0.042,1.9670,0.9874,-0.0949,-0.0041,2.3023,0.1051
167.382,2,2.2030,59.89,0.042,1.9670,0.9874,-0.0949,-0.0044,2.3022,0.1051
167.691,2,2.2030,59.89,0.042,1.9670,0.9874,-0.0949,-0.0053,2.3019,0.1051
168.070,2,2.2035,59.46,0.072,1.9671,0.9883,-0.0949,-0.0061,2.3023,0.1051
168.383,2,2.2035,59.46,0.072,1.9671,0.9883,-0.0949,-0.0065,2.3021,0.1051
168.689,2,2.2035,59.46,0.072,1.9671,0.9883,-0.0949,-0.0060,2.3023,0.1051
169.061,2,2.2035,59.46,0.072,1.9671,0.9883,-0.0949,-0.0073,2.3019,0.1051
169.388,2,2.2035,59.46,0.072,1.9671,0.9883,-0.0949,-0.0077,2.3019,0.1051
169.696,2,2.2035,59.46,0.072,1.9671,0.9883,-0.0949,-0.0071,2.3021,0.1051
170.064,2,2.2042,58.89,0.109,1.9673,0.9896,-0.0949,-0.0091,2.3022,0.1051
170.389,2,2.2042,58.89,0.109,1.9673,0.9896,-0.0949,-0.0090,2.3022,0.1051
170.695,2,2.2042,58.89,0.109,1.9673,0.9896,-0.0949,-0.0080,2.3026,0.1051
171.063,2,2.2042,58.89,0.109,1.9673,0.9896,-0.0949,-0.0079,2.3027,0.1051
171.382,2,2.2046,59.89,0.043,1.9670,0.9909,-0.0949,-0.0091,2.3027,0.1051
171.685,2,2.2046,59.89,0.043,1.9670,0.9909,-0.0949,-0.0092,2.3027,0.1051
172.058,2,2.2046,59.89,0.043,1.9670,0.9909,-0.0949,-0.0098,2.3025,0.1051
172.385,2,2.2046,59.89,0.043,1.9670,0.9909,-0.0949,-0.0098,2.3025,0.1051
172.689,2,2.2046,59.89,0.043,1.9670,0.9909,-0.0949,-0.0103,2.3024,0.1051
173.054,2,2.2046,59.89,0.043,1.9670,0.9909,-0.0949,-0.0104,2.3024,0.1051
173.389,2,2.2051,59.46,0.073,1.9671,0.9919,-0.0949,-0.0112,2.3026,0.1051
173.681,2,2.2051,59.46,0.073,1.9671,0.9919,-0.0949,-0.0123,2.3022,0.1051
174.055,2,2.2051,59.46,0.073,1.9671,0.9919,-0.0949,-0.0128,2.3021,0.1051
174.388,2,2.2051,59.46,0.073,1.9671,0.9919,-0.0949,-0.0132,2.3021,0.1051
174.684,2,2.2058,58.89,0.110,1.9673,0.9931,-0.0949,-0.0146,2.3023,0.1051
175.064,2,2.2062,59.89,0.044,1.9670,0.9945,-0.0949,-0.0156,2.3023,0.1051
175.379,2,2.2062,59.89,0.044,1.9670,0.9945,-0.0949,-0.0155,2.3024,0.1051
175.687,2,2.2062,59.89,0.044,1.9670,0.9945,-0.0949,-0.0156,2.3024,0.1051
176.044,2,2.2067,59.46,0.074,1.9671,0.9954,-0.0949,-0.0162,2.3026,0.1051
176.395,2,2.2067,59.46,0.074,1.9671,0.9954,-0.0949,-0.0162,2.3026,0.1051
176.698,2,2.2067,59.46,0.074,1.9671,0.9954,-0.0949,-0.0169,2.3025,0.1051
177.068,2,2.2074,58.89,0.111,1.9673,0.9967,-0.0949,-0.0193,2.3025,0.1051
177.388,2,2.2078,59.89,0.045,1.9670,0.9980,-0.0949,-0.0206,2.3026,0.1051
177.694,2,2.2078,59.89,0.045,1.9670,0.9980,-0.0949,-0.0207,2.3026,0.1051
178.048,2,2.2078,59.89,0.045,1.9670,0.9980,-0.0949,-0.0213,2.3025,0.1051
178.389,2,2.2083,59.46,0.075,1.9671,0.9990,-0.0949,-0.0219,2.3029,0.1051
178.683,2,2.2083,59.46,0.075,1.9671,0.9990,-0.0949,-0.0217,2.3032,0.1051
179.059,2,2.2090,58.89,0.111,1.9673,1.0002,-0.0949,-0.0220,2.3039,0.1051
179.387,2,2.2094,59.89,0.046,1.9670,1.0016,-0.0949,-0.0225,2.3040,0.1051
179.675,2,2.2094,59.89,0.046,1.9670,1.0016,-0.0949,-0.0231,2.3039,0.1051
180.049,2,2.2094,59.89,0.046,1.9670,1.0016,-0.0949,-0.0233,2.3039,0.1051
180.386,2,2.2094,59.89,0.046,1.9670,1.0016,-0.0949,-0.0239,2.3037,0.1051
180.688,2,2.2218,59.88,0.236,1.9811,1.0015,-0.0948,-0.0241,2.3046,0.1052
181.059,2,2.2658,56.88,0.225,2.0341,0.9936,-0.0947,-0.0178,2.2925,0.1053
181.397,2,2.3455,54.89,0.108,2.1176,1.0040,-0.0945,-0.0273,2.3076,0.1055
181.681,2,2.3974,53.45,0.148,2.1770,0.9997,-0.0943,-0.0252,2.3002,0.1057
182.062,2,2.4616,51.89,0.103,2.2463,1.0022,-0.0941,-0.0279,2.2968,0.1059
182.406,2,2.5239,49.88,0.113,2.3140,1.0033,-0.0940,-0.0293,2.2982,0.1060
182.699,2,2.5666,48.88,0.115,2.3632,0.9970,-0.0938,-0.0261,2.2781,0.1062
183.068,2,2.7001,47.89,0.032,2.4968,1.0232,-0.0980,-0.0422,2.3554,0.1020
183.398,2,2.7552,45.90,0.088,2.5572,1.0209,-0.0979,-0.0231,2.3958,0.1021
183.683,2,2.8263,44.88,0.208,2.6322,1.0246,-0.0976,-0.0257,2.4032,0.1024
184.053,2,2.8785,43.88,0.214,2.6899,1.0203,-0.0974,-0.0246,2.3902,0.1026
184.382,2,2.8785,43.88,0.214,2.6899,1.0203,-0.0974,-0.0262,2.3869,0.1026
184.685,2,2.8883,42.88,0.127,2.7077,1.0006,-0.0978,-0.0210,2.4015,0.1022
185.049,2,2.8443,40.88,0.104,2.7710,0.6343,-0.0977,-0.0105,2.4014,0.1023
185.394,2,2.7944,39.89,0.058,2.7811,0.2547,-0.0978,-0.0101,2.3916,0.1022
185.668,2,2.7107,40.90,0.206,2.7075,-0.0876,-0.0969,-0.0075,2.3552,0.1031
186.040,2,2.6701,42.46,0.155,2.6392,-0.3934,-0.0969,-0.0134,2.3695,0.1031
186.384,2,2.6441,44.90,0.014,2.5543,-0.6761,-0.0980,-0.0239,2.4002,0.1020
186.693,2,2.5341,48.93,0.358,2.3920,-0.8309,-0.0957,-0.0154,2.3649,0.1043
187.051,2,2.4360,50.92,0.118,2.2704,-0.8779,-0.0941,-0.0172,2.3477,0.1059
187.373,2,2.3489,52.88,0.129,2.2158,-0.7736,-0.0939,-0.0251,2.3485,0.1061
187.698,2,2.2630,53.92,0.099,2.1390,-0.7326,-0.0944,-0.0245,2.3470,0.1056
188.054,2,2.1960,54.88,0.023,2.0981,-0.6414,-0.0945,-0.0307,2.3653,0.1055
188.389,2,2.1213,54.92,0.009,2.0577,-0.5066,-0.0946,-0.0509,2.3413,0.1054
188.692,2,2.0989,53.88,0.152,2.0790,-0.2723,-0.0946,-0.0355,2.3772,0.1054
189.041,2,2.0621,53.88,0.239,2.0598,-0.0194,-0.0945,-0.0320,2.3728,0.1055
189.378,2,2.0379,54.89,0.071,2.0213,0.2417,-0.0947,-0.0371,2.3684,0.1053
189.678,2,2.0306,56.89,0.193,1.9684,0.4898,-0.0948,-0.0413,2.3775,0.1052
190.042,2,2.0245,61.46,0.049,1.8985,0.6966,-0.0951,-0.0465,2.3829,0.1049
190.389,2,2.0273,65.88,0.170,1.8256,0.8763,-0.0952,-0.0570,2.3968,0.1048
193.691,2,1.9402,62.88,0.170,1.8189,0.6687,-0.0953,-0.1100,2.3810,0.1047
194.061,2,1.9402,62.88,0.170,1.8189,0.6687,-0.0953,-0.1061,2.3819,0.1047
194.383,2,1.9402,62.88,0.170,1.8189,0.6687,-0.0953,-0.1060,2.3818,0.1047
194.690,2,1.9402,62.88,0.170,1.8189,0.6687,-0.0953,-0.1058,2.3818,0.1047
195.050,2,1.9402,62.88,0.170,1.8189,0.6687,-0.0953,-0.1066,2.3817,0.1047
195.393,2,1.9402,62.88,0.170,1.8189,0.6687,-0.0953,-0.1079,2.3813,0.1047
195.695,2,1.9402,62.88,0.170,1.8189,0.6687,-0.0953,-0.1076,2.3814,0.1047
196.044,2,1.9402,62.88,0.170,1.8189,0.6687,-0.0953,-0.1080,2.3813,0.1047
196.375,2,1.9402,62.88,0.170,1.8189,0.6687,-0.0953,-0.1090,2.3811,0.1047
196.697,2,1.9402,62.88,0.170,1.8189,0.6687,-0.0953,-0.1095,2.3810,0.1047
197.054,2,1.9402,62.88,0.170,1.8189,0.6687,-0.0953,-0.1090,2.3811,0.1047
197.372,2,1.9405,60.88,0.093,1.8503,0.5771,-0.0952,-0.0578,2.3941,0.1048
197.691,2,1.9259,57.88,0.183,1.9174,0.1528,-0.0950,-0.0428,2.3930,0.1050
198.046,2,1.9359,59.92,0.051,1.8841,-0.4348,-0.0951,-0.0359,2.4062,0.1049
198.381,2,1.9432,68.88,0.147,1.7621,-0.8137,-0.0953,-0.0344,2.4090,0.1047
202.688,4,4.3563,26.18,1.231,4.3557,-0.0439,-0.0595,-2.7669,-3.2858,0.1405
203.374,4,4.2331,27.94,0.307,4.1409,-0.8762,-0.0663,-2.7211,-3.2428,0.1337
210.695,4,4.3908,30.02,1.360,3.9751,-1.8623,-0.0984,-3.9981,-4.6771,0.1016
210.992,4,4.3649,30.33,1.261,3.9631,-1.8260,-0.1073,-4.0461,-4.7105,0.0927
211.367,4,4.1869,31.19,1.002,3.8257,-1.6982,-0.1008,-3.9679,-4.6597,0.0992
211.692,4,4.1508,31.79,1.531,3.8155,-1.6312,-0.1015,-4.0006,-4.6869,0.0985
211.996,4,4.1022,31.82,1.628,3.7903,-1.5657,-0.1017,-4.0148,-4.6998,0.0983
212.358,4,3.9996,32.05,1.712,3.7094,-1.4919,-0.1052,-3.9798,-4.6650,0.0948
212.693,4,3.9658,32.00,1.404,3.7000,-1.4234,-0.1064,-3.9880,-4.6769,0.0936
212.994,4,3.9098,31.78,1.398,3.6972,-1.2673,-0.1061,-3.9788,-4.6695,0.0939
213.372,4,3.8848,31.74,1.429,3.7036,-1.1677,-0.1063,-3.9912,-4.6463,0.0937
213.699,4,3.8848,31.74,1.429,3.7036,-1.1677,-0.1063,-3.9907,-4.6468,0.0937
213.995,4,3.8848,31.74,1.429,3.7036,-1.1677,-0.1063,-3.9902,-4.6475,0.0937
214.370,4,3.8848,31.74,1.429,3.7036,-1.1677,-0.1063,-3.9903,-4.6473,0.0937
214.689,4,3.8848,31.74,1.429,3.7036,-1.1677,-0.1063,-3.9895,-4.6485,0.0937
