t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
144.5,,,,nan,,,,nan,0,,,0,0,0
145.0,,,,nan,,,,nan,0,,,0,0,0
150.0,,,,0.000,,,,nan,0,,,0,0,0
155.0,,,,0.000,,,,nan,0,,,0,0,0
160.0,,,,0.000,,,,nan,0,,,1,0,0
165.0,,,,0.000,,,,nan,0,,,1,0,0
170.0,,,,0.000,,,,nan,0,,,1,0,0
175.0,,,,0.000,,,,nan,0,,,1,0,0
180.0,,,,0.000,,,,0.335,0,,,1,0,0
185.0,,,,0.000,,,,0.336,0,,,1,0,0
190.0,,,,0.000,,,,0.336,0,,,1,0,0
195.0,,,,0.000,,,,0.422,0,,,1,1,0
200.0,,,,0.000,,,,0.402,0,,,1,1,0
205.0,,,,0.000,,,,0.406,0,,,1,1,0
210.0,,,,0.000,,,,0.412,0,,,1,1,0
215.0,,,,0.000,,,,0.395,0,,,1,1,0
220.0,,,,0.000,,,,0.390,0,,,1,1,0
225.0,,,,0.000,,,,0.390,0,,,2,1,0
230.0,,,,0.000,4.6000,-1.3000,-89.000,0.437,0,7.8645,91.000,3,1,0
235.0,,,,0.000,4.6000,-1.3000,-89.000,0.366,0,7.8645,91.000,4,1,0
240.0,,,,0.000,4.6000,-1.3000,-89.000,0.338,0,7.8645,91.000,4,1,0
245.0,,,,0.000,4.6000,-1.3000,-89.000,0.388,0,7.8645,91.000,4,2,0
250.0,0.7734,-6.6744,-128.387,0.175,4.6000,-1.3000,-89.000,0.319,0,7.8645,91.000,4,3,1
255.0,1.9529,-6.5760,-151.957,0.175,4.6000,-1.3000,-89.000,0.352,0,7.8645,91.000,4,3,1
260.0,1.9529,-6.5760,-151.957,0.175,4.6000,-1.3000,-89.000,0.523,0,7.8645,91.000,4,3,1
265.0,2.0067,-6.5699,-152.910,0.175,4.6000,-1.3000,-89.000,0.523,0,7.8645,91.000,4,3,1
