t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
189.694,4,4.3526,26.98,0.374,4.2795,-0.7880,-0.1023,-3.9833,-4.7494,0.0977
190.039,4,4.2821,27.50,0.491,4.2302,-0.6570,-0.1019,-4.0024,-4.7585,0.0981
190.366,4,4.1395,28.60,0.614,4.1021,-0.5454,-0.1024,-3.9652,-4.7224,0.0976
190.690,4,4.1359,28.44,0.579,4.1073,-0.4744,-0.1027,-4.0081,-4.7539,0.0973
191.046,4,3.9603,29.54,0.476,3.9322,-0.4599,-0.1017,-3.9531,-4.6845,0.0983
191.368,4,3.8764,30.64,0.583,3.8173,-0.6662,-0.1019,-4.0071,-4.6314,0.0981
191.690,4,3.8948,31.66,1.273,3.7973,-0.8603,-0.1004,-4.0742,-4.7109,0.0996
192.044,4,3.7492,32.72,1.485,3.6280,-0.9393,-0.1065,-4.0338,-4.6650,0.0935
192.374,4,3.6373,33.74,0.780,3.5041,-0.9700,-0.1014,-4.0020,-4.6484,0.0986
192.687,4,3.5521,34.94,1.558,3.4085,-0.9942,-0.1059,-4.0076,-4.6486,0.0941
193.041,4,3.5920,36.14,1.842,3.4411,-1.0248,-0.1061,-4.0884,-4.7275,0.0939
193.381,4,3.5685,35.93,1.545,3.4146,-1.0315,-0.1065,-4.1205,-4.7549,0.0935
193.699,4,3.2517,36.86,0.139,3.1130,-0.9345,-0.0976,-3.9307,-4.5738,0.1024
194.039,4,3.3390,36.88,1.530,3.2110,-0.9094,-0.1054,-4.0252,-4.6652,0.0946
194.372,4,3.3437,38.14,1.658,3.2262,-0.8720,-0.1059,-4.0505,-4.6897,0.0941
194.705,4,3.3396,38.14,1.629,3.2223,-0.8709,-0.1059,-3.9781,-4.7121,0.0941
195.049,4,3.3396,38.14,1.629,3.2223,-0.8709,-0.1059,-3.9774,-4.7111,0.0941
195.380,4,3.3396,38.14,1.629,3.2223,-0.8709,-0.1059,-3.9766,-4.7109,0.0941
195.693,4,3.3396,38.14,1.629,3.2223,-0.8709,-0.1059,-3.9766,-4.7115,0.0941
196.044,4,3.3396,38.14,1.629,3.2223,-0.8709,-0.1059,-3.9759,-4.7126,0.0941
196.391,4,3.3396,38.14,1.629,3.2223,-0.8709,-0.1059,-3.9739,-4.7143,0.0941
196.697,4,3.3396,38.14,1.629,3.2223,-0.8709,-0.1059,-3.9747,-4.7136,0.0941
197.030,4,3.3604,38.00,1.628,3.2315,-0.9159,-0.1060,-3.9918,-4.7343,0.0940
197.380,4,3.0779,40.18,0.156,2.8559,-1.1436,-0.0977,-3.8176,-4.5619,0.1023
197.690,4,3.0550,42.58,0.042,2.6924,-1.4404,-0.0978,-3.8314,-4.5682,0.1022
236.660,2,4.3045,28.20,1.640,4.0400,1.4840,-0.0705,-0.4005,0.4044,0.1295
242.646,6,4.2109,26.78,0.117,4.1919,-0.3949,-0.0639,1.9854,0.9671,0.1361
242.986,2,4.4939,28.96,1.297,4.0810,1.8792,-0.0959,-0.0291,2.0626,0.1041
243.292,2,4.3933,30.24,1.316,4.0124,1.7865,-0.0965,-0.0193,2.0491,0.1035
243.638,2,4.3279,29.82,1.230,3.9541,1.7569,-0.0966,-0.0313,2.0625,0.1034
244.637,2,4.4943,29.62,0.139,4.1007,1.8369,-0.0971,-0.0244,2.4647,0.1029
244.973,2,4.4069,30.64,0.057,3.9753,1.8997,-0.0969,-0.0297,2.4547,0.1031
245.288,2,4.2284,32.74,0.150,3.7900,1.8726,-0.0941,-0.0402,2.3563,0.1059
245.288,6,4.3088,29.86,2.834,4.2617,-0.6303,-0.0791,2.4027,1.6354,0.1209
245.647,2,4.1943,32.76,0.061,3.7704,1.8351,-0.0968,-0.0382,2.4027,0.1032
245.973,2,4.1519,32.75,0.079,3.7133,1.8548,-0.0973,-0.0482,2.4413,0.1027
245.973,6,4.4282,25.21,1.257,4.3672,-0.7259,-0.0961,2.5558,1.8877,0.1039
246.282,6,4.2972,26.78,1.496,4.2445,-0.6643,-0.0916,2.5261,1.8601,0.1084
246.282,2,4.0844,34.77,0.168,3.6130,1.9025,-0.0958,-0.0495,2.4545,0.1042
246.986,6,4.2285,27.45,2.439,4.1844,-0.6017,-0.0925,2.5740,1.9541,0.1075
247.656,6,4.1473,28.18,2.317,4.0815,-0.7298,-0.0951,2.6527,1.9967,0.1049
247.991,2,3.6567,38.89,0.031,3.2206,1.7291,-0.0974,-0.0172,2.4006,0.1026
248.291,2,3.5946,38.90,0.054,3.2011,1.6325,-0.0970,-0.0194,2.4150,0.1030
248.633,2,3.4369,39.89,0.251,3.0882,1.5054,-0.0953,-0.0187,2.3369,0.1047
248.973,2,3.3743,40.46,0.129,3.0411,1.4588,-0.0952,-0.0202,2.3526,0.1048
249.292,2,3.3307,41.90,0.176,2.9648,1.5147,-0.0970,-0.0349,2.3882,0.1030
249.995,6,4.4019,27.11,0.649,4.2821,-1.0149,-0.1028,3.1407,2.6617,0.0972
250.259,6,4.3149,26.96,0.476,4.2715,-0.6017,-0.1025,3.1236,2.6459,0.0975
250.641,6,4.3023,27.11,0.681,4.2954,-0.2204,-0.1027,3.1588,2.6875,0.0973
250.977,6,4.0873,28.73,0.711,4.0837,0.1377,-0.1024,3.0728,2.5756,0.0976
251.280,6,4.1644,28.29,0.657,4.1331,0.4996,-0.1025,3.1514,2.6914,0.0975
251.621,6,4.0899,29.38,1.383,4.0115,0.7905,-0.0984,3.1452,2.7037,0.1016
251.967,6,3.9199,31.75,1.916,3.7622,1.0960,-0.1022,3.0919,2.6277,0.0978
252.277,6,3.8744,33.28,1.711,3.5960,1.4384,-0.1035,3.1040,2.6433,0.0965
