t,robot,x,y
144.0,leo1,0.000,0.000
146.0,leo1,0.000,0.000
148.0,leo1,0.000,0.000
150.0,leo1,0.000,0.000
152.0,leo1,0.000,0.000
154.0,leo1,0.020,0.012
156.0,leo1,0.030,0.059
158.0,leo1,-0.005,0.233
160.0,leo1,-0.045,0.308
162.0,leo1,-0.044,0.307
164.0,leo1,-0.044,0.308
166.0,leo1,-0.044,0.307
168.0,leo1,-0.044,0.307
170.0,leo1,0.150,0.013
172.0,leo1,0.373,-0.323
174.0,leo1,0.316,-0.518
176.0,leo1,0.316,-0.518
178.0,leo1,0.320,-0.522
180.0,leo1,0.323,-0.503
182.0,leo1,0.474,-0.510
184.0,leo1,0.727,-0.686
186.0,leo1,0.883,-0.739
188.0,leo1,1.401,-0.737
190.0,leo1,1.927,-0.701
192.0,leo1,2.409,-0.604
194.0,leo1,2.572,-0.549
196.0,leo1,2.572,-0.549
198.0,leo1,2.587,-0.555
200.0,leo1,2.584,-0.541
202.0,leo1,2.544,-0.732
204.0,leo1,2.530,-0.781
206.0,leo1,2.536,-0.786
208.0,leo1,2.521,-0.844
210.0,leo1,2.171,-1.201
212.0,leo1,2.015,-1.405
214.0,leo1,2.015,-1.405
216.0,leo1,2.015,-1.405
218.0,leo1,1.664,-1.806
220.0,leo1,1.380,-2.200
222.0,leo1,1.299,-2.756
224.0,leo1,1.261,-3.223
226.0,leo1,1.245,-3.791
228.0,leo1,1.230,-4.288
230.0,leo1,1.195,-4.804
232.0,leo1,1.134,-5.339
234.0,leo1,1.020,-5.837
236.0,leo1,0.830,-6.330
238.0,leo1,0.647,-6.721
240.0,leo1,0.297,-7.114
242.0,leo1,-0.044,-7.525
244.0,leo1,-0.357,-7.889
246.0,leo1,-0.696,-8.291
248.0,leo1,-0.814,-8.446
250.0,leo1,-0.877,-8.485
252.0,leo1,-1.333,-8.487
254.0,leo1,-1.864,-8.443
256.0,leo1,-2.375,-8.383
258.0,leo1,-2.907,-8.341
260.0,leo1,-3.414,-8.266
262.0,leo1,-3.929,-8.154
264.0,leo1,-4.423,-8.018
266.0,leo1,-4.770,-7.866
268.0,leo1,-4.810,-7.849
270.0,leo1,-4.815,-7.846
272.0,leo1,-4.796,-7.860
274.0,leo1,-4.605,-7.630
276.0,leo1,-4.100,-7.305
278.0,leo1,-3.672,-6.984
280.0,leo1,-3.272,-6.694
282.0,leo1,-2.853,-6.367
284.0,leo1,-2.437,-6.050
286.0,leo1,-2.035,-5.741
288.0,leo1,-1.626,-5.406
290.0,leo1,-1.239,-5.057
292.0,leo1,-0.853,-4.682
294.0,leo1,-0.505,-4.327
296.0,leo1,-0.121,-3.946
298.0,leo1,0.239,-3.569
300.0,leo1,0.560,-3.176
302.0,leo1,0.867,-2.747
304.0,leo1,1.169,-2.335
306.0,leo1,1.501,-1.920
308.0,leo1,1.866,-1.558
310.0,leo1,2.269,-1.219
312.0,leo1,2.678,-0.892
314.0,leo1,3.062,-0.565
316.0,leo1,3.470,-0.210
318.0,leo1,3.569,-0.115
320.0,leo1,3.596,-0.132
322.0,leo1,3.588,-0.165
324.0,leo1,3.493,-0.363
326.0,leo1,3.560,-0.288
328.0,leo1,3.631,-0.208
330.0,leo1,3.614,-0.224
332.0,leo1,3.679,-0.149
334.0,leo1,3.459,-0.350
336.0,leo1,3.097,-0.663
338.0,leo1,2.913,-0.824
340.0,leo1,2.913,-0.825
342.0,leo1,2.907,-0.807
344.0,leo1,2.907,-0.807
346.0,leo1,2.904,-0.790
348.0,leo1,2.887,-0.688
350.0,leo1,2.871,-0.590
350.0,leo2,-1.431,-0.618
352.0,leo1,2.860,-0.532
352.0,leo2,-1.476,-0.102
354.0,leo1,2.733,-0.865
354.0,leo2,-1.509,0.329
356.0,leo1,2.445,-1.218
356.0,leo2,-1.506,0.389
358.0,leo1,2.051,-1.542
358.0,leo2,-1.506,0.389
360.0,leo1,1.636,-1.883
360.0,leo2,-1.506,0.389
362.0,leo1,1.382,-2.275
362.0,leo2,-1.503,0.399
364.0,leo1,1.306,-2.803
364.0,leo2,-1.514,0.378
366.0,leo1,1.324,-3.334
366.0,leo2,-1.426,0.299
368.0,leo1,1.319,-3.836
368.0,leo2,-1.271,-0.131
370.0,leo1,1.327,-4.346
370.0,leo2,-1.204,-0.728
372.0,leo1,1.365,-4.878
372.0,leo2,-1.260,-1.263
374.0,leo1,1.377,-5.393
374.0,leo2,-1.398,-1.767
376.0,leo1,1.390,-5.922
376.0,leo2,-1.587,-2.257
378.0,leo1,1.388,-6.443
378.0,leo2,-1.890,-2.691
380.0,leo1,1.416,-6.973
380.0,leo2,-2.231,-3.076
382.0,leo1,1.416,-7.478
382.0,leo2,-2.504,-3.520
384.0,leo1,1.557,-7.976
384.0,leo2,-2.648,-4.004
386.0,leo1,1.622,-8.079
386.0,leo2,-2.876,-4.322
388.0,leo1,1.622,-8.079
388.0,leo2,-3.332,-4.546
390.0,leo1,1.836,-8.292
390.0,leo2,-3.823,-4.706
392.0,leo1,2.288,-8.448
392.0,leo2,-4.340,-4.844
394.0,leo1,2.757,-8.672
394.0,leo2,-4.832,-4.793
396.0,leo1,3.171,-8.998
396.0,leo2,-5.227,-4.591
398.0,leo1,3.542,-9.366
398.0,leo2,-5.608,-4.221
400.0,leo1,3.844,-9.682
400.0,leo2,-6.009,-3.923
402.0,leo1,3.887,-9.731
402.0,leo2,-6.463,-3.667
404.0,leo1,3.887,-9.731
404.0,leo2,-6.775,-3.319
406.0,leo1,3.876,-9.702
406.0,leo2,-7.021,-2.890
408.0,leo1,3.862,-9.731
408.0,leo2,-7.257,-2.588
410.0,leo1,3.851,-9.712
410.0,leo2,-7.278,-2.563
412.0,leo1,3.578,-9.537
412.0,leo2,-7.278,-2.563
414.0,leo1,3.235,-9.167
414.0,leo2,-7.344,-2.384
416.0,leo1,2.749,-8.676
416.0,leo2,-7.319,-1.875
418.0,leo1,2.290,-8.517
418.0,leo2,-7.199,-1.348
420.0,leo1,1.777,-8.442
420.0,leo2,-7.063,-0.854
422.0,leo1,1.271,-8.218
422.0,leo2,-7.007,-0.369
424.0,leo1,0.807,-7.984
424.0,leo2,-6.936,0.042
426.0,leo1,0.358,-7.727
426.0,leo2,-6.927,0.076
428.0,leo1,-0.124,-7.464
428.0,leo2,-6.927,0.076
430.0,leo1,-0.554,-7.217
430.0,leo2,-6.817,0.499
432.0,leo1,-0.994,-6.966
432.0,leo2,-6.679,1.021
434.0,leo1,-1.450,-6.690
434.0,leo2,-6.417,1.422
436.0,leo1,-1.888,-6.418
436.0,leo2,-6.016,1.675
438.0,leo1,-2.331,-6.138
438.0,leo2,-5.917,1.795
440.0,leo1,-2.747,-5.866
440.0,leo2,-5.914,1.798
442.0,leo1,-3.194,-5.556
442.0,leo2,-5.841,1.815
444.0,leo1,-3.599,-5.233
444.0,leo2,-5.564,1.758
446.0,leo1,-3.970,-4.904
446.0,leo2,-5.113,1.428
448.0,leo1,-4.297,-4.486
448.0,leo2,-4.668,1.338
450.0,leo1,-4.612,-4.091
450.0,leo2,-4.405,1.477
452.0,leo1,-4.963,-3.839
452.0,leo2,-4.212,1.673
454.0,leo1,-5.027,-3.804
454.0,leo2,-4.185,1.869
456.0,leo1,-5.075,-3.558
456.0,leo2,-4.132,1.938
458.0,leo1,-5.064,-3.034
458.0,leo2,-3.750,2.108
460.0,leo1,-5.033,-2.515
460.0,leo2,-3.250,2.264
462.0,leo1,-5.025,-1.989
462.0,leo2,-2.774,2.464
464.0,leo1,-5.059,-1.469
464.0,leo2,-2.309,2.729
466.0,leo1,-5.109,-1.036
466.0,leo2,-1.893,3.062
468.0,leo1,-5.131,-1.014
468.0,leo2,-1.512,3.422
470.0,leo1,-5.141,-0.995
470.0,leo2,-1.089,3.642
472.0,leo1,-5.090,-1.007
472.0,leo2,-0.563,3.677
474.0,leo1,-5.150,-1.076
474.0,leo2,-0.330,3.765
476.0,leo1,-5.169,-1.375
476.0,leo2,-0.330,3.765
478.0,leo1,-5.111,-1.805
478.0,leo2,-0.118,3.763
480.0,leo1,-5.047,-2.213
480.0,leo2,0.354,3.595
482.0,leo1,-4.948,-2.717
482.0,leo2,0.733,3.313
484.0,leo1,-4.809,-3.233
484.0,leo2,0.900,2.897
486.0,leo1,-4.644,-3.719
486.0,leo2,0.859,2.697
488.0,leo1,-4.429,-4.203
488.0,leo2,0.785,2.601
490.0,leo1,-4.182,-4.659
490.0,leo2,0.776,2.600
492.0,leo1,-3.852,-5.019
492.0,leo2,0.780,2.639
494.0,leo1,-3.417,-5.289
494.0,leo2,0.847,2.600
496.0,leo1,-2.917,-5.418
496.0,leo2,1.167,2.629
498.0,leo1,-2.385,-5.511
498.0,leo2,1.685,2.868
500.0,leo1,-1.911,-5.604
500.0,leo2,2.150,3.113
502.0,leo1,-1.402,-5.738
502.0,leo2,2.671,3.249
504.0,leo1,-0.893,-5.885
504.0,leo2,3.089,3.186
506.0,leo1,-0.401,-6.077
506.0,leo2,3.345,2.965
508.0,leo1,0.069,-6.265
508.0,leo2,3.535,2.482
510.0,leo1,0.352,-6.414
510.0,leo2,3.614,1.986
512.0,leo1,0.362,-6.408
512.0,leo2,3.745,1.478
514.0,leo1,0.363,-6.407
514.0,leo2,4.018,1.107
516.0,leo1,0.363,-6.407
516.0,leo2,4.138,1.019
518.0,leo1,0.349,-6.420
518.0,leo2,4.135,1.023
520.0,leo1,0.279,-6.488
520.0,leo2,4.135,1.023
522.0,leo1,0.209,-6.555
522.0,leo2,4.128,1.013
524.0,leo1,0.139,-6.623
524.0,leo2,4.133,1.009
526.0,leo1,0.136,-6.627
526.0,leo2,4.028,1.020
528.0,leo1,0.138,-6.633
528.0,leo2,3.576,1.029
530.0,leo1,0.138,-6.633
530.0,leo2,2.975,0.951
532.0,leo1,0.138,-6.633
532.0,leo2,2.477,0.804
534.0,leo1,0.138,-6.633
534.0,leo2,2.003,0.661
536.0,leo1,0.138,-6.633
536.0,leo2,1.521,0.506
538.0,leo1,0.132,-6.620
538.0,leo2,1.021,0.355
540.0,leo1,0.170,-6.636
540.0,leo2,0.507,0.210
542.0,leo1,0.024,-6.754
542.0,leo2,0.001,0.060
544.0,leo1,-0.185,-7.257
544.0,leo2,-0.431,-0.198
546.0,leo1,-0.390,-7.726
546.0,leo2,-0.740,-0.618
548.0,leo1,-0.626,-8.225
548.0,leo2,-0.916,-1.080
550.0,leo1,-0.828,-8.653
550.0,leo2,-1.086,-1.578
552.0,leo1,-1.084,-9.166
552.0,leo2,-1.289,-2.094
554.0,leo1,-1.325,-9.594
554.0,leo2,-1.496,-2.545
556.0,leo1,-1.586,-10.024
556.0,leo2,-1.717,-3.039
558.0,leo1,-1.932,-10.449
558.0,leo2,-1.917,-3.498
560.0,leo1,-2.386,-10.686
560.0,leo2,-2.132,-3.974
562.0,leo1,-2.897,-10.827
562.0,leo2,-2.339,-4.446
564.0,leo1,-3.406,-10.920
564.0,leo2,-2.546,-4.929
566.0,leo1,-3.915,-10.951
566.0,leo2,-2.777,-5.407
568.0,leo1,-4.172,-10.831
568.0,leo2,-2.984,-5.871
570.0,leo1,-4.280,-10.703
570.0,leo2,-3.224,-6.351
572.0,leo1,-4.285,-10.600
572.0,leo2,-3.437,-6.806
574.0,leo1,-4.402,-10.376
574.0,leo2,-3.680,-7.274
576.0,leo1,-4.697,-9.936
576.0,leo2,-3.935,-7.738
578.0,leo1,-4.678,-9.536
578.0,leo2,-4.199,-8.167
580.0,leo1,-4.564,-9.195
580.0,leo2,-4.493,-8.599
582.0,leo1,-4.524,-9.171
582.0,leo2,-4.640,-8.754
584.0,leo1,-4.619,-9.195
584.0,leo2,-4.642,-8.823
586.0,leo1,-4.632,-9.197
586.0,leo2,-4.660,-8.832
588.0,leo1,-4.643,-9.198
588.0,leo2,-4.668,-8.837
590.0,leo1,-4.644,-9.198
590.0,leo2,-4.671,-8.838
592.0,leo1,-4.650,-9.198
592.0,leo2,-4.676,-8.840
594.0,leo1,-4.652,-9.199
594.0,leo2,-4.677,-8.841
596.0,leo1,-4.654,-9.199
596.0,leo2,-4.678,-8.842
598.0,leo1,-4.657,-9.199
598.0,leo2,-4.683,-8.844
600.0,leo1,-4.664,-9.199
600.0,leo2,-4.690,-8.848
602.0,leo1,-4.661,-9.199
602.0,leo2,-4.690,-8.848
604.0,leo1,-4.666,-9.199
604.0,leo2,-4.694,-8.849
606.0,leo1,-4.665,-9.199
606.0,leo2,-4.691,-8.848
608.0,leo1,-4.666,-9.199
608.0,leo2,-4.689,-8.847
610.0,leo1,-4.663,-9.199
610.0,leo2,-4.692,-8.848
612.0,leo1,-4.668,-9.199
612.0,leo2,-4.693,-8.849
614.0,leo1,-4.670,-9.199
614.0,leo2,-4.695,-8.850
616.0,leo1,-4.670,-9.199
616.0,leo2,-4.695,-8.850
618.0,leo1,-4.672,-9.199
618.0,leo2,-4.695,-8.850
620.0,leo1,-4.702,-9.199
620.0,leo2,-4.715,-8.861
622.0,leo1,-4.804,-9.201
622.0,leo2,-4.799,-8.913
624.0,leo1,-4.853,-9.202
624.0,leo2,-4.837,-8.939
626.0,leo1,-4.901,-9.204
626.0,leo2,-4.865,-8.962
628.0,leo1,-4.978,-9.212
628.0,leo2,-4.867,-8.964
630.0,leo1,-4.972,-9.212
630.0,leo2,-4.873,-8.972
632.0,leo1,-4.965,-9.212
632.0,leo2,-4.869,-8.966
634.0,leo1,-4.972,-9.212
634.0,leo2,-4.870,-8.968
636.0,leo1,-4.988,-9.212
636.0,leo2,-4.875,-8.975
638.0,leo1,-5.008,-9.212
638.0,leo2,-4.881,-8.988
640.0,leo1,-5.033,-9.211
640.0,leo2,-4.889,-9.003
642.0,leo1,-5.055,-9.211
642.0,leo2,-4.897,-9.019
644.0,leo1,-4.694,-9.128
644.0,leo2,-4.979,-8.650
646.0,leo1,-4.648,-9.112
646.0,leo2,-4.824,-8.502
648.0,leo1,-4.648,-9.112
648.0,leo2,-4.792,-8.529
650.0,leo1,-4.354,-8.998
650.0,leo2,-4.650,-8.807
652.0,leo1,-4.255,-8.962
652.0,leo2,-4.663,-8.814
654.0,leo1,-4.264,-8.963
654.0,leo2,-4.665,-8.817
656.0,leo1,-4.266,-8.963
656.0,leo2,-4.665,-8.817
658.0,leo1,-4.235,-8.962
658.0,leo2,-4.671,-8.832
660.0,leo1,-4.170,-8.957
660.0,leo2,-4.650,-8.805
662.0,leo1,-4.100,-8.948
662.0,leo2,-4.619,-8.779
664.0,leo1,-4.044,-8.943
664.0,leo2,-4.587,-8.758
666.0,leo1,-4.020,-8.942
666.0,leo2,-4.574,-8.750
668.0,leo1,-3.967,-8.942
668.0,leo2,-4.533,-8.729
670.0,leo1,-3.926,-8.944
670.0,leo2,-4.500,-8.713
672.0,leo1,-3.904,-8.945
672.0,leo2,-4.483,-8.705
674.0,leo1,-3.897,-8.946
674.0,leo2,-4.477,-8.702
676.0,leo1,-3.893,-8.946
676.0,leo2,-4.476,-8.702
678.0,leo1,-3.893,-8.946
678.0,leo2,-4.478,-8.703
680.0,leo1,-3.892,-8.946
680.0,leo2,-4.477,-8.702
682.0,leo1,-3.891,-8.946
682.0,leo2,-4.476,-8.702
684.0,leo1,-3.887,-8.947
684.0,leo2,-4.473,-8.701
686.0,leo1,-3.885,-8.947
686.0,leo2,-4.471,-8.700
688.0,leo1,-3.884,-8.947
688.0,leo2,-4.469,-8.699
690.0,leo1,-3.883,-8.947
690.0,leo2,-4.468,-8.699
692.0,leo1,-3.883,-8.947
692.0,leo2,-4.467,-8.698
694.0,leo1,-3.883,-8.947
694.0,leo2,-4.467,-8.698
696.0,leo1,-3.883,-8.947
696.0,leo2,-4.467,-8.698
698.0,leo1,-3.882,-8.947
698.0,leo2,-4.467,-8.698
700.0,leo1,-3.882,-8.947
700.0,leo2,-4.466,-8.698
702.0,leo1,-3.882,-8.947
702.0,leo2,-4.466,-8.698
704.0,leo1,-3.882,-8.947
704.0,leo2,-4.466,-8.698
706.0,leo1,-3.882,-8.947
706.0,leo2,-4.466,-8.698
708.0,leo1,-3.882,-8.947
