t,robot,x,y
146.0,leo2,0.000,0.000
148.0,leo2,0.000,0.000
150.0,leo2,0.000,0.000
152.0,leo2,0.000,0.000
154.0,leo2,0.125,0.043
156.0,leo2,0.375,0.232
158.0,leo2,0.375,0.233
160.0,leo2,0.375,0.233
162.0,leo2,0.375,0.233
164.0,leo2,0.375,0.233
166.0,leo2,0.061,0.026
168.0,leo2,-0.279,-0.198
170.0,leo2,-0.432,-0.289
172.0,leo2,-0.432,-0.289
174.0,leo2,-0.432,-0.288
176.0,leo2,-0.432,-0.288
178.0,leo2,-0.454,-0.295
180.0,leo2,-0.421,-0.319
182.0,leo2,-0.390,-0.566
184.0,leo2,-0.566,-1.082
186.0,leo2,-0.673,-1.253
188.0,leo2,-0.673,-1.253
190.0,leo2,-0.844,-1.521
192.0,leo2,-1.143,-1.921
194.0,leo2,-1.366,-2.275
196.0,leo2,-1.353,-2.276
198.0,leo2,-1.429,-2.450
200.0,leo2,-1.590,-2.966
202.0,leo2,-1.699,-3.177
204.0,leo2,-1.699,-3.177
206.0,leo2,-1.746,-3.305
208.0,leo2,-1.806,-3.838
210.0,leo2,-1.854,-4.352
212.0,leo2,-1.969,-4.872
214.0,leo2,-2.133,-5.358
216.0,leo2,-2.325,-5.838
218.0,leo2,-2.561,-6.256
220.0,leo2,-2.651,-6.353
222.0,leo2,-2.644,-6.329
224.0,leo2,-2.636,-6.348
226.0,leo2,-2.617,-6.315
228.0,leo2,-2.432,-6.142
230.0,leo2,-2.194,-5.669
232.0,leo2,-1.902,-5.105
234.0,leo2,-1.659,-4.648
236.0,leo2,-1.385,-4.189
238.0,leo2,-1.131,-3.752
240.0,leo2,-0.858,-3.290
242.0,leo2,-0.612,-2.856
244.0,leo2,-0.358,-2.390
246.0,leo2,-0.130,-1.922
248.0,leo2,0.103,-1.471
250.0,leo2,0.294,-1.002
252.0,leo2,0.571,-0.668
254.0,leo2,0.912,-0.539
256.0,leo2,1.485,-0.493
258.0,leo2,1.944,-0.447
260.0,leo2,2.505,-0.366
262.0,leo2,2.786,-0.299
264.0,leo2,2.803,-0.271
266.0,leo2,2.766,0.054
268.0,leo2,2.512,0.594
270.0,leo2,2.281,1.069
272.0,leo2,2.131,1.329
274.0,leo2,2.133,1.325
276.0,leo2,2.133,1.325
278.0,leo2,2.138,1.322
280.0,leo2,2.227,1.388
282.0,leo2,2.642,1.433
284.0,leo2,3.192,1.393
286.0,leo2,3.692,1.369
288.0,leo2,4.226,1.403
290.0,leo2,4.731,1.458
292.0,leo2,5.233,1.588
294.0,leo2,5.468,1.653
296.0,leo2,5.474,1.656
298.0,leo2,5.433,1.571
300.0,leo2,5.209,1.322
302.0,leo2,4.885,1.052
304.0,leo2,4.951,0.685
306.0,leo2,5.151,0.204
308.0,leo2,5.419,-0.230
310.0,leo2,5.808,-0.578
312.0,leo2,6.278,-0.808
314.0,leo2,6.755,-1.055
316.0,leo2,7.172,-1.370
318.0,leo2,7.385,-1.527
320.0,leo2,7.369,-1.521
322.0,leo2,7.235,-1.745
324.0,leo2,6.713,-2.081
326.0,leo2,6.295,-2.418
328.0,leo2,5.910,-2.757
330.0,leo2,5.506,-3.083
332.0,leo2,5.088,-3.420
334.0,leo2,4.704,-3.713
336.0,leo2,4.314,-4.065
338.0,leo2,3.942,-4.434
340.0,leo2,3.556,-4.799
342.0,leo2,3.169,-5.158
344.0,leo2,2.820,-5.556
346.0,leo2,2.562,-5.975
348.0,leo2,2.442,-6.485
350.0,leo2,2.402,-7.009
352.0,leo2,2.313,-7.519
354.0,leo2,2.235,-7.938
356.0,leo2,2.218,-7.988
358.0,leo2,2.218,-7.988
360.0,leo2,2.218,-7.988
362.0,leo2,2.213,-7.997
364.0,leo2,2.226,-7.978
366.0,leo2,2.162,-7.875
368.0,leo2,2.124,-7.411
370.0,leo2,2.215,-6.818
372.0,leo2,2.408,-6.315
374.0,leo2,2.671,-5.864
376.0,leo2,2.981,-5.439
378.0,leo2,3.387,-5.100
380.0,leo2,3.814,-4.815
382.0,leo2,4.190,-4.451
384.0,leo2,4.452,-4.021
386.0,leo2,4.759,-3.776
388.0,leo2,5.257,-3.680
390.0,leo2,5.771,-3.653
392.0,leo2,6.307,-3.652
394.0,leo2,6.768,-3.834
396.0,leo2,7.093,-4.131
398.0,leo2,7.368,-4.590
400.0,leo2,7.678,-4.973
402.0,leo2,8.055,-5.341
404.0,leo2,8.263,-5.761
406.0,leo2,8.393,-6.237
408.0,leo2,8.541,-6.583
410.0,leo2,8.553,-6.606
412.0,leo2,8.553,-6.606
414.0,leo2,8.569,-6.807
416.0,leo2,8.412,-7.294
418.0,leo2,8.163,-7.767
420.0,leo2,7.904,-8.214
422.0,leo2,7.727,-8.670
424.0,leo2,7.554,-9.044
426.0,leo2,7.540,-9.068
428.0,leo2,7.540,-9.069
430.0,leo2,7.323,-9.456
432.0,leo2,7.054,-9.926
434.0,leo2,6.704,-10.240
436.0,leo2,6.252,-10.382
438.0,leo2,6.125,-10.473
440.0,leo2,6.121,-10.475
442.0,leo2,6.047,-10.472
444.0,leo2,5.794,-10.346
446.0,leo2,5.441,-9.913
448.0,leo2,5.034,-9.712
450.0,leo2,4.745,-9.780
452.0,leo2,4.508,-9.920
454.0,leo2,4.432,-10.103
456.0,leo2,4.363,-10.156
458.0,leo2,3.951,-10.223
460.0,leo2,3.427,-10.246
462.0,leo2,2.916,-10.318
464.0,leo2,2.398,-10.456
466.0,leo2,1.911,-10.671
468.0,leo2,1.451,-10.922
470.0,leo2,0.986,-11.027
472.0,leo2,0.469,-10.927
474.0,leo2,0.221,-10.952
476.0,leo2,0.221,-10.952
478.0,leo2,0.016,-10.897
480.0,leo2,-0.397,-10.614
482.0,leo2,-0.692,-10.245
484.0,leo2,-0.748,-9.800
486.0,leo2,-0.657,-9.617
488.0,leo2,-0.561,-9.542
490.0,leo2,-0.552,-9.544
492.0,leo2,-0.566,-9.581
494.0,leo2,-0.620,-9.526
496.0,leo2,-0.937,-9.473
498.0,leo2,-1.499,-9.571
500.0,leo2,-2.011,-9.690
502.0,leo2,-2.550,-9.689
504.0,leo2,-2.938,-9.520
506.0,leo2,-3.129,-9.241
508.0,leo2,-3.190,-8.727
510.0,leo2,-3.139,-8.226
512.0,leo2,-3.136,-7.702
514.0,leo2,-3.306,-7.274
516.0,leo2,-3.400,-7.158
518.0,leo2,-3.397,-7.162
520.0,leo2,-3.397,-7.162
522.0,leo2,-3.388,-7.155
524.0,leo2,-3.391,-7.149
526.0,leo2,-3.293,-7.187
528.0,leo2,-2.858,-7.311
530.0,leo2,-2.257,-7.389
532.0,leo2,-1.738,-7.374
534.0,leo2,-1.243,-7.357
536.0,leo2,-0.738,-7.330
538.0,leo2,-0.216,-7.311
540.0,leo2,0.318,-7.302
542.0,leo2,0.846,-7.286
544.0,leo2,1.329,-7.146
546.0,leo2,1.735,-6.819
548.0,leo2,2.023,-6.418
550.0,leo2,2.315,-5.979
552.0,leo2,2.642,-5.532
554.0,leo2,2.957,-5.149
556.0,leo2,3.297,-4.727
558.0,leo2,3.608,-4.335
560.0,leo2,3.937,-3.929
562.0,leo2,4.257,-3.526
564.0,leo2,4.581,-3.111
566.0,leo2,4.926,-2.708
568.0,leo2,5.245,-2.312
570.0,leo2,5.599,-1.910
572.0,leo2,5.921,-1.524
574.0,leo2,6.275,-1.134
576.0,leo2,6.640,-0.750
578.0,leo2,7.005,-0.402
580.0,leo2,7.399,-0.059
582.0,leo2,7.582,0.054
584.0,leo2,7.600,0.119
586.0,leo2,7.620,0.124
588.0,leo2,7.629,0.126
590.0,leo2,7.632,0.126
592.0,leo2,7.638,0.127
594.0,leo2,7.639,0.128
596.0,leo2,7.640,0.128
598.0,leo2,7.645,0.129
600.0,leo2,7.654,0.131
602.0,leo2,7.653,0.131
604.0,leo2,7.658,0.132
606.0,leo2,7.654,0.131
608.0,leo2,7.652,0.131
610.0,leo2,7.654,0.131
612.0,leo2,7.657,0.131
614.0,leo2,7.659,0.132
616.0,leo2,7.659,0.132
618.0,leo2,7.659,0.132
620.0,leo2,7.682,0.138
622.0,leo2,7.777,0.167
624.0,leo2,7.819,0.182
626.0,leo2,7.852,0.197
628.0,leo2,7.858,0.202
630.0,leo2,7.862,0.205
632.0,leo2,7.857,0.200
634.0,leo2,7.858,0.201
636.0,leo2,7.864,0.207
638.0,leo2,7.874,0.218
640.0,leo2,7.886,0.231
642.0,leo2,7.893,0.238
644.0,leo2,7.886,-0.143
646.0,leo2,7.695,-0.238
648.0,leo2,7.670,-0.202
650.0,leo2,7.606,0.081
652.0,leo2,7.620,0.107
654.0,leo2,7.621,0.108
656.0,leo2,7.621,0.108
658.0,leo2,7.630,0.120
660.0,leo2,7.603,0.100
662.0,leo2,7.566,0.082
664.0,leo2,7.531,0.070
666.0,leo2,7.515,0.066
668.0,leo2,7.470,0.055
670.0,leo2,7.435,0.049
672.0,leo2,7.416,0.046
674.0,leo2,7.410,0.045
676.0,leo2,7.410,0.045
678.0,leo2,7.411,0.045
680.0,leo2,7.411,0.045
682.0,leo2,7.409,0.045
684.0,leo2,7.406,0.044
686.0,leo2,7.404,0.044
688.0,leo2,7.402,0.043
690.0,leo2,7.401,0.043
692.0,leo2,7.400,0.043
694.0,leo2,7.400,0.043
696.0,leo2,7.400,0.043
698.0,leo2,7.399,0.043
700.0,leo2,7.399,0.043
702.0,leo2,7.399,0.043
704.0,leo2,7.399,0.043
706.0,leo2,7.399,0.043
708.0,leo2,7.399,0.043
710.0,leo2,7.398,0.043
712.0,leo2,7.398,0.043
714.0,leo2,7.398,0.043
716.0,leo2,7.398,0.043
718.0,leo2,7.398,0.043
720.0,leo2,7.398,0.043
722.0,leo2,7.398,0.043
724.0,leo2,7.397,0.043
726.0,leo2,7.397,0.043
728.0,leo2,7.313,0.025
730.0,leo2,7.211,0.004
732.0,leo2,6.930,-0.119
734.0,leo2,6.930,-0.119
736.0,leo2,6.930,-0.119
738.0,leo2,6.930,-0.119
740.0,leo2,6.930,-0.119
742.0,leo2,6.930,-0.119
744.0,leo2,6.930,-0.119
746.0,leo2,6.930,-0.119
748.0,leo2,6.930,-0.119
750.0,leo2,6.930,-0.119
752.0,leo2,6.930,-0.119
754.0,leo2,6.930,-0.119
756.0,leo2,6.930,-0.119
758.0,leo2,6.930,-0.119
760.0,leo2,6.930,-0.119
762.0,leo2,6.930,-0.119
764.0,leo2,6.930,-0.119
766.0,leo2,6.930,-0.119
768.0,leo2,6.930,-0.119
770.0,leo2,7.245,-0.105
772.0,leo2,7.322,-0.103
774.0,leo2,7.323,-0.103
776.0,leo2,7.328,-0.103
778.0,leo2,7.321,-0.103
780.0,leo2,7.311,-0.103
782.0,leo2,7.308,-0.104
784.0,leo2,7.310,-0.103
786.0,leo2,7.306,-0.104
788.0,leo2,7.304,-0.104
790.0,leo2,7.307,-0.104
792.0,leo2,7.521,-0.042
794.0,leo2,7.234,-0.116
796.0,leo2,6.917,-0.117
798.0,leo2,6.806,-0.115
800.0,leo2,6.787,-0.116
802.0,leo2,6.774,-0.117
804.0,leo2,6.549,-0.133
806.0,leo2,6.290,-0.152
808.0,leo2,6.188,-0.160
810.0,leo2,6.116,-0.166
812.0,leo2,6.055,-0.171
814.0,leo2,5.876,-0.258
816.0,leo2,5.766,-0.260
818.0,leo2,5.687,-0.261
820.0,leo2,5.575,-0.264
822.0,leo2,5.364,-0.269
824.0,leo2,5.038,-0.278
826.0,leo2,4.820,-0.286
828.0,leo2,4.627,-0.289
830.0,leo2,4.488,-0.291
832.0,leo2,4.365,-0.294
834.0,leo2,4.392,-0.294
836.0,leo2,4.315,-0.296
838.0,leo2,4.205,-0.299
840.0,leo2,4.363,-0.294
842.0,leo2,4.344,-0.294
844.0,leo2,4.316,-0.295
846.0,leo2,4.253,-0.298
848.0,leo2,4.196,-0.300
850.0,leo2,4.121,-0.294
852.0,leo2,4.065,-0.295
854.0,leo2,4.026,-0.296
856.0,leo2,3.987,-0.297
858.0,leo2,3.944,-0.298
860.0,leo2,3.906,-0.299
862.0,leo2,3.869,-0.300
864.0,leo2,3.829,-0.301
866.0,leo2,3.789,-0.303
868.0,leo2,3.749,-0.305
870.0,leo2,3.706,-0.307
872.0,leo2,3.666,-0.309
874.0,leo2,3.626,-0.311
876.0,leo2,3.588,-0.313
878.0,leo2,3.542,-0.316
880.0,leo2,3.500,-0.318
882.0,leo2,3.457,-0.320
884.0,leo2,3.414,-0.322
886.0,leo2,3.371,-0.324
888.0,leo2,3.329,-0.327
890.0,leo2,3.285,-0.329
892.0,leo2,3.267,-0.311
894.0,leo2,3.225,-0.312
896.0,leo2,3.181,-0.313
898.0,leo2,3.140,-0.314
900.0,leo2,3.094,-0.315
902.0,leo2,3.052,-0.316
904.0,leo2,3.012,-0.317
906.0,leo2,2.973,-0.319
908.0,leo2,2.932,-0.320
910.0,leo2,2.891,-0.321
912.0,leo2,2.850,-0.323
914.0,leo2,2.803,-0.325
916.0,leo2,2.745,-0.327
918.0,leo2,2.704,-0.329
920.0,leo2,2.663,-0.331
922.0,leo2,2.622,-0.333
924.0,leo2,2.578,-0.335
926.0,leo2,2.539,-0.337
928.0,leo2,2.499,-0.339
930.0,leo2,2.457,-0.342
932.0,leo2,2.473,-0.332
934.0,leo2,2.510,-0.316
936.0,leo2,2.535,-0.301
938.0,leo2,2.502,-0.331
940.0,leo2,2.481,-0.370
942.0,leo2,2.470,-0.411
944.0,leo2,2.476,-0.497
946.0,leo2,2.494,-0.539
948.0,leo2,2.512,-0.503
950.0,leo2,2.080,-0.470
952.0,leo2,1.574,-0.526
954.0,leo2,1.045,-0.569
956.0,leo2,0.697,-0.476
958.0,leo2,0.263,-0.214
960.0,leo2,-0.156,0.144
962.0,leo2,-0.510,0.473
964.0,leo2,-0.917,0.826
966.0,leo2,-1.250,0.954
968.0,leo2,-1.415,0.918
970.0,leo2,-1.415,0.849
972.0,leo2,-1.413,0.859
974.0,leo2,-1.394,0.852
976.0,leo2,-1.320,0.838
978.0,leo2,-0.948,0.798
980.0,leo2,-0.679,0.687
982.0,leo2,-0.578,0.288
984.0,leo2,-0.559,-0.234
986.0,leo2,-0.560,-0.758
988.0,leo2,-0.572,-1.278
990.0,leo2,-0.634,-1.789
992.0,leo2,-0.650,-2.326
994.0,leo2,-0.661,-2.825
996.0,leo2,-0.723,-3.307
998.0,leo2,-0.855,-3.818
1000.0,leo2,-1.124,-4.257
1002.0,leo2,-1.373,-4.729
1004.0,leo2,-1.316,-5.179
1006.0,leo2,-1.085,-5.609
1008.0,leo2,-0.751,-5.811
1010.0,leo2,-0.295,-6.026
1012.0,leo2,-0.086,-6.083
1014.0,leo2,-0.086,-6.083
1016.0,leo2,-0.073,-6.086
1018.0,leo2,-0.024,-6.101
1020.0,leo2,-0.009,-6.108
1022.0,leo2,0.027,-6.120
1024.0,leo2,0.067,-6.129
1026.0,leo2,0.073,-6.130
