t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
126.5,,,,nan,,,,nan,0,,,0,0,0
130.0,,,,0.000,,,,nan,0,,,0,0,0
135.0,,,,0.000,,,,nan,0,,,0,0,0
140.0,,,,0.000,,,,nan,0,,,0,0,0
145.0,,,,0.000,,,,nan,0,,,0,0,0
150.0,,,,0.000,,,,nan,0,,,0,0,0
155.0,,,,0.000,,,,nan,0,,,0,0,0
160.0,,,,0.000,,,,nan,0,,,0,0,0
165.0,,,,0.000,,,,nan,0,,,0,0,0
170.0,,,,0.000,,,,nan,0,,,0,0,0
175.0,,,,0.000,,,,nan,0,,,0,0,0
180.0,,,,0.000,,,,nan,0,,,0,0,0
185.0,,,,0.000,,,,nan,0,,,1,1,0
190.0,,,,0.000,,,,nan,0,,,1,1,0
195.0,,,,0.000,,,,0.372,0,,,2,1,0
200.0,,,,0.000,,,,0.426,0,,,2,1,0
205.0,,,,0.000,,,,0.429,0,,,3,2,0
210.0,,,,0.000,,,,0.429,0,,,3,2,0
215.0,,,,0.000,,,,0.365,0,,,3,2,0
220.0,,,,0.000,,,,0.388,0,,,3,2,0
225.0,,,,0.000,,,,0.426,0,,,3,2,0
230.0,,,,0.000,,,,0.426,0,,,3,2,0
235.0,-0.0240,-7.0900,-113.448,0.175,,,,0.443,0,3.5767,66.552,3,3,1
240.0,1.3176,-6.7427,-141.942,0.175,,,,0.427,0,2.8153,38.059,3,3,1
245.0,1.3176,-6.7427,-141.942,0.175,,,,0.467,0,2.8153,38.059,3,3,1
250.0,1.3176,-6.7427,-141.942,0.175,,,,0.467,0,2.8153,38.059,3,3,1
255.0,1.3176,-6.7427,-141.942,0.175,,,,0.386,0,2.8153,38.059,3,3,1
260.0,1.3176,-6.7427,-141.942,0.175,,,,0.475,0,2.8153,38.059,3,3,1
265.0,1.3176,-6.7427,-141.942,0.175,,,,0.475,0,2.8153,38.059,3,3,1
270.0,1.3176,-6.7427,-141.942,0.175,,,,0.368,0,2.8153,38.059,3,3,1
275.0,1.3176,-6.7427,-141.942,0.175,,,,0.464,0,2.8153,38.059,3,3,1
280.0,3.4219,-9.0855,158.206,0.350,,,,0.388,0,0.4305,-21.794,3,4,2
285.0,3.2561,-8.8038,166.042,0.350,3.2719,-8.8855,-178.848,0.682,1,0.2951,1.153,3,4,2
290.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.751,1,0.2527,0.989,3,4,2
295.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.744,1,0.2527,0.989,3,4,2
300.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.739,1,0.2527,0.989,3,4,2
305.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.739,1,0.2527,0.989,3,4,2
310.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.742,1,0.2527,0.989,3,4,2
315.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.775,1,0.2527,0.989,3,4,2
320.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.747,1,0.2527,0.989,3,4,2
325.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.747,1,0.2527,0.989,3,4,2
330.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.779,1,0.2527,0.989,3,4,2
335.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.770,1,0.2527,0.989,3,4,2
340.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.777,1,0.2527,0.989,3,4,2
345.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.777,1,0.2527,0.989,3,4,2
350.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.767,1,0.2527,0.989,3,4,2
355.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.783,1,0.2527,0.989,3,4,2
360.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.768,1,0.2527,0.989,3,4,2
365.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.768,1,0.2527,0.989,3,4,2
370.0,3.1972,-8.7407,168.214,0.350,3.2061,-8.8538,-179.011,0.789,1,0.2527,0.989,3,4,2
375.0,3.1972,-8.7407,168.214,0.350,3.2472,-8.8407,-178.840,0.812,1,0.2941,1.161,3,4,2
380.0,3.1972,-8.7407,168.214,0.350,3.2472,-8.8407,-178.840,0.760,1,0.2941,1.161,3,4,2
385.0,3.1972,-8.7407,168.214,0.645,3.2472,-8.8407,-178.840,0.760,1,0.2941,1.161,4,4,3
390.0,3.1972,-8.7407,168.214,0.650,3.2472,-8.8407,-178.840,0.841,1,0.2941,1.161,4,4,3
395.0,3.1972,-8.7407,168.214,0.650,3.2472,-8.8407,-178.840,0.791,1,0.2941,1.161,4,4,3
400.0,3.1972,-8.7407,168.214,0.681,3.2472,-8.8407,-178.840,0.816,1,0.2941,1.161,5,4,4
405.0,3.1972,-8.7407,168.214,0.747,3.2472,-8.8407,-178.840,0.822,1,0.2941,1.161,5,4,4
410.0,3.1972,-8.7407,168.214,0.771,3.2472,-8.8407,-178.840,0.817,1,0.2941,1.161,5,4,4
415.0,3.1972,-8.7407,168.214,0.773,3.2472,-8.8407,-178.840,0.811,1,0.2941,1.161,5,4,4
420.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.852,1,0.2941,1.161,5,4,4
425.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.852,1,0.2941,1.161,5,4,4
430.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.841,1,0.2941,1.161,5,4,4
435.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.853,1,0.2941,1.161,5,4,4
440.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.853,1,0.2941,1.161,5,4,4
445.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.850,1,0.2941,1.161,5,4,4
450.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.829,1,0.2941,1.161,5,4,4
455.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.849,1,0.2941,1.161,5,4,4
460.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.849,1,0.2941,1.161,5,4,4
465.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.815,1,0.2941,1.161,5,4,4
470.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.841,1,0.2941,1.161,5,4,4
475.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.820,1,0.2941,1.161,5,4,4
480.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.820,1,0.2941,1.161,5,4,4
485.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.815,1,0.2941,1.161,5,4,4
490.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.802,1,0.2941,1.161,5,4,4
495.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.794,1,0.2941,1.161,5,4,4
500.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.794,1,0.2941,1.161,5,4,4
505.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.799,1,0.2941,1.161,5,4,4
510.0,3.1972,-8.7407,168.214,0.774,3.2472,-8.8407,-178.840,0.834,1,0.2941,1.161,5,4,4
515.0,3.1972,-8.7407,168.214,0.777,3.2472,-8.8407,-178.840,0.844,1,0.2941,1.161,5,4,4
520.0,3.1972,-8.7407,168.214,0.786,3.2472,-8.8407,-178.840,0.845,1,0.2941,1.161,5,4,4
525.0,3.3607,-8.6169,177.276,0.818,3.2472,-8.8407,-178.840,0.841,1,0.2941,1.161,5,4,4
530.0,3.3607,-8.6169,177.276,0.818,3.2472,-8.8407,-178.840,0.794,1,0.2941,1.161,5,4,4
535.0,3.3607,-8.6169,177.276,0.818,3.2472,-8.8407,-178.840,0.806,1,0.2941,1.161,5,4,4
540.0,3.3607,-8.6169,177.276,0.818,3.2472,-8.8407,-178.840,0.806,1,0.2941,1.161,5,4,4
545.0,3.3607,-8.6169,177.276,0.818,3.2472,-8.8407,-178.840,0.788,1,0.2941,1.161,5,4,4
550.0,3.3607,-8.6169,177.276,0.818,3.2472,-8.8407,-178.840,0.763,1,0.2941,1.161,5,4,4
555.0,3.3607,-8.6169,177.276,0.818,3.2472,-8.8407,-178.840,0.802,1,0.2941,1.161,5,4,4
560.0,3.3607,-8.6169,177.276,0.818,3.2472,-8.8407,-178.840,0.802,1,0.2941,1.161,5,4,4
565.0,3.3607,-8.6169,177.276,0.818,3.2472,-8.8407,-178.840,0.807,1,0.2941,1.161,5,4,4
570.0,3.3510,-8.6275,177.236,0.817,3.2472,-8.8407,-178.840,0.806,1,0.2941,1.161,5,4,4
575.0,3.3490,-8.6298,177.227,0.818,3.2472,-8.8407,-178.840,0.806,1,0.2941,1.161,5,4,4
