t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
150.731,3,4.1628,30.64,0.237,3.7729,1.7559,-0.1017,1.9742,-4.6443,0.0983
177.366,1,4.4038,28.48,1.454,4.2717,1.0657,-0.1015,-0.0254,2.4157,0.0985
177.668,1,4.1230,30.23,2.103,4.0939,-0.4789,-0.0992,0.0713,2.1658,0.1008
178.044,1,4.3103,30.32,1.580,4.0997,-1.3268,-0.1006,-0.1110,2.2761,0.0994
178.368,1,4.3039,30.35,1.552,4.0937,-1.3248,-0.1002,-0.1044,2.2723,0.0998
178.675,1,4.3039,30.35,1.552,4.0937,-1.3248,-0.1002,-0.1040,2.2725,0.0998
179.045,1,4.3039,30.35,1.552,4.0937,-1.3248,-0.1002,-0.1056,2.2717,0.0998
179.362,1,4.3039,30.35,1.552,4.0937,-1.3248,-0.1002,-0.1070,2.2710,0.0998
179.675,1,4.3039,30.35,1.552,4.0937,-1.3248,-0.1002,-0.1079,2.2705,0.0998
180.036,1,4.3039,30.35,1.552,4.0937,-1.3248,-0.1002,-0.1094,2.2697,0.0998
180.383,1,4.3039,30.35,1.552,4.0937,-1.3248,-0.1002,-0.1102,2.2693,0.0998
180.673,1,4.3399,30.29,1.575,4.1102,-1.3896,-0.1003,-0.1087,2.3094,0.0997
181.044,1,4.4403,27.87,0.158,4.0820,-1.7448,-0.0966,-0.1564,2.3898,0.1034
188.369,3,1.9360,70.06,0.504,1.7038,0.9143,-0.0973,2.0123,-4.4690,0.1027
188.668,3,1.8469,73.16,0.619,1.6398,0.8441,-0.0973,2.0147,-4.4589,0.1027
192.677,5,2.9049,45.40,0.424,2.5852,1.3212,-0.0984,2.0152,-6.5657,0.1016
194.666,5,2.3603,54.65,0.501,2.1646,0.9361,-0.0953,2.0367,-6.5171,0.1047
197.352,6,4.2990,24.81,1.528,4.2877,-0.3040,-0.0671,0.5188,-9.3079,0.1329
198.028,6,4.3033,25.79,0.226,4.3016,-0.1052,-0.0615,0.4853,-9.4807,0.1385
198.357,6,4.3002,25.80,0.218,4.2997,-0.0276,-0.0616,0.4675,-9.5551,0.1384
200.348,6,3.8453,28.23,1.571,3.8417,0.1507,-0.0705,0.4939,-9.5987,0.1295
202.355,6,4.1651,28.85,0.898,4.1329,0.5104,-0.0787,0.3454,-10.4206,0.1213
203.675,6,4.4881,27.42,1.185,4.3835,0.9583,-0.0974,0.3008,-11.0740,0.1026
204.969,6,4.4212,29.95,1.809,4.1248,1.5888,-0.0945,0.2768,-11.2044,0.1055
378.841,4,1.9645,65.14,0.129,1.7947,0.7934,-0.0953,7.0334,-4.2797,0.1047
379.167,4,1.8967,65.13,0.120,1.7967,0.6001,-0.0953,7.0554,-4.2877,0.1047
379.481,4,1.8107,66.62,0.091,1.7552,0.4345,-0.0954,7.0616,-4.2822,0.1046
379.835,4,1.7414,67.79,0.091,1.7163,0.2790,-0.0956,6.9962,-4.2876,0.1044
380.163,4,1.6741,69.65,0.148,1.6677,0.1093,-0.0957,6.9866,-4.2775,0.1043
380.473,4,1.6170,71.96,0.109,1.6137,-0.0371,-0.0958,6.9880,-4.2755,0.1042
380.838,4,1.5567,75.14,0.173,1.5457,-0.1582,-0.0960,6.9878,-4.2743,0.1040
381.167,4,1.5141,77.79,0.115,1.4876,-0.2651,-0.0962,6.9960,-4.2831,0.1038
381.472,4,1.4604,81.83,0.038,1.4162,-0.3432,-0.0964,6.9996,-4.2805,0.1036
381.833,4,1.4187,85.03,0.092,1.3626,-0.3830,-0.0965,7.0036,-4.2812,0.1035
382.168,4,1.3738,88.18,0.244,1.3231,-0.3569,-0.0966,7.0227,-4.2588,0.1034
382.473,4,1.3477,89.28,0.197,1.3085,-0.3080,-0.0966,7.0244,-4.2562,0.1034
382.834,4,1.3440,88.28,0.186,1.3290,-0.1752,-0.0965,7.0256,-4.2573,0.1035
383.157,4,1.3385,88.04,0.186,1.3350,0.0004,-0.0966,7.0254,-4.2529,0.1034
383.465,4,1.3453,89.04,0.157,1.3284,0.1892,-0.0966,7.0285,-4.2510,0.1034
383.827,4,1.3612,91.82,0.077,1.2986,0.3963,-0.0967,7.0348,-4.2460,0.1033
384.164,4,1.3800,97.81,0.146,1.2297,0.6187,-0.0968,7.0412,-4.2339,0.1032
392.830,2,4.2971,25.79,1.360,4.2964,-0.0379,-0.0709,3.9609,-9.4628,0.1291
393.476,2,4.1703,26.88,0.121,4.1695,0.0565,-0.0627,3.9568,-9.5218,0.1373
396.824,2,4.3981,29.90,2.358,4.3670,-0.5159,-0.0787,3.5670,-10.4063,0.1213
