t,robot,x,y
126.0,leo1,1.014,0.017
128.0,leo1,1.014,0.017
130.0,leo1,1.014,0.017
132.0,leo1,1.014,0.017
134.0,leo1,1.014,0.017
136.0,leo1,1.014,0.017
138.0,leo1,1.038,0.007
140.0,leo1,1.026,0.039
142.0,leo1,0.945,-0.109
144.0,leo1,0.573,-0.404
146.0,leo1,0.093,-0.691
148.0,leo1,0.041,-0.743
150.0,leo1,0.049,-0.727
152.0,leo1,0.113,-0.784
154.0,leo1,0.441,-0.918
156.0,leo1,1.016,-1.067
158.0,leo1,1.518,-1.222
160.0,leo1,1.933,-1.491
162.0,leo1,2.061,-1.567
164.0,leo1,2.067,-1.565
166.0,leo1,2.067,-1.565
168.0,leo1,2.067,-1.565
170.0,leo1,2.026,-1.649
172.0,leo1,1.981,-1.739
174.0,leo1,1.938,-1.829
176.0,leo1,2.002,-1.761
178.0,leo1,1.995,-1.754
180.0,leo1,1.995,-1.754
182.0,leo1,1.976,-1.746
184.0,leo1,1.781,-1.768
186.0,leo1,1.484,-1.968
188.0,leo1,1.337,-2.344
190.0,leo1,1.284,-2.874
192.0,leo1,1.197,-3.383
194.0,leo1,1.125,-3.914
196.0,leo1,1.106,-4.434
198.0,leo1,1.064,-4.972
200.0,leo1,1.006,-5.452
202.0,leo1,0.883,-6.004
204.0,leo1,0.754,-6.465
206.0,leo1,0.611,-6.729
208.0,leo1,0.237,-7.085
210.0,leo1,-0.147,-7.428
212.0,leo1,-0.547,-7.782
214.0,leo1,-0.876,-8.021
216.0,leo1,-1.127,-8.388
218.0,leo1,-1.212,-8.533
220.0,leo1,-1.401,-8.570
222.0,leo1,-1.931,-8.523
224.0,leo1,-2.448,-8.462
226.0,leo1,-2.972,-8.373
228.0,leo1,-3.485,-8.242
230.0,leo1,-3.998,-8.092
232.0,leo1,-4.406,-7.923
234.0,leo1,-4.502,-7.880
236.0,leo1,-4.502,-7.880
238.0,leo1,-4.575,-7.809
240.0,leo1,-4.677,-7.461
242.0,leo1,-4.787,-6.941
244.0,leo1,-4.994,-6.467
246.0,leo1,-5.233,-5.998
248.0,leo1,-5.421,-5.549
250.0,leo1,-5.457,-5.365
252.0,leo1,-5.457,-5.366
254.0,leo1,-5.447,-5.338
256.0,leo1,-5.237,-5.184
258.0,leo1,-4.894,-5.058
260.0,leo1,-4.641,-4.664
262.0,leo1,-4.550,-4.320
264.0,leo1,-4.600,-4.158
266.0,leo1,-4.653,-4.010
268.0,leo1,-4.584,-3.564
270.0,leo1,-4.596,-3.041
272.0,leo1,-4.603,-2.531
274.0,leo1,-4.693,-2.010
276.0,leo1,-4.725,-1.695
278.0,leo1,-4.873,-1.268
280.0,leo1,-5.105,-0.832
282.0,leo1,-5.364,-0.374
282.0,leo2,-2.444,-5.861
284.0,leo1,-5.578,-0.007
284.0,leo2,-1.984,-5.572
286.0,leo1,-5.581,-0.002
286.0,leo2,-1.630,-5.237
288.0,leo1,-5.581,-0.002
288.0,leo2,-1.205,-4.880
290.0,leo1,-5.572,-0.019
290.0,leo2,-0.849,-4.539
292.0,leo1,-5.449,0.131
292.0,leo2,-0.463,-4.169
294.0,leo1,-4.958,0.297
294.0,leo2,-0.100,-3.802
296.0,leo1,-4.514,0.588
296.0,leo2,0.271,-3.462
298.0,leo1,-4.126,0.907
298.0,leo2,0.669,-3.105
300.0,leo1,-3.754,1.269
300.0,leo2,0.975,-2.809
302.0,leo1,-3.440,1.440
302.0,leo2,1.019,-2.764
304.0,leo1,-2.924,1.370
