t,robot,x,y
128.0,leo1,1.014,0.017
130.0,leo1,1.014,0.017
132.0,leo1,1.014,0.017
134.0,leo1,1.014,0.017
136.0,leo1,1.014,0.017
138.0,leo1,1.038,0.007
140.0,leo1,1.026,0.039
142.0,leo1,0.945,-0.109
144.0,leo1,0.573,-0.404
146.0,leo1,0.093,-0.691
148.0,leo1,0.041,-0.743
150.0,leo1,0.049,-0.727
152.0,leo1,0.113,-0.784
154.0,leo1,0.441,-0.918
156.0,leo1,1.016,-1.067
158.0,leo1,1.518,-1.222
160.0,leo1,1.933,-1.491
162.0,leo1,2.061,-1.567
164.0,leo1,2.067,-1.565
166.0,leo1,2.067,-1.565
168.0,leo1,2.067,-1.565
170.0,leo1,2.026,-1.649
172.0,leo1,1.981,-1.739
174.0,leo1,1.938,-1.829
176.0,leo1,2.002,-1.761
178.0,leo1,1.995,-1.754
180.0,leo1,1.995,-1.754
182.0,leo1,1.976,-1.746
184.0,leo1,1.781,-1.768
186.0,leo1,1.484,-1.968
188.0,leo1,1.337,-2.344
190.0,leo1,1.284,-2.874
192.0,leo1,1.197,-3.383
194.0,leo1,1.125,-3.914
196.0,leo1,1.106,-4.434
198.0,leo1,1.064,-4.972
200.0,leo1,1.006,-5.452
202.0,leo1,0.883,-6.004
204.0,leo1,0.754,-6.465
206.0,leo1,0.611,-6.729
208.0,leo1,0.237,-7.085
210.0,leo1,-0.147,-7.428
212.0,leo1,-0.547,-7.782
214.0,leo1,-0.876,-8.021
216.0,leo1,-1.127,-8.388
218.0,leo1,-1.212,-8.533
220.0,leo1,-1.401,-8.570
222.0,leo1,-1.931,-8.523
224.0,leo1,-2.448,-8.462
226.0,leo1,-2.972,-8.373
228.0,leo1,-3.485,-8.242
230.0,leo1,-3.998,-8.092
232.0,leo1,-4.406,-7.923
234.0,leo1,-4.502,-7.880
236.0,leo1,-4.502,-7.880
238.0,leo1,-4.575,-7.809
240.0,leo1,-4.677,-7.461
242.0,leo1,-4.787,-6.941
244.0,leo1,-4.994,-6.467
246.0,leo1,-5.233,-5.998
248.0,leo1,-5.421,-5.549
250.0,leo1,-5.457,-5.365
252.0,leo1,-5.457,-5.366
254.0,leo1,-5.447,-5.338
256.0,leo1,-5.237,-5.184
258.0,leo1,-4.894,-5.058
260.0,leo1,-4.641,-4.664
262.0,leo1,-4.550,-4.320
264.0,leo1,-4.600,-4.158
266.0,leo1,-4.653,-4.010
268.0,leo1,-4.584,-3.564
270.0,leo1,-4.596,-3.041
272.0,leo1,-4.603,-2.531
274.0,leo1,-4.693,-2.010
276.0,leo1,-4.725,-1.695
278.0,leo1,-4.873,-1.268
280.0,leo1,-5.105,-0.832
282.0,leo1,-5.364,-0.374
284.0,leo1,-5.578,-0.007
286.0,leo1,-5.581,-0.002
288.0,leo1,-5.581,-0.002
290.0,leo1,-5.572,-0.019
292.0,leo1,-5.449,0.131
294.0,leo1,-4.958,0.297
296.0,leo1,-4.514,0.588
298.0,leo1,-4.126,0.907
300.0,leo1,-3.754,1.269
302.0,leo1,-3.440,1.440
304.0,leo1,-2.924,1.370
306.0,leo1,-2.499,1.114
308.0,leo1,-2.117,0.785
310.0,leo1,-1.703,0.676
312.0,leo1,-1.173,0.636
314.0,leo1,-0.652,0.603
316.0,leo1,-0.149,0.548
318.0,leo1,0.374,0.493
320.0,leo1,0.876,0.405
322.0,leo1,1.395,0.308
324.0,leo1,1.921,0.152
326.0,leo1,2.407,-0.060
328.0,leo1,2.871,-0.230
330.0,leo1,3.280,-0.173
332.0,leo1,3.676,0.167
334.0,leo1,4.017,0.536
336.0,leo1,4.383,0.875
338.0,leo1,4.778,1.198
340.0,leo1,5.090,1.407
342.0,leo1,5.488,1.634
344.0,leo1,5.898,1.804
346.0,leo1,5.985,1.855
348.0,leo1,5.985,1.855
350.0,leo1,5.985,1.855
352.0,leo1,5.985,1.855
354.0,leo1,5.964,1.845
356.0,leo1,6.055,1.701
358.0,leo1,6.156,1.327
360.0,leo1,6.149,0.799
362.0,leo1,6.251,0.280
364.0,leo1,6.303,-0.012
366.0,leo1,6.302,-0.034
368.0,leo1,6.302,-0.034
370.0,leo1,6.277,-0.483
372.0,leo1,6.162,-0.992
374.0,leo1,5.958,-1.473
376.0,leo1,5.706,-1.929
378.0,leo1,5.612,-2.416
380.0,leo1,5.718,-2.838
382.0,leo1,5.956,-3.051
384.0,leo1,5.964,-3.044
386.0,leo1,5.949,-3.463
388.0,leo1,5.826,-4.038
390.0,leo1,5.704,-4.543
392.0,leo1,5.550,-5.020
394.0,leo1,5.374,-5.507
396.0,leo1,5.329,-5.920
398.0,leo1,5.194,-6.403
400.0,leo1,4.957,-6.884
402.0,leo1,4.701,-7.327
404.0,leo1,4.405,-7.766
406.0,leo1,4.077,-8.158
408.0,leo1,3.812,-8.590
410.0,leo1,3.739,-9.126
412.0,leo1,3.704,-9.613
414.0,leo1,3.766,-10.035
416.0,leo1,3.774,-10.078
418.0,leo1,3.807,-10.170
420.0,leo1,4.117,-10.470
422.0,leo1,4.355,-10.767
424.0,leo1,4.373,-10.803
426.0,leo1,4.377,-10.811
428.0,leo1,4.364,-10.789
430.0,leo1,4.565,-10.519
432.0,leo1,4.920,-10.076
434.0,leo1,5.336,-9.732
436.0,leo1,5.477,-9.521
438.0,leo1,5.551,-9.270
440.0,leo1,5.665,-8.765
442.0,leo1,5.572,-8.299
444.0,leo1,5.232,-7.881
446.0,leo1,4.915,-7.503
448.0,leo1,4.544,-7.115
450.0,leo1,4.190,-6.750
452.0,leo1,3.841,-6.364
454.0,leo1,3.495,-5.972
456.0,leo1,3.146,-5.596
458.0,leo1,3.039,-5.493
460.0,leo1,3.097,-5.348
462.0,leo1,3.440,-5.131
464.0,leo1,3.901,-4.879
466.0,leo1,4.324,-4.557
468.0,leo1,4.504,-4.214
470.0,leo1,4.493,-3.729
472.0,leo1,4.280,-3.318
474.0,leo1,3.845,-3.067
476.0,leo1,3.363,-2.842
478.0,leo1,3.137,-2.825
480.0,leo1,3.143,-2.830
482.0,leo1,3.135,-2.827
484.0,leo1,3.146,-2.851
486.0,leo1,3.157,-2.829
488.0,leo1,3.174,-2.809
490.0,leo1,3.191,-2.793
492.0,leo1,3.228,-2.764
494.0,leo1,3.413,-2.763
496.0,leo1,3.858,-2.999
498.0,leo1,4.207,-3.208
500.0,leo1,4.366,-3.684
502.0,leo1,4.502,-4.188
504.0,leo1,4.398,-4.690
506.0,leo1,4.207,-5.183
508.0,leo1,4.034,-5.642
510.0,leo1,3.813,-6.108
512.0,leo1,3.597,-6.598
514.0,leo1,3.404,-7.071
516.0,leo1,3.194,-7.556
518.0,leo1,2.946,-8.008
520.0,leo1,2.640,-8.339
522.0,leo1,2.208,-8.454
524.0,leo1,1.681,-8.561
526.0,leo1,1.190,-8.777
528.0,leo1,0.718,-8.958
530.0,leo1,0.230,-9.166
532.0,leo1,-0.232,-9.384
534.0,leo1,-0.737,-9.653
536.0,leo1,-1.187,-9.911
538.0,leo1,-1.636,-10.202
540.0,leo1,-2.073,-10.489
542.0,leo1,-2.553,-10.688
544.0,leo1,-2.917,-10.820
546.0,leo1,-3.133,-10.898
548.0,leo1,-3.635,-10.958
550.0,leo1,-4.131,-10.930
552.0,leo1,-4.336,-10.792
554.0,leo1,-4.459,-10.556
556.0,leo1,-4.451,-10.382
558.0,leo1,-4.444,-10.376
560.0,leo1,-4.603,-10.043
562.0,leo1,-4.814,-9.547
564.0,leo1,-4.741,-9.039
566.0,leo1,-4.676,-8.560
568.0,leo1,-4.530,-8.044
570.0,leo1,-4.356,-7.560
572.0,leo1,-4.206,-7.062
574.0,leo1,-4.040,-6.547
576.0,leo1,-3.769,-6.134
578.0,leo1,-3.655,-5.981
580.0,leo1,-3.480,-5.934
582.0,leo1,-2.989,-6.075
584.0,leo1,-2.499,-6.222
586.0,leo1,-1.991,-6.386
588.0,leo1,-1.499,-6.537
590.0,leo1,-1.000,-6.718
592.0,leo1,-0.532,-6.930
594.0,leo1,-0.057,-7.164
596.0,leo1,0.391,-7.428
598.0,leo1,0.827,-7.698
600.0,leo1,1.270,-7.983
602.0,leo1,1.670,-8.310
604.0,leo1,2.108,-8.460
606.0,leo1,2.531,-8.370
608.0,leo1,2.854,-8.027
610.0,leo1,2.947,-7.611
612.0,leo1,3.001,-7.089
614.0,leo1,3.084,-6.565
616.0,leo1,3.185,-6.070
618.0,leo1,3.314,-5.552
620.0,leo1,3.592,-5.137
622.0,leo1,4.018,-4.829
624.0,leo1,4.372,-4.561
626.0,leo1,4.531,-4.183
628.0,leo1,4.483,-3.694
630.0,leo1,4.185,-3.291
632.0,leo1,3.954,-3.140
634.0,leo1,3.786,-3.096
636.0,leo1,3.786,-3.096
638.0,leo1,3.780,-3.093
640.0,leo1,3.327,-2.891
642.0,leo1,3.002,-2.936
644.0,leo1,2.853,-2.959
646.0,leo1,2.859,-2.951
648.0,leo1,2.859,-2.957
650.0,leo1,2.869,-2.976
652.0,leo1,2.837,-2.963
654.0,leo1,2.855,-2.957
656.0,leo1,2.855,-2.957
658.0,leo1,2.855,-2.957
660.0,leo1,2.855,-2.957
662.0,leo1,2.855,-2.957
664.0,leo1,2.855,-2.957
666.0,leo1,2.855,-2.957
668.0,leo1,2.855,-2.957
670.0,leo1,2.855,-2.957
672.0,leo1,2.855,-2.957
674.0,leo1,2.855,-2.957
676.0,leo1,2.855,-2.957
678.0,leo1,2.855,-2.957
680.0,leo1,2.855,-2.957
682.0,leo1,2.855,-2.957
684.0,leo1,2.855,-2.957
686.0,leo1,2.855,-2.957
688.0,leo1,2.855,-2.957
690.0,leo1,2.855,-2.957
692.0,leo1,2.855,-2.957
694.0,leo1,2.855,-2.957
696.0,leo1,2.855,-2.957
698.0,leo1,2.855,-2.957
700.0,leo1,2.855,-2.957
702.0,leo1,2.855,-2.957
704.0,leo1,2.855,-2.957
706.0,leo1,2.855,-2.957
708.0,leo1,2.855,-2.957
710.0,leo1,2.855,-2.957
712.0,leo1,2.855,-2.957
714.0,leo1,2.855,-2.957
716.0,leo1,2.855,-2.957
718.0,leo1,2.855,-2.957
720.0,leo1,2.855,-2.957
722.0,leo1,2.855,-2.957
724.0,leo1,2.855,-2.957
