t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
139.2,,,,nan,,,,nan,0,,,0,0,0
140.0,,,,nan,,,,nan,0,,,0,0,0
145.0,,,,0.000,,,,nan,0,,,0,0,0
150.0,,,,0.000,,,,nan,0,,,0,0,0
155.0,,,,0.000,,,,nan,0,,,1,1,0
160.0,,,,0.000,,,,nan,0,,,1,1,0
165.0,,,,0.000,,,,nan,0,,,1,1,0
170.0,,,,0.000,,,,nan,0,,,1,1,0
175.0,,,,0.000,,,,0.368,0,,,1,1,0
180.0,,,,0.000,,,,0.369,0,,,1,1,0
185.0,,,,0.000,,,,0.424,0,,,1,2,0
190.0,,,,0.000,,,,0.425,0,,,1,2,0
195.0,,,,0.000,,,,0.371,0,,,1,2,0
200.0,,,,0.000,,,,0.412,0,,,1,2,0
205.0,,,,0.000,4.5500,-1.3000,-89.000,0.442,0,7.8545,91.000,1,2,0
210.0,,,,0.000,4.5500,-1.3000,-89.054,0.525,0,7.8545,90.947,1,2,0
215.0,,,,0.000,4.5500,-1.3000,-89.054,0.366,0,7.8545,90.947,3,2,0
220.0,,,,0.000,4.5500,-1.3000,-89.054,0.488,0,7.8545,90.947,3,2,0
225.0,2.0699,-8.4949,-164.165,0.175,4.5500,-1.3000,-89.054,0.375,0,7.8545,90.947,3,3,1
230.0,1.9898,-7.6798,-156.016,0.175,4.5500,-1.3000,-89.054,0.530,0,7.8545,90.947,3,3,1
235.0,2.0472,-7.6133,-156.923,0.175,4.5500,-1.3000,-89.054,0.526,0,7.8545,90.947,3,3,1
240.0,2.0472,-7.6133,-156.923,0.175,4.5500,-1.3000,-89.054,0.615,0,7.8545,90.947,3,3,1
245.0,2.0472,-7.6133,-156.923,0.175,4.5500,-1.3000,-89.054,0.608,0,7.8545,90.947,3,3,1
250.0,2.0472,-7.6133,-156.923,0.175,4.5500,-1.3000,-89.054,0.585,0,7.8545,90.947,3,3,1
255.0,2.0472,-7.6133,-156.923,0.175,4.5500,-1.3000,-89.054,0.608,0,7.8545,90.947,3,3,1
260.0,2.0472,-7.6133,-156.923,0.175,4.5500,-1.3000,-89.054,0.585,0,7.8545,90.947,3,3,1
265.0,2.0472,-7.6133,-156.923,0.175,4.5500,-1.3000,-89.054,0.639,0,7.8545,90.947,3,3,1
270.0,2.0472,-7.6133,-156.923,0.175,4.5500,-1.3000,-89.054,0.622,0,7.8545,90.947,3,3,1
275.0,2.0472,-7.6133,-156.923,0.175,4.5500,-1.3000,-89.054,0.604,0,7.8545,90.947,3,3,1
280.0,2.0472,-7.6133,-156.923,0.175,4.5500,-1.3000,-89.054,0.583,0,7.8545,90.947,3,3,1
285.0,2.8162,-8.4049,179.971,0.350,4.5500,-1.3000,-89.054,0.614,0,7.8545,90.947,3,4,2
290.0,2.8162,-8.4049,179.971,0.350,4.5500,-1.3000,-89.054,0.614,0,7.8545,90.947,3,4,2
