t,id,range_m,side_px,reproj_px,cam_x,cam_y,cam_z,map_x,map_y,map_z
151.733,1,2.0780,61.96,0.139,1.9185,0.7928,-0.0949,-0.1985,2.3330,0.1051
152.068,1,2.0397,57.90,0.062,1.9683,0.5265,-0.0948,-0.1949,2.3270,0.1052
152.377,1,2.0068,55.92,0.011,1.9847,0.2810,-0.0948,-0.1926,2.3205,0.1052
152.747,1,1.9898,55.88,0.228,1.9868,0.0545,-0.0947,-0.1854,2.3320,0.1053
153.068,1,1.9582,56.92,0.023,1.9492,-0.1617,-0.0949,-0.1734,2.3294,0.1051
153.360,1,1.9365,58.91,0.159,1.9017,-0.3530,-0.0949,-0.1615,2.3346,0.1051
153.729,1,1.8996,62.95,0.164,1.8275,-0.5097,-0.0951,-0.1553,2.3285,0.1049
154.030,1,1.8825,65.89,0.226,1.7643,-0.6498,-0.0953,-0.1478,2.3376,0.1047
154.367,1,1.8758,70.93,0.115,1.7074,-0.7710,-0.0955,-0.1440,2.3545,0.1045
166.733,1,2.2639,60.94,0.037,2.0227,-1.0124,-0.0947,-0.1591,2.3554,0.1053
167.075,1,2.3123,58.88,0.117,2.0797,-1.0063,-0.0945,-0.1525,2.3353,0.1055
167.377,1,2.3656,55.96,0.234,2.1397,-1.0043,-0.0943,-0.1508,2.3275,0.1057
167.627,1,2.4403,54.88,0.073,2.2193,-1.0106,-0.0939,-0.1539,2.3432,0.1061
168.049,1,2.4833,52.95,0.069,2.2707,-1.0010,-0.0941,-0.1530,2.3238,0.1059
168.375,1,2.5491,50.93,0.008,2.3412,-1.0040,-0.0939,-0.0570,2.3507,0.1061
168.667,1,2.6488,48.88,0.274,2.4426,-1.0201,-0.0956,-0.0590,2.3898,0.1044
169.059,1,2.6982,47.93,0.429,2.4984,-1.0146,-0.0952,-0.0601,2.3787,0.1048
169.372,1,2.6957,47.93,0.194,2.4961,-1.0135,-0.0971,-0.0612,2.3756,0.1029
169.652,1,2.6957,47.93,0.194,2.4961,-1.0135,-0.0971,-0.0621,2.3754,0.1029
170.032,1,2.6957,47.93,0.194,2.4961,-1.0135,-0.0971,-0.0627,2.3753,0.1029
170.392,1,2.6957,47.93,0.194,2.4961,-1.0135,-0.0971,-0.0645,2.3750,0.1029
170.676,1,2.6957,47.93,0.194,2.4961,-1.0135,-0.0971,-0.0656,2.3756,0.1029
171.057,1,2.6957,47.93,0.194,2.4961,-1.0135,-0.0971,-0.0674,2.3752,0.1029
171.361,1,2.6957,47.93,0.194,2.4961,-1.0135,-0.0971,-0.0692,2.3749,0.1029
171.688,1,2.6957,47.93,0.194,2.4961,-1.0135,-0.0971,-0.0701,2.3747,0.1029
172.052,1,2.6957,47.93,0.194,2.4961,-1.0135,-0.0971,-0.0707,2.3746,0.1029
172.374,1,2.6957,47.93,0.194,2.4961,-1.0135,-0.0971,-0.0716,2.3745,0.1029
172.675,1,2.7085,46.90,0.116,2.5302,-0.9616,-0.0973,-0.0837,2.3875,0.1027
173.016,1,2.6610,43.87,0.093,2.5928,-0.5907,-0.0973,-0.0858,2.3466,0.1027
173.369,1,2.7183,40.90,0.011,2.7123,-0.1517,-0.0978,-0.1005,2.4010,0.1022
173.678,1,2.6491,42.92,0.195,2.6154,0.4097,-0.0962,-0.1058,2.3187,0.1038
207.327,5,2.9810,41.09,0.139,2.8160,0.9728,-0.0986,2.0470,-6.5250,0.1014
207.939,5,2.7807,47.01,0.622,2.5209,1.1696,-0.0963,2.0493,-6.4711,0.1037
208.294,5,2.7031,48.84,0.680,2.4326,1.1749,-0.0965,2.0676,-6.4649,0.1035
209.311,5,2.4344,53.14,0.308,2.2088,1.0189,-0.0952,2.0600,-6.4456,0.1048
212.303,6,4.4728,24.81,0.207,4.4717,0.0771,-0.0650,0.5642,-9.4227,0.1350
212.652,6,4.2825,25.91,1.854,4.2802,0.1221,-0.0684,0.5752,-9.3251,0.1316
212.972,6,4.2633,26.17,0.002,4.2605,0.1416,-0.0620,0.5469,-9.3896,0.1380
213.318,6,4.1310,25.78,1.496,4.1298,0.0732,-0.0682,0.5662,-9.3490,0.1318
219.313,6,4.1768,28.87,1.245,3.8489,1.6192,-0.0986,0.3309,-10.7745,0.1014
219.639,6,4.4735,29.91,1.337,4.0587,1.8787,-0.0975,0.3080,-11.1077,0.1025
219.946,6,4.4389,29.98,1.174,4.0235,1.8724,-0.0971,0.2795,-11.0934,0.1029
220.309,6,4.3773,30.93,1.310,4.1150,1.4903,-0.0808,0.3835,-11.0459,0.1192
220.603,6,4.4446,28.79,1.224,4.1308,1.6373,-0.0978,0.4062,-11.1372,0.1022
220.952,6,4.3260,31.10,1.182,3.8786,1.9135,-0.0972,0.3954,-11.0870,0.1028
268.915,5,4.3437,25.91,1.554,4.3009,0.6038,-0.0693,-0.0958,-6.4588,0.1307
274.546,5,4.3250,25.91,0.024,4.2807,-0.6141,-0.0618,-0.0193,-6.5807,0.1382
276.553,5,4.0242,27.20,1.598,3.9935,0.4913,-0.0697,0.0857,-6.4735,0.1303
276.931,5,4.1146,23.34,0.073,4.0881,0.4622,-0.0643,0.2632,-6.4700,0.1357
282.558,5,4.2112,29.70,1.151,4.1109,0.9089,-0.0952,1.8108,-6.4316,0.1048
282.916,5,4.1067,30.70,1.090,3.9787,1.0126,-0.0959,1.7898,-6.4075,0.1041
283.245,5,4.4395,26.48,0.155,4.3159,1.0357,-0.0970,2.2050,-6.3875,0.1030
283.556,5,4.1523,28.61,0.060,4.0125,1.0639,-0.0945,2.0007,-6.3868,0.1055
283.897,5,4.1743,28.59,0.047,3.9997,1.1906,-0.0975,2.1016,-6.3614,0.1025
284.225,5,4.0923,29.63,0.223,3.9104,1.2025,-0.0971,2.1032,-6.3408,0.1029
284.548,5,3.9399,30.70,0.088,3.7695,1.1419,-0.0956,2.0334,-6.3486,0.1044
284.913,5,3.8405,31.79,0.116,3.6567,1.1702,-0.0960,2.0180,-6.3526,0.1040
285.233,5,3.8622,31.75,0.108,3.6597,1.2304,-0.0973,2.1203,-6.3461,0.1027
285.571,5,3.7460,32.81,0.044,3.5467,1.2014,-0.0973,2.0775,-6.4618,0.1027
285.887,5,3.6117,34.84,0.086,3.3907,1.2405,-0.0965,2.0294,-6.4668,0.1035
286.238,5,3.5711,35.87,0.054,3.3195,1.3131,-0.0974,2.0728,-6.4614,0.1026
286.572,5,3.4855,36.86,0.017,3.2209,1.3287,-0.0975,2.0683,-6.4683,0.1025
286.907,5,3.4250,37.89,0.169,3.1575,1.3232,-0.0971,2.0880,-6.4602,0.1029
287.225,5,3.2774,40.90,0.114,2.9809,1.3589,-0.0960,2.0197,-6.4653,0.1040
287.556,5,3.2493,41.41,0.052,2.9498,1.3592,-0.0973,2.0777,-6.4847,0.1027
287.916,5,3.1205,42.90,0.110,2.8400,1.2894,-0.0965,2.0345,-6.5026,0.1035
288.236,5,3.1146,43.90,0.059,2.8044,1.3515,-0.0976,2.1045,-6.4900,0.1024
288.551,5,3.0136,46.90,0.092,2.6677,1.3985,-0.0976,2.0819,-6.5004,0.1024
288.915,5,2.9250,46.39,0.084,2.6131,1.3104,-0.0979,2.0573,-6.4603,0.1021
289.223,5,2.8808,48.40,0.031,2.5551,1.3271,-0.0980,2.0908,-6.4487,0.1020
299.223,6,3.4639,38.37,0.087,3.1351,-1.4698,-0.0975,0.3520,-11.4049,0.1025
299.579,6,3.4484,34.31,0.122,3.3361,-0.8676,-0.0966,0.3802,-11.3926,0.1034
299.889,6,3.3766,33.17,0.268,3.3738,0.0966,-0.0967,0.4102,-11.3397,0.1033
300.228,6,3.4197,36.90,0.065,3.2046,1.1895,-0.0971,0.4285,-11.3923,0.1029
505.020,2,4.4484,25.90,0.021,4.2827,-1.2014,-0.0618,4.0293,-9.3845,0.1382
515.024,6,4.4140,26.93,1.653,4.2006,1.3539,-0.0736,1.2147,-9.8218,0.1264
517.022,6,4.4479,27.70,0.182,4.0688,1.7956,-0.0673,1.0980,-10.0577,0.1327
535.673,2,4.4958,26.84,0.470,4.1570,-1.7106,-0.0704,3.0658,-9.8984,0.1296
538.984,4,3.9835,32.90,0.055,3.6526,1.5865,-0.0972,7.0085,-4.3408,0.1028
539.319,4,3.9956,29.70,0.045,3.8351,1.1169,-0.0971,7.0637,-4.3261,0.1029
539.657,4,3.8915,28.77,0.039,3.8453,0.5898,-0.0973,7.0172,-4.3389,0.1027
539.958,4,3.8683,28.66,0.081,3.8651,0.1227,-0.0976,7.0763,-4.3418,0.1024
540.298,4,3.7853,29.67,0.117,3.7712,-0.3120,-0.0973,7.0325,-4.3522,0.1027
540.661,4,3.7333,30.71,0.069,3.6641,-0.7092,-0.0973,7.0260,-4.3547,0.1027
540.963,4,3.6699,32.86,0.098,3.5130,-1.0571,-0.0968,7.0129,-4.3661,0.1032
541.308,4,3.6543,34.86,0.064,3.4063,-1.3197,-0.0970,7.0661,-4.3633,0.1030
541.647,4,3.5201,36.89,0.288,3.2341,-1.3862,-0.0971,7.0076,-4.3739,0.1029
541.955,4,3.4507,37.90,0.098,3.1356,-1.4374,-0.0975,7.0185,-4.3692,0.1025
542.313,4,3.3690,39.88,0.173,3.0549,-1.4173,-0.0969,6.9992,-4.3380,0.1031
542.680,4,3.3389,39.90,0.011,3.0461,-1.3639,-0.0976,7.0510,-4.3260,0.1024
542.961,4,3.2085,40.90,0.052,2.9493,-1.2594,-0.0973,7.0016,-4.3414,0.1027
543.352,4,3.1018,41.90,0.069,2.8651,-1.1846,-0.0972,6.9789,-4.3525,0.1028
543.676,4,3.0519,41.90,0.108,2.8168,-1.1704,-0.0977,7.0131,-4.3453,0.1023
543.979,4,2.9566,43.90,0.058,2.7326,-1.1248,-0.0976,7.0023,-4.3401,0.1024
544.306,4,2.8570,45.90,0.143,2.6269,-1.1191,-0.0965,6.9814,-4.3373,0.1035
544.664,4,2.8148,47.90,0.071,2.5501,-1.1875,-0.0979,7.0184,-4.3313,0.1021
645.558,4,3.5492,34.89,0.243,3.2221,-1.4850,-0.0975,6.7874,-4.7198,0.1025
645.842,4,3.5434,32.86,0.048,3.3782,-1.0650,-0.0975,6.8223,-4.7360,0.1025
646.217,4,3.4475,32.85,0.090,3.3852,-0.6448,-0.0979,6.7867,-4.7102,0.1021
646.547,4,3.3945,32.84,0.148,3.3821,-0.2723,-0.0976,6.7896,-4.7151,0.1024
646.855,4,3.3266,33.88,0.072,3.3249,0.0470,-0.0976,6.7926,-4.7235,0.1024
647.223,4,3.2424,34.89,0.022,3.2326,0.2319,-0.0978,6.7936,-4.7259,0.1022
647.546,4,3.1635,35.88,0.027,3.1381,0.3879,-0.0977,6.8016,-4.7268,0.1023
647.863,4,3.0975,36.89,0.069,3.0504,0.5293,-0.0977,6.8173,-4.7384,0.1023
648.217,4,2.9851,38.88,0.152,2.8910,0.7374,-0.0977,6.7942,-4.7257,0.1023
648.551,4,2.9369,40.88,0.145,2.7890,0.9151,-0.0977,6.8210,-4.7407,0.1023
648.852,4,2.8366,43.80,0.262,2.6244,1.0721,-0.0978,6.8003,-4.7274,0.1022
649.194,4,2.7405,46.90,0.411,2.4773,1.1679,-0.0958,6.7873,-4.7197,0.1042
673.862,2,3.2570,41.89,1.664,2.8810,-1.5157,-0.1053,3.0167,-11.4743,0.0947
674.134,2,3.0735,40.97,0.661,2.8261,-1.2039,-0.1008,3.1078,-11.3895,0.0992
674.527,2,3.0113,40.94,0.861,2.8614,-0.9330,-0.1007,3.1361,-11.3655,0.0993
674.865,2,3.1341,39.94,1.805,3.0745,-0.5992,-0.1055,3.0405,-11.4587,0.0945
675.537,2,3.0788,38.88,1.194,3.0764,-0.0702,-0.1005,3.0608,-11.4446,0.0995
675.858,2,2.9347,40.18,0.759,2.9308,0.1128,-0.1008,3.1535,-11.3613,0.0992
676.131,2,3.0992,39.89,1.656,3.0818,0.3108,-0.1056,3.0205,-11.4851,0.0944
676.530,2,2.9830,41.29,1.431,2.9338,0.5297,-0.1002,3.1049,-11.4145,0.0998
676.864,2,3.0276,41.89,1.248,2.8778,0.9351,-0.1004,3.0882,-11.4451,0.0996
677.146,2,3.0617,45.29,1.738,2.7304,1.3814,-0.1050,3.0844,-11.4611,0.0950
685.849,4,4.4058,29.72,0.666,3.9404,-1.9678,-0.1091,7.2185,-3.7653,0.0909
686.845,4,3.6722,34.09,0.481,3.4385,-1.2855,-0.0983,7.0559,-4.2108,0.1017
687.154,4,3.5632,34.96,0.421,3.3441,-1.2263,-0.0985,7.0458,-4.2324,0.1015
687.507,4,3.4570,35.75,0.244,3.2415,-1.1973,-0.0986,7.0404,-4.2566,0.1014
688.500,4,3.2172,39.05,0.287,2.9799,-1.2085,-0.0993,7.0428,-4.2469,0.1007
689.136,4,3.0630,42.11,0.659,2.8142,-1.2051,-0.1004,7.0208,-4.2460,0.0996
689.521,4,2.9598,43.11,0.451,2.7231,-1.1555,-0.0990,7.0137,-4.2660,0.1010
689.839,4,2.9359,43.89,0.578,2.6919,-1.1675,-0.1004,7.0345,-4.2059,0.0996
690.142,4,2.7688,47.18,0.735,2.5246,-1.1326,-0.0980,7.0009,-4.2871,0.1020
