t,robot,x,y
140.0,leo1,0.000,0.000
142.0,leo1,0.000,0.000
144.0,leo1,0.000,0.000
146.0,leo1,0.000,0.000
148.0,leo1,0.000,0.000
150.0,leo1,0.019,0.012
152.0,leo1,0.031,0.060
154.0,leo1,0.002,0.229
156.0,leo1,-0.036,0.303
158.0,leo1,-0.036,0.303
160.0,leo1,-0.037,0.303
162.0,leo1,-0.037,0.303
164.0,leo1,-0.036,0.303
166.0,leo1,0.154,0.007
168.0,leo1,0.379,-0.340
170.0,leo1,0.332,-0.525
172.0,leo1,0.332,-0.525
174.0,leo1,0.338,-0.527
176.0,leo1,0.336,-0.519
178.0,leo1,0.530,-0.536
180.0,leo1,0.756,-0.714
182.0,leo1,0.947,-0.800
184.0,leo1,1.468,-0.937
186.0,leo1,1.940,-1.103
188.0,leo1,2.364,-1.343
190.0,leo1,2.445,-1.420
192.0,leo1,2.445,-1.420
194.0,leo1,2.443,-1.416
196.0,leo1,2.410,-1.439
198.0,leo1,2.248,-1.592
200.0,leo1,1.730,-1.782
202.0,leo1,1.412,-2.119
204.0,leo1,1.298,-2.611
206.0,leo1,1.238,-3.139
208.0,leo1,1.201,-3.631
210.0,leo1,1.165,-4.155
212.0,leo1,1.101,-4.693
214.0,leo1,1.024,-5.188
216.0,leo1,0.906,-5.711
218.0,leo1,0.713,-6.183
220.0,leo1,0.599,-6.439
222.0,leo1,0.391,-6.782
224.0,leo1,0.061,-7.159
226.0,leo1,-0.284,-7.530
228.0,leo1,-0.650,-7.916
230.0,leo1,-0.974,-8.262
232.0,leo1,-1.057,-8.351
234.0,leo1,-1.176,-8.419
236.0,leo1,-1.632,-8.448
238.0,leo1,-2.137,-8.405
240.0,leo1,-2.655,-8.329
242.0,leo1,-3.188,-8.243
244.0,leo1,-3.677,-8.146
246.0,leo1,-3.986,-8.035
248.0,leo1,-4.357,-7.687
250.0,leo1,-4.734,-7.318
252.0,leo1,-5.081,-6.956
254.0,leo1,-5.458,-6.581
256.0,leo1,-5.737,-6.301
258.0,leo1,-5.766,-6.271
260.0,leo1,-5.766,-6.271
262.0,leo1,-5.756,-6.294
264.0,leo1,-5.740,-6.280
266.0,leo1,-5.479,-6.222
268.0,leo1,-4.879,-6.318
270.0,leo1,-4.682,-6.346
272.0,leo1,-4.675,-6.332
274.0,leo1,-4.623,-6.307
276.0,leo1,-4.284,-6.365
278.0,leo1,-3.779,-6.437
280.0,leo1,-3.263,-6.504
282.0,leo1,-2.754,-6.591
284.0,leo1,-2.236,-6.685
286.0,leo1,-1.735,-6.807
288.0,leo1,-1.220,-6.950
290.0,leo1,-0.716,-7.095
292.0,leo1,-0.200,-7.265
294.0,leo1,0.262,-7.458
296.0,leo1,0.711,-7.690
298.0,leo1,0.866,-7.773
300.0,leo1,0.846,-7.760
302.0,leo1,0.843,-7.768
304.0,leo1,0.586,-7.736
306.0,leo1,0.123,-7.513
308.0,leo1,-0.428,-7.217
310.0,leo1,-0.908,-6.959
312.0,leo1,-1.332,-6.711
314.0,leo1,-1.768,-6.449
316.0,leo1,-2.231,-6.189
318.0,leo1,-2.660,-5.914
320.0,leo1,-3.100,-5.627
322.0,leo1,-3.515,-5.323
324.0,leo1,-3.922,-4.978
326.0,leo1,-4.229,-4.598
328.0,leo1,-4.446,-4.132
330.0,leo1,-4.596,-3.685
332.0,leo1,-4.685,-3.189
334.0,leo1,-4.781,-2.657
336.0,leo1,-4.892,-2.157
338.0,leo1,-4.969,-1.835
340.0,leo1,-4.969,-1.835
342.0,leo1,-5.044,-1.442
344.0,leo1,-5.044,-1.440
346.0,leo1,-5.044,-1.440
348.0,leo1,-5.039,-1.482
350.0,leo1,-5.026,-1.584
352.0,leo1,-5.013,-1.686
354.0,leo1,-5.027,-1.601
356.0,leo1,-5.081,-1.249
358.0,leo1,-5.082,-1.249
360.0,leo1,-5.157,-1.146
362.0,leo1,-5.164,-1.126
364.0,leo1,-5.164,-1.126
366.0,leo1,-5.205,-0.949
368.0,leo1,-5.259,-0.434
370.0,leo1,-5.268,-0.227
372.0,leo1,-4.998,0.035
374.0,leo1,-4.579,0.326
376.0,leo1,-4.197,0.667
378.0,leo1,-3.845,1.061
380.0,leo1,-3.465,1.358
382.0,leo1,-2.993,1.421
384.0,leo1,-2.710,1.355
386.0,leo1,-2.382,0.961
388.0,leo1,-2.047,0.720
390.0,leo1,-1.583,0.628
392.0,leo1,-1.048,0.618
394.0,leo1,-0.536,0.589
396.0,leo1,0.000,0.550
398.0,leo1,0.495,0.491
400.0,leo1,0.991,0.396
402.0,leo1,1.515,0.282
404.0,leo1,1.996,0.100
406.0,leo1,2.484,-0.111
408.0,leo1,2.981,-0.220
410.0,leo1,3.470,-0.051
412.0,leo1,3.866,0.194
414.0,leo1,4.274,0.443
416.0,leo1,4.767,0.644
418.0,leo1,5.215,0.881
420.0,leo1,5.665,1.156
422.0,leo1,5.914,1.325
424.0,leo1,5.914,1.325
426.0,leo1,5.914,1.325
428.0,leo1,5.914,1.325
430.0,leo1,5.912,1.320
432.0,leo1,5.888,1.233
434.0,leo1,5.866,1.141
436.0,leo1,5.841,1.036
438.0,leo1,5.829,1.009
440.0,leo1,5.833,1.008
442.0,leo1,5.833,1.008
444.0,leo1,5.843,1.007
446.0,leo1,6.091,0.999
448.0,leo1,6.140,1.003
450.0,leo1,6.142,1.003
452.0,leo1,6.142,1.003
454.0,leo1,6.165,1.016
456.0,leo1,6.113,0.903
458.0,leo1,6.113,0.598
460.0,leo1,6.245,0.115
462.0,leo1,6.196,-0.214
464.0,leo1,6.125,-0.321
466.0,leo1,6.128,-0.452
468.0,leo1,6.182,-0.836
470.0,leo1,6.103,-1.243
472.0,leo1,5.798,-1.649
474.0,leo1,5.608,-1.866
476.0,leo1,5.554,-1.926
478.0,leo1,5.518,-1.966
480.0,leo1,5.487,-2.008
482.0,leo1,5.458,-2.056
484.0,leo1,5.446,-2.083
486.0,leo1,5.438,-2.100
488.0,leo1,5.429,-2.126
490.0,leo1,5.418,-2.158
492.0,leo1,5.406,-2.195
494.0,leo1,5.390,-2.327
496.0,leo1,5.500,-2.666
498.0,leo1,5.480,-3.184
500.0,leo1,5.499,-3.715
502.0,leo1,5.508,-4.234
504.0,leo1,5.514,-4.758
506.0,leo1,5.504,-4.968
508.0,leo1,5.348,-5.097
510.0,leo1,4.840,-5.225
512.0,leo1,4.360,-5.454
514.0,leo1,3.937,-5.738
516.0,leo1,3.610,-6.026
518.0,leo1,3.575,-6.067
520.0,leo1,3.419,-5.999
522.0,leo1,3.058,-5.568
524.0,leo1,2.726,-5.151
526.0,leo1,2.608,-4.972
528.0,leo1,2.608,-4.972
530.0,leo1,2.613,-4.975
532.0,leo1,2.621,-4.999
534.0,leo1,2.625,-5.001
536.0,leo1,2.695,-5.243
538.0,leo1,2.854,-5.380
540.0,leo1,3.126,-5.430
542.0,leo1,3.477,-5.206
544.0,leo1,3.896,-4.916
546.0,leo1,4.289,-4.627
548.0,leo1,4.523,-4.244
550.0,leo1,4.522,-3.803
552.0,leo1,4.262,-3.381
554.0,leo1,4.034,-3.186
556.0,leo1,3.776,-3.117
558.0,leo1,3.770,-3.127
560.0,leo1,3.795,-3.118
562.0,leo1,3.605,-3.075
564.0,leo1,3.479,-2.992
566.0,leo1,3.486,-2.996
568.0,leo1,3.495,-3.006
570.0,leo1,3.496,-3.006
572.0,leo1,3.496,-3.006
574.0,leo1,3.496,-3.007
576.0,leo1,3.497,-3.008
578.0,leo1,3.497,-3.008
580.0,leo1,3.497,-3.008
582.0,leo1,3.497,-3.008
584.0,leo1,3.475,-2.987
586.0,leo1,3.443,-2.963
588.0,leo1,3.427,-2.952
590.0,leo1,3.448,-2.967
592.0,leo1,3.462,-2.975
594.0,leo1,3.493,-2.986
596.0,leo1,3.489,-2.985
598.0,leo1,3.486,-2.985
600.0,leo1,3.483,-2.984
602.0,leo1,3.482,-2.984
604.0,leo1,3.482,-2.984
606.0,leo1,3.482,-2.984
608.0,leo1,3.482,-2.984
610.0,leo1,3.482,-2.984
612.0,leo1,3.482,-2.984
614.0,leo1,3.481,-2.984
616.0,leo1,3.479,-2.984
618.0,leo1,3.478,-2.984
620.0,leo1,3.477,-2.984
622.0,leo1,3.475,-2.984
624.0,leo1,3.527,-2.986
626.0,leo1,3.631,-2.988
628.0,leo1,3.727,-2.991
630.0,leo1,3.583,-2.959
632.0,leo1,3.446,-2.941
634.0,leo1,3.417,-2.939
636.0,leo1,3.417,-2.939
638.0,leo1,3.395,-2.928
640.0,leo1,3.379,-2.906
642.0,leo1,3.380,-2.915
644.0,leo1,3.389,-2.890
646.0,leo1,3.562,-2.894
648.0,leo1,3.962,-3.152
650.0,leo1,4.336,-3.350
652.0,leo1,4.450,-3.750
654.0,leo1,4.520,-4.262
656.0,leo1,4.558,-4.776
658.0,leo1,4.614,-5.290
660.0,leo1,4.692,-5.810
662.0,leo1,4.775,-6.333
664.0,leo1,4.895,-6.853
666.0,leo1,5.034,-7.357
668.0,leo1,5.213,-7.825
670.0,leo1,5.467,-8.294
672.0,leo1,5.664,-8.781
674.0,leo1,5.597,-9.217
676.0,leo1,5.539,-9.280
678.0,leo1,5.539,-9.274
680.0,leo1,5.522,-9.270
682.0,leo1,5.554,-9.175
684.0,leo1,5.688,-8.656
686.0,leo1,5.814,-8.095
688.0,leo1,5.809,-7.560
690.0,leo1,5.806,-7.037
692.0,leo1,5.813,-6.505
694.0,leo1,5.809,-6.001
696.0,leo1,5.816,-5.492
698.0,leo1,5.813,-4.955
700.0,leo1,5.811,-4.457
702.0,leo1,5.804,-3.924
704.0,leo1,5.783,-3.404
706.0,leo1,5.689,-2.882
708.0,leo1,5.568,-2.388
710.0,leo1,5.413,-1.888
712.0,leo1,5.163,-1.411
714.0,leo1,5.067,-1.300
716.0,leo1,4.702,-1.310
718.0,leo1,4.168,-1.317
720.0,leo1,3.665,-1.336
722.0,leo1,3.148,-1.440
724.0,leo1,2.644,-1.545
726.0,leo1,2.139,-1.650
728.0,leo1,1.656,-1.864
730.0,leo1,1.323,-2.241
732.0,leo1,1.054,-2.680
734.0,leo1,0.786,-3.124
736.0,leo1,0.486,-3.574
738.0,leo1,0.203,-3.998
740.0,leo1,-0.090,-4.405
742.0,leo1,-0.415,-4.829
744.0,leo1,-0.726,-5.242
746.0,leo1,-1.038,-5.667
748.0,leo1,-1.352,-6.071
750.0,leo1,-1.672,-6.476
752.0,leo1,-1.997,-6.893
754.0,leo1,-2.332,-7.275
756.0,leo1,-2.699,-7.666
758.0,leo1,-3.048,-8.025
760.0,leo1,-3.439,-8.386
762.0,leo1,-3.830,-8.684
764.0,leo1,-4.271,-8.973
766.0,leo1,-4.644,-9.317
768.0,leo1,-4.796,-9.714
770.0,leo1,-4.692,-10.082
772.0,leo1,-4.443,-10.478
774.0,leo1,-4.253,-10.713
776.0,leo1,-4.038,-10.916
778.0,leo1,-3.617,-10.994
780.0,leo1,-3.252,-10.908
782.0,leo1,-3.207,-10.895
784.0,leo1,-3.203,-10.896
786.0,leo1,-2.984,-10.887
788.0,leo1,-2.478,-10.633
790.0,leo1,-2.000,-10.445
792.0,leo1,-1.615,-10.125
794.0,leo1,-1.218,-9.767
796.0,leo1,-0.833,-9.459
798.0,leo1,-0.421,-9.146
800.0,leo1,0.009,-8.843
802.0,leo1,0.465,-8.609
804.0,leo1,0.864,-8.487
806.0,leo1,1.377,-8.513
808.0,leo1,1.914,-8.486
