t,tag_x,tag_y,tag_yaw_deg,tag_conf,map_x,map_y,map_yaw_deg,map_conf,locked,err_xy_m,err_yaw_deg,n_leo1_tags,n_leo2_tags,n_common
127.6,,,,nan,,,,nan,0,,,0,0,0
130.0,,,,0.000,,,,nan,0,,,0,0,0
135.0,,,,0.000,,,,0.635,0,,,0,0,0
140.0,,,,0.000,,,,0.635,0,,,0,0,0
145.0,,,,0.000,,,,0.635,0,,,0,0,0
150.0,,,,0.000,,,,0.635,0,,,1,0,0
155.0,,,,0.000,,,,0.620,0,,,1,0,0
160.0,,,,0.000,,,,0.575,0,,,1,0,0
165.0,,,,0.000,,,,0.575,0,,,1,0,0
170.0,,,,0.000,,,,0.556,0,,,1,0,0
175.0,,,,0.000,,,,0.524,0,,,1,0,0
180.0,,,,0.000,,,,0.493,0,,,1,0,0
185.0,,,,0.000,,,,0.493,0,,,1,0,0
190.0,,,,0.000,,,,0.517,0,,,1,0,0
195.0,,,,0.000,,,,0.520,0,,,1,0,0
200.0,,,,0.000,,,,0.478,0,,,1,0,0
205.0,,,,0.000,,,,0.478,0,,,1,0,0
210.0,,,,0.000,,,,0.480,0,,,1,0,0
215.0,,,,0.000,,,,0.479,0,,,1,0,0
220.0,,,,0.000,,,,0.498,0,,,1,0,0
225.0,,,,0.000,,,,0.498,0,,,1,0,0
230.0,,,,0.000,,,,0.359,0,,,1,0,0
235.0,,,,0.000,,,,0.495,0,,,1,0,0
240.0,,,,0.000,,,,0.513,0,,,1,0,0
245.0,,,,0.000,,,,0.513,0,,,1,2,0
250.0,,,,0.000,,,,0.518,0,,,1,2,0
255.0,,,,0.000,,,,0.415,0,,,1,2,0
260.0,,,,0.000,,,,0.415,0,,,1,2,0
265.0,,,,0.000,,,,0.376,0,,,1,2,0
270.0,,,,0.000,,,,0.381,0,,,1,2,0
275.0,,,,0.000,,,,0.381,0,,,1,2,0
280.0,,,,0.000,,,,0.381,0,,,1,2,0
285.0,,,,0.000,,,,0.387,0,,,1,2,0
290.0,,,,0.000,,,,0.507,0,,,1,2,0
295.0,,,,0.000,,,,0.508,0,,,1,2,0
300.0,,,,0.000,,,,0.508,0,,,1,2,0
305.0,,,,0.000,,,,0.492,0,,,1,2,0
310.0,,,,0.000,,,,0.503,0,,,1,2,0
315.0,,,,0.000,,,,0.503,0,,,1,2,0
320.0,,,,0.000,,,,0.503,0,,,1,2,0
325.0,,,,0.000,,,,0.449,0,,,1,2,0
330.0,,,,0.000,,,,0.438,0,,,1,2,0
335.0,,,,0.000,,,,0.441,0,,,1,2,0
340.0,,,,0.000,,,,0.441,0,,,1,2,0
345.0,,,,0.000,,,,0.401,0,,,1,2,0
350.0,,,,0.000,,,,0.456,0,,,1,2,0
355.0,,,,0.000,,,,0.456,0,,,1,2,0
360.0,,,,0.000,,,,0.428,0,,,1,2,0
365.0,,,,0.000,,,,0.382,0,,,1,2,0
370.0,,,,0.000,,,,0.421,0,,,1,2,0
375.0,,,,0.000,,,,0.421,0,,,1,2,0
380.0,,,,0.000,,,,0.416,0,,,1,2,0
385.0,,,,0.000,,,,0.435,0,,,1,2,0
390.0,,,,0.000,,,,0.505,0,,,1,2,0
395.0,,,,0.000,,,,0.505,0,,,2,2,0
400.0,,,,0.000,,,,0.424,0,,,2,2,0
405.0,,,,0.000,,,,0.449,0,,,2,2,0
410.0,,,,0.000,,,,0.423,0,,,2,2,0
415.0,,,,0.000,,,,0.423,0,,,2,2,0
420.0,,,,0.000,,,,0.467,0,,,2,2,0
425.0,,,,0.000,,,,0.394,0,,,2,2,0
430.0,,,,0.000,,,,0.496,0,,,2,2,0
435.0,,,,0.000,,,,0.496,0,,,2,2,0
440.0,,,,0.000,,,,0.440,0,,,2,2,0
445.0,,,,0.000,,,,0.426,0,,,2,2,0
450.0,,,,0.000,,,,0.436,0,,,2,2,0
455.0,,,,0.000,,,,0.436,0,,,2,2,0
460.0,,,,0.000,,,,0.398,0,,,2,2,0
465.0,,,,0.000,,,,0.427,0,,,2,2,0
470.0,,,,0.000,,,,0.415,0,,,2,2,0
475.0,,,,0.000,,,,0.415,0,,,2,2,0
480.0,,,,0.000,,,,0.432,0,,,2,2,0
485.0,,,,0.000,,,,0.432,0,,,2,2,0
490.0,,,,0.000,,,,0.465,0,,,2,2,0
495.0,,,,0.000,,,,0.465,0,,,2,2,0
500.0,,,,0.000,,,,0.471,0,,,2,2,0
505.0,,,,0.000,,,,0.449,0,,,2,3,0
510.0,,,,0.000,,,,0.446,0,,,2,3,0
515.0,,,,0.000,,,,0.446,0,,,2,3,0
520.0,,,,0.000,,,,0.430,0,,,2,3,0
525.0,,,,0.000,,,,0.431,0,,,2,3,0
530.0,,,,0.000,,,,0.432,0,,,2,3,0
535.0,,,,0.000,,,,0.433,0,,,2,3,0
540.0,,,,0.000,,,,0.461,0,,,2,3,0
545.0,,,,0.000,,,,0.461,0,,,2,3,0
550.0,,,,0.000,,,,0.417,0,,,2,3,0
555.0,,,,0.000,,,,0.427,0,,,2,3,0
560.0,,,,0.000,,,,0.482,0,,,2,3,0
565.0,,,,0.000,,,,0.482,0,,,2,3,0
570.0,,,,0.000,,,,0.474,0,,,2,3,0
575.0,,,,0.000,,,,0.474,0,,,2,3,0
580.0,,,,0.000,,,,0.423,0,,,2,3,0
585.0,,,,0.000,,,,0.423,0,,,2,4,0
590.0,,,,0.000,,,,0.369,0,,,2,4,0
595.0,,,,0.000,,,,0.437,0,,,2,4,0
600.0,,,,0.000,,,,0.431,0,,,2,4,0
605.0,,,,0.000,,,,0.386,0,,,2,4,0
610.0,,,,0.000,,,,0.414,0,,,2,4,0
615.0,13.7856,-11.2543,-143.009,0.175,,,,0.405,0,3.0550,36.992,3,4,1
620.0,13.7856,-11.2543,-143.009,0.175,,,,0.349,0,3.0550,36.992,3,4,1
625.0,13.7856,-11.2543,-143.009,0.175,,,,0.367,0,3.0550,36.992,3,4,1
